Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,70.71,70.96,69.23,70.06,15535800,0.0,0.0
01/05/2020,69.84,71.79,68.61,70.6,12705300,0.0,0.0
04/05/2020,70.07,70.6,69.14,69.77,6833000,0.0,0.0
05/05/2020,70.7,73.71,70.4,72.76,10927000,0.0,0.0
06/05/2020,73.53,75.13,72.66,72.8,17042600,0.0,0.0
07/05/2020,73.74,74.01,71.22,71.78,11941800,0.0,0.0
08/05/2020,71.95,72.15,70.27,71.56,20188100,0.0,0.0
11/05/2020,72.51,75.39,71.57,74.92,19219800,0.0,0.0
12/05/2020,76.71,78.61,75.4,77.1,23492300,0.0,0.0
13/05/2020,77.34,78.61,74.77,75.74,23562600,0.0,0.0
14/05/2020,74.68,77.11,74.51,76.65,13379500,0.0,0.0
15/05/2020,76.71,77.69,76.21,77.31,14071200,0.0,0.0
18/05/2020,78.41,79.82,77.82,77.96,16300200,0.0,0.0
19/05/2020,77.78,78.11,76.33,77.73,9892500,0.0,0.0
20/05/2020,78.52,78.87,76.62,77.72,10661500,0.0,0.0
21/05/2020,77.8,79.37,77.0,79.28,10393200,0.0,0.0
22/05/2020,79.15,79.27,78.18,78.49,5507000,0.0,0.0
26/05/2020,79.65,79.75,76.97,77.31,11869800,0.0,0.0
27/05/2020,77.17,77.56,75.48,76.69,12529500,0.0,0.0
28/05/2020,77.45,77.72,76.71,76.73,8765900,0.0,0.0
29/05/2020,77.56,79.17,76.36,78.98,13758800,0.0,0.0
01/06/2020,78.45,79.31,77.29,77.3,8486500,0.0,0.0
02/06/2020,77.53,78.15,76.75,77.59,9413300,0.0,0.0
03/06/2020,77.96,77.98,76.36,77.46,8588400,0.0,0.0
04/06/2020,76.94,79.67,76.92,79.3,9525700,0.0,0.0
05/06/2020,79.69,81.43,79.1,79.99,9630100,0.0,0.0
08/06/2020,79.19,80.98,79.1,80.62,6621400,0.0,0.0
09/06/2020,80.92,82.38,80.76,81.96,9555900,0.0,0.0
10/06/2020,82.66,84.67,82.5,82.59,11138300,0.0,0.0
11/06/2020,81.55,82.58,78.44,78.63,12584800,0.0,0.0
12/06/2020,79.89,80.74,77.58,78.8,8010100,0.0,0.0
15/06/2020,77.79,80.14,77.37,79.33,7120200,0.0,0.0
16/06/2020,80.85,81.99,79.67,81.87,9366100,0.0,0.0
17/06/2020,82.54,82.76,81.2,81.6,6212200,0.0,0.0
18/06/2020,81.44,82.2,81.19,82.01,4571600,0.0,0.0
19/06/2020,83.28,83.69,81.61,82.42,9210900,0.0,0.0
22/06/2020,82.36,82.93,81.67,82.9,6004300,0.0,0.0
23/06/2020,83.88,84.46,82.71,82.94,6715600,0.0,0.0
24/06/2020,82.21,82.81,80.41,81.09,9025100,0.0,0.0
25/06/2020,81.12,82.73,80.39,82.66,6411700,0.0,0.0
26/06/2020,82.58,82.7,81.0,81.93,14568400,0.0,0.0
29/06/2020,82.24,82.95,81.55,82.19,6676400,0.0,0.0
30/06/2020,81.79,84.27,81.67,83.68,8112500,0.0,0.0
01/07/2020,83.95,84.94,83.1,84.49,6522900,0.0,0.0
02/07/2020,84.76,85.22,83.4,84.27,6158800,0.0,0.0
06/07/2020,84.92,85.06,83.48,84.38,7039000,0.0,0.0
07/07/2020,84.1,85.82,84.0,84.67,6345600,0.0,0.0
08/07/2020,85.01,85.71,83.99,84.61,6154400,0.0,0.0
09/07/2020,84.44,85.04,82.51,83.47,5817300,0.0,0.0
10/07/2020,83.57,83.8,82.13,82.53,6202500,0.0,0.0
13/07/2020,82.98,84.85,82.6,83.4,8507400,0.0,0.0
14/07/2020,83.65,85.49,82.77,85.29,6765600,1.18,0.0
15/07/2020,86.27,86.68,85.25,86.68,5661600,0.0,0.0
16/07/2020,86.0,86.47,85.24,86.2,4269200,0.0,0.0
17/07/2020,86.52,87.37,86.2,86.98,6890900,0.0,0.0
20/07/2020,86.92,87.35,85.63,85.87,4823300,0.0,0.0
21/07/2020,86.1,86.1,83.83,84.03,8239000,0.0,0.0
22/07/2020,84.37,84.78,83.62,84.28,4441800,0.0,0.0
23/07/2020,84.75,85.34,84.07,84.57,5127200,0.0,0.0
24/07/2020,84.59,84.71,83.21,83.77,5169400,0.0,0.0
27/07/2020,83.12,84.45,83.04,83.82,5030700,0.0,0.0
28/07/2020,83.68,84.21,83.21,83.43,5941800,0.0,0.0
29/07/2020,83.57,84.03,83.37,83.69,5512000,0.0,0.0
30/07/2020,83.08,83.46,82.31,82.85,6411500,0.0,0.0
31/07/2020,82.42,83.9,80.7,81.88,14613000,0.0,0.0
03/08/2020,82.12,83.83,82.01,82.77,6919000,0.0,0.0
04/08/2020,82.75,82.84,81.14,81.34,7865100,0.0,0.0
05/08/2020,81.5,81.78,80.34,80.45,6918900,0.0,0.0
06/08/2020,80.51,80.79,79.18,79.86,7269300,0.0,0.0
07/08/2020,79.96,80.23,79.54,80.16,5226600,0.0,0.0
10/08/2020,79.91,80.81,79.5,79.69,7623600,0.0,0.0
11/08/2020,79.63,80.48,79.48,79.94,7208400,0.0,0.0
12/08/2020,80.62,82.46,80.51,82.39,7705600,0.0,0.0
13/08/2020,82.08,82.39,81.1,81.68,6004200,0.0,0.0
14/08/2020,82.28,82.53,81.56,82.02,5488100,0.0,0.0
17/08/2020,82.2,83.9,82.18,83.12,7251400,0.0,0.0
18/08/2020,83.35,83.42,82.08,82.52,4557400,0.0,0.0
19/08/2020,83.77,84.04,82.69,82.9,7672000,0.0,0.0
20/08/2020,82.38,82.84,81.68,82.13,6798000,0.0,0.0
21/08/2020,82.13,82.23,81.37,81.83,5269000,0.0,0.0
24/08/2020,81.87,82.16,81.25,81.53,4103600,0.0,0.0
25/08/2020,81.27,81.77,81.01,81.14,6710000,0.0,0.0
26/08/2020,80.66,81.45,80.18,81.39,5682800,0.0,0.0
27/08/2020,81.38,82.01,80.81,81.35,5271500,0.0,0.0
28/08/2020,81.54,81.65,80.69,81.24,4938300,0.0,0.0
31/08/2020,81.2,82.83,81.1,82.62,9932300,0.0,0.0
01/09/2020,82.4,82.75,78.75,79.57,15783600,0.0,0.0
02/09/2020,79.43,81.3,79.28,81.05,9139200,0.0,0.0
03/09/2020,80.99,81.36,78.58,79.25,8921900,0.0,0.0
04/09/2020,79.44,80.34,78.14,79.25,9444800,0.0,0.0
08/09/2020,78.95,79.25,77.17,77.83,8563900,0.0,0.0
09/09/2020,78.38,79.74,78.08,79.05,5373500,0.0,0.0
10/09/2020,78.56,78.86,77.19,77.34,10403600,0.0,0.0
11/09/2020,77.48,77.93,76.81,77.38,8385800,0.0,0.0
14/09/2020,77.68,78.73,77.18,78.06,5212300,0.0,0.0
15/09/2020,78.85,79.35,78.19,78.43,3851300,0.0,0.0
16/09/2020,78.52,78.74,77.37,77.45,6304400,0.0,0.0
17/09/2020,77.04,78.34,76.93,77.32,5604700,0.0,0.0
18/09/2020,77.2,78.07,76.66,77.74,10076300,0.0,0.0
21/09/2020,76.9,77.15,75.2,76.86,7328300,0.0,0.0
22/09/2020,76.69,76.74,75.86,76.43,5306100,0.0,0.0
23/09/2020,76.78,77.01,75.16,75.17,6253000,0.0,0.0
24/09/2020,75.05,75.05,73.6,74.11,9980800,0.0,0.0
25/09/2020,74.19,74.93,73.72,74.39,9935600,0.0,0.0
28/09/2020,75.3,76.09,74.94,75.29,6306900,0.0,0.0
29/09/2020,75.15,75.29,74.46,74.96,5508900,0.0,0.0
30/09/2020,75.05,76.3,74.89,75.56,8209300,0.0,0.0
01/10/2020,76.06,76.06,74.82,75.17,8777300,0.0,0.0
02/10/2020,74.62,75.36,74.23,74.29,5554300,0.0,0.0
05/10/2020,74.61,76.07,74.37,75.86,5984200,0.0,0.0
06/10/2020,75.89,75.97,73.94,74.1,8743800,0.0,0.0
07/10/2020,74.33,75.31,74.22,75.11,5899700,0.0,0.0
08/10/2020,75.29,76.42,74.98,75.35,5535100,0.0,0.0
09/10/2020,75.41,76.52,75.36,75.66,6005800,0.0,0.0
12/10/2020,76.06,76.43,75.33,76.19,7314900,0.0,0.0
13/10/2020,75.92,76.61,75.46,75.77,7851700,0.0,0.0
14/10/2020,75.93,76.17,75.11,75.26,5863900,1.18,0.0
15/10/2020,74.69,74.97,74.29,74.53,6190900,0.0,0.0
16/10/2020,75.1,76.21,74.99,75.44,5358500,0.0,0.0
19/10/2020,75.72,75.89,73.57,73.72,10288000,0.0,0.0
20/10/2020,73.62,74.18,72.94,73.67,6932100,0.0,0.0
21/10/2020,73.08,73.57,72.19,72.48,9776900,0.0,0.0
22/10/2020,72.6,74.23,72.51,73.72,8080100,0.0,0.0
23/10/2020,74.01,74.46,73.4,73.75,4238700,0.0,0.0
26/10/2020,73.53,73.73,72.41,73.38,7986300,0.0,0.0
27/10/2020,73.45,73.68,72.3,72.32,6705600,0.0,0.0
28/10/2020,71.13,71.89,70.16,70.38,11480200,0.0,0.0
29/10/2020,70.39,71.15,69.18,70.54,8876700,0.0,0.0
30/10/2020,72.75,75.32,72.58,74.41,18089100,0.0,0.0
02/11/2020,75.23,77.42,75.2,77.17,10781400,0.0,0.0
03/11/2020,77.95,78.17,76.45,76.91,8518800,0.0,0.0
04/11/2020,81.44,85.25,81.03,82.63,25849000,0.0,0.0
05/11/2020,83.39,83.53,81.32,81.93,8013000,0.0,0.0
06/11/2020,81.3,81.89,80.19,81.19,7006900,0.0,0.0
09/11/2020,83.72,84.78,82.78,83.18,11028900,0.0,0.0
10/11/2020,83.95,86.68,83.62,86.45,12267200,0.0,0.0
11/11/2020,86.7,87.33,85.49,85.83,9476500,0.0,0.0
12/11/2020,85.26,85.48,84.19,85.34,7646600,0.0,0.0
13/11/2020,85.18,87.05,85.17,86.6,6888600,0.0,0.0
16/11/2020,87.41,87.92,85.98,86.01,8611300,0.0,0.0
17/11/2020,86.89,87.67,86.34,86.75,11593500,0.0,0.0
18/11/2020,87.44,87.7,86.29,86.32,8880600,0.0,0.0
19/11/2020,86.36,87.57,86.21,87.15,7550300,0.0,0.0
20/11/2020,87.4,89.04,86.24,88.18,9682500,0.0,0.0
23/11/2020,89.14,89.86,88.38,89.35,7541500,0.0,0.0
24/11/2020,89.96,91.66,89.7,90.91,9322200,0.0,0.0
25/11/2020,90.78,91.34,90.41,91.12,6368100,0.0,0.0
