Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,348.01,356.23,346.55,353.64,3902200,0,0
01/05/2020,347.24,350.31,340.26,343.84,2578600,0,0
04/05/2020,340.74,350.6,340,349.11,2372000,0,0
05/05/2020,353.38,359.7,352.39,356.13,2377400,0,0
06/05/2020,357.92,366.79,357.13,362.52,2319700,0,0
07/05/2020,368.82,369.5,365.5,366.78,2465200,0,0
08/05/2020,370,371.1,365.41,367.51,2547200,0,0
11/05/2020,365.84,373.63,364.5,371.42,2266200,0,0
12/05/2020,371.46,372.72,364.55,365.1,2071800,0,0
13/05/2020,366.45,367.43,352.71,358.56,3365500,0,0
14/05/2020,354,357,348.01,355.39,2752000,0,0
15/05/2020,351.57,365.48,351.53,365.3,2626600,0,0
18/05/2020,371.59,375.49,367.21,367.97,2351900,0,0
19/05/2020,369.88,376,368.89,372.2,2753700,0,0
20/05/2020,377.21,384.4,377.06,383.63,2824700,0,0
21/05/2020,382,385.12,380.6,382.17,2261100,0,0
22/05/2020,381.39,386.52,380.95,385.26,1688200,0,0
26/05/2020,391,391.27,374.81,376.63,3526000,0,0
27/05/2020,373.24,375.7,361.44,375.17,3553300,0,0
28/05/2020,372.5,386.9,372.5,379.83,2903600,0,0
29/05/2020,382.62,389.05,377.08,386.6,5892000,0,0
01/06/2020,387.08,389.99,382.9,389.68,2034100,0,0
02/06/2020,389.92,390.91,382.03,390.44,2509600,0,0
03/06/2020,390.82,391.14,387.46,389.92,2537100,0,0
04/06/2020,389.5,395.72,382.28,385.8,2422600,0,0
05/06/2020,384.64,396.17,382,392.9,2793700,0,0
08/06/2020,391,398.1,385.84,397.78,2593000,0,0
09/06/2020,397.03,402.31,394.15,397.16,2279300,0,0
10/06/2020,399.59,409.98,399.49,406.82,3611600,0,0
11/06/2020,400,404.2,387.37,387.67,4123700,0,0
12/06/2020,409.3,411.72,395.41,406.54,8332600,0,0
15/06/2020,398.8,406.11,397,401.34,3781500,0,0
16/06/2020,407.83,414.68,405.48,411.67,3764400,0,0
17/06/2020,414,417.46,411.36,413.49,2112300,0,0
18/06/2020,413.5,420.84,413,420.46,2578400,0,0
19/06/2020,423.76,429.27,419.65,428.01,3931600,0,0
22/06/2020,428.96,438.95,428.54,438.64,3156300,0,0
23/06/2020,440.07,446.15,436.01,440.55,3065900,0,0
24/06/2020,440,442.67,427.47,431.68,3329400,0,0
25/06/2020,430.01,437.99,427.58,436.95,2275200,0,0
26/06/2020,436,438.18,424.71,426.92,3829700,0,0
29/06/2020,427.11,428.48,416.03,424.2,2623900,0,0
30/06/2020,426.68,436.91,423.86,435.31,2944700,0,0
01/07/2020,434.8,442.05,433.62,439.81,2581700,0,0
02/07/2020,445,448.16,441.36,442.95,2503000,0,0
06/07/2020,448,455.53,444.69,452.59,2761200,0,0
07/07/2020,452.59,459.44,448.72,449.36,2684600,0,0
08/07/2020,453.76,458.24,452,457.68,1999200,0,0
09/07/2020,460.44,463.8,451.88,460.84,2269800,0,0
