Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,51.48,51.9,47.81,47.85,14457000,0.0,0.0
01/05/2020,46.31,46.58,44.66,45.16,13583100,0.0,0.0
04/05/2020,44.85,45.89,44.52,45.83,7798000,0.0,0.0
05/05/2020,47.03,48.88,46.74,47.05,8220600,0.0,0.0
06/05/2020,48.15,49.28,47.72,48.64,8594600,0.0,0.0
07/05/2020,49.57,49.89,49.04,49.36,6645600,0.0,0.0
08/05/2020,50.48,51.91,50.32,51.83,8082200,0.0,0.0
11/05/2020,52.14,52.41,51.41,52.02,8211500,0.0,0.0
12/05/2020,52.4,52.58,50.39,50.4,7479000,0.0,0.0
13/05/2020,50.57,50.92,48.55,49.6,8696600,0.0,0.0
14/05/2020,48.88,52.64,47.83,52.43,15839000,0.0,0.0
15/05/2020,51.2,51.5,49.29,50.13,20755900,0.0,0.0
18/05/2020,51.56,52.64,50.48,52.36,11293300,0.0,0.0
19/05/2020,52.49,54.9,52.04,53.43,10535600,0.0,0.0
20/05/2020,54.64,56.24,54.46,55.01,9824100,0.22,0.0
21/05/2020,54.97,55.04,53.04,53.21,7467200,0.0,0.0
22/05/2020,53.21,53.35,51.95,52.6,7121000,0.0,0.0
26/05/2020,54.45,54.84,53.15,53.32,7757600,0.0,0.0
27/05/2020,53.76,54.58,51.56,54.54,9071600,0.0,0.0
28/05/2020,54.27,54.81,52.56,52.87,7234100,0.0,0.0
29/05/2020,53.19,54.52,52.67,54.33,10819600,0.0,0.0
01/06/2020,53.8,54.61,53.37,53.85,5374800,0.0,0.0
02/06/2020,54.15,54.37,52.95,53.95,6998700,0.0,0.0
03/06/2020,54.82,56.33,54.55,55.9,8026700,0.0,0.0
04/06/2020,55.28,57.25,55.22,56.21,7456900,0.0,0.0
05/06/2020,57.74,59.1,57.66,58.21,8349700,0.0,0.0
08/06/2020,57.95,58.48,57.14,57.93,5528700,0.0,0.0
09/06/2020,57.07,58.27,56.99,57.82,6184300,0.0,0.0
10/06/2020,58.22,58.57,57.5,57.89,5319800,0.0,0.0
11/06/2020,56.34,56.66,53.53,53.58,9386800,0.0,0.0
12/06/2020,55.61,56.1,53.16,54.69,8534200,0.0,0.0
