Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,213.2,217.73,211.92,216.74,3410300,0.0,0.0
01/05/2020,212.4,214.83,211.81,213.28,1896800,0.0,0.0
04/05/2020,216.18,216.28,207.73,215.49,1642700,0.0,0.0
05/05/2020,216.45,221.79,216.45,218.8,1421200,0.0,0.0
06/05/2020,219.34,220.6,215.64,216.06,1441400,0.0,0.0
07/05/2020,217.81,218.26,214.03,214.23,2548900,0.0,0.0
08/05/2020,216.42,218.79,215.54,217.07,1879700,0.0,0.0
11/05/2020,214.99,221.23,213.53,216.95,2040700,0.0,0.0
12/05/2020,217.98,218.79,210.13,210.99,1852500,0.0,0.0
13/05/2020,210.6,215.9,208.9,210.5,2200600,0.0,0.0
14/05/2020,208.89,210.36,204.68,209.11,2112500,0.0,0.0
15/05/2020,207.95,209.43,203.83,209.07,2246800,0.0,0.0
18/05/2020,214.98,216.87,211.34,214.94,1792800,0.0,0.0
19/05/2020,214.08,215.69,209.14,209.43,1542800,0.0,0.0
20/05/2020,211.26,211.88,208.47,209.58,1346600,0.0,0.0
21/05/2020,208.9,209.89,206.83,207.78,1263200,0.0,0.0
22/05/2020,208.12,220.93,207.09,220.77,2812700,0.0,0.0
26/05/2020,226.38,226.46,218.69,222.14,2833600,0.0,0.0
27/05/2020,223.67,230.34,220.23,229.5,2311000,0.0,0.0
28/05/2020,232.78,236.29,230.87,235.06,2190900,0.0,0.0
29/05/2020,234.19,235.84,231.39,235.11,2138600,0.0,0.0
01/06/2020,234.98,242.95,232.69,240.7,2035000,0.0,0.0
02/06/2020,240.88,241.86,236.54,240.04,1809800,0.0,0.0
03/06/2020,241.26,245.2,240.05,243.5,1802200,0.0,0.0
04/06/2020,240.5,243.07,233.59,236.52,1997600,0.0,0.0
05/06/2020,240.17,242.16,237.3,241.23,2336800,0.0,0.0
08/06/2020,241.33,245.08,240.69,243.04,2095800,0.0,0.0
09/06/2020,242.87,243.22,240.73,242.02,2691000,0.0,0.0
10/06/2020,242.7,245.0,239.71,241.64,1603500,0.0,0.0
11/06/2020,239.34,240.04,228.64,229.04,2548900,0.0,0.0
12/06/2020,233.79,235.86,231.27,235.02,1436500,0.0,0.0
15/06/2020,229.59,239.58,229.49,239.04,1532400,0.0,0.0
16/06/2020,244.59,244.79,237.68,241.13,1837500,0.0,0.0
17/06/2020,243.28,244.42,240.22,240.39,1380100,0.0,0.0
18/06/2020,238.23,239.62,234.6,235.57,1776100,1.1,0.0
19/06/2020,239.14,243.13,234.49,242.88,6193100,0.0,0.0
