Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,40.76,40.83,39.39,39.62,2208700,0.0,0.0
01/05/2020,39.21,39.76,38.72,38.94,1197100,0.0,0.0
04/05/2020,38.55,39.32,38.27,39.25,2002300,0.0,0.0
05/05/2020,39.66,39.91,38.62,39.42,1460500,0.0,0.0
06/05/2020,40.21,41.48,39.95,40.81,1370500,0.0,0.0
07/05/2020,40.98,41.1,39.91,40.49,1308100,0.0,0.0
08/05/2020,41.05,42.06,41.02,41.88,1156900,0.0,0.0
11/05/2020,41.47,41.47,40.95,41.08,893800,0.0,0.0
12/05/2020,41.1,41.1,39.31,39.34,1545500,0.0,0.0
13/05/2020,39.14,39.21,37.14,37.38,1763500,0.0,0.0
14/05/2020,36.97,37.72,36.0,37.66,1651400,0.0,0.0
15/05/2020,37.4,38.87,37.4,37.78,4775300,0.0,0.0
18/05/2020,39.03,40.94,39.01,40.67,1576700,0.0,0.0
19/05/2020,40.52,40.56,39.23,39.25,1653600,0.0,0.0
20/05/2020,39.74,39.97,39.36,39.7,1269400,0.0,0.0
21/05/2020,39.52,40.15,39.5,39.9,835300,0.0,0.0
22/05/2020,40.02,40.02,39.17,39.47,1103500,0.0,0.0
26/05/2020,40.43,42.27,40.32,41.91,1639200,0.0,0.0
27/05/2020,42.47,44.23,42.42,44.14,2183300,0.0,0.0
28/05/2020,44.35,44.63,43.35,43.56,2323200,0.0,0.0
29/05/2020,43.46,44.47,43.02,44.41,2662000,0.0,0.0
01/06/2020,44.42,44.54,43.9,44.24,1067100,0.0,0.0
02/06/2020,44.38,44.76,44.13,44.76,1017800,0.0,0.0
03/06/2020,45.12,46.74,45.04,46.61,1224800,0.0,0.0
04/06/2020,46.06,47.31,46.05,47.28,1705100,0.0,0.0
05/06/2020,48.22,48.99,48.11,48.62,2078500,0.0,0.0
08/06/2020,48.49,49.27,47.44,47.57,1618600,0.0,0.0
09/06/2020,46.85,47.23,45.92,46.06,1709600,0.0,0.0
10/06/2020,46.03,46.09,45.21,45.24,1302600,0.0,0.0
11/06/2020,44.36,44.59,43.62,43.77,1167200,0.0,0.0
12/06/2020,44.9,45.03,42.89,43.9,1163500,0.0,0.0
15/06/2020,42.94,44.79,42.78,44.55,940400,0.0,0.0
16/06/2020,45.64,46.26,44.26,44.76,1079000,0.0,0.0
17/06/2020,45.08,45.19,44.5,44.59,825900,0.0,0.0
18/06/2020,44.36,45.1,44.12,44.81,1102500,0.0,0.0
19/06/2020,45.46,45.62,43.76,44.21,1458100,0.0,0.0
22/06/2020,44.05,44.48,43.33,44.12,667400,0.0,0.0
23/06/2020,44.55,44.75,44.2,44.38,967000,0.0,0.0
24/06/2020,44.01,44.12,42.17,42.17,1369900,0.0,0.0
25/06/2020,42.02,42.05,41.02,41.83,1552200,0.0,0.0
26/06/2020,41.57,42.26,41.24,41.56,2639300,0.0,0.0
29/06/2020,41.97,43.64,41.94,43.42,1031000,0.0,0.0
30/06/2020,43.23,44.35,43.14,44.05,1091600,0.0,0.0
01/07/2020,44.28,44.28,43.17,43.29,938200,0.0,0.0
02/07/2020,43.93,44.66,43.7,44.24,1072800,0.0,0.0
06/07/2020,44.91,45.44,44.67,44.91,779400,0.0,0.0
07/07/2020,44.47,45.16,44.45,44.78,962700,0.0,0.0
08/07/2020,44.92,45.08,44.42,44.73,874200,0.0,0.0
09/07/2020,44.56,44.94,44.15,44.47,1013400,0.0,0.0
10/07/2020,44.69,45.54,44.59,45.13,866200,0.0,0.0
13/07/2020,45.36,45.83,45.19,45.32,1043000,0.0,0.0
14/07/2020,45.24,46.69,44.97,46.68,729800,0.0,0.0
15/07/2020,47.25,47.67,46.86,47.34,1303200,0.0,0.0
16/07/2020,47.39,47.84,46.98,47.5,823500,0.0,0.0
17/07/2020,47.67,47.78,47.16,47.24,607600,0.0,0.0
20/07/2020,47.14,47.43,47.04,47.21,636200,0.0,0.0
21/07/2020,47.28,48.0,47.28,47.74,886400,0.0,0.0
22/07/2020,47.81,48.24,47.54,47.7,593200,0.0,0.0
23/07/2020,47.7,48.62,47.61,47.87,635300,0.0,0.0
24/07/2020,47.86,48.25,47.6,47.97,929100,0.0,0.0
27/07/2020,47.94,49.68,47.76,49.4,1522700,0.0,0.0
28/07/2020,49.05,49.41,48.81,48.84,1136500,0.0,0.0
29/07/2020,49.07,50.22,49.07,49.83,1071500,0.0,0.0
30/07/2020,49.1,49.1,45.46,45.51,3136900,0.24,0.0
31/07/2020,45.89,46.31,44.29,45.21,2760800,0.0,0.0
03/08/2020,45.33,46.16,45.12,45.43,1030100,0.0,0.0
04/08/2020,45.29,45.39,44.78,45.03,1193700,0.0,0.0
05/08/2020,45.25,45.26,44.54,45.1,1046000,0.0,0.0
06/08/2020,45.17,45.92,45.16,45.64,997600,0.0,0.0
07/08/2020,45.6,45.94,45.15,45.93,797400,0.0,0.0
10/08/2020,46.05,46.11,45.21,45.84,699200,0.0,0.0
11/08/2020,46.24,47.34,46.24,46.74,1220500,0.0,0.0
12/08/2020,47.06,47.53,46.68,46.97,658600,0.0,0.0
13/08/2020,46.62,46.69,45.83,46.08,541500,0.0,0.0
14/08/2020,46.01,46.93,45.69,46.73,770500,0.0,0.0
17/08/2020,46.85,47.16,46.55,46.69,666200,0.0,0.0
18/08/2020,46.76,47.0,46.41,46.5,617500,0.0,0.0
19/08/2020,46.56,46.83,46.39,46.45,658900,0.0,0.0
20/08/2020,46.16,46.27,45.82,46.11,710100,0.0,0.0
21/08/2020,46.14,46.14,45.65,45.97,719200,0.0,0.0
24/08/2020,46.22,46.81,46.14,46.69,478500,0.0,0.0
25/08/2020,46.9,46.9,46.05,46.49,491700,0.0,0.0
26/08/2020,46.48,46.76,46.1,46.47,688100,0.0,0.0
27/08/2020,46.84,46.84,46.04,46.21,772100,0.0,0.0
28/08/2020,46.31,46.43,45.88,46.36,780600,0.0,0.0
31/08/2020,46.4,46.72,45.84,45.99,1196800,0.0,0.0
01/09/2020,45.96,46.35,45.56,46.33,778000,0.0,0.0
02/09/2020,46.39,47.39,46.25,47.14,902400,0.0,0.0
03/09/2020,47.08,47.33,45.56,45.8,632900,0.0,0.0
04/09/2020,46.1,46.49,45.42,45.65,568400,0.0,0.0
08/09/2020,45.36,45.38,44.35,44.38,1094400,0.0,0.0
09/09/2020,44.75,45.45,44.75,45.31,1159300,0.0,0.0
10/09/2020,45.39,45.85,45.08,45.46,811500,0.0,0.0
11/09/2020,45.64,46.21,45.64,45.81,684800,0.0,0.0
14/09/2020,45.92,47.08,45.84,46.83,782800,0.0,0.0
15/09/2020,46.97,47.73,46.93,47.7,931400,0.0,0.0
16/09/2020,47.99,49.01,47.81,48.6,924600,0.0,0.0
17/09/2020,48.81,50.89,48.18,49.94,1948000,0.0,0.0
18/09/2020,50.01,50.74,49.84,50.0,2328700,0.0,0.0
21/09/2020,49.28,49.5,48.21,48.72,1325900,0.0,0.0
22/09/2020,48.67,49.64,48.61,49.46,1096400,0.0,0.0
23/09/2020,49.54,50.46,48.62,48.65,1337400,0.0,0.0
24/09/2020,48.74,50.03,48.59,49.78,1735700,0.0,0.0
25/09/2020,49.38,49.68,48.84,48.99,1911100,0.0,0.0
28/09/2020,49.59,50.38,49.5,50.05,1719800,0.0,0.0
