Date,JPM,MTB,CWEN-A,ADBE,AMAT,GMRE,INTU,MA,MCO,SPGI,UNH,PBCT,NG,T,META,WELL,EXPE,NET,AVGO,GOOGL,QCOM,FSLY,AAPL,LVGO,NFLX,SEDG,GOOD,NEE,SNOW,HASI,STOR,CWEN,AMT,DLR,NKE,O,SICP,HI,LTC,SPG,PETS,ABBV,AWR,WM,MRK,NLY,JNJ,BTBT,RIOT,CMCSA,WTRG,VZ,HON,V,MDT,ECL,SBNY,NYMT,DIS,MMM,UNP,TGT,AOS,STX,PSA,OHI,RITM,ICE,HD,EXR,CVS,COST,CAT,BYND,UBER,WORK,CRON,SCI,HRZN,CRM,ONL,VICI,WBD
30/04/2020,95.76,112.08,18.7,353.64,49.68,10.42,269.81,274.97,243.9,292.88,292.47,12.69,11.19,23,204.71,51.23,70.98,23.56,271.62,67.33,78.67,21.65,73.45,40.01,419.85,111.59,15.8,57.78,,27.99,17.76,20.03,238,149.49,87.18,53.18,15.9,20.95,35.6,66.77,39.57,82.2,79.37,100.02,75.65,25,150.04,1.48,1.21,37.63,41.79,57.45,141.9,178.72,97.63,193.5,107.18,8.72,108.15,151.92,159.79,109.74,42.38,49.95,185.45,29.15,6.09,89.45,219.83,88.24,61.55,303,116.38,98.99,30.27,26.69,5.94,36.74,9.61,161.95,,17.42,
01/05/2020,93.25,107.2,18.24,343.84,46.89,9.66,261.13,268.74,241.84,286.06,284.51,11.97,11.4,22.57,202.27,47.33,67.29,22.84,259.7,65.87,75.64,21.53,72.27,37.96,415.27,104.96,16.93,56.76,,26.52,16.99,19.5,234.2,145.92,85.54,50.15,15.23,19.98,33.58,63.2,38.57,82.84,77.77,98.21,74.06,24.52,148.29,1.46,1.07,36.98,40.39,56.83,137.25,175.57,95.14,190,101.51,8.32,105.5,148.6,156.64,108.23,41.65,47.71,184.36,27.08,5.85,88.67,218.57,87.16,59.7,301.92,110.88,91.53,28.39,26.38,5.64,35.72,9.26,156.37,,16.56,
04/05/2020,92.14,104.4,18.35,349.11,47.58,9.54,267.78,269.26,245.39,285.77,287.54,11.84,11.51,22.34,205.26,48.32,67.02,23.67,262.26,66.15,75.68,22.01,73.29,38.9,428.15,107.14,16.29,57.52,,27.27,16.17,19.7,236.63,145.77,85.75,49.01,14.36,19.37,33.96,63.01,37.49,81.86,77.15,99.56,73.29,24.48,148.27,1.46,1.12,36.22,41.22,56.24,135.2,176.15,95.26,191.52,102.08,8.1,103.18,148.4,154.82,111.71,41.98,46.44,181.09,27.22,6.06,89.67,221.84,85.3,59.95,304.49,107.72,95.16,27.42,27.2,5.84,36.38,9.03,161.47,,16.38,
05/05/2020,92,102.64,18.77,356.13,48.85,9.59,274.48,273.98,250.47,295.41,293.04,11.61,11.73,22.44,207.07,48.2,64.08,24.51,264.87,67.45,77.63,22.74,74.39,43.91,424.68,107.86,16.05,57.53,,27.76,16.16,20.31,240.26,148,87.2,50.4,14.57,19.69,34.51,60.55,39.94,85.37,77.96,99.02,74.38,25.12,149.5,1.44,1.15,36.05,41.97,56.51,134.87,178.44,97.9,193.32,100.76,8.12,101.06,147.43,156.38,111.76,42.16,46.75,179.44,27.09,6.52,92.97,225.61,85.9,61.21,307.92,108.91,100.16,28.07,27.29,5.74,37.26,8.98,163.25,,16.43,
06/05/2020,90.27,100.12,18.34,362.52,50.5,9.93,275.87,272.44,241.49,289.36,288.77,11.36,11.19,21.73,208.47,45.32,64.38,24.95,264.18,67.27,78.87,23.05,75.16,46.96,434.26,125.75,15.75,55.67,,27.88,16.71,19.84,237.26,149.7,88.44,50.82,13.4,18.86,33.6,55.74,37.86,85.42,74.18,96.8,73.54,24.16,148.08,1.37,1.27,35.14,40.67,55.64,133.04,178.78,96.76,193.03,101.98,7.8,100.88,146.2,154.3,113.58,43.65,47.52,176.09,26.36,6.11,91.74,223.92,84,60.41,308.89,107.67,126.21,27.82,27.63,5.57,37.19,9.46,163.67,,16.25,
07/05/2020,91.21,101.62,18.86,366.78,51.25,10.26,280.8,278.47,247.69,295.58,285,11.54,11.8,21.8,211.26,42,66.46,29.52,267.75,68.46,78.83,33.58,75.94,52.43,436.53,109.74,16.27,56.12,,27.77,18,20.44,235.25,149.03,88.56,52.69,13.38,20.01,33.39,57,37.55,84.22,74.04,101.45,72.09,24.36,147.59,1.44,1.54,35.58,40.53,55.58,132.79,182.72,98.94,194.12,100.2,7.96,105.57,145.74,156.22,113.36,43.31,48.72,183.51,26.42,6.27,93.09,229.45,88.17,61.45,305,107.29,122.66,30.93,29.95,5.59,37.76,9.66,169.9,,16.57,
08/05/2020,92.7,104.87,19.39,367.51,53.81,10.51,280.36,282.44,251.75,297.65,287,12.06,11.47,22.48,212.35,44.55,69.27,26.26,275.03,69.22,80.56,34.8,77.53,53.96,435.55,118.32,16.71,57.43,,29.79,17.68,21.02,238.36,145.06,90.46,53.13,14,21.45,35.28,58.02,37.02,83.96,75.74,100.97,72.85,24.84,148.7,1.52,1.85,36.53,40.3,57,136.91,185.09,99.03,197.76,103.05,8,109.16,148.51,158.26,115.83,44.79,51.06,190.34,27.58,6.6,93.52,234.43,91.69,63.12,305.94,112.11,133.51,32.79,31.16,5.42,38.51,9.75,175.9,,17.09,
11/05/2020,89.97,99.34,19.77,371.42,54.01,10.48,287.84,281.23,253.06,300.68,288.69,11.58,10.85,22.17,213.18,42.06,67.62,28.12,275.4,70.18,80.48,34.32,78.75,53.59,440.52,122.94,16.17,56.85,,28.92,17.7,21.49,238.23,144.36,90.93,52.31,13.73,20.42,35.39,55.08,36.55,87.9,76.67,100.5,74.29,24.12,149.11,1.5,1.59,36.16,40.16,56.4,134.28,183.56,98.74,196.08,102.07,7.6,107.77,145.73,156.85,120.18,43.94,49.86,186.93,26.29,6.31,94.1,236.56,91.88,63.84,310.33,108.61,130.82,31.64,31.26,5.27,39.46,9.74,182.67,,16.7,
12/05/2020,87.03,95.31,19.32,365.1,52.33,9.86,281.68,272.11,250.49,299.21,287.7,11.07,10.85,21.8,210.1,39.77,64.99,28.79,268.45,68.76,78.42,37.1,77.85,57.85,431.82,121,15.24,56.98,,28.17,16.95,21,231.69,132.93,88.26,50.04,14.83,20.01,33.37,54.54,34.35,90.46,75.29,98.31,73.6,23.2,147.14,1.42,1.6,35.35,39.22,55.46,127.59,179.47,95.2,194.2,96.01,7.24,104.56,141.52,153.99,119.39,42.08,48.62,178.47,24.84,6.11,92.55,232.9,85.31,63.35,304.84,105,136.93,32.4,31.01,5.18,37.95,9.74,177.54,,15.77,
13/05/2020,84.03,89.48,18.98,358.56,51.49,8.9,277.16,269.16,247.72,294.4,278,10.5,11.09,21.2,205.1,37.96,62.01,27.87,263.15,67.42,78,36.55,76.91,57.35,438.27,117.73,14.22,57.53,,26.57,15.96,20.63,231.15,133.42,86.02,48.63,14.21,18.63,33.07,51.17,32.72,88.87,76.05,96.52,74.27,22.6,147.13,1.2,1.89,34.97,38.81,54.85,122.97,177.09,93.28,191.97,88.17,6.68,102.92,136.12,152.74,119.14,39.98,47.43,176.6,25.01,5.66,93.3,230.1,84.39,61.15,302.14,104.48,134.51,33.02,30.2,4.84,35.29,9.18,169.64,,14.87,
