Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,244.74,245.2,240.5,243.03,2337900,0.0,0.0
01/05/2020,238.0,239.65,231.02,232.36,2683600,0.0,0.0
04/05/2020,231.92,234.8,228.44,234.65,1704600,0.0,0.0
05/05/2020,238.49,240.63,235.95,236.99,2646200,0.0,0.0
06/05/2020,240.08,242.01,235.87,236.37,2272700,0.0,0.0
07/05/2020,241.58,242.0,238.0,239.56,1823800,0.0,0.0
08/05/2020,243.55,246.54,241.6,246.08,1675700,0.0,0.0
11/05/2020,244.59,247.61,243.14,246.41,2085100,0.0,0.0
12/05/2020,247.46,248.48,239.98,240.19,1876400,0.0,0.0
13/05/2020,241.64,241.87,232.06,235.45,2192700,0.0,0.0
14/05/2020,233.49,238.85,227.93,238.54,1991200,0.0,0.0
15/05/2020,232.11,236.26,229.74,233.0,2165000,0.0,0.0
18/05/2020,240.34,247.6,239.79,244.74,2653100,0.0,0.0
19/05/2020,244.74,246.97,243.02,243.32,1870200,0.0,0.0
20/05/2020,247.81,251.7,247.02,249.34,1860500,0.0,0.0
21/05/2020,249.56,250.08,245.74,245.87,1484700,0.0,0.0
22/05/2020,244.92,248.06,242.03,247.53,1745200,0.0,0.0
26/05/2020,255.0,256.87,251.77,252.33,2357300,0.0,0.0
27/05/2020,253.23,257.5,250.52,257.32,2281200,0.0,0.0
28/05/2020,255.0,258.85,252.7,253.33,1854300,0.0,0.0
29/05/2020,253.12,261.26,252.23,260.61,2730000,0.0,0.0
01/06/2020,259.85,260.46,257.12,259.46,1844400,0.0,0.0
02/06/2020,260.39,266.92,259.55,266.68,3184700,0.0,0.0
03/06/2020,269.36,278.13,268.88,276.95,3192600,0.0,0.0
04/06/2020,273.56,280.05,270.3,276.37,3499700,0.0,0.0
05/06/2020,286.05,293.57,281.92,283.7,5095800,0.0,0.0
08/06/2020,284.08,285.28,280.37,284.1,2391600,0.0,0.0
09/06/2020,279.16,285.31,278.77,282.13,2233500,0.0,0.0
10/06/2020,283.32,285.61,281.57,281.88,2591400,0.0,0.0
11/06/2020,275.24,276.07,262.51,262.83,4511500,0.0,0.0
12/06/2020,270.94,271.95,261.91,268.64,3943900,0.0,0.0
15/06/2020,263.95,274.46,261.63,272.08,2982400,0.0,0.0
16/06/2020,277.37,281.44,272.0,278.01,3038700,0.0,0.0
17/06/2020,280.43,283.37,278.97,280.44,2027900,0.0,0.0
18/06/2020,279.26,285.53,278.73,285.16,3362500,0.0,0.0
19/06/2020,287.17,287.55,273.69,273.69,5846500,3.25,0.0
22/06/2020,276.16,284.0,274.38,283.42,2719500,0.0,0.0
23/06/2020,284.8,286.95,281.39,281.4,2241900,0.0,0.0
24/06/2020,279.5,281.1,275.26,277.49,1909600,0.0,0.0
25/06/2020,276.66,279.75,273.9,279.18,1502900,0.0,0.0
26/06/2020,283.45,285.45,274.03,277.88,3142500,0.0,0.0
29/06/2020,278.48,280.59,275.21,280.03,1451600,0.0,0.0
30/06/2020,280.18,286.62,277.29,285.3,2512500,0.0,0.0
01/07/2020,284.84,286.42,281.98,282.69,1566100,0.0,0.0
02/07/2020,287.23,288.7,284.44,285.17,1663800,0.0,0.0
06/07/2020,289.26,290.16,286.86,288.17,1756100,0.0,0.0
07/07/2020,286.86,287.6,282.53,283.04,1615000,0.0,0.0
08/07/2020,285.77,289.12,283.95,288.88,1802300,0.0,0.0
09/07/2020,289.27,293.18,284.97,290.62,2522500,0.0,0.0
10/07/2020,290.99,291.97,285.14,288.76,1328000,0.0,0.0
13/07/2020,290.78,292.45,280.75,281.41,2154900,0.0,0.0
14/07/2020,279.31,285.85,275.88,284.82,1836300,0.0,0.0
15/07/2020,285.6,287.25,280.38,283.64,1525300,0.0,0.0
16/07/2020,280.78,283.73,279.59,281.44,1292900,0.0,0.0
17/07/2020,283.98,284.93,280.22,282.67,1335400,0.0,0.0
20/07/2020,281.9,287.14,280.46,286.67,1432300,0.0,0.0
21/07/2020,288.57,288.57,282.64,284.15,1431200,0.0,0.0
22/07/2020,284.75,285.36,280.56,283.66,1440400,0.0,0.0
23/07/2020,283.27,285.73,278.76,279.93,1941700,0.0,0.0
24/07/2020,277.14,281.05,274.96,276.42,1563100,0.0,0.0
27/07/2020,278.69,282.9,277.96,282.65,2064600,0.0,0.0
28/07/2020,281.29,282.13,276.75,277.83,1397400,0.0,0.0
29/07/2020,278.9,281.34,277.91,279.18,1656200,0.0,0.0
30/07/2020,276.61,282.87,276.61,282.12,2125900,0.0,0.0
31/07/2020,284.47,287.82,281.49,286.33,2471900,0.0,0.0
03/08/2020,287.46,292.42,286.81,290.38,2079600,0.0,0.0
04/08/2020,289.72,297.03,289.62,296.85,2525800,0.0,0.0
05/08/2020,296.72,299.73,294.51,297.89,2229900,0.0,0.0
06/08/2020,296.29,299.1,294.15,297.54,1419300,0.0,0.0
07/08/2020,296.85,298.06,290.6,294.62,1419200,0.0,0.0
10/08/2020,293.08,297.64,292.93,295.92,1198900,0.0,0.0
11/08/2020,296.11,301.3,291.76,292.91,1931600,0.0,0.0
12/08/2020,294.55,303.62,294.11,301.59,1847100,0.0,0.0
13/08/2020,300.3,301.39,296.36,297.78,1509500,0.0,0.0
14/08/2020,296.51,298.17,294.69,296.33,1014000,0.0,0.0
17/08/2020,297.86,299.92,297.4,298.59,1059400,0.0,0.0
18/08/2020,299.98,301.18,296.62,297.07,885700,0.0,0.0
19/08/2020,297.82,301.1,296.71,297.59,1127300,0.0,0.0
20/08/2020,296.22,298.29,294.74,297.25,891000,0.0,0.0
21/08/2020,296.77,298.72,293.78,298.32,1150800,0.0,0.0
24/08/2020,300.12,303.9,299.33,301.92,1199600,0.0,0.0
25/08/2020,302.82,304.71,301.02,303.85,1114000,0.0,0.0
