Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,77.17,77.17,73.55,73.89,790600,0.0,0.0
01/05/2020,73.14,74.03,71.68,72.4,269800,0.0,0.0
04/05/2020,71.39,72.95,70.76,71.82,253400,0.0,0.0
05/05/2020,71.05,74.07,70.12,72.58,248700,0.0,0.0
06/05/2020,72.58,72.67,68.99,69.06,219200,0.0,0.0
07/05/2020,70.28,70.47,68.74,68.93,256500,0.0,0.0
08/05/2020,69.21,70.73,69.11,70.51,249000,0.0,0.0
11/05/2020,70.81,72.01,69.46,71.37,281500,0.0,0.0
12/05/2020,71.87,71.87,69.99,70.09,235800,0.0,0.0
13/05/2020,69.57,70.94,69.21,70.8,305900,0.0,0.0
14/05/2020,69.95,71.31,68.12,70.74,346200,0.305,0.0
15/05/2020,71.05,71.05,68.23,70.06,453600,0.0,0.0
18/05/2020,72.41,73.99,71.76,73.57,332400,0.0,0.0
19/05/2020,74.0,74.0,70.56,70.68,166400,0.0,0.0
20/05/2020,71.91,73.45,70.6,72.89,219200,0.0,0.0
21/05/2020,73.03,74.56,73.03,73.77,170400,0.0,0.0
22/05/2020,73.78,74.43,73.17,74.41,118200,0.0,0.0
26/05/2020,75.46,75.96,73.85,73.95,184700,0.0,0.0
27/05/2020,74.61,74.67,73.17,74.33,202400,0.0,0.0
28/05/2020,75.15,77.3,75.05,75.34,192600,0.0,0.0
29/05/2020,75.27,76.87,74.57,76.65,289900,0.0,0.0
01/06/2020,76.64,77.46,75.8,75.86,226500,0.0,0.0
02/06/2020,76.2,76.2,75.0,75.63,184400,0.0,0.0
03/06/2020,76.27,76.66,74.48,76.16,279300,0.0,0.0
04/06/2020,75.42,75.88,74.77,75.78,177000,0.0,0.0
05/06/2020,76.01,78.51,76.01,77.01,188700,0.0,0.0
08/06/2020,77.11,77.32,75.9,76.26,166300,0.0,0.0
09/06/2020,75.42,75.68,73.38,74.31,207800,0.0,0.0
10/06/2020,74.45,75.44,74.1,74.63,204200,0.0,0.0
11/06/2020,73.05,73.29,70.38,70.63,221900,0.0,0.0
12/06/2020,72.74,72.74,70.38,71.49,232900,0.0,0.0
15/06/2020,70.61,74.76,69.91,73.79,249500,0.0,0.0
16/06/2020,74.77,75.93,72.67,73.26,137700,0.0,0.0
17/06/2020,73.26,73.37,72.03,72.58,117400,0.0,0.0
18/06/2020,72.06,73.05,71.52,72.52,205900,0.0,0.0
19/06/2020,73.62,73.72,71.81,71.97,417800,0.0,0.0
22/06/2020,71.72,72.98,71.28,72.56,161200,0.0,0.0
23/06/2020,73.08,73.38,71.86,72.27,213300,0.0,0.0
24/06/2020,71.5,72.27,71.08,71.57,214900,0.0,0.0
25/06/2020,71.48,71.48,70.03,70.73,170200,0.0,0.0
26/06/2020,70.49,71.51,68.9,69.03,412900,0.0,0.0
29/06/2020,70.05,72.5,69.19,72.24,227900,0.0,0.0
30/06/2020,71.92,73.95,71.92,73.49,235700,0.0,0.0
01/07/2020,73.68,74.02,73.18,73.34,153200,0.0,0.0
02/07/2020,73.99,75.19,73.82,74.39,125000,0.0,0.0
06/07/2020,74.86,75.34,72.48,73.16,162300,0.0,0.0
07/07/2020,72.24,72.7,71.76,72.22,161300,0.0,0.0
08/07/2020,72.07,72.67,71.27,72.46,154100,0.0,0.0
09/07/2020,72.46,72.46,69.86,71.45,150200,0.0,0.0
10/07/2020,71.8,72.81,71.05,72.78,144300,0.0,0.0
13/07/2020,73.0,73.16,71.64,71.89,120900,0.0,0.0
14/07/2020,72.1,72.9,70.76,71.57,232100,0.0,0.0
15/07/2020,72.7,73.05,71.67,72.17,227100,0.0,0.0
16/07/2020,72.35,73.45,72.04,72.52,149300,0.0,0.0
17/07/2020,72.85,74.96,72.85,74.7,140900,0.0,0.0
20/07/2020,74.4,74.77,73.27,73.74,97600,0.0,0.0
21/07/2020,73.96,75.5,73.96,75.39,206100,0.0,0.0
22/07/2020,75.08,76.42,74.98,75.67,195100,0.0,0.0
23/07/2020,75.85,76.82,75.55,76.03,169900,0.0,0.0
24/07/2020,75.93,76.41,74.59,74.96,126400,0.0,0.0
27/07/2020,74.66,74.66,73.42,74.04,184000,0.0,0.0
28/07/2020,73.62,74.39,73.49,74.05,178000,0.0,0.0
29/07/2020,74.45,75.27,73.94,74.65,155000,0.0,0.0
30/07/2020,74.05,74.43,72.88,73.21,156600,0.0,0.0
31/07/2020,72.9,73.79,71.52,71.86,719200,0.0,0.0
03/08/2020,71.88,72.08,70.71,71.97,235900,0.0,0.0
04/08/2020,71.68,71.73,69.06,71.06,271500,0.0,0.0
05/08/2020,71.26,71.65,70.49,71.63,198300,0.0,0.0
06/08/2020,71.38,71.95,70.62,71.64,117800,0.0,0.0
07/08/2020,71.44,74.89,71.34,74.65,153400,0.0,0.0
10/08/2020,74.86,75.77,74.36,74.63,154200,0.0,0.0
11/08/2020,74.91,75.09,72.72,73.03,145000,0.0,0.0
12/08/2020,73.93,75.84,73.62,75.05,180700,0.0,0.0
13/08/2020,74.51,74.7,73.46,73.79,122800,0.0,0.0
14/08/2020,73.7,74.28,73.22,73.91,124800,0.335,0.0
17/08/2020,74.01,74.63,73.55,73.84,173500,0.0,0.0
18/08/2020,73.47,73.85,72.42,73.33,148300,0.0,0.0
19/08/2020,73.3,73.73,72.32,72.36,219600,0.0,0.0
20/08/2020,72.32,72.82,71.79,72.3,116200,0.0,0.0
21/08/2020,71.93,72.36,71.23,71.82,163000,0.0,0.0
24/08/2020,72.36,73.09,71.06,73.01,226800,0.0,0.0
25/08/2020,73.19,74.96,72.94,73.26,418500,0.0,0.0
26/08/2020,73.45,73.45,71.43,71.74,1151300,0.0,0.0
27/08/2020,71.67,73.08,71.67,72.29,275700,0.0,0.0
28/08/2020,71.54,71.86,69.13,71.82,321500,0.0,0.0
31/08/2020,71.83,72.44,71.22,71.41,264500,0.0,0.0
01/09/2020,71.19,71.29,70.13,70.59,141800,0.0,0.0
02/09/2020,70.58,72.97,70.53,72.49,166600,0.0,0.0
03/09/2020,72.58,73.54,72.0,72.61,191000,0.0,0.0
04/09/2020,73.38,73.48,71.14,72.27,205500,0.0,0.0
08/09/2020,72.23,72.23,70.37,70.68,194000,0.0,0.0
09/09/2020,71.28,72.14,70.37,71.0,152400,0.0,0.0
10/09/2020,71.18,71.18,69.52,69.52,192200,0.0,0.0
11/09/2020,69.73,69.84,68.72,68.94,138400,0.0,0.0
14/09/2020,69.43,69.77,68.95,69.04,147600,0.0,0.0
15/09/2020,69.62,69.67,67.68,68.03,194200,0.0,0.0
16/09/2020,68.05,68.64,67.8,67.92,268400,0.0,0.0
17/09/2020,67.51,67.66,66.62,66.86,222300,0.0,0.0
18/09/2020,67.34,67.34,65.0,65.7,688000,0.0,0.0
21/09/2020,67.49,69.9,66.59,69.81,337700,0.0,0.0
22/09/2020,69.71,70.71,68.08,68.98,218500,0.0,0.0
23/09/2020,68.79,69.28,67.59,67.61,303800,0.0,0.0
24/09/2020,67.76,69.05,67.58,68.45,177100,0.0,0.0
25/09/2020,67.98,69.44,67.7,69.31,117900,0.0,0.0
28/09/2020,69.47,70.35,69.38,69.77,232000,0.0,0.0
29/09/2020,69.89,70.3,69.23,69.88,111400,0.0,0.0
30/09/2020,70.36,71.06,69.71,70.35,206300,0.0,0.0
01/10/2020,70.33,71.53,70.05,71.43,167100,0.0,0.0
02/10/2020,70.74,72.34,70.68,72.01,162800,0.0,0.0
05/10/2020,72.16,72.27,71.24,71.71,134100,0.0,0.0
06/10/2020,72.37,72.83,71.46,72.07,234700,0.0,0.0
07/10/2020,72.15,72.35,70.27,71.26,202300,0.0,0.0
08/10/2020,71.73,72.5,71.39,71.85,103200,0.0,0.0
09/10/2020,72.2,72.51,71.34,71.97,131400,0.0,0.0
12/10/2020,71.88,74.48,71.88,74.26,179800,0.0,0.0
13/10/2020,73.46,73.93,72.75,73.48,138800,0.0,0.0
14/10/2020,73.39,73.98,72.2,72.62,106000,0.0,0.0
15/10/2020,72.08,73.07,71.93,72.57,141400,0.0,0.0
16/10/2020,72.7,73.57,72.21,72.86,229200,0.0,0.0
19/10/2020,72.63,73.73,71.89,71.98,113800,0.0,0.0
20/10/2020,72.3,72.52,71.4,71.83,133400,0.0,0.0
21/10/2020,71.52,72.88,71.52,72.41,191000,0.0,0.0
22/10/2020,72.71,73.31,72.36,73.0,162300,0.0,0.0
23/10/2020,73.04,74.62,73.04,74.37,139300,0.0,0.0
26/10/2020,74.0,74.0,72.72,73.03,192000,0.0,0.0
27/10/2020,72.65,74.15,72.65,73.3,211500,0.0,0.0
28/10/2020,72.12,72.81,70.98,71.15,233200,0.0,0.0
29/10/2020,71.15,71.87,69.84,71.19,135900,0.0,0.0
30/10/2020,71.15,71.68,69.83,70.11,528700,0.0,0.0
02/11/2020,70.26,71.61,70.2,71.48,321000,0.0,0.0
03/11/2020,72.02,72.02,69.77,70.66,214200,0.0,0.0
04/11/2020,69.56,71.07,67.43,68.01,255500,0.0,0.0
05/11/2020,68.42,70.02,67.96,68.41,186400,0.0,0.0
06/11/2020,68.79,69.36,67.95,68.48,147500,0.0,0.0
09/11/2020,69.95,73.38,69.95,70.69,337200,0.0,0.0
10/11/2020,71.48,75.23,70.92,74.78,236000,0.0,0.0
11/11/2020,74.88,74.88,73.07,74.25,153700,0.0,0.0
12/11/2020,73.69,73.69,71.35,72.16,138900,0.0,0.0
13/11/2020,72.74,73.12,71.61,72.78,120700,0.335,0.0
16/11/2020,74.05,74.71,72.88,74.6,285900,0.0,0.0
17/11/2020,74.01,74.23,72.85,73.33,203200,0.0,0.0
18/11/2020,73.52,73.75,70.58,70.59,211100,0.0,0.0
19/11/2020,69.77,70.66,69.15,70.46,119200,0.0,0.0
20/11/2020,70.17,71.95,70.17,71.14,148900,0.0,0.0
23/11/2020,71.2,71.89,70.76,71.42,162700,0.0,0.0
24/11/2020,72.13,73.0,71.55,72.0,190600,0.0,0.0
25/11/2020,72.24,73.23,71.56,71.66,394400,0.0,0.0
27/11/2020,71.51,71.69,70.44,70.86,74900,0.0,0.0
30/11/2020,70.75,70.92,69.35,69.6,219400,0.0,0.0
01/12/2020,70.41,71.16,69.77,70.18,212000,0.0,0.0
02/12/2020,70.22,70.73,69.17,70.26,162200,0.0,0.0
03/12/2020,70.26,70.76,69.6,69.61,122200,0.0,0.0
04/12/2020,69.77,70.18,69.27,69.74,122400,0.0,0.0
07/12/2020,69.54,70.21,69.38,70.1,114700,0.0,0.0
08/12/2020,69.79,70.65,69.67,70.46,110200,0.0,0.0
09/12/2020,70.94,71.38,70.45,71.21,140700,0.0,0.0
10/12/2020,71.38,71.55,70.22,71.38,128100,0.0,0.0
11/12/2020,71.28,72.82,71.09,72.7,178700,0.0,0.0
14/12/2020,73.22,74.18,72.03,72.03,167400,0.0,0.0
15/12/2020,72.12,74.51,71.75,74.21,150000,0.0,0.0
16/12/2020,74.53,75.67,73.66,73.83,193500,0.0,0.0
17/12/2020,73.9,75.85,73.9,75.47,160800,0.0,0.0
18/12/2020,75.63,76.31,73.55,73.72,895100,0.0,0.0
21/12/2020,72.71,72.73,70.59,72.12,191400,0.0,0.0
22/12/2020,71.97,72.78,71.59,72.69,163600,0.0,0.0
23/12/2020,73.16,73.65,72.48,72.97,167000,0.0,0.0
24/12/2020,73.47,73.47,72.35,73.23,52200,0.0,0.0
28/12/2020,73.54,75.13,73.54,74.62,151800,0.0,0.0
29/12/2020,74.76,75.23,73.48,73.87,99700,0.0,0.0
30/12/2020,73.87,74.6,73.46,73.95,98600,0.0,0.0
31/12/2020,73.85,75.08,73.85,74.96,108500,0.0,0.0
04/01/2021,74.96,75.04,73.05,73.72,145800,0.0,0.0
05/01/2021,73.94,74.44,73.06,74.0,155600,0.0,0.0
06/01/2021,74.71,77.75,74.71,77.09,275000,0.0,0.0
07/01/2021,77.2,77.37,75.19,75.51,127200,0.0,0.0
08/01/2021,75.96,76.35,75.26,76.35,113000,0.0,0.0
11/01/2021,76.04,76.46,75.31,76.08,99500,0.0,0.0
12/01/2021,76.03,76.48,75.46,76.09,83700,0.0,0.0
13/01/2021,76.36,77.14,75.82,76.2,108800,0.0,0.0
14/01/2021,76.85,76.88,75.59,75.91,135200,0.0,0.0
15/01/2021,75.53,76.81,75.46,76.71,152400,0.0,0.0
19/01/2021,76.95,77.35,76.29,76.89,227300,0.0,0.0
20/01/2021,76.53,77.04,75.59,76.43,157900,0.0,0.0
21/01/2021,76.85,76.85,75.01,75.25,153400,0.0,0.0
22/01/2021,74.95,75.98,74.37,75.9,158700,0.0,0.0
25/01/2021,75.29,76.74,74.96,76.09,149100,0.0,0.0
26/01/2021,75.86,76.03,75.1,75.85,161900,0.0,0.0
27/01/2021,74.8,75.25,73.39,73.97,253800,0.0,0.0
28/01/2021,74.43,76.38,73.64,73.85,182400,0.0,0.0
29/01/2021,73.59,75.28,72.79,72.84,440500,0.0,0.0
01/02/2021,72.79,75.11,72.47,74.79,226000,0.0,0.0
02/02/2021,75.27,76.65,75.12,75.93,135000,0.0,0.0
03/02/2021,75.42,75.7,74.08,75.18,123700,0.0,0.0
04/02/2021,74.74,75.84,74.52,75.23,125300,0.0,0.0
05/02/2021,75.9,76.76,75.42,76.69,94200,0.0,0.0
08/02/2021,76.85,76.85,75.47,76.35,107300,0.0,0.0
09/02/2021,76.35,77.6,76.13,77.47,132800,0.0,0.0
10/02/2021,77.78,78.3,76.79,77.2,153500,0.0,0.0
11/02/2021,77.51,78.18,76.39,76.95,111400,0.0,0.0
12/02/2021,76.52,76.69,74.66,75.27,110200,0.335,0.0
16/02/2021,75.35,75.35,74.21,74.3,116900,0.0,0.0
17/02/2021,74.06,74.23,73.63,74.2,143700,0.0,0.0
18/02/2021,74.21,75.1,73.94,74.15,146400,0.0,0.0
19/02/2021,74.21,74.7,73.61,73.81,123600,0.0,0.0
22/02/2021,73.88,73.88,71.68,72.8,123900,0.0,0.0
23/02/2021,74.56,77.22,72.2,72.21,209600,0.0,0.0
24/02/2021,72.14,73.07,71.79,72.01,237500,0.0,0.0
25/02/2021,71.73,72.85,70.0,70.16,231400,0.0,0.0
26/02/2021,70.21,70.9,69.13,69.15,315000,0.0,0.0
01/03/2021,69.81,70.15,68.88,69.5,145700,0.0,0.0
02/03/2021,69.74,69.84,67.75,67.83,174700,0.0,0.0
03/03/2021,67.6,68.05,66.55,67.01,225700,0.0,0.0
04/03/2021,66.72,68.87,66.38,66.87,209700,0.0,0.0
05/03/2021,67.35,67.95,66.33,67.16,285200,0.0,0.0
08/03/2021,67.91,68.55,67.17,67.71,185200,0.0,0.0
09/03/2021,67.55,68.71,67.46,68.31,176700,0.0,0.0
10/03/2021,68.44,69.21,67.59,68.08,195000,0.0,0.0
11/03/2021,68.24,68.5,67.23,67.95,170400,0.0,0.0
12/03/2021,68.36,69.11,67.92,68.31,288300,0.0,0.0
15/03/2021,68.11,68.63,67.15,68.52,206900,0.0,0.0
16/03/2021,68.58,69.3,68.42,69.17,138300,0.0,0.0
17/03/2021,68.84,69.18,68.22,68.39,169500,0.0,0.0
18/03/2021,68.3,69.31,68.27,69.12,175500,0.0,0.0
19/03/2021,69.01,69.76,68.39,69.76,901100,0.0,0.0
22/03/2021,69.76,70.05,68.37,69.45,201300,0.0,0.0
23/03/2021,69.37,71.41,69.12,70.43,175400,0.0,0.0
24/03/2021,70.28,71.24,69.69,70.28,340500,0.0,0.0
25/03/2021,70.29,70.66,69.59,70.32,167800,0.0,0.0
26/03/2021,70.26,71.57,70.09,71.41,283600,0.0,0.0
29/03/2021,71.35,72.53,71.14,71.86,219100,0.0,0.0
30/03/2021,71.79,72.13,70.87,71.22,140100,0.0,0.0
31/03/2021,71.2,71.98,70.92,71.59,227600,0.0,0.0
01/04/2021,71.59,72.19,71.32,71.84,123000,0.0,0.0
05/04/2021,71.89,72.55,71.69,72.18,226600,0.0,0.0
06/04/2021,72.23,73.49,72.03,73.13,253300,0.0,0.0
07/04/2021,73.28,73.62,72.35,72.75,121800,0.0,0.0
08/04/2021,73.05,73.28,72.41,72.94,145200,0.0,0.0
09/04/2021,73.19,73.26,72.55,72.99,112400,0.0,0.0
12/04/2021,73.14,74.38,73.08,74.01,145000,0.0,0.0
13/04/2021,73.74,74.81,73.63,74.48,160200,0.0,0.0
14/04/2021,74.43,75.28,74.38,75.05,86900,0.0,0.0
