Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,1.5,1.62,1.45,1.48,141800,0.0,0.0
01/05/2020,1.48,1.59,1.34,1.46,119100,0.0,0.0
04/05/2020,1.46,1.55,1.41,1.46,134900,0.0,0.0
05/05/2020,1.49,1.56,1.43,1.44,124300,0.0,0.0
06/05/2020,1.44,1.47,1.31,1.37,125000,0.0,0.0
07/05/2020,1.4,1.5,1.32,1.44,159400,0.0,0.0
08/05/2020,1.49,1.64,1.35,1.52,1003500,0.0,0.0
11/05/2020,1.55,1.55,1.39,1.5,267400,0.0,0.0
12/05/2020,1.49,1.52,1.35,1.42,127700,0.0,0.0
13/05/2020,1.35,1.38,1.16,1.2,399100,0.0,0.0
14/05/2020,1.22,1.26,1.08,1.13,665500,0.0,0.0
15/05/2020,1.14,1.2,1.02,1.12,1005500,0.0,0.0
18/05/2020,1.09,1.11,1.03,1.03,237600,0.0,0.0
19/05/2020,1.04,1.05,0.82,0.86,787500,0.0,0.0
20/05/2020,0.73,1.22,0.73,0.87,1556300,0.0,0.0
21/05/2020,0.84,0.84,0.77,0.79,197700,0.0,0.0
22/05/2020,0.79,0.84,0.77,0.8,73000,0.0,0.0
26/05/2020,0.84,1.15,0.8,0.89,1219000,0.0,0.0
27/05/2020,0.93,1.05,0.91,0.99,312400,0.0,0.0
28/05/2020,1.01,1.33,0.99,1.0,1117600,0.0,0.0
29/05/2020,1.04,1.1,0.95,0.95,208100,0.0,0.0
01/06/2020,1.0,1.02,0.95,0.99,97000,0.0,0.0
02/06/2020,1.08,1.15,1.03,1.09,154300,0.0,0.0
03/06/2020,1.09,1.15,1.06,1.14,115300,0.0,0.0
04/06/2020,1.12,1.44,1.12,1.39,284300,0.0,0.0
05/06/2020,1.44,2.1,1.44,1.61,759700,0.0,0.0
08/06/2020,1.66,1.8,1.42,1.61,182400,0.0,0.0
09/06/2020,1.6,1.99,1.48,1.84,285700,0.0,0.0
10/06/2020,1.93,2.24,1.62,1.67,746200,0.0,0.0
11/06/2020,1.52,1.88,1.51,1.65,353500,0.0,0.0
12/06/2020,1.94,1.95,1.62,1.64,141000,0.0,0.0
15/06/2020,1.63,1.76,1.62,1.7,76700,0.0,0.0
16/06/2020,1.74,1.75,1.62,1.65,108700,0.0,0.0
17/06/2020,1.65,1.85,1.52,1.57,600300,0.0,0.0
18/06/2020,1.62,1.7,1.58,1.59,113000,0.0,0.0
19/06/2020,1.65,1.85,1.57,1.61,858900,0.0,0.0
22/06/2020,1.64,1.64,1.5,1.56,141700,0.0,0.0
23/06/2020,1.54,1.6,1.32,1.38,534200,0.0,0.0
24/06/2020,1.36,1.37,1.21,1.23,158100,0.0,0.0
25/06/2020,1.27,1.39,1.17,1.26,80300,0.0,0.0
26/06/2020,1.25,1.26,1.18,1.23,66200,0.0,0.0
29/06/2020,1.26,1.53,1.21,1.28,123600,0.0,0.0
30/06/2020,1.27,1.48,1.26,1.29,216900,0.0,0.0
01/07/2020,1.3,1.36,1.27,1.3,80600,0.0,0.0
02/07/2020,1.3,1.35,1.26,1.33,71600,0.0,0.0
06/07/2020,1.33,1.35,1.21,1.31,91200,0.0,0.0
07/07/2020,1.31,1.36,1.27,1.29,208200,0.0,0.0
08/07/2020,1.29,1.53,1.29,1.5,283400,0.0,0.0
09/07/2020,1.5,2.48,1.5,2.4,1878300,0.0,0.0
10/07/2020,1.97,2.25,1.78,1.82,1167400,0.0,0.0
13/07/2020,1.8,2.0,1.62,1.74,385800,0.0,0.0
14/07/2020,1.75,1.79,1.7,1.76,118500,0.0,0.0
15/07/2020,1.99,2.26,1.76,1.99,808500,0.0,0.0
16/07/2020,1.97,1.99,1.81,1.95,83800,0.0,0.0
17/07/2020,1.95,2.05,1.91,1.94,28500,0.0,0.0
20/07/2020,1.93,2.01,1.85,1.87,83000,0.0,0.0
21/07/2020,1.91,2.03,1.88,2.0,57700,0.0,0.0
22/07/2020,1.98,1.98,1.86,1.89,33900,0.0,0.0
23/07/2020,1.87,2.1,1.87,1.91,130300,0.0,0.0
24/07/2020,1.88,2.0,1.88,1.91,83100,0.0,0.0
27/07/2020,1.98,2.01,1.91,1.92,133400,0.0,0.0
28/07/2020,1.92,3.24,1.92,2.83,1766200,0.0,0.0
29/07/2020,2.71,3.29,2.47,3.13,625400,0.0,0.0
30/07/2020,2.94,3.2,2.83,2.95,171500,0.0,0.0
31/07/2020,2.96,3.15,2.96,3.09,70900,0.0,0.0
03/08/2020,3.13,3.67,3.1,3.11,337800,0.0,0.0
04/08/2020,3.13,3.55,3.13,3.39,144300,0.0,0.0
05/08/2020,3.36,4.47,3.32,4.29,443400,0.0,0.0
06/08/2020,4.36,5.45,3.8,4.9,593700,0.0,0.0
07/08/2020,5.01,5.5,4.51,4.98,215900,0.0,0.0
10/08/2020,4.94,5.04,4.4,4.7,279600,0.0,0.0
11/08/2020,4.5,4.84,4.1,4.36,201100,0.0,0.0
12/08/2020,4.36,4.67,4.35,4.36,84800,0.0,0.0
13/08/2020,4.36,4.61,3.89,4.1,183400,0.0,0.0
14/08/2020,4.01,4.37,4.0,4.1,60000,0.0,0.0
17/08/2020,4.07,4.24,3.95,4.05,66200,0.0,0.0
18/08/2020,3.92,4.16,3.51,3.74,130800,0.0,0.0
19/08/2020,3.68,3.96,3.68,3.82,28900,0.0,0.0
20/08/2020,3.81,4.25,3.81,4.01,66700,0.0,0.0
21/08/2020,3.97,4.17,3.97,4.17,17800,0.0,0.0
24/08/2020,4.21,4.72,4.2,4.5,116600,0.0,0.0
25/08/2020,4.45,4.72,4.22,4.56,107500,0.0,0.0
26/08/2020,4.64,4.87,4.53,4.6,46200,0.0,0.0
27/08/2020,4.78,4.93,4.68,4.75,90500,0.0,0.0
28/08/2020,4.67,4.91,4.67,4.89,68100,0.0,0.0
31/08/2020,5.0,5.1,4.9,4.97,93700,0.0,0.0
01/09/2020,4.82,5.08,4.82,4.92,137200,0.0,0.0
02/09/2020,4.7,4.88,4.55,4.68,71400,0.0,0.0
03/09/2020,4.59,4.6,4.05,4.51,48900,0.0,0.0
04/09/2020,4.42,4.69,4.41,4.61,31400,0.0,0.0
08/09/2020,4.5,4.65,4.31,4.31,40700,0.0,0.0
09/09/2020,4.5,4.64,4.31,4.61,59900,0.0,0.0
10/09/2020,4.5,4.64,4.28,4.41,24200,0.0,0.0
11/09/2020,4.12,4.58,4.12,4.58,29800,0.0,0.0
14/09/2020,4.46,4.73,4.41,4.59,39600,0.0,0.0
15/09/2020,4.6,4.6,4.4,4.43,64000,0.0,0.0
16/09/2020,4.31,4.59,4.04,4.13,132600,0.0,0.0
17/09/2020,4.16,4.38,4.16,4.24,44300,0.0,0.0
18/09/2020,4.34,4.51,4.15,4.45,82400,0.0,0.0
21/09/2020,4.34,4.45,4.2,4.26,17900,0.0,0.0
