Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,98.19,107.0,96.13,98.99,6718800,0.0,0.0
01/05/2020,94.4,98.72,89.9,91.53,6558400,0.0,0.0
04/05/2020,89.0,95.47,88.51,95.16,4267800,0.0,0.0
05/05/2020,100.5,102.5,96.66,100.16,11915200,0.0,0.0
06/05/2020,110.26,126.5,110.0,126.21,38572400,0.0,0.0
07/05/2020,126.72,127.84,117.12,122.66,22971000,0.0,0.0
08/05/2020,123.47,136.0,119.1,133.51,22483300,0.0,0.0
11/05/2020,129.51,139.29,129.0,130.82,15832000,0.0,0.0
12/05/2020,133.97,145.5,131.89,136.93,21441900,0.0,0.0
13/05/2020,140.58,147.55,127.21,134.51,22508200,0.0,0.0
14/05/2020,133.49,141.0,131.21,135.41,12681800,0.0,0.0
15/05/2020,134.98,140.2,132.63,134.16,8232900,0.0,0.0
18/05/2020,137.49,137.95,128.81,130.03,8007300,0.0,0.0
19/05/2020,132.73,142.0,132.67,136.2,13729700,0.0,0.0
20/05/2020,142.07,144.92,137.04,140.5,9777900,0.0,0.0
21/05/2020,141.03,141.91,134.45,138.11,5531800,0.0,0.0
22/05/2020,137.26,139.38,135.07,136.8,3318600,0.0,0.0
26/05/2020,139.83,139.88,131.5,132.87,4639100,0.0,0.0
27/05/2020,130.71,131.98,116.0,123.15,10083700,0.0,0.0
28/05/2020,121.55,126.6,120.0,120.82,4995800,0.0,0.0
29/05/2020,122.15,129.0,121.5,128.29,7669700,0.0,0.0
01/06/2020,134.31,139.2,133.28,138.69,11557800,0.0,0.0
02/06/2020,136.13,136.75,132.14,135.19,6732900,0.0,0.0
03/06/2020,135.0,138.45,133.22,134.23,4649000,0.0,0.0
04/06/2020,133.86,142.21,133.16,136.44,7779600,0.0,0.0
05/06/2020,136.05,137.89,132.77,133.53,4612000,0.0,0.0
08/06/2020,137.02,163.22,135.75,162.46,20318900,0.0,0.0
09/06/2020,156.71,161.54,148.56,153.95,13834100,0.0,0.0
10/06/2020,155.0,163.08,153.65,156.16,8852300,0.0,0.0
11/06/2020,147.21,155.24,140.25,143.51,9487200,0.0,0.0
12/06/2020,151.33,151.94,141.65,144.74,5705000,0.0,0.0
15/06/2020,142.6,154.4,141.01,154.0,6470500,0.0,0.0
16/06/2020,156.5,157.35,147.54,151.94,4797600,0.0,0.0
17/06/2020,155.98,167.16,154.37,156.34,16144400,0.0,0.0
18/06/2020,157.26,160.97,154.88,158.2,6264300,0.0,0.0
19/06/2020,160.2,165.46,156.87,158.28,7732100,0.0,0.0
22/06/2020,161.39,164.96,158.6,159.63,5035000,0.0,0.0
23/06/2020,159.42,160.14,151.56,152.79,7571100,0.0,0.0
24/06/2020,150.09,156.58,148.5,151.38,5063400,0.0,0.0
25/06/2020,149.0,151.75,136.0,145.35,13608800,0.0,0.0
26/06/2020,143.78,146.0,140.25,141.68,4284400,0.0,0.0
29/06/2020,133.65,134.21,125.0,131.55,10411300,0.0,0.0
30/06/2020,132.79,136.61,130.55,133.98,4915800,0.0,0.0
01/07/2020,146.67,151.53,138.77,141.64,14713400,0.0,0.0
02/07/2020,146.66,146.95,140.3,140.72,4938800,0.0,0.0
06/07/2020,143.0,144.72,140.15,143.0,4625900,0.0,0.0
07/07/2020,142.59,146.45,138.5,143.11,4844600,0.0,0.0
08/07/2020,143.41,145.95,140.75,144.98,3049100,0.0,0.0
09/07/2020,145.0,145.5,136.5,141.22,4505200,0.0,0.0
10/07/2020,135.21,136.65,130.75,135.03,5998300,0.0,0.0
13/07/2020,135.1,136.17,125.88,125.98,6980900,0.0,0.0
14/07/2020,126.01,129.99,125.27,127.78,3448100,0.0,0.0
15/07/2020,129.12,135.66,126.87,131.75,6835800,0.0,0.0
16/07/2020,129.59,133.6,126.46,128.45,5508600,0.0,0.0
17/07/2020,128.67,129.74,126.6,128.27,2693400,0.0,0.0
20/07/2020,128.31,129.13,126.51,128.5,2487300,0.0,0.0
21/07/2020,129.84,135.92,128.75,129.92,5012900,0.0,0.0
22/07/2020,130.15,133.07,128.7,130.57,2716700,0.0,0.0
23/07/2020,130.08,132.8,124.56,127.15,3561600,0.0,0.0
24/07/2020,124.01,126.4,120.32,125.09,2700900,0.0,0.0
27/07/2020,125.25,126.78,122.25,126.72,2912200,0.0,0.0
28/07/2020,124.95,129.58,124.95,125.43,2062400,0.0,0.0
29/07/2020,126.5,128.34,125.21,126.68,2110900,0.0,0.0
30/07/2020,126.14,127.14,122.11,123.32,2667600,0.0,0.0
31/07/2020,124.09,125.9,122.41,125.9,2957100,0.0,0.0
03/08/2020,128.65,134.4,127.15,134.32,5635000,0.0,0.0
04/08/2020,138.67,142.51,134.16,142.25,10277600,0.0,0.0
05/08/2020,130.14,138.39,130.0,132.69,10536600,0.0,0.0
06/08/2020,133.53,136.23,131.57,132.58,3954000,0.0,0.0
07/08/2020,132.33,135.98,130.5,131.51,3478600,0.0,0.0
10/08/2020,132.2,132.57,124.66,127.43,3538900,0.0,0.0
11/08/2020,127.38,128.57,124.4,125.5,2602900,0.0,0.0
12/08/2020,126.28,126.77,123.09,123.83,3601600,0.0,0.0
13/08/2020,124.83,127.45,124.5,126.99,2528200,0.0,0.0
14/08/2020,127.05,127.35,124.65,125.04,1426100,0.0,0.0
17/08/2020,125.56,126.75,123.96,125.5,1708400,0.0,0.0
18/08/2020,125.15,126.64,122.67,124.31,2111200,0.0,0.0
19/08/2020,124.31,126.74,121.35,125.35,3013500,0.0,0.0
20/08/2020,124.58,129.64,123.27,127.92,2546500,0.0,0.0
21/08/2020,127.13,128.67,125.3,126.0,1791800,0.0,0.0
24/08/2020,126.24,127.4,123.75,124.51,1915100,0.0,0.0
25/08/2020,125.0,125.83,123.01,124.51,1930200,0.0,0.0
26/08/2020,124.4,126.13,123.36,125.52,2258400,0.0,0.0
27/08/2020,129.5,138.5,128.78,132.15,10979500,0.0,0.0
28/08/2020,132.28,134.64,129.59,131.02,2847000,0.0,0.0
31/08/2020,135.21,138.25,133.1,135.85,4298700,0.0,0.0
01/09/2020,136.05,136.68,131.8,135.24,2595800,0.0,0.0
02/09/2020,135.99,135.99,129.4,129.7,3004900,0.0,0.0
03/09/2020,133.01,142.5,128.71,129.8,10864300,0.0,0.0
04/09/2020,130.62,134.72,120.55,125.82,4671100,0.0,0.0
08/09/2020,123.81,137.78,123.45,134.47,7318300,0.0,0.0
09/09/2020,132.5,139.47,132.25,138.17,4381400,0.0,0.0
10/09/2020,139.4,149.57,138.59,143.04,8189300,0.0,0.0
11/09/2020,144.0,144.07,132.45,134.88,3989200,0.0,0.0
14/09/2020,136.15,145.37,136.05,143.18,4812000,0.0,0.0
15/09/2020,144.12,150.0,141.41,146.48,4324400,0.0,0.0
16/09/2020,147.48,158.6,146.16,156.57,8248500,0.0,0.0
17/09/2020,150.5,157.58,149.26,157.22,4796000,0.0,0.0
18/09/2020,150.0,153.44,146.02,149.04,8810000,0.0,0.0
