Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,108.67,108.9,106.21,107.18,4040500,0.0,0.0
01/05/2020,104.99,105.53,101.83,102.12,3960400,0.0,0.0
04/05/2020,101.32,101.56,98.16,99.2,4500700,0.0,0.0
05/05/2020,100.6,102.31,100.14,100.3,3477400,0.0,0.0
06/05/2020,101.33,101.53,98.27,99.16,4465300,0.0,0.0
07/05/2020,100.4,101.35,98.34,98.81,4377900,0.0,0.0
08/05/2020,100.36,103.33,99.74,103.25,3911300,0.0,0.0
11/05/2020,101.45,102.01,99.63,100.02,4207300,0.0,0.0
12/05/2020,100.49,100.69,96.7,96.7,3874100,0.0,0.0
13/05/2020,96.83,96.97,94.44,96.22,5376100,0.0,0.0
14/05/2020,94.4,97.88,92.3,97.8,5542400,0.0,0.0
15/05/2020,96.87,99.45,96.04,99.39,6583100,0.0,0.0
18/05/2020,103.35,106.52,103.16,105.93,5603500,0.0,0.0
19/05/2020,105.86,106.31,103.16,103.22,3404900,0.0,0.0
20/05/2020,104.35,108.19,104.11,106.54,3735700,0.0,0.0
21/05/2020,105.86,106.54,104.82,105.04,2342300,0.0,0.0
22/05/2020,105.11,105.14,102.66,103.58,2735100,0.0,0.0
26/05/2020,106.81,109.19,106.81,108.13,4185100,0.0,0.0
27/05/2020,110.26,112.81,110.08,112.74,4462700,0.0,0.0
28/05/2020,114.89,114.96,110.77,111.2,3743700,0.0,0.0
29/05/2020,110.17,111.17,108.28,110.63,4219000,0.0,0.0
01/06/2020,110.39,111.62,108.31,110.97,2131300,0.0,0.0
02/06/2020,112.21,114.03,111.69,113.57,2977500,0.0,0.0
03/06/2020,115.53,117.28,115.13,117.04,3712600,0.0,0.0
04/06/2020,115.5,118.83,114.88,118.77,3076700,0.0,0.0
05/06/2020,126.95,128.35,122.85,124.44,5591900,0.0,0.0
08/06/2020,124.62,128.88,124.62,126.83,4139200,0.0,0.0
09/06/2020,124.35,124.71,122.68,123.58,3819600,0.0,0.0
10/06/2020,123.15,124.68,120.24,121.97,4018700,0.0,0.0
11/06/2020,116.42,116.81,111.91,111.94,5969300,0.0,0.0
12/06/2020,114.57,115.28,109.92,113.42,4492700,0.0,0.0
15/06/2020,109.14,114.55,108.68,113.84,4093100,0.0,0.0
16/06/2020,120.99,121.97,116.4,119.83,6892400,0.0,0.0
17/06/2020,119.87,120.16,117.66,118.09,3228100,0.0,0.0
18/06/2020,117.09,118.78,116.68,117.5,2467700,0.0,0.0
19/06/2020,119.72,119.72,115.79,117.38,6488000,0.0,0.0
22/06/2020,116.37,116.48,114.75,115.85,2806300,0.0,0.0
23/06/2020,117.32,117.49,115.88,116.27,2357100,0.0,0.0
24/06/2020,114.93,114.97,112.2,112.41,3766500,0.0,0.0
25/06/2020,112.0,114.96,111.25,114.85,2903400,0.0,0.0
26/06/2020,114.5,114.6,111.85,112.72,3645800,0.0,0.0
29/06/2020,113.94,116.08,113.53,115.35,2798700,0.0,0.0
30/06/2020,114.21,117.02,114.21,116.5,2778800,0.0,0.0
01/07/2020,119.15,119.17,115.93,116.1,2807800,0.0,0.0
02/07/2020,118.11,120.04,117.14,117.62,2527500,0.0,0.0
06/07/2020,119.84,120.18,118.04,119.2,2491900,0.0,0.0
07/07/2020,117.64,118.57,116.78,117.15,2018100,0.0,0.0
08/07/2020,119.11,119.11,116.47,118.0,2279500,0.0,0.0
09/07/2020,117.46,118.2,115.23,115.79,2663500,0.0,0.0
10/07/2020,116.01,118.09,115.87,117.89,2691400,0.0,0.0
13/07/2020,119.19,121.65,118.66,120.25,3708400,0.0,0.0
14/07/2020,120.02,126.46,119.01,126.06,6540800,0.0,0.0
15/07/2020,129.09,129.09,126.27,127.42,4915200,0.0,0.0
16/07/2020,127.37,129.84,126.72,127.61,3621500,0.0,0.0
17/07/2020,127.92,128.44,126.68,127.02,2458200,1.03,0.0
20/07/2020,125.96,127.07,124.57,124.92,2478000,0.0,0.0
21/07/2020,125.05,127.28,124.73,126.07,3221100,0.0,0.0
22/07/2020,125.49,127.92,125.44,127.1,2156800,0.0,0.0
23/07/2020,127.02,127.6,125.92,126.74,1613700,0.0,0.0
24/07/2020,127.3,128.68,126.98,127.65,2036300,0.0,0.0
27/07/2020,127.25,130.21,127.17,129.8,2506900,0.0,0.0
28/07/2020,128.92,129.89,127.97,128.07,2029900,0.0,0.0
29/07/2020,128.58,130.9,127.86,130.39,2338300,0.0,0.0
30/07/2020,129.05,129.06,126.16,126.86,3063500,0.0,0.0
31/07/2020,122.88,125.4,120.82,123.29,6780900,0.0,0.0
03/08/2020,122.75,123.4,121.64,122.27,2851100,0.0,0.0
04/08/2020,121.89,122.88,121.24,122.03,2301800,0.0,0.0
05/08/2020,123.2,126.13,123.04,125.23,2767800,0.0,0.0
06/08/2020,124.81,125.45,124.05,124.69,2446400,0.0,0.0
07/08/2020,124.33,125.36,122.96,125.19,2223700,0.0,0.0
10/08/2020,125.94,131.9,125.89,131.77,5181600,0.0,0.0
11/08/2020,133.63,135.65,132.02,132.25,4206000,0.0,0.0
12/08/2020,133.56,133.77,131.13,132.28,2541200,0.0,0.0
13/08/2020,131.38,132.44,129.69,130.52,2939900,0.0,0.0
14/08/2020,129.39,130.72,128.76,129.86,2038500,0.0,0.0
17/08/2020,130.04,130.46,128.32,128.71,2284000,0.0,0.0
18/08/2020,128.92,130.0,128.12,128.39,1563200,0.0,0.0
19/08/2020,128.51,129.82,127.54,128.06,1849500,0.0,0.0
20/08/2020,126.21,128.02,125.86,127.56,2279700,0.0,0.0
21/08/2020,126.93,128.97,126.93,128.44,2524600,0.0,0.0
24/08/2020,129.68,131.99,129.05,131.46,2921700,0.0,0.0
25/08/2020,132.38,134.47,130.4,130.97,2467500,0.0,0.0
26/08/2020,130.34,132.16,129.72,131.6,2379900,0.0,0.0
27/08/2020,131.88,133.93,131.09,133.03,3010300,0.0,0.0
28/08/2020,133.87,135.33,132.39,133.27,3698700,0.0,0.0
31/08/2020,133.15,133.24,132.01,132.04,2886500,0.0,0.0
01/09/2020,131.45,135.58,130.74,135.51,2673900,0.0,0.0
02/09/2020,136.27,138.76,135.84,138.5,4515500,0.0,0.0
03/09/2020,137.87,140.29,134.82,136.17,4479100,0.0,0.0
04/09/2020,137.97,139.9,135.5,137.49,5129400,0.0,0.0
08/09/2020,136.39,139.88,135.21,137.8,4775200,0.0,0.0
09/09/2020,138.99,144.26,138.44,141.67,5345100,0.0,0.0
10/09/2020,141.04,142.19,138.02,139.05,4387000,0.0,0.0
11/09/2020,139.62,143.26,139.4,142.73,3237100,0.0,0.0
14/09/2020,142.89,143.63,141.23,142.43,2569300,0.0,0.0
15/09/2020,143.07,143.32,137.66,137.88,4092400,0.0,0.0
16/09/2020,139.18,141.01,137.66,140.21,3302000,0.0,0.0
17/09/2020,139.04,144.98,138.39,142.77,4487000,0.0,0.0
18/09/2020,142.59,144.94,141.09,141.39,5113500,0.0,0.0
21/09/2020,137.84,138.71,133.49,134.84,4278200,0.0,0.0
22/09/2020,134.55,136.86,134.07,136.53,2579500,0.0,0.0
23/09/2020,136.84,138.17,133.24,133.96,2420100,0.0,0.0
24/09/2020,133.63,136.8,132.43,134.67,2138800,0.0,0.0
25/09/2020,133.51,136.12,132.69,135.38,1848900,0.0,0.0
28/09/2020,137.32,139.46,136.77,137.02,2212700,0.0,0.0
29/09/2020,137.66,138.22,135.66,136.77,1605600,0.0,0.0
30/09/2020,137.32,140.06,137.08,138.39,3642800,0.0,0.0
01/10/2020,139.1,139.46,135.14,136.12,2157400,0.0,0.0
02/10/2020,133.86,140.34,133.38,139.12,3220500,0.0,0.0
05/10/2020,141.19,143.31,140.68,142.42,2597700,0.0,0.0
06/10/2020,142.89,144.23,140.37,140.6,2559800,0.0,0.0
07/10/2020,142.22,144.8,142.15,143.6,2334200,0.0,0.0
08/10/2020,144.51,145.42,143.11,145.36,1842900,0.0,0.0
09/10/2020,146.48,147.89,146.04,147.47,4084200,0.0,0.0
12/10/2020,148.43,151.42,148.01,150.88,4279800,0.0,0.0
13/10/2020,150.05,151.41,149.5,150.42,3319000,0.0,0.0
14/10/2020,150.92,152.93,150.78,151.81,4087100,0.0,0.0
15/10/2020,148.71,153.82,148.6,153.13,2958500,0.0,0.0
16/10/2020,155.18,158.21,154.6,156.57,5569000,0.0,0.0
19/10/2020,156.57,157.75,154.77,155.44,2757700,0.0,0.0
20/10/2020,156.06,158.9,155.8,156.8,3007100,0.0,0.0
21/10/2020,157.56,158.22,154.71,155.32,2502000,0.0,0.0
22/10/2020,155.86,157.6,154.85,157.42,2356800,0.0,0.0
23/10/2020,158.11,159.3,156.42,157.38,2857300,1.03,0.0
26/10/2020,155.56,155.56,150.14,152.35,4506600,0.0,0.0
27/10/2020,150.26,151.09,146.57,147.41,4857900,0.0,0.0
28/10/2020,143.57,145.1,140.51,141.11,5645100,0.0,0.0
29/10/2020,140.59,145.17,139.68,144.39,3867200,0.0,0.0
