Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,33.35,34.74,32.89,34.37,33212500,0.0,0.0
01/05/2020,33.93,34.26,33.6,33.78,19951600,0.0,0.0
04/05/2020,33.93,33.98,32.81,33.09,24906000,0.0,0.0
05/05/2020,33.24,33.33,32.87,32.93,18784100,0.0,0.0
06/05/2020,33.09,33.12,32.06,32.1,20151900,0.0,0.0
07/05/2020,32.5,32.77,32.31,32.5,17462400,0.0,0.0
08/05/2020,33.11,33.48,32.88,33.37,12979000,0.0,0.0
11/05/2020,33.12,33.16,32.46,33.03,21758100,0.0,0.0
12/05/2020,32.95,33.09,32.28,32.29,17133000,0.0,0.0
13/05/2020,32.13,32.24,31.44,31.94,30898300,0.0,0.0
14/05/2020,31.77,32.74,31.21,32.66,24334900,0.0,0.0
15/05/2020,32.25,32.87,31.83,32.81,31571600,0.0,0.0
18/05/2020,33.74,35.03,33.64,34.79,24827400,0.0,0.0
19/05/2020,34.56,35.31,34.1,34.9,27763200,0.0,0.0
20/05/2020,35.27,35.84,35.17,35.78,23123500,0.0,0.0
21/05/2020,35.48,35.8,35.22,35.58,20744200,0.0,0.0
22/05/2020,35.32,35.62,35.14,35.39,12383000,0.0,0.0
26/05/2020,36.04,36.66,35.99,36.1,21584900,0.0,0.0
27/05/2020,36.2,36.97,36.19,36.47,20654900,0.0,0.0
28/05/2020,36.51,36.66,36.03,36.13,18254000,0.0,0.0
29/05/2020,36.14,36.37,35.44,36.17,20298700,0.0,0.0
01/06/2020,36.12,36.78,35.99,36.7,13350600,0.0,0.0
02/06/2020,36.66,37.3,36.65,37.25,19060100,0.0,0.0
03/06/2020,37.59,37.98,37.44,37.73,17141900,0.0,0.0
04/06/2020,37.42,37.8,37.31,37.72,12756500,0.0,0.0
05/06/2020,38.48,39.37,38.36,38.45,20271600,0.0,0.0
08/06/2020,38.3,39.44,38.27,39.39,17212000,0.0,0.0
09/06/2020,38.98,39.18,38.26,38.5,14413900,0.0,0.0
10/06/2020,38.46,38.47,37.57,37.78,15634600,0.0,0.0
11/06/2020,37.37,37.7,35.8,35.85,22805900,0.0,0.0
12/06/2020,36.16,36.51,35.19,36.04,18507300,0.0,0.0
15/06/2020,35.89,36.62,35.2,36.38,16585500,0.0,0.0
16/06/2020,37.03,37.5,35.75,36.31,21212400,0.0,0.0
17/06/2020,36.34,36.44,35.73,35.83,18935700,0.0,0.0
18/06/2020,35.8,36.17,35.58,36.03,17008200,0.0,0.0
19/06/2020,36.4,36.96,35.51,35.72,35341300,0.0,0.0
22/06/2020,35.44,35.67,35.0,35.11,20800700,0.0,0.0
23/06/2020,35.56,36.22,35.34,35.81,24917900,0.0,0.0
24/06/2020,36.06,36.06,34.83,35.22,20958900,0.0,0.0
25/06/2020,35.04,35.39,34.5,35.23,18159200,0.0,0.0
26/06/2020,34.99,35.39,34.74,35.3,50945600,0.0,0.0
29/06/2020,35.51,35.65,35.07,35.57,20573800,0.0,0.0
30/06/2020,35.38,35.96,35.03,35.82,22169400,0.23,0.0
01/07/2020,36.4,36.95,36.2,36.48,18269800,0.0,0.0
02/07/2020,36.79,37.01,35.99,36.07,23372800,0.0,0.0
06/07/2020,36.57,37.09,36.43,37.06,17551400,0.0,0.0
07/07/2020,36.79,37.08,36.76,36.82,19404700,0.0,0.0
08/07/2020,36.87,36.98,36.31,36.52,12536000,0.0,0.0
09/07/2020,36.48,36.5,35.86,36.1,15335200,0.0,0.0
10/07/2020,36.05,37.25,35.96,37.22,19032700,0.0,0.0
13/07/2020,37.19,37.77,36.92,37.25,17464700,0.0,0.0
14/07/2020,36.71,37.94,36.6,37.84,21030600,0.0,0.0
15/07/2020,37.77,38.67,37.72,38.56,21068800,0.0,0.0
16/07/2020,38.33,38.76,38.28,38.72,14817900,0.0,0.0
17/07/2020,39.03,39.03,38.5,38.76,15912900,0.0,0.0
20/07/2020,38.58,38.69,38.37,38.55,12964100,0.0,0.0
21/07/2020,38.72,39.3,38.65,39.12,23363500,0.0,0.0
22/07/2020,39.07,39.29,38.97,39.12,16360500,0.0,0.0
23/07/2020,39.29,39.47,38.91,39.04,22357200,0.0,0.0
24/07/2020,39.91,40.34,39.25,39.83,21926100,0.0,0.0
27/07/2020,39.7,40.1,39.65,40.03,18268600,0.0,0.0
28/07/2020,39.38,40.04,39.33,39.7,17574600,0.0,0.0
29/07/2020,39.81,40.53,39.75,40.34,25499900,0.0,0.0
30/07/2020,40.87,41.53,39.62,40.13,17658600,0.0,0.0
31/07/2020,40.01,40.1,38.56,39.33,23913000,0.0,0.0
03/08/2020,39.23,39.64,38.97,39.4,13733000,0.0,0.0
04/08/2020,39.16,39.73,39.09,39.7,12102500,0.0,0.0
05/08/2020,39.78,39.94,38.82,38.86,16207600,0.0,0.0
06/08/2020,38.63,39.41,38.61,39.39,13772200,0.0,0.0
07/08/2020,39.13,39.44,39.02,39.34,10353000,0.0,0.0
10/08/2020,39.11,39.71,39.11,39.53,16375000,0.0,0.0
