Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,283.83,285.45,280.51,280.91,3794300,0.7,0.0
01/05/2020,279.78,282.6,278.3,279.91,2525400,0.0,0.0
04/05/2020,280.91,283.26,278.19,282.29,2477500,0.0,0.0
05/05/2020,282.82,287.22,281.32,285.47,2460900,0.0,0.0
06/05/2020,287.33,288.37,284.19,286.37,2406700,0.0,0.0
07/05/2020,286.79,287.28,282.33,282.77,2601800,0.0,0.0
08/05/2020,283.6,284.79,281.56,283.64,2337400,0.0,0.0
11/05/2020,283.36,289.1,282.77,287.71,1865900,0.0,0.0
12/05/2020,288.18,288.84,282.57,282.62,2264900,0.0,0.0
13/05/2020,282.62,284.06,278.24,280.11,2954900,0.0,0.0
14/05/2020,279.07,280.8,273.07,277.89,3718900,0.0,0.0
15/05/2020,277.27,277.97,274.29,277.4,4577200,0.0,0.0
18/05/2020,279.72,281.09,278.06,280.69,3987300,0.0,0.0
19/05/2020,282.41,286.49,281.05,282.42,3523000,0.0,0.0
20/05/2020,284.41,285.47,281.1,282.68,2827000,0.0,0.0
21/05/2020,282.57,282.8,279.29,279.96,2492100,0.0,0.0
22/05/2020,279.99,281.78,278.9,280.38,2366400,0.0,0.0
26/05/2020,283.7,284.53,281.4,282.58,3234600,0.0,0.0
27/05/2020,282.36,283.98,277.64,283.7,2980200,0.0,0.0
28/05/2020,284.85,288.33,284.53,286.99,4301900,0.0,0.0
29/05/2020,282.02,286.36,280.31,285.98,4971800,0.0,0.0
01/06/2020,285.45,287.16,284.12,285.82,2293700,0.0,0.0
02/06/2020,285.5,286.49,282.51,284.7,2528900,0.0,0.0
03/06/2020,285.08,285.73,283.62,284.29,2165900,0.0,0.0
04/06/2020,288.19,292.36,286.56,288.1,4553900,0.0,0.0
05/06/2020,290.3,290.77,284.89,289.29,4375600,0.0,0.0
08/06/2020,288.01,288.6,284.12,284.8,3764500,0.0,0.0
09/06/2020,285.08,286.1,282.92,283.28,3155800,0.0,0.0
10/06/2020,284.14,286.13,283.37,284.93,2713700,0.0,0.0
11/06/2020,284.61,286.66,278.72,278.9,3443000,0.0,0.0
12/06/2020,280.61,282.9,274.65,276.92,4020000,0.0,0.0
15/06/2020,275.4,276.34,272.42,275.52,3266800,0.0,0.0
16/06/2020,279.38,280.67,277.41,279.39,2633800,0.0,0.0
17/06/2020,279.08,279.98,277.11,277.77,2188400,0.0,0.0
18/06/2020,278.13,278.88,276.08,277.73,1881800,0.0,0.0
19/06/2020,278.3,279.89,276.87,278.04,3438000,0.0,0.0
22/06/2020,277.85,279.5,276.51,278.55,2094400,0.0,0.0
23/06/2020,279.73,282.67,278.81,279.33,2409600,0.0,0.0
24/06/2020,278.84,279.32,274.98,276.29,2398100,0.0,0.0
25/06/2020,275.4,279.2,273.87,278.62,2274300,0.0,0.0
26/06/2020,278.51,280.1,274.38,274.94,2866000,0.0,0.0
29/06/2020,275.76,279.64,275.19,279.6,1841700,0.0,0.0
30/06/2020,279.07,282.41,278.26,281.11,2391700,0.0,0.0
01/07/2020,280.45,283.3,278.83,282.53,1906100,0.0,0.0
02/07/2020,283.69,286.4,282.39,283.45,2540500,0.0,0.0
06/07/2020,285.11,288.85,284.84,288.78,2332400,0.0,0.0
07/07/2020,287.42,294.86,287.14,293.18,3346600,0.0,0.0
08/07/2020,294.02,294.86,291.12,293.26,2364500,0.0,0.0
09/07/2020,296.67,305.0,296.38,301.81,5313600,0.0,0.0
10/07/2020,302.23,303.53,299.56,302.45,2484100,0.0,0.0
13/07/2020,302.51,305.12,298.06,299.38,2583200,0.0,0.0
14/07/2020,297.9,304.7,297.09,304.09,1844800,0.0,0.0
15/07/2020,304.18,305.31,301.88,302.88,1770700,0.0,0.0
16/07/2020,302.81,304.0,300.44,302.48,1402000,0.0,0.0
17/07/2020,303.44,303.9,300.92,301.11,1768100,0.0,0.0
20/07/2020,301.21,303.57,299.14,302.71,1863300,0.0,0.0
21/07/2020,303.16,307.32,302.7,303.85,1874200,0.0,0.0
22/07/2020,305.62,305.63,301.32,304.37,1312600,0.0,0.0
23/07/2020,304.18,306.3,301.61,302.34,1561700,0.0,0.0
24/07/2020,302.44,304.78,301.0,302.03,1423400,0.0,0.0
27/07/2020,301.94,305.02,301.47,303.72,2083300,0.0,0.0
28/07/2020,304.06,305.94,302.07,303.69,1374000,0.0,0.0
29/07/2020,303.18,304.13,301.67,302.36,1341300,0.0,0.0
30/07/2020,299.81,303.3,299.17,301.79,1390300,0.7,0.0
31/07/2020,301.79,303.17,299.68,302.45,2149900,0.0,0.0
03/08/2020,302.47,306.5,301.31,305.97,2480200,0.0,0.0
04/08/2020,306.19,315.72,305.6,315.7,3933300,0.0,0.0
05/08/2020,317.62,318.43,313.65,315.86,2923700,0.0,0.0
06/08/2020,318.13,320.65,317.39,318.97,2104300,0.0,0.0
07/08/2020,318.81,320.29,315.55,316.74,1759000,0.0,0.0
10/08/2020,316.55,316.89,314.57,315.89,1503800,0.0,0.0
11/08/2020,316.68,316.68,308.27,308.86,2065600,0.0,0.0
12/08/2020,310.09,314.87,309.55,312.88,1853900,0.0,0.0
13/08/2020,313.1,315.39,311.37,311.9,1536500,0.0,0.0
14/08/2020,312.67,314.74,311.8,312.44,1522900,0.0,0.0
17/08/2020,313.71,316.24,313.44,315.85,1504700,0.0,0.0
18/08/2020,316.82,318.49,312.93,316.59,1489400,0.0,0.0
19/08/2020,316.93,317.69,315.85,316.73,1730100,0.0,0.0
20/08/2020,316.02,317.43,314.72,316.7,1717500,0.0,0.0
21/08/2020,315.96,321.32,315.27,320.18,2372600,0.0,0.0
24/08/2020,320.64,321.57,317.85,319.73,1461500,0.0,0.0
25/08/2020,319.74,320.45,317.25,320.27,1176200,0.0,0.0
26/08/2020,318.69,320.38,317.46,319.86,1757000,0.0,0.0
27/08/2020,321.1,323.08,318.26,321.8,2220700,0.0,0.0
28/08/2020,322.83,324.31,321.0,323.67,1487300,0.0,0.0
31/08/2020,322.26,324.02,319.88,323.01,1586900,0.0,0.0
01/09/2020,321.2,326.57,320.92,326.47,1773700,0.0,0.0
02/09/2020,328.54,334.4,326.4,333.41,2434900,0.0,0.0
03/09/2020,337.33,337.88,321.02,323.6,3630400,0.0,0.0
04/09/2020,328.88,328.88,316.26,322.0,2557000,0.0,0.0
08/09/2020,319.46,320.46,314.2,314.83,2144300,0.0,0.0
09/09/2020,316.73,324.9,316.25,321.87,2100900,0.0,0.0
10/09/2020,321.72,323.32,314.74,315.46,1959600,0.0,0.0
11/09/2020,316.15,318.92,312.27,315.08,1599600,0.0,0.0
14/09/2020,316.81,320.39,316.33,318.61,1522300,0.0,0.0
15/09/2020,320.56,323.1,318.45,319.52,1362500,0.0,0.0
16/09/2020,322.65,324.03,318.91,319.36,1656500,0.0,0.0
17/09/2020,315.5,318.58,312.52,314.85,2681500,0.0,0.0
18/09/2020,316.08,317.03,307.72,312.14,3409300,0.0,0.0
21/09/2020,310.29,315.54,310.05,315.49,2427400,0.0,0.0
22/09/2020,316.54,320.44,315.51,320.03,2128100,0.0,0.0
23/09/2020,323.32,323.56,319.66,320.19,3577100,0.0,0.0
24/09/2020,320.54,322.7,314.32,322.4,5779300,0.0,0.0
25/09/2020,316.58,319.39,311.58,318.29,7338500,0.0,0.0
28/09/2020,319.39,324.97,318.77,324.83,3459200,0.0,0.0
29/09/2020,324.21,329.17,322.49,327.17,2526000,0.0,0.0
30/09/2020,327.56,332.34,326.27,329.83,2525800,0.0,0.0
01/10/2020,331.0,334.19,329.66,333.04,2053000,0.0,0.0
02/10/2020,329.58,332.47,327.83,329.84,2125000,0.0,0.0
05/10/2020,330.14,333.53,330.14,333.15,2093500,0.0,0.0
06/10/2020,336.24,337.26,331.72,332.94,2760400,0.0,0.0
07/10/2020,334.91,338.88,334.16,337.28,1959100,0.0,0.0
08/10/2020,338.93,340.02,336.1,339.2,1793100,0.0,0.0
09/10/2020,340.05,343.53,339.77,343.26,1730700,0.0,0.0
12/10/2020,344.69,353.67,344.48,349.79,2806900,0.0,0.0
13/10/2020,351.59,355.18,349.79,353.69,1823300,0.0,0.0
14/10/2020,355.74,356.65,349.99,351.51,1904400,0.0,0.0
15/10/2020,349.77,351.53,346.61,349.88,1697800,0.0,0.0
16/10/2020,353.52,357.58,352.24,354.49,2459400,0.0,0.0
19/10/2020,354.94,355.93,348.14,348.93,1938100,0.0,0.0
20/10/2020,350.91,354.99,349.45,351.49,1282300,0.0,0.0
21/10/2020,351.72,354.25,350.29,351.03,1466500,0.0,0.0
22/10/2020,350.59,351.55,345.65,349.11,1813200,0.0,0.0
23/10/2020,348.98,349.82,347.07,348.04,1108000,0.0,0.0
26/10/2020,340.68,346.21,340.16,344.42,2145000,0.0,0.0
27/10/2020,342.62,348.33,342.62,346.29,1525400,0.0,0.0
28/10/2020,341.28,346.0,338.81,339.08,1908300,0.0,0.0
29/10/2020,338.12,343.58,337.45,339.64,1838500,0.7,0.0
30/10/2020,336.17,338.7,331.2,332.9,2724100,0.0,0.0
02/11/2020,337.18,340.39,335.78,339.2,1646300,0.0,0.0
03/11/2020,343.44,348.89,342.46,346.25,2013100,0.0,0.0
04/11/2020,348.17,355.26,348.15,350.17,2449800,0.0,0.0
05/11/2020,356.04,359.86,353.27,358.6,2255800,0.0,0.0
06/11/2020,355.48,360.06,354.56,359.0,1950200,0.0,0.0
09/11/2020,361.41,362.58,339.55,339.77,4371300,0.0,0.0
10/11/2020,338.73,345.86,335.67,341.28,2662600,0.0,0.0
11/11/2020,344.13,348.8,342.71,347.14,1688800,0.0,0.0
12/11/2020,350.9,352.1,347.68,349.74,1535900,0.0,0.0
13/11/2020,350.49,353.58,349.07,352.65,1274600,0.0,0.0
16/11/2020,350.86,354.93,350.86,353.54,1691500,0.0,0.0
17/11/2020,360.55,361.63,355.4,355.52,3299100,0.0,0.0
18/11/2020,356.42,361.23,355.34,355.81,2134600,0.0,0.0
19/11/2020,357.09,358.12,354.02,357.03,1768900,0.0,0.0
20/11/2020,357.41,358.85,354.67,354.78,1807600,0.0,0.0
23/11/2020,356.53,356.58,354.05,355.33,1679600,0.0,0.0
24/11/2020,357.17,359.37,354.4,357.66,2061100,0.0,0.0
25/11/2020,359.12,361.5,358.91,360.95,2034200,0.0,0.0
27/11/2020,363.47,363.67,360.95,361.54,1329400,0.0,0.0
30/11/2020,364.67,365.98,358.6,364.69,3733800,0.0,0.0
01/12/2020,367.3,370.71,364.13,370.22,2996800,10.0,0.0
02/12/2020,368.23,369.57,364.5,366.34,2212800,0.0,0.0
03/12/2020,361.09,361.79,356.58,357.32,3976400,0.0,0.0
04/12/2020,358.42,358.52,355.25,356.72,2839700,0.0,0.0
07/12/2020,357.53,359.66,355.98,356.63,2652900,0.0,0.0
08/12/2020,357.22,362.54,354.16,360.71,2685500,0.0,0.0
09/12/2020,362.89,363.96,356.12,357.55,2461600,0.0,0.0
10/12/2020,357.55,358.22,354.94,356.11,2566300,0.0,0.0
11/12/2020,362.78,362.78,355.87,358.32,3483900,0.0,0.0
14/12/2020,359.71,361.26,356.51,357.63,2778400,0.0,0.0
15/12/2020,357.75,358.88,352.78,355.24,2133900,0.0,0.0
16/12/2020,354.56,356.16,352.35,352.91,2385100,0.0,0.0
17/12/2020,353.7,354.37,351.54,353.72,2314200,0.0,0.0
18/12/2020,354.5,354.75,349.56,350.58,4140000,0.0,0.0
21/12/2020,348.76,349.74,345.62,348.64,2329700,0.0,0.0
22/12/2020,347.81,348.44,344.48,345.83,2105500,0.0,0.0
23/12/2020,346.24,346.86,343.42,345.7,1782100,0.0,0.0
24/12/2020,345.24,349.0,345.24,348.27,972500,0.0,0.0
28/12/2020,349.15,355.06,348.75,354.46,3207700,0.0,0.0
29/12/2020,355.6,356.56,353.7,356.05,2072600,0.0,0.0
30/12/2020,357.46,359.05,356.58,357.7,1778000,0.0,0.0
31/12/2020,358.21,360.17,355.8,359.92,1628900,0.0,0.0
04/01/2021,360.54,364.48,358.04,363.14,3322200,0.0,0.0
05/01/2021,361.91,363.2,358.46,358.93,2748400,0.0,0.0
06/01/2021,357.1,358.99,353.11,353.47,2661400,0.0,0.0
07/01/2021,354.41,355.02,350.38,351.46,2849500,0.0,0.0
08/01/2021,351.65,353.7,347.99,353.39,2599700,0.0,0.0
11/01/2021,352.09,354.4,347.58,347.73,2562500,0.0,0.0
12/01/2021,347.72,348.74,344.13,347.91,2387600,0.0,0.0
13/01/2021,348.07,352.24,346.76,350.53,1968800,0.0,0.0
14/01/2021,349.63,350.1,345.38,346.14,2363900,0.0,0.0
15/01/2021,344.91,348.59,344.66,345.96,2340400,0.0,0.0
19/01/2021,346.15,346.71,336.67,338.61,4533800,0.0,0.0
20/01/2021,338.54,345.71,337.6,345.14,2767200,0.0,0.0
21/01/2021,345.14,347.71,343.84,346.57,2121600,0.0,0.0
22/01/2021,346.95,348.32,343.75,346.09,1960300,0.0,0.0
25/01/2021,344.72,345.77,340.86,345.69,2735900,0.0,0.0
26/01/2021,344.09,349.53,342.82,348.65,1807000,0.0,0.0
27/01/2021,346.75,349.44,338.98,340.45,3120800,0.0,0.0
28/01/2021,340.89,345.43,340.14,341.09,2251100,0.0,0.0
29/01/2021,338.88,340.35,336.14,336.66,2598700,0.0,0.0
01/02/2021,335.5,337.01,333.59,334.84,2371200,0.0,0.0
02/02/2021,336.02,341.7,335.03,339.67,1905000,0.0,0.0
03/02/2021,340.29,341.54,337.41,339.32,1759800,0.0,0.0
04/02/2021,341.42,343.02,338.69,340.6,3411600,0.7,0.0
05/02/2021,341.27,341.56,338.93,339.95,2165600,0.0,0.0
08/02/2021,341.29,344.61,340.33,344.41,2520700,0.0,0.0
09/02/2021,344.61,346.17,342.95,344.15,2154000,0.0,0.0
10/02/2021,345.53,345.53,339.9,340.86,2162400,0.0,0.0
11/02/2021,340.49,341.22,336.33,337.11,2088400,0.0,0.0
12/02/2021,336.91,337.85,335.1,337.63,2096600,0.0,0.0
16/02/2021,337.95,340.13,336.95,338.83,1829000,0.0,0.0
17/02/2021,337.98,342.82,336.83,342.7,2143000,0.0,0.0
18/02/2021,337.18,342.85,337.18,341.63,1914900,0.0,0.0
19/02/2021,341.41,342.59,339.39,339.57,1839400,0.0,0.0
22/02/2021,337.63,338.15,333.87,335.2,2215600,0.0,0.0
23/02/2021,334.81,335.96,327.37,327.49,3692600,0.0,0.0
24/02/2021,327.14,327.82,323.41,326.1,3305800,0.0,0.0
25/02/2021,326.24,328.3,319.07,319.59,3618100,0.0,0.0
26/02/2021,321.13,321.5,316.76,316.82,3362200,0.0,0.0
01/03/2021,320.85,321.6,317.16,317.55,4653200,0.0,0.0
02/03/2021,319.39,320.35,314.35,314.39,4660100,0.0,0.0
03/03/2021,314.11,314.35,309.89,310.04,4064200,0.0,0.0
04/03/2021,309.51,311.65,301.54,305.37,5501200,0.0,0.0
05/03/2021,301.82,304.78,293.84,303.72,8102800,0.0,0.0
