Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,161.63,165.3,160.01,161.95,6830700,0.0,0.0
01/05/2020,158.49,160.17,155.26,156.37,4276900,0.0,0.0
04/05/2020,155.58,162.02,155.08,161.47,5974200,0.0,0.0
05/05/2020,162.53,164.14,160.25,163.25,5264800,0.0,0.0
06/05/2020,164.44,165.71,162.92,163.67,4112600,0.0,0.0
07/05/2020,166.5,171.27,166.02,169.9,6460900,0.0,0.0
08/05/2020,172.95,176.08,171.15,175.9,5403400,0.0,0.0
11/05/2020,175.56,183.3,174.16,182.67,8696000,0.0,0.0
12/05/2020,183.0,183.02,177.01,177.54,5904600,0.0,0.0
13/05/2020,175.17,175.21,166.27,169.64,12534900,0.0,0.0
14/05/2020,168.44,168.57,164.57,167.0,7442300,0.0,0.0
15/05/2020,167.27,171.72,166.18,171.33,5673800,0.0,0.0
18/05/2020,174.0,177.0,172.13,172.5,6398300,0.0,0.0
19/05/2020,172.75,178.2,172.75,176.04,5264000,0.0,0.0
20/05/2020,178.57,179.14,174.9,176.93,4951200,0.0,0.0
21/05/2020,176.93,178.29,174.93,175.26,4429700,0.0,0.0
22/05/2020,176.6,178.64,175.45,177.85,4965100,0.0,0.0
26/05/2020,182.0,182.0,176.22,176.52,8353600,0.0,0.0
27/05/2020,176.29,176.61,171.37,176.6,6340200,0.0,0.0
28/05/2020,180.0,184.8,177.1,181.1,10275200,0.0,0.0
29/05/2020,174.3,175.0,170.69,174.79,19588900,0.0,0.0
01/06/2020,173.1,177.52,172.68,176.36,5711600,0.0,0.0
02/06/2020,174.85,174.9,171.22,174.23,8571800,0.0,0.0
03/06/2020,174.83,175.93,172.84,174.99,6004000,0.0,0.0
04/06/2020,175.0,175.43,170.0,171.44,7301600,0.0,0.0
05/06/2020,170.11,174.19,167.0,173.88,8232200,0.0,0.0
08/06/2020,173.63,176.57,172.66,176.55,4592600,0.0,0.0
09/06/2020,176.0,176.0,173.53,174.56,4025600,0.0,0.0
10/06/2020,176.25,182.5,176.05,182.1,8127200,0.0,0.0
11/06/2020,176.64,178.43,172.0,172.05,6521200,0.0,0.0
12/06/2020,175.9,177.69,171.86,175.11,5443800,0.0,0.0
15/06/2020,172.0,178.9,171.27,178.61,6000000,0.0,0.0
16/06/2020,180.01,182.5,178.01,180.48,5824100,0.0,0.0
17/06/2020,180.97,182.75,180.68,181.4,5038600,0.0,0.0
18/06/2020,181.91,189.0,181.62,187.66,8677800,0.0,0.0
19/06/2020,189.5,191.25,185.49,186.95,11841000,0.0,0.0
22/06/2020,187.03,192.5,187.0,191.65,6252200,0.0,0.0
23/06/2020,192.0,194.09,188.59,189.06,6950800,0.0,0.0
24/06/2020,187.51,189.3,184.04,185.55,4903100,0.0,0.0
25/06/2020,186.14,188.77,184.44,188.34,4022400,0.0,0.0
26/06/2020,188.0,188.22,183.02,183.17,7595700,0.0,0.0
29/06/2020,183.32,183.71,180.0,183.33,3972100,0.0,0.0
30/06/2020,183.45,187.89,183.13,187.33,4478900,0.0,0.0
01/07/2020,188.1,192.82,187.46,191.89,4754600,0.0,0.0
02/07/2020,193.16,195.39,192.29,192.53,4200300,0.0,0.0
06/07/2020,194.44,199.45,193.84,197.72,5794200,0.0,0.0
07/07/2020,197.66,200.22,196.21,196.38,5431500,0.0,0.0
08/07/2020,198.0,201.2,197.35,200.28,4233700,0.0,0.0
09/07/2020,202.02,202.82,195.64,200.74,6062800,0.0,0.0
10/07/2020,200.06,200.73,197.08,198.88,3783200,0.0,0.0
13/07/2020,200.0,200.26,188.03,188.34,5555400,0.0,0.0
14/07/2020,185.99,189.96,183.3,189.56,5854700,0.0,0.0
15/07/2020,191.03,192.1,186.75,188.09,7681800,0.0,0.0
16/07/2020,186.42,186.86,181.93,185.51,7350000,0.0,0.0
17/07/2020,187.14,188.4,183.36,187.78,4324300,0.0,0.0
20/07/2020,187.9,195.31,187.27,195.09,5729000,0.0,0.0
21/07/2020,196.0,196.5,189.48,190.8,5376800,0.0,0.0
22/07/2020,190.78,191.87,188.87,191.31,2833000,0.0,0.0
23/07/2020,191.48,194.57,187.51,188.54,3639500,0.0,0.0
24/07/2020,186.06,188.94,184.38,188.49,3908400,0.0,0.0
27/07/2020,189.9,191.56,188.65,190.96,3015700,0.0,0.0
28/07/2020,191.0,192.97,189.05,189.5,3114200,0.0,0.0
29/07/2020,190.15,194.56,189.75,193.61,3747800,0.0,0.0
30/07/2020,190.09,191.92,187.37,191.7,3587400,0.0,0.0
31/07/2020,193.0,194.99,190.67,194.85,3734000,0.0,0.0
03/08/2020,197.8,204.79,196.57,203.19,6557500,0.0,0.0
04/08/2020,203.0,203.39,198.9,201.41,4480300,0.0,0.0
05/08/2020,202.8,203.9,201.58,202.64,3559100,0.0,0.0
06/08/2020,202.97,209.95,202.4,207.79,5113300,0.0,0.0
07/08/2020,206.62,206.94,198.58,201.05,5423400,0.0,0.0
10/08/2020,200.4,201.48,195.72,197.16,5528200,0.0,0.0
11/08/2020,193.62,195.84,191.72,191.99,5015400,0.0,0.0
12/08/2020,193.0,195.42,192.12,192.62,3980300,0.0,0.0
13/08/2020,193.32,198.07,193.23,195.14,4711600,0.0,0.0
14/08/2020,195.22,195.48,192.52,193.46,2833000,0.0,0.0
17/08/2020,195.34,197.07,194.42,196.74,3574500,0.0,0.0
18/08/2020,199.33,204.8,199.0,204.01,7284800,0.0,0.0
19/08/2020,204.0,207.1,200.03,205.11,7080700,0.0,0.0
20/08/2020,203.85,210.11,203.51,209.51,5175100,0.0,0.0
21/08/2020,209.94,210.0,206.25,207.53,5727800,0.0,0.0
24/08/2020,208.88,209.29,205.15,208.46,5699000,0.0,0.0
25/08/2020,213.22,218.35,210.8,216.05,27096500,0.0,0.0
26/08/2020,251.96,277.97,249.47,272.32,63253400,0.0,0.0
27/08/2020,267.0,278.28,260.84,276.32,22817100,0.0,0.0
28/08/2020,271.28,275.75,267.4,271.1,28068000,0.0,0.0
31/08/2020,270.0,274.71,265.91,272.65,16010100,0.0,0.0
01/09/2020,271.0,281.93,270.58,281.25,13293600,0.0,0.0
02/09/2020,283.47,284.5,268.57,276.69,12963800,0.0,0.0
03/09/2020,270.58,271.75,257.41,265.01,14000600,0.0,0.0
04/09/2020,262.98,265.67,243.2,254.7,14374300,0.0,0.0
08/09/2020,240.57,253.68,240.14,241.27,15229600,0.0,0.0
09/09/2020,246.4,253.45,242.96,250.43,9988600,0.0,0.0
10/09/2020,254.81,256.51,246.97,247.8,5945000,0.0,0.0
11/09/2020,250.72,251.3,239.45,243.1,5455200,0.0,0.0
14/09/2020,246.31,248.87,244.04,246.64,4255200,0.0,0.0
15/09/2020,251.37,251.94,248.51,251.68,4133600,0.0,0.0
16/09/2020,254.67,255.43,250.23,250.6,5441200,0.0,0.0
17/09/2020,246.12,248.82,241.31,244.53,5279500,0.0,0.0
