Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,6.21,6.28,5.92,5.94,4417600,0.0,0.0
01/05/2020,5.9,5.92,5.49,5.64,5980700,0.0,0.0
04/05/2020,5.62,5.86,5.51,5.84,4094900,0.0,0.0
05/05/2020,5.87,5.98,5.71,5.74,4061200,0.0,0.0
06/05/2020,5.78,5.83,5.49,5.57,5575100,0.0,0.0
07/05/2020,5.6,5.7,5.49,5.59,4284300,0.0,0.0
08/05/2020,5.66,5.7,5.33,5.42,8450600,0.0,0.0
11/05/2020,5.41,5.42,5.17,5.27,4602300,0.0,0.0
12/05/2020,5.26,5.46,5.18,5.18,4827700,0.0,0.0
13/05/2020,5.19,5.21,4.83,4.84,7068100,0.0,0.0
14/05/2020,4.76,4.99,4.62,4.94,5565500,0.0,0.0
15/05/2020,5.09,5.55,4.94,5.53,10430300,0.0,0.0
18/05/2020,5.7,6.19,5.57,5.58,14906900,0.0,0.0
19/05/2020,5.64,5.76,5.36,5.6,7085300,0.0,0.0
20/05/2020,5.65,5.76,5.48,5.54,4729100,0.0,0.0
21/05/2020,5.61,6.29,5.6,6.2,14199500,0.0,0.0
22/05/2020,6.27,6.86,5.94,6.7,17846000,0.0,0.0
26/05/2020,6.89,6.97,6.39,6.66,11624600,0.0,0.0
27/05/2020,6.71,6.92,6.3,6.72,7735700,0.0,0.0
28/05/2020,6.77,7.17,6.65,6.74,9173600,0.0,0.0
29/05/2020,6.31,6.58,6.2,6.53,7224000,0.0,0.0
01/06/2020,6.43,6.68,6.38,6.62,4955200,0.0,0.0
02/06/2020,6.63,6.68,6.4,6.43,3931100,0.0,0.0
03/06/2020,6.5,6.57,6.39,6.46,3437600,0.0,0.0
04/06/2020,6.44,6.91,6.32,6.69,7561400,0.0,0.0
05/06/2020,6.85,6.87,6.54,6.6,5027500,0.0,0.0
08/06/2020,6.69,8.05,6.65,8.02,16272900,0.0,0.0
09/06/2020,7.81,8.13,7.42,7.51,11436700,0.0,0.0
10/06/2020,7.54,7.95,7.45,7.59,7152300,0.0,0.0
11/06/2020,7.23,7.28,6.42,6.42,11890100,0.0,0.0
12/06/2020,6.7,6.73,6.35,6.47,5458000,0.0,0.0
15/06/2020,6.32,6.6,6.24,6.51,4141000,0.0,0.0
16/06/2020,6.77,6.92,6.58,6.72,5118200,0.0,0.0
17/06/2020,6.73,6.75,6.41,6.58,3604500,0.0,0.0
18/06/2020,6.56,6.77,6.48,6.56,4322600,0.0,0.0
19/06/2020,6.6,6.62,6.2,6.42,6494600,0.0,0.0
22/06/2020,6.42,6.52,6.34,6.45,2879000,0.0,0.0
23/06/2020,6.47,6.89,6.37,6.53,7214800,0.0,0.0
24/06/2020,6.56,6.75,6.26,6.38,4805600,0.0,0.0
25/06/2020,6.34,6.42,6.11,6.31,3786400,0.0,0.0
26/06/2020,6.25,6.33,6.0,6.0,3429200,0.0,0.0
29/06/2020,5.99,6.16,5.82,6.1,2831600,0.0,0.0
30/06/2020,6.03,6.15,5.86,6.01,3257500,0.0,0.0
01/07/2020,6.02,6.21,6.02,6.11,2131100,0.0,0.0
02/07/2020,6.13,6.24,6.08,6.17,2169400,0.0,0.0
06/07/2020,6.19,6.59,6.15,6.45,4066700,0.0,0.0
07/07/2020,6.36,6.48,6.24,6.27,2585900,0.0,0.0
08/07/2020,6.28,6.33,6.11,6.19,2085300,0.0,0.0
09/07/2020,6.17,6.2,5.85,6.02,3088000,0.0,0.0
10/07/2020,6.01,6.4,6.01,6.32,3646700,0.0,0.0
13/07/2020,6.32,6.7,6.22,6.27,5619400,0.0,0.0
14/07/2020,6.25,6.42,6.16,6.4,2504900,0.0,0.0
15/07/2020,6.47,7.04,6.46,7.02,7848800,0.0,0.0
16/07/2020,6.91,7.0,6.61,6.9,5363400,0.0,0.0
17/07/2020,6.91,7.19,6.74,6.75,4984700,0.0,0.0
20/07/2020,6.83,6.86,6.56,6.63,3140400,0.0,0.0
21/07/2020,6.64,6.84,6.62,6.71,3138100,0.0,0.0
22/07/2020,6.72,6.81,6.53,6.65,1994600,0.0,0.0
23/07/2020,6.61,6.64,6.35,6.38,2511900,0.0,0.0
24/07/2020,6.34,6.4,6.2,6.31,2229100,0.0,0.0
27/07/2020,6.3,6.61,6.29,6.58,3628200,0.0,0.0
28/07/2020,6.55,7.2,6.5,7.08,6644300,0.0,0.0
29/07/2020,7.04,7.08,6.69,6.75,4489700,0.0,0.0
30/07/2020,6.7,6.79,6.48,6.65,3685100,0.0,0.0
