Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,56.17,56.47,55.32,55.45,7361400,0.0,0.0
01/05/2020,54.76,54.77,53.39,53.78,7715800,0.0,0.0
04/05/2020,53.29,54.17,53.1,54.01,6372000,0.0,0.0
05/05/2020,54.62,55.5,54.37,55.14,7846500,0.0,0.0
06/05/2020,57.14,57.2,54.29,54.42,16386000,0.0,0.0
07/05/2020,55.28,55.66,54.82,55.36,9783700,0.0,0.0
08/05/2020,56.0,56.96,55.64,56.86,7320900,0.0,0.0
11/05/2020,56.49,57.73,56.47,57.51,6912100,0.0,0.0
12/05/2020,57.83,58.17,56.8,57.07,10781900,0.0,0.0
13/05/2020,57.01,57.2,54.74,55.09,10931400,0.0,0.0
14/05/2020,56.13,56.22,54.36,56.13,8854900,0.0,0.0
15/05/2020,55.65,57.02,55.59,56.93,10420600,0.0,0.0
18/05/2020,58.08,58.43,57.36,57.41,6819400,0.0,0.0
19/05/2020,57.02,57.82,56.64,57.3,5061100,0.0,0.0
20/05/2020,57.74,57.95,56.74,56.95,7046500,0.0,0.0
21/05/2020,56.71,57.59,56.51,57.06,5484100,0.0,0.0
22/05/2020,57.13,57.2,56.65,57.05,3495900,0.0,0.0
26/05/2020,58.08,59.1,57.95,58.23,7974400,0.0,0.0
27/05/2020,58.53,59.46,57.52,59.43,7118400,0.0,0.0
28/05/2020,60.09,61.02,59.83,59.96,6599500,0.0,0.0
29/05/2020,59.81,60.09,58.21,59.07,8977600,0.0,0.0
01/06/2020,58.95,59.42,58.56,59.13,5187000,0.0,0.0
02/06/2020,59.13,60.64,58.93,60.21,5463700,0.0,0.0
03/06/2020,60.48,60.97,59.67,60.22,6102400,0.0,0.0
04/06/2020,59.72,60.11,59.41,59.93,5468900,0.0,0.0
05/06/2020,60.61,62.33,60.47,61.57,8598400,0.0,0.0
08/06/2020,61.44,63.64,61.4,63.62,8556300,0.0,0.0
09/06/2020,62.94,63.32,62.14,62.49,5957100,0.0,0.0
10/06/2020,62.68,62.71,60.7,60.82,6344400,0.0,0.0
11/06/2020,59.56,59.84,56.49,56.9,11927500,0.0,0.0
12/06/2020,58.35,59.26,56.52,57.79,10345500,0.0,0.0
15/06/2020,56.78,57.46,55.69,57.04,9379400,0.0,0.0
16/06/2020,58.53,59.63,57.58,59.08,10975600,0.0,0.0
17/06/2020,59.46,59.58,58.26,58.56,7183300,0.0,0.0
18/06/2020,58.24,58.53,57.56,58.1,5852200,0.0,0.0
19/06/2020,59.38,59.46,57.75,58.1,21245800,0.0,0.0
22/06/2020,58.14,58.31,57.01,57.93,6069600,0.0,0.0
23/06/2020,58.43,58.79,57.95,58.04,5260300,0.0,0.0
24/06/2020,57.48,57.7,56.15,56.92,7164400,0.0,0.0
