Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,15.32,15.35,14.87,15.25,254275,0.0,0.0
01/05/2020,15.01,15.03,14.53,14.87,251158,0.0,0.0
04/05/2020,14.62,15.01,14.49,14.96,192665,0.0,0.0
05/05/2020,15.32,15.45,15.16,15.31,165834,0.0,0.0
06/05/2020,15.26,15.29,14.85,14.96,101672,0.0,0.0
07/05/2020,15.18,15.49,14.87,15.38,154700,0.0,0.0
08/05/2020,15.49,15.97,15.49,15.81,209518,0.0,0.0
11/05/2020,15.49,16.32,15.49,16.12,371894,0.0,0.0
12/05/2020,16.0,16.3,15.74,15.75,230963,0.0,0.0
13/05/2020,15.62,15.83,15.39,15.48,199754,0.0,0.0
14/05/2020,15.16,15.42,14.89,15.42,165972,0.0,0.0
15/05/2020,15.32,15.53,15.24,15.47,552507,0.0,0.0
18/05/2020,16.12,16.15,15.83,15.97,210004,0.0,0.0
19/05/2020,15.8,16.11,15.7,15.72,455940,0.0,0.0
20/05/2020,16.07,16.07,15.8,15.98,353067,0.0,0.0
21/05/2020,15.9,16.07,15.78,16.02,93396,0.0,0.0
22/05/2020,16.19,16.19,15.81,16.12,69441,0.0,0.0
26/05/2020,16.31,16.41,16.06,16.16,120898,0.0,0.0
27/05/2020,16.18,16.49,15.78,16.41,128049,0.0,0.0
28/05/2020,16.53,16.83,16.28,16.5,178719,0.0,0.0
29/05/2020,16.48,16.87,16.41,16.72,268445,0.21,0.0
01/06/2020,16.5,17.09,16.5,16.84,284071,0.0,0.0
02/06/2020,16.96,17.01,16.65,16.98,379605,0.0,0.0
03/06/2020,17.28,17.28,17.06,17.2,226968,0.0,0.0
04/06/2020,16.97,17.34,16.76,17.28,310594,0.0,0.0
05/06/2020,17.46,17.89,17.32,17.32,231774,0.0,0.0
08/06/2020,17.33,17.85,17.33,17.77,275738,0.0,0.0
09/06/2020,17.47,17.63,17.22,17.48,300836,0.0,0.0
10/06/2020,17.41,17.63,17.17,17.42,305067,0.0,0.0
11/06/2020,17.14,17.21,16.69,16.74,192449,0.0,0.0
12/06/2020,17.3,17.3,16.5,16.73,193611,0.0,0.0
15/06/2020,16.47,17.23,16.39,17.07,186003,0.0,0.0
16/06/2020,17.48,18.28,17.02,17.87,249277,0.0,0.0
17/06/2020,17.9,18.02,17.62,17.79,358167,0.0,0.0
18/06/2020,17.59,18.17,17.53,17.86,128043,0.0,0.0
19/06/2020,17.98,18.33,17.72,17.82,300570,0.0,0.0
22/06/2020,17.63,18.81,17.63,18.53,210134,0.0,0.0
