Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,17.08,17.08,16.53,16.85,791000,0.0,0.0
01/05/2020,16.59,16.69,16.2,16.4,679600,0.0,0.0
04/05/2020,16.23,16.58,16.07,16.57,391100,0.0,0.0
05/05/2020,16.9,17.18,16.76,17.08,446600,0.0,0.0
06/05/2020,17.16,17.16,16.59,16.69,691700,0.0,0.0
07/05/2020,16.91,17.29,16.6,17.19,507100,0.0,0.0
08/05/2020,17.47,17.78,17.36,17.68,529400,0.0,0.0
11/05/2020,17.48,18.34,17.38,18.07,960900,0.0,0.0
12/05/2020,18.06,18.22,17.56,17.66,971600,0.0,0.0
13/05/2020,17.53,17.69,17.11,17.35,689600,0.0,0.0
14/05/2020,17.09,17.27,16.7,17.24,682400,0.0,0.0
15/05/2020,17.26,17.32,17.01,17.12,605700,0.0,0.0
18/05/2020,17.66,17.83,17.48,17.6,652100,0.0,0.0
19/05/2020,17.6,17.82,17.37,17.39,1315200,0.0,0.0
20/05/2020,17.65,17.72,17.47,17.64,755400,0.0,0.0
21/05/2020,17.56,17.77,17.39,17.69,585500,0.0,0.0
22/05/2020,17.72,17.8,17.46,17.8,524900,0.0,0.0
26/05/2020,18.19,18.19,17.69,17.83,1028900,0.0,0.0
27/05/2020,18.09,18.19,17.34,18.09,873300,0.0,0.0
28/05/2020,18.22,18.65,17.94,18.28,806800,0.0,0.0
29/05/2020,18.2,18.75,18.2,18.61,977300,0.21,0.0
01/06/2020,18.55,18.99,18.44,18.73,892000,0.0,0.0
02/06/2020,18.89,19.07,18.61,18.9,529900,0.0,0.0
03/06/2020,19.05,19.28,19.02,19.11,595000,0.0,0.0
04/06/2020,18.92,19.43,18.78,19.41,1022900,0.0,0.0
05/06/2020,19.7,20.02,19.4,19.46,483200,0.0,0.0
08/06/2020,19.51,20.0,19.4,19.87,433500,0.0,0.0
09/06/2020,19.63,19.68,19.26,19.57,634500,0.0,0.0
10/06/2020,19.6,19.81,19.22,19.54,818900,0.0,0.0
11/06/2020,19.11,19.34,18.73,18.81,649900,0.0,0.0
12/06/2020,19.27,19.43,18.55,18.82,1022500,0.0,0.0
15/06/2020,18.46,19.39,18.42,19.29,649200,0.0,0.0
16/06/2020,19.74,20.66,19.19,20.25,1395400,0.0,0.0
17/06/2020,20.41,20.41,19.9,20.11,825500,0.0,0.0
18/06/2020,19.92,20.53,19.91,20.22,449700,0.0,0.0
19/06/2020,20.54,20.66,20.02,20.13,847600,0.0,0.0
22/06/2020,20.11,21.31,20.02,21.02,1508400,0.0,0.0
23/06/2020,21.22,21.22,19.93,20.04,829700,0.0,0.0
24/06/2020,19.75,19.88,19.39,19.69,595100,0.0,0.0
25/06/2020,19.63,19.68,19.32,19.67,419900,0.0,0.0
26/06/2020,19.52,19.65,19.18,19.29,1059400,0.0,0.0
29/06/2020,19.34,19.56,19.13,19.53,327100,0.0,0.0
30/06/2020,19.48,19.69,19.41,19.58,347800,0.0,0.0
01/07/2020,19.19,19.59,19.19,19.51,532200,0.0,0.0
