Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,109.08,109.95,106.51,107.8,18638700,0.0,0.0
01/05/2020,106.01,106.56,104.13,105.16,13209100,0.0,0.0
04/05/2020,101.68,103.49,100.22,102.84,19514800,0.0,0.0
05/05/2020,101.18,104.84,100.57,100.73,30169800,0.0,0.0
06/05/2020,101.15,104.93,98.54,100.55,51992400,0.0,0.0
07/05/2020,101.52,105.27,101.5,105.23,20868800,0.0,0.0
08/05/2020,108.7,108.83,106.28,108.81,24079700,0.0,0.0
11/05/2020,108.05,108.46,106.06,107.42,20555900,0.0,0.0
12/05/2020,108.71,109.08,104.15,104.22,17049700,0.0,0.0
13/05/2020,104.16,104.2,101.27,102.59,21085800,0.0,0.0
14/05/2020,101.65,105.58,99.34,105.57,22002200,0.0,0.0
15/05/2020,104.64,109.02,103.93,108.7,29766000,0.0,0.0
18/05/2020,114.1,119.39,114.1,116.47,40044600,0.0,0.0
19/05/2020,114.73,116.09,113.05,114.0,20332600,0.0,0.0
20/05/2020,116.04,120.48,115.66,119.53,25749900,0.0,0.0
21/05/2020,118.95,119.91,116.12,117.45,17578300,0.0,0.0
22/05/2020,117.12,118.18,116.45,117.64,9288200,0.0,0.0
26/05/2020,120.66,122.11,120.04,120.56,16466400,0.0,0.0
27/05/2020,123.28,123.38,119.32,121.14,19345400,0.0,0.0
28/05/2020,121.2,121.58,115.62,116.37,18606000,0.0,0.0
29/05/2020,115.81,117.37,113.75,116.92,17745100,0.0,0.0
01/06/2020,116.88,119.26,116.55,118.38,10538300,0.0,0.0
02/06/2020,118.61,119.46,117.45,118.36,10753100,0.0,0.0
03/06/2020,119.6,122.05,118.93,121.78,12584300,0.0,0.0
04/06/2020,121.55,124.1,121.45,123.29,14195100,0.0,0.0
05/06/2020,125.9,127.4,123.88,124.41,16581600,0.0,0.0
08/06/2020,124.69,127.03,123.54,126.87,13858100,0.0,0.0
09/06/2020,125.22,125.38,123.11,123.49,10882800,0.0,0.0
10/06/2020,123.62,123.7,120.54,121.78,11497100,0.0,0.0
11/06/2020,117.22,117.62,111.89,112.27,26078800,0.0,0.0
12/06/2020,114.8,116.62,112.52,115.11,18361900,0.0,0.0
15/06/2020,111.72,117.74,111.35,116.7,14156400,0.0,0.0
16/06/2020,120.85,121.11,115.67,118.06,12951200,0.0,0.0
17/06/2020,118.25,118.84,116.76,117.27,8921600,0.0,0.0
18/06/2020,116.5,118.14,115.55,117.99,9577300,0.0,0.0
19/06/2020,119.59,119.73,113.98,113.98,23496300,0.0,0.0
22/06/2020,113.82,115.81,112.74,115.54,12868000,0.0,0.0
23/06/2020,116.58,117.07,115.59,116.21,10187600,0.0,0.0
24/06/2020,115.47,115.62,109.67,111.71,22252500,0.0,0.0
25/06/2020,108.64,111.15,108.15,111.0,17240400,0.0,0.0
26/06/2020,110.59,110.84,107.67,108.75,15270900,0.0,0.0
29/06/2020,108.65,111.21,107.75,111.16,12584300,0.0,0.0
30/06/2020,111.14,111.69,109.57,111.15,10565900,0.0,0.0
01/07/2020,112.45,115.22,111.93,112.64,11930900,0.0,0.0
02/07/2020,114.63,114.73,111.64,111.82,10312000,0.0,0.0
06/07/2020,113.46,114.16,112.53,114.06,11933400,0.0,0.0
07/07/2020,113.26,114.71,112.24,113.26,10836500,0.0,0.0
08/07/2020,113.11,116.75,112.44,116.28,13629500,0.0,0.0
09/07/2020,116.13,117.47,115.01,116.43,13582900,0.0,0.0
10/07/2020,116.45,119.05,115.83,118.95,14207900,0.0,0.0
13/07/2020,119.55,119.74,115.51,115.84,15620200,0.0,0.0
14/07/2020,114.86,118.69,114.17,118.27,12425100,0.0,0.0
15/07/2020,121.23,121.69,119.31,120.51,15314200,0.0,0.0
16/07/2020,117.34,119.6,117.22,119.04,10210100,0.0,0.0
17/07/2020,118.51,119.17,116.68,118.26,9843500,0.0,0.0
20/07/2020,117.67,118.11,116.44,117.41,8947900,0.0,0.0
21/07/2020,117.67,120.0,117.28,118.23,8946300,0.0,0.0
22/07/2020,117.81,118.91,117.55,118.64,7063300,0.0,0.0
23/07/2020,118.47,118.96,116.63,117.74,7255800,0.0,0.0
24/07/2020,115.32,117.83,115.15,117.23,8233300,0.0,0.0
27/07/2020,116.82,117.04,115.3,115.93,9413000,0.0,0.0
28/07/2020,115.08,116.46,114.31,115.8,6821100,0.0,0.0
29/07/2020,115.84,116.33,114.74,115.23,9496500,0.0,0.0
30/07/2020,114.54,115.91,113.0,115.28,9713500,0.0,0.0
31/07/2020,114.85,116.67,113.75,116.56,9601000,0.0,0.0
03/08/2020,115.79,116.74,114.98,115.97,10229200,0.0,0.0
04/08/2020,115.58,117.97,115.38,116.91,17293900,0.0,0.0
05/08/2020,122.97,129.89,122.88,127.2,53000200,0.0,0.0
06/08/2020,126.55,131.2,125.2,130.4,27238000,0.0,0.0
07/08/2020,129.8,131.51,128.24,129.51,16088600,0.0,0.0
10/08/2020,129.33,130.89,128.07,128.37,8529200,0.0,0.0
11/08/2020,130.11,132.33,129.58,130.07,13885700,0.0,0.0
12/08/2020,130.25,132.57,130.07,131.36,12204200,0.0,0.0
13/08/2020,130.22,131.92,130.03,130.53,6468600,0.0,0.0
14/08/2020,129.59,130.65,129.32,130.11,6507600,0.0,0.0
17/08/2020,129.68,129.72,128.12,128.95,7492200,0.0,0.0
18/08/2020,129.02,129.17,127.94,128.5,6714600,0.0,0.0
