Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,127.79,131.37,127.38,130.4,3019700,0.0,0.0
01/05/2020,127.77,130.16,126.92,127.29,1316900,0.0,0.0
04/05/2020,127.74,128.33,124.91,127.16,1389700,0.0,0.0
05/05/2020,127.1,130.07,126.05,129.1,999100,0.0,0.0
06/05/2020,130.14,132.35,129.1,130.59,1107200,0.0,0.0
07/05/2020,131.1,131.72,128.4,130.0,1655600,0.0,0.0
08/05/2020,133.46,133.62,124.74,126.54,2077100,0.0,0.0
11/05/2020,125.29,127.55,125.04,125.93,2087800,0.0,0.0
12/05/2020,125.46,125.79,115.63,115.96,3860300,0.0,0.0
13/05/2020,115.76,119.35,114.49,116.38,2474700,0.0,0.0
14/05/2020,115.15,117.27,113.49,115.77,2624100,0.0,0.0
15/05/2020,115.5,115.73,112.7,114.07,3107400,0.0,0.0
18/05/2020,117.23,118.62,113.51,114.65,3194700,0.0,0.0
19/05/2020,114.57,115.67,113.62,114.63,2040800,0.0,0.0
20/05/2020,116.04,116.34,113.23,115.8,1979200,0.0,0.0
21/05/2020,115.01,115.15,113.24,114.05,1886700,0.0,0.0
22/05/2020,114.13,118.51,113.87,118.47,1518100,0.0,0.0
26/05/2020,121.62,122.01,119.05,120.68,1969400,0.0,0.0
27/05/2020,122.12,122.12,117.58,121.53,2158500,0.0,0.0
28/05/2020,122.61,127.54,121.59,127.4,1652500,0.0,0.0
29/05/2020,124.85,126.19,123.12,125.23,2341800,0.0,0.0
01/06/2020,125.57,126.43,124.19,124.25,2024200,0.0,0.0
02/06/2020,125.55,125.55,121.17,122.12,2369100,0.0,0.0
03/06/2020,122.7,123.75,121.2,121.68,1630600,0.0,0.0
04/06/2020,120.91,122.6,116.91,119.47,2804400,0.0,0.0
05/06/2020,121.61,123.82,119.0,123.24,2733700,0.0,0.0
08/06/2020,123.36,123.98,121.77,123.52,1918900,0.0,0.0
09/06/2020,123.06,124.58,121.96,123.41,1980100,0.0,0.0
10/06/2020,123.5,125.17,120.53,120.62,2161700,0.0,0.0
11/06/2020,120.57,120.57,115.85,116.83,3828300,0.0,0.0
12/06/2020,119.31,120.33,118.01,119.64,1703100,1.12,0.0
15/06/2020,117.58,122.94,117.11,122.73,2026500,0.0,0.0
16/06/2020,125.35,126.49,122.49,125.36,1962800,0.0,0.0
17/06/2020,125.85,129.19,125.84,127.99,3594200,0.0,0.0
18/06/2020,127.3,128.52,124.68,125.93,8472200,0.0,0.0
19/06/2020,127.95,127.95,122.01,123.02,5838700,0.0,0.0
22/06/2020,122.92,127.7,122.41,125.01,3014500,0.0,0.0
23/06/2020,125.96,126.66,123.74,124.83,2071500,0.0,0.0
24/06/2020,123.68,124.41,120.07,123.17,1721500,0.0,0.0
25/06/2020,123.22,125.94,122.79,125.85,1451400,0.0,0.0
26/06/2020,126.22,128.49,123.35,123.67,6131300,0.0,0.0
29/06/2020,125.55,125.55,122.72,123.27,1440300,0.0,0.0
30/06/2020,123.17,125.36,122.41,125.01,1671400,0.0,0.0
01/07/2020,125.59,130.81,125.22,129.65,1180400,0.0,0.0
02/07/2020,131.33,131.77,129.99,130.71,1296800,0.0,0.0
06/07/2020,131.95,132.38,129.5,130.02,1299900,0.0,0.0
07/07/2020,128.86,130.57,128.44,129.74,1280400,0.0,0.0
08/07/2020,130.57,131.59,128.12,129.41,1133500,0.0,0.0
09/07/2020,129.2,130.18,127.47,129.34,946100,0.0,0.0
10/07/2020,129.34,130.69,129.21,129.65,1727700,0.0,0.0
13/07/2020,130.06,130.13,124.96,125.52,1485200,0.0,0.0
14/07/2020,125.78,129.57,125.78,129.12,1059300,0.0,0.0
15/07/2020,130.87,131.08,125.78,126.82,1788800,0.0,0.0
16/07/2020,127.05,127.68,123.41,123.56,1535700,0.0,0.0
17/07/2020,124.12,127.51,123.1,126.45,1112200,0.0,0.0
20/07/2020,126.49,128.41,126.01,126.88,1041400,0.0,0.0
21/07/2020,128.59,128.81,125.25,126.06,1152100,0.0,0.0
22/07/2020,125.63,127.68,125.43,127.44,1077400,0.0,0.0
23/07/2020,127.87,129.28,126.99,128.25,1192900,0.0,0.0
