Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,186.23,187.39,184.25,185.64,2138400,0.0,0.0
01/05/2020,182.48,183.45,180.21,182.28,1356600,0.0,0.0
04/05/2020,181.26,184.01,178.3,183.74,1101800,0.0,0.0
05/05/2020,187.43,188.7,185.09,185.47,1092700,0.0,0.0
06/05/2020,185.4,188.52,184.41,185.19,1185300,0.0,0.0
07/05/2020,188.28,189.03,185.62,186.23,1014400,0.0,0.0
08/05/2020,189.0,190.38,186.94,189.73,1052600,0.0,0.0
11/05/2020,187.96,188.8,185.63,188.11,1193000,0.0,0.0
12/05/2020,188.93,189.92,186.29,186.31,919100,0.0,0.0
13/05/2020,185.45,186.56,182.41,184.17,1433000,0.0,0.0
14/05/2020,181.99,184.82,178.66,184.62,1748900,0.0,0.0
15/05/2020,183.05,187.39,181.66,186.84,3032000,0.0,0.0
18/05/2020,191.87,198.57,191.42,196.57,3021800,0.0,0.0
19/05/2020,196.1,197.49,192.92,193.06,2594400,0.0,0.0
20/05/2020,196.67,199.63,193.57,194.22,3473400,0.0,0.0
21/05/2020,194.59,195.64,191.59,192.26,3440600,0.0,0.0
22/05/2020,191.97,193.38,190.93,192.35,1656100,0.0,0.0
26/05/2020,195.88,199.49,193.98,196.28,5241700,0.0,0.0
27/05/2020,198.61,199.2,194.13,198.93,10254900,0.0,0.0
28/05/2020,201.49,204.14,196.8,202.82,14058400,0.0,0.0
29/05/2020,202.79,208.1,199.74,203.94,21059600,0.0,0.0
01/06/2020,204.02,204.38,199.39,200.56,24301200,0.0,0.0
02/06/2020,200.81,211.44,200.81,203.52,38401500,0.0,0.0
03/06/2020,206.87,212.78,206.33,211.89,27343300,0.0,0.0
04/06/2020,210.27,213.11,208.29,212.98,5127500,0.0,0.0
05/06/2020,216.0,221.96,215.81,220.23,14131100,0.0,0.0
08/06/2020,219.05,221.23,216.39,220.76,5622300,0.0,0.0
09/06/2020,217.7,219.9,216.71,217.5,9422300,0.0,0.0
10/06/2020,218.58,219.17,214.6,216.73,4439400,0.0,0.0
11/06/2020,210.95,211.69,193.67,194.31,2292000,0.0,0.0
12/06/2020,200.11,201.85,191.1,195.77,2066500,0.0,0.0
15/06/2020,191.1,193.09,189.13,192.21,3616200,0.47,0.0
16/06/2020,200.07,200.46,195.38,198.31,1848400,0.0,0.0
17/06/2020,199.78,199.78,195.82,197.18,1421000,0.0,0.0
18/06/2020,196.49,198.06,195.31,197.36,1374400,0.0,0.0
19/06/2020,201.39,201.88,191.75,192.08,2531800,0.0,0.0
22/06/2020,191.43,194.69,188.97,193.9,1211700,0.0,0.0
