Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,73.74,73.98,68.92,70.98,4567400,0.0,0.0
01/05/2020,68.14,69.91,66.37,67.29,3483200,0.0,0.0
04/05/2020,65.0,67.44,62.6,67.02,3071600,0.0,0.0
05/05/2020,68.41,68.41,63.8,64.08,5488400,0.0,0.0
06/05/2020,64.79,65.98,63.15,64.38,2495600,0.0,0.0
07/05/2020,65.1,67.3,65.1,66.46,2542700,0.0,0.0
08/05/2020,66.57,69.49,66.05,69.27,2760200,0.0,0.0
11/05/2020,68.53,69.38,67.44,67.62,1978100,0.0,0.0
12/05/2020,67.83,68.42,64.99,64.99,3290600,0.0,0.0
13/05/2020,64.64,64.75,60.6,62.01,4480500,0.0,0.0
14/05/2020,60.55,64.52,58.39,64.37,3616100,0.0,0.0
15/05/2020,63.72,67.16,62.86,66.76,2886900,0.0,0.0
18/05/2020,70.74,80.46,70.74,79.19,12331400,0.0,0.0
19/05/2020,77.36,79.45,76.34,76.35,4969000,0.0,0.0
20/05/2020,78.51,79.89,76.65,79.58,5891400,0.0,0.0
21/05/2020,82.59,83.11,75.14,77.01,11953500,0.0,0.0
22/05/2020,76.96,78.74,74.81,77.95,3481800,0.0,0.0
26/05/2020,83.35,86.35,82.13,82.82,6863900,0.0,0.0
27/05/2020,86.18,86.88,80.49,81.61,7131700,0.0,0.0
28/05/2020,81.81,81.98,78.01,78.78,6356100,0.0,0.0
29/05/2020,78.66,80.14,76.03,79.48,6801100,0.0,0.0
01/06/2020,79.5,83.17,78.84,82.42,3796100,0.0,0.0
02/06/2020,83.25,84.63,82.08,84.22,3968200,0.0,0.0
03/06/2020,86.18,89.77,86.16,89.14,6050100,0.0,0.0
04/06/2020,89.77,91.41,87.58,89.88,3662700,0.0,0.0
05/06/2020,94.54,95.26,91.12,93.06,6752500,0.0,0.0
08/06/2020,95.3,97.59,92.64,93.99,4695200,0.0,0.0
09/06/2020,91.12,91.85,88.51,88.7,4549900,0.0,0.0
10/06/2020,89.36,89.75,83.83,87.37,5757600,0.0,0.0
11/06/2020,81.78,83.73,77.3,77.73,6088600,0.0,0.0
12/06/2020,82.51,84.23,79.33,82.52,3884300,0.0,0.0
15/06/2020,79.34,84.91,78.16,84.27,3427300,0.0,0.0
16/06/2020,88.23,89.18,83.01,85.3,3604500,0.0,0.0
17/06/2020,86.03,86.08,83.56,84.67,3161400,0.0,0.0
18/06/2020,83.62,86.7,83.13,84.4,2359100,0.0,0.0
19/06/2020,85.69,86.27,81.8,82.06,4972300,0.0,0.0
22/06/2020,82.68,83.27,80.33,83.12,2798600,0.0,0.0
23/06/2020,84.87,87.03,83.7,86.6,3109200,0.0,0.0
24/06/2020,86.27,86.28,78.83,81.24,6730200,0.0,0.0
25/06/2020,80.79,82.9,79.54,82.72,3954800,0.0,0.0
26/06/2020,82.99,83.95,77.33,77.59,8055900,0.0,0.0
29/06/2020,78.01,82.82,75.75,82.67,4752300,0.0,0.0
30/06/2020,83.15,83.15,80.85,82.2,3119800,0.0,0.0
01/07/2020,83.21,86.11,82.39,84.44,3163200,0.0,0.0
02/07/2020,86.48,88.08,83.47,84.89,2916200,0.0,0.0
