Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,77.62,78.22,76.4,77.39,1018300,0.0,0.0
01/05/2020,76.17,76.8,72.86,76.44,1386000,0.0,0.0
04/05/2020,76.93,76.94,74.03,74.81,983100,0.0,0.0
05/05/2020,75.03,76.7,74.68,75.34,699700,0.0,0.0
06/05/2020,75.53,75.53,73.09,73.67,840800,0.0,0.0
07/05/2020,74.48,77.67,74.23,77.33,1296400,0.0,0.0
08/05/2020,78.48,80.72,78.15,80.42,847300,0.0,0.0
11/05/2020,79.78,81.57,79.18,80.58,901500,0.0,0.0
12/05/2020,80.69,80.95,74.12,74.82,1205500,0.0,0.0
13/05/2020,74.4,75.85,73.47,74.02,1036700,0.0,0.0
14/05/2020,73.35,74.0,71.07,73.85,786100,0.0,0.0
15/05/2020,73.47,73.52,70.92,71.75,1113000,0.0,0.0
18/05/2020,73.32,76.94,73.32,76.42,988000,0.0,0.0
19/05/2020,75.97,77.23,74.89,76.7,754800,0.0,0.0
20/05/2020,77.27,77.73,75.55,76.85,754400,0.0,0.0
21/05/2020,76.35,77.44,75.69,76.24,510600,0.0,0.0
22/05/2020,76.16,76.88,75.32,75.63,523000,0.0,0.0
26/05/2020,77.35,81.09,77.2,80.86,1017000,0.0,0.0
27/05/2020,81.91,83.09,81.29,82.78,942300,0.0,0.0
28/05/2020,83.04,85.37,82.12,85.27,885200,0.0,0.0
29/05/2020,84.86,85.15,82.65,84.86,1352200,0.0,0.0
01/06/2020,84.93,87.02,83.55,86.67,940700,0.0,0.0
02/06/2020,87.71,88.24,85.86,87.86,1504000,0.0,0.0
03/06/2020,87.95,90.57,87.95,89.79,1280900,0.0,0.0
04/06/2020,89.42,89.64,87.71,88.99,771300,0.0,0.0
05/06/2020,91.18,93.29,90.42,90.64,1247700,0.0,0.0
08/06/2020,91.09,93.28,90.8,91.71,905300,0.0,0.0
09/06/2020,90.43,90.92,88.87,90.29,806600,0.0,0.0
10/06/2020,90.42,90.42,87.71,88.28,657600,0.0,0.0
11/06/2020,86.07,86.72,82.41,82.55,1260000,0.0,0.0
12/06/2020,84.9,86.13,82.84,85.64,811600,0.9,0.0
15/06/2020,83.92,86.82,83.27,86.27,918000,0.0,0.0
16/06/2020,88.71,88.81,85.75,86.45,942800,0.0,0.0
17/06/2020,86.94,87.37,85.26,85.89,637300,0.0,0.0
18/06/2020,85.06,85.21,83.38,84.59,667100,0.0,0.0
19/06/2020,85.81,85.81,82.12,82.33,2966900,0.0,0.0
22/06/2020,81.87,83.09,80.41,82.19,759200,0.0,0.0
23/06/2020,82.99,83.55,81.03,81.18,809300,0.0,0.0
24/06/2020,80.38,81.21,78.71,80.12,1023300,0.0,0.0
25/06/2020,79.93,81.37,79.56,81.28,721300,0.0,0.0
26/06/2020,81.26,82.19,79.97,80.59,1124700,0.0,0.0
29/06/2020,81.34,81.59,80.4,81.32,512500,0.0,0.0
30/06/2020,81.47,83.2,80.9,81.8,1201800,0.0,0.0
01/07/2020,81.93,86.11,81.5,85.86,853000,0.0,0.0
02/07/2020,86.85,87.4,85.64,86.12,755800,0.0,0.0
06/07/2020,87.7,87.86,84.85,85.2,543700,0.0,0.0
07/07/2020,84.37,85.28,83.75,84.2,609000,0.0,0.0
08/07/2020,84.24,84.93,83.83,84.72,933900,0.0,0.0
09/07/2020,84.49,84.87,83.05,84.31,429700,0.0,0.0
10/07/2020,84.51,85.6,84.51,85.23,804000,0.0,0.0
13/07/2020,85.59,85.78,84.68,85.01,811500,0.0,0.0
14/07/2020,85.4,86.6,85.08,86.16,740600,0.0,0.0
15/07/2020,86.85,87.32,86.21,86.85,870800,0.0,0.0
16/07/2020,86.6,87.12,85.38,85.63,951400,0.0,0.0
17/07/2020,85.8,87.75,84.82,87.38,1124100,0.0,0.0
20/07/2020,87.21,87.48,85.58,85.87,991200,0.0,0.0
21/07/2020,86.31,86.77,85.36,85.69,762600,0.0,0.0
22/07/2020,85.22,87.15,84.86,86.73,575900,0.0,0.0
23/07/2020,86.35,86.76,85.37,85.86,564500,0.0,0.0
24/07/2020,86.52,86.84,84.35,84.48,802200,0.0,0.0
27/07/2020,84.26,84.9,83.33,84.62,556800,0.0,0.0
28/07/2020,84.81,88.3,84.81,88.19,916500,0.0,0.0
29/07/2020,88.45,89.61,87.92,89.31,895700,0.0,0.0
30/07/2020,88.43,90.16,88.05,89.89,1665600,0.0,0.0
31/07/2020,89.78,91.6,88.69,91.51,1047700,0.0,0.0
03/08/2020,90.82,90.82,89.58,90.25,965900,0.0,0.0
04/08/2020,90.42,93.68,89.96,93.09,1051500,0.0,0.0
05/08/2020,93.57,93.83,89.69,90.56,1142600,0.0,0.0
06/08/2020,89.39,89.94,86.25,89.53,1145400,0.0,0.0
07/08/2020,89.27,92.33,89.08,91.88,1024800,0.0,0.0
10/08/2020,92.19,93.67,91.81,93.01,646300,0.0,0.0
11/08/2020,93.78,94.18,90.86,91.2,632900,0.0,0.0
12/08/2020,91.49,91.86,90.3,91.64,711900,0.0,0.0
13/08/2020,91.31,92.67,90.78,91.24,603900,0.0,0.0
14/08/2020,91.24,93.18,91.24,92.28,622200,0.0,0.0
17/08/2020,92.29,92.73,91.58,92.7,687300,0.0,0.0
18/08/2020,92.76,93.44,92.08,93.06,616100,0.0,0.0
19/08/2020,92.54,92.77,90.31,90.5,500500,0.0,0.0
20/08/2020,90.33,92.28,90.23,92.24,627400,0.0,0.0
21/08/2020,92.56,93.36,92.13,93.26,807800,0.0,0.0
24/08/2020,93.26,94.52,92.76,94.08,510800,0.0,0.0
25/08/2020,94.25,94.48,92.67,93.92,821400,0.0,0.0
26/08/2020,93.26,93.72,91.97,93.69,608200,0.0,0.0
27/08/2020,94.2,94.72,94.04,94.34,581900,0.0,0.0
28/08/2020,94.34,94.54,93.18,94.52,619300,0.0,0.0
31/08/2020,93.88,94.73,93.33,94.35,816600,0.0,0.0
01/09/2020,94.74,95.11,93.56,94.62,436300,0.0,0.0
02/09/2020,94.57,96.09,93.99,96.04,904100,0.0,0.0
03/09/2020,96.79,97.36,95.03,95.77,462800,0.0,0.0
04/09/2020,95.75,96.71,94.11,95.95,710300,0.0,0.0
08/09/2020,95.55,96.74,94.28,95.66,643200,0.0,0.0
09/09/2020,96.35,99.62,96.35,98.13,940900,0.0,0.0
10/09/2020,97.78,98.04,96.8,97.3,449800,0.0,0.0
11/09/2020,97.39,99.48,96.48,98.46,650900,0.0,0.0
14/09/2020,99.0,99.65,98.72,99.39,783600,0.9,0.0
15/09/2020,99.26,100.44,98.49,99.23,615100,0.0,0.0
16/09/2020,99.69,101.05,99.16,100.25,1096100,0.0,0.0
17/09/2020,99.47,100.31,98.13,99.28,770400,0.0,0.0
18/09/2020,98.38,99.1,97.53,97.6,1310000,0.0,0.0
21/09/2020,96.36,97.85,94.23,96.02,1038000,0.0,0.0
22/09/2020,95.75,97.48,95.75,96.27,976100,0.0,0.0
23/09/2020,96.28,96.28,92.47,93.19,1224000,0.0,0.0
24/09/2020,93.71,94.16,92.04,92.78,853900,0.0,0.0
25/09/2020,92.34,94.37,91.72,94.14,1453300,0.0,0.0
28/09/2020,95.54,97.07,94.96,96.52,797000,0.0,0.0
29/09/2020,96.32,96.92,94.98,95.74,630500,0.0,0.0
30/09/2020,96.14,96.69,94.76,95.52,1056000,0.0,0.0
01/10/2020,95.8,98.01,95.61,97.52,1061500,0.0,0.0
02/10/2020,97.03,100.76,95.95,100.34,1405300,0.0,0.0
05/10/2020,100.88,101.01,96.96,100.69,1198400,0.0,0.0
06/10/2020,101.27,102.03,99.05,99.94,1716200,0.0,0.0
07/10/2020,100.51,101.05,99.35,100.46,1069100,0.0,0.0
08/10/2020,100.67,101.74,100.52,101.55,1029800,0.0,0.0
09/10/2020,102.19,102.26,100.15,101.19,1137100,0.0,0.0
12/10/2020,101.26,101.86,99.77,101.69,723300,0.0,0.0
13/10/2020,102.13,102.13,98.77,101.02,2469000,0.0,0.0
14/10/2020,101.31,101.61,100.62,101.21,887400,0.0,0.0
15/10/2020,100.77,102.77,100.7,102.61,1357800,0.0,0.0
16/10/2020,102.4,103.11,101.89,102.34,1310200,0.0,0.0
19/10/2020,102.5,102.73,101.28,101.53,869600,0.0,0.0
20/10/2020,102.29,103.09,101.71,102.1,800600,0.0,0.0
21/10/2020,102.37,103.86,101.99,102.98,1171000,0.0,0.0
22/10/2020,102.74,105.03,102.74,104.86,930700,0.0,0.0
23/10/2020,105.35,105.97,104.51,105.93,920300,0.0,0.0
26/10/2020,105.38,105.99,103.68,105.89,1360400,0.0,0.0
27/10/2020,106.03,107.39,104.44,104.53,1021300,0.0,0.0
28/10/2020,104.1,104.92,102.12,103.29,1132200,0.0,0.0
29/10/2020,103.31,104.47,102.7,103.85,1494200,0.0,0.0
30/10/2020,103.18,104.44,102.06,103.51,785300,0.0,0.0
02/11/2020,104.05,104.94,102.79,103.43,1158500,0.0,0.0
03/11/2020,104.3,104.93,103.2,104.32,1889500,0.0,0.0
04/11/2020,104.45,106.79,103.85,104.76,1469500,0.0,0.0
05/11/2020,104.86,106.26,101.37,101.68,1509600,0.0,0.0
06/11/2020,102.56,103.6,100.39,100.63,1876000,0.0,0.0
09/11/2020,106.81,108.09,95.32,95.45,2201900,0.0,0.0
10/11/2020,95.45,103.12,94.93,103.12,1700100,0.0,0.0
11/11/2020,103.61,105.45,102.34,105.34,1294500,0.0,0.0
12/11/2020,105.5,105.61,102.18,103.18,603700,0.0,0.0
13/11/2020,104.96,105.27,103.68,105.1,837700,0.0,0.0
16/11/2020,106.42,106.52,102.71,105.26,1012800,0.0,0.0
17/11/2020,104.66,105.64,103.76,105.23,865900,0.0,0.0
18/11/2020,105.2,105.26,100.99,100.99,697700,0.0,0.0
19/11/2020,100.74,101.43,99.32,100.54,664800,0.0,0.0
20/11/2020,100.28,100.89,99.4,100.6,685200,0.0,0.0
23/11/2020,100.75,101.72,98.69,99.0,1024800,0.0,0.0
24/11/2020,99.67,99.82,97.76,98.2,1121400,0.0,0.0
25/11/2020,98.57,100.19,98.17,99.98,727100,0.0,0.0
27/11/2020,99.87,99.87,97.53,98.2,253100,0.0,0.0
30/11/2020,97.88,100.65,97.88,100.64,1072400,0.0,0.0
01/12/2020,100.82,101.93,99.69,101.47,1044700,0.0,0.0
02/12/2020,101.12,102.21,99.15,99.47,582400,0.0,0.0
03/12/2020,99.66,101.42,99.35,101.33,876800,0.0,0.0
04/12/2020,101.52,102.58,100.44,102.09,612200,0.0,0.0
07/12/2020,101.42,102.99,101.42,102.67,1192800,0.0,0.0
08/12/2020,102.63,102.67,101.02,101.4,694900,0.0,0.0
09/12/2020,101.39,101.6,99.36,100.43,653600,0.0,0.0
10/12/2020,100.05,101.27,98.19,98.22,1072400,0.0,0.0
11/12/2020,98.14,99.71,97.89,98.56,1067600,0.0,0.0
14/12/2020,99.52,101.63,98.66,98.9,1107000,0.9,0.0
15/12/2020,99.32,100.56,97.69,100.5,1950400,0.0,0.0
16/12/2020,100.79,101.12,99.15,99.97,2194600,0.0,0.0
17/12/2020,100.98,103.0,100.59,102.76,1076900,0.0,0.0
18/12/2020,102.42,103.06,100.59,101.25,1431900,0.0,0.0
21/12/2020,101.12,103.19,100.41,102.81,745600,0.0,0.0
22/12/2020,102.81,104.05,102.43,103.68,635200,0.0,0.0
23/12/2020,104.14,104.14,101.46,101.56,604800,0.0,0.0
24/12/2020,101.94,103.01,101.58,102.96,123300,0.0,0.0
28/12/2020,103.33,103.33,101.47,102.43,464000,0.0,0.0
29/12/2020,102.61,103.37,101.36,102.44,362200,0.0,0.0
30/12/2020,102.6,103.69,102.4,103.25,622300,0.0,0.0
31/12/2020,103.41,104.42,101.94,104.28,603100,0.0,0.0
04/01/2021,104.17,104.55,99.19,99.27,772900,0.0,0.0
05/01/2021,99.06,99.91,97.68,98.0,794800,0.0,0.0
06/01/2021,97.7,98.54,95.91,97.85,948900,0.0,0.0
07/01/2021,97.59,98.28,97.01,98.08,885000,0.0,0.0
08/01/2021,98.43,101.01,98.35,100.86,731000,0.0,0.0
11/01/2021,100.49,100.82,99.13,100.23,504300,0.0,0.0
12/01/2021,99.88,101.38,99.33,100.72,601300,0.0,0.0
13/01/2021,100.14,101.67,99.92,100.68,946100,0.0,0.0
14/01/2021,100.95,100.97,98.49,99.26,1021700,0.0,0.0
15/01/2021,99.52,101.12,98.88,100.97,1147900,0.0,0.0
19/01/2021,101.22,101.32,99.85,100.5,560400,0.0,0.0
20/01/2021,100.14,103.68,99.52,103.34,820100,0.0,0.0
21/01/2021,102.43,103.71,102.11,103.23,631300,0.0,0.0
22/01/2021,103.24,104.36,102.6,103.88,960500,0.0,0.0
25/01/2021,103.74,105.14,102.78,104.37,659200,0.0,0.0
26/01/2021,104.36,105.72,103.94,105.29,818600,0.0,0.0
27/01/2021,104.8,106.15,103.03,103.62,760900,0.0,0.0
28/01/2021,103.52,104.71,101.92,101.96,724600,0.0,0.0
29/01/2021,101.37,103.77,100.4,102.42,1106700,0.0,0.0
01/02/2021,103.35,105.04,101.47,104.97,775200,0.0,0.0
02/02/2021,104.93,105.83,103.64,105.42,811200,0.0,0.0
03/02/2021,104.7,105.03,103.06,104.42,569300,0.0,0.0
04/02/2021,104.94,106.36,104.25,105.26,600300,0.0,0.0
05/02/2021,105.62,105.62,104.57,104.97,679900,0.0,0.0
08/02/2021,104.79,105.54,104.17,105.47,435200,0.0,0.0
09/02/2021,105.93,107.75,105.57,107.7,403800,0.0,0.0
10/02/2021,108.79,108.9,105.88,106.49,537900,0.0,0.0
11/02/2021,105.88,106.57,105.39,105.97,663100,0.0,0.0
12/02/2021,105.81,105.81,104.29,105.2,468500,0.0,0.0
16/02/2021,105.13,106.15,103.63,105.48,939800,0.0,0.0
17/02/2021,105.55,106.61,104.85,106.01,642100,0.0,0.0
18/02/2021,105.46,107.95,105.46,106.51,692200,0.0,0.0
19/02/2021,106.84,108.34,105.63,107.68,2001200,0.0,0.0
22/02/2021,107.44,109.66,106.56,108.68,1224300,0.0,0.0
23/02/2021,113.41,117.97,112.67,113.86,1260300,0.0,0.0
24/02/2021,113.81,116.58,113.37,114.4,864000,0.0,0.0
25/02/2021,114.19,118.44,114.19,116.59,941100,0.0,0.0
26/02/2021,116.28,117.55,113.02,113.14,1144400,0.0,0.0
01/03/2021,114.15,115.74,111.37,111.42,900400,0.0,0.0
02/03/2021,112.35,113.58,110.59,112.27,985700,0.0,0.0
03/03/2021,111.72,112.39,110.48,111.05,854200,0.0,0.0
04/03/2021,111.86,112.64,108.99,109.83,1076100,0.0,0.0
05/03/2021,110.53,111.93,108.83,111.43,622300,0.0,0.0
08/03/2021,112.06,115.28,111.24,113.96,625000,0.0,0.0
09/03/2021,113.63,116.26,113.63,114.97,646000,0.0,0.0
10/03/2021,115.9,117.56,114.82,116.17,821200,0.0,0.0
11/03/2021,115.88,117.6,115.88,116.43,842000,0.0,0.0
12/03/2021,116.64,119.57,116.28,119.47,771200,1.0,0.0
15/03/2021,120.03,122.02,119.59,121.11,1069600,0.0,0.0
16/03/2021,121.06,121.92,120.35,121.51,625400,0.0,0.0
17/03/2021,121.51,121.51,118.56,119.14,824600,0.0,0.0
18/03/2021,118.71,120.17,117.69,119.83,877100,0.0,0.0
19/03/2021,118.34,118.64,114.33,114.61,2427300,0.0,0.0
22/03/2021,114.56,116.61,114.34,116.25,615400,0.0,0.0
23/03/2021,116.51,118.73,115.64,118.29,1088200,0.0,0.0
24/03/2021,118.08,119.35,117.98,118.8,1025500,0.0,0.0
25/03/2021,119.44,119.44,116.47,118.83,679300,0.0,0.0
26/03/2021,119.3,120.32,117.91,120.27,629000,0.0,0.0
29/03/2021,120.67,122.15,118.79,120.83,858600,0.0,0.0
30/03/2021,121.0,121.44,119.69,120.65,654800,0.0,0.0
31/03/2021,120.29,122.24,118.89,120.24,1374300,0.0,0.0
01/04/2021,120.75,122.88,120.64,122.87,1114800,0.0,0.0
05/04/2021,122.79,122.95,120.64,122.47,866500,0.0,0.0
06/04/2021,122.46,124.68,121.68,124.42,886100,0.0,0.0
07/04/2021,124.64,125.24,123.75,124.82,732600,0.0,0.0
08/04/2021,124.5,126.12,124.5,124.8,596300,0.0,0.0
09/04/2021,125.13,126.0,124.57,125.53,464200,0.0,0.0
12/04/2021,125.98,126.4,124.55,126.33,728700,0.0,0.0
13/04/2021,126.68,128.57,126.37,128.04,707700,0.0,0.0
14/04/2021,127.36,127.66,125.71,126.11,924100,0.0,0.0
15/04/2021,126.95,129.01,126.8,128.97,604100,0.0,0.0
16/04/2021,129.31,129.79,128.29,129.36,559400,0.0,0.0
19/04/2021,129.73,130.73,128.75,130.56,623800,0.0,0.0
20/04/2021,131.0,134.51,131.0,132.79,1084500,0.0,0.0
21/04/2021,132.95,133.96,132.45,132.78,490500,0.0,0.0
22/04/2021,132.81,134.39,132.27,133.34,577700,0.0,0.0
23/04/2021,133.1,134.25,132.74,133.83,556900,0.0,0.0
26/04/2021,134.57,135.06,132.32,132.97,622800,0.0,0.0
27/04/2021,133.05,133.84,132.01,133.58,457600,0.0,0.0
