Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,22.5,22.62,21.6,21.65,1635200,0.0,0.0
01/05/2020,21.02,21.92,20.81,21.53,1368200,0.0,0.0
04/05/2020,20.61,22.17,20.57,22.01,1494000,0.0,0.0
05/05/2020,22.49,23.12,22.01,22.74,1492600,0.0,0.0
06/05/2020,23.3,23.54,22.62,23.05,2903200,0.0,0.0
07/05/2020,29.3,34.65,26.64,33.58,18209800,0.0,0.0
08/05/2020,32.14,35.64,31.03,34.8,8010600,0.0,0.0
11/05/2020,35.0,35.96,33.01,34.32,5161000,0.0,0.0
12/05/2020,34.55,38.98,33.62,37.1,6800100,0.0,0.0
13/05/2020,37.49,39.07,34.28,36.55,5078800,0.0,0.0
14/05/2020,35.74,37.9,35.22,36.81,2857500,0.0,0.0
15/05/2020,36.66,39.78,36.55,39.5,3040300,0.0,0.0
18/05/2020,42.97,42.97,38.72,39.05,4812500,0.0,0.0
19/05/2020,38.37,41.85,38.21,40.16,3128100,0.0,0.0
20/05/2020,42.0,42.97,41.01,42.54,2817800,0.0,0.0
21/05/2020,41.32,44.25,40.26,44.25,11458000,0.0,0.0
22/05/2020,45.27,45.53,40.9,41.08,8275600,0.0,0.0
26/05/2020,42.0,42.0,38.73,39.31,4800100,0.0,0.0
27/05/2020,38.55,39.93,36.03,39.42,5253800,0.0,0.0
28/05/2020,39.15,42.26,38.87,40.6,3874400,0.0,0.0
29/05/2020,40.5,43.18,40.4,43.14,5503400,0.0,0.0
01/06/2020,44.16,47.99,43.03,47.26,5537500,0.0,0.0
02/06/2020,47.86,48.19,45.2,47.84,4460900,0.0,0.0
03/06/2020,47.92,50.49,47.5,48.07,3624100,0.0,0.0
04/06/2020,47.82,49.8,46.58,47.39,2721700,0.0,0.0
05/06/2020,45.5,46.49,44.01,45.09,4473700,0.0,0.0
08/06/2020,44.47,48.67,43.5,47.54,4163500,0.0,0.0
09/06/2020,47.7,47.71,42.64,45.52,4024700,0.0,0.0
10/06/2020,46.3,49.8,45.8,47.86,4381500,0.0,0.0
11/06/2020,44.98,49.42,44.5,45.82,4221000,0.0,0.0
12/06/2020,47.49,48.58,45.67,46.82,2445700,0.0,0.0
15/06/2020,47.0,52.35,46.41,51.98,4586600,0.0,0.0
16/06/2020,53.33,54.38,51.5,53.56,3520300,0.0,0.0
17/06/2020,54.49,60.07,53.76,58.25,7230600,0.0,0.0
18/06/2020,58.19,63.3,58.16,62.14,6197200,0.0,0.0
19/06/2020,65.0,65.38,62.25,63.69,10833500,0.0,0.0
22/06/2020,64.98,73.5,64.13,73.27,12506700,0.0,0.0
23/06/2020,76.66,81.75,74.62,75.9,34798500,0.0,0.0
24/06/2020,73.78,77.93,69.52,76.07,21521900,0.0,0.0
25/06/2020,77.73,82.68,76.2,81.67,16435700,0.0,0.0
26/06/2020,83.0,87.97,80.78,86.51,26777800,0.0,0.0
29/06/2020,87.33,89.05,76.25,78.15,23368700,0.0,0.0
30/06/2020,79.65,85.86,79.51,85.13,13432000,0.0,0.0
01/07/2020,84.0,87.72,82.05,86.45,13911400,0.0,0.0
02/07/2020,86.05,87.85,84.2,84.51,10750000,0.0,0.0
06/07/2020,83.25,86.35,80.25,84.37,11560700,0.0,0.0
07/07/2020,83.99,90.49,83.29,87.51,10259100,0.0,0.0
08/07/2020,89.54,96.3,89.01,96.16,10329000,0.0,0.0
09/07/2020,94.6,102.95,94.5,102.72,16270300,0.0,0.0
10/07/2020,98.4,100.23,91.4,94.91,18127700,0.0,0.0
13/07/2020,96.16,96.78,81.51,83.2,17690100,0.0,0.0
14/07/2020,81.66,85.38,73.87,81.87,16542600,0.0,0.0
15/07/2020,80.82,83.65,76.51,82.37,10641600,0.0,0.0
16/07/2020,80.1,82.36,77.11,78.12,7757600,0.0,0.0
17/07/2020,79.21,80.67,76.56,78.0,7932900,0.0,0.0
20/07/2020,78.27,85.74,77.79,84.85,9660800,0.0,0.0
21/07/2020,87.04,87.7,80.91,82.94,6431300,0.0,0.0
22/07/2020,83.11,85.84,82.3,83.57,3987200,0.0,0.0
23/07/2020,84.0,86.67,78.4,80.05,7088000,0.0,0.0
24/07/2020,76.66,79.85,75.22,78.8,4722300,0.0,0.0
27/07/2020,80.52,80.94,77.41,80.11,4309900,0.0,0.0
28/07/2020,79.17,84.15,79.01,80.67,4199200,0.0,0.0
29/07/2020,82.8,86.4,81.25,84.94,5203600,0.0,0.0
30/07/2020,83.87,93.36,83.68,92.56,9227200,0.0,0.0
31/07/2020,96.05,97.14,90.62,96.49,9037100,0.0,0.0
03/08/2020,99.35,111.73,98.63,111.66,12853100,0.0,0.0
04/08/2020,111.66,116.28,106.2,116.18,10815500,0.0,0.0
05/08/2020,114.0,117.79,107.57,108.92,12321400,0.0,0.0
