Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,8.17,8.19,7.7,7.9,583100,0.0,0.0
01/05/2020,7.74,7.8,7.16,7.32,464600,0.0,0.0
04/05/2020,7.19,7.25,7.01,7.23,323700,0.0,0.0
05/05/2020,7.28,7.59,7.22,7.27,321800,0.0,0.0
06/05/2020,7.28,7.72,7.21,7.53,329900,0.0,0.0
07/05/2020,7.85,8.17,7.66,7.78,439300,0.0,0.0
08/05/2020,7.81,8.09,7.74,7.97,609000,0.0,0.0
11/05/2020,7.91,8.15,7.6,7.94,588400,0.0,0.0
12/05/2020,7.94,7.96,7.47,7.47,419700,0.0,0.0
13/05/2020,7.43,7.48,6.61,6.75,857900,0.0,0.0
14/05/2020,6.62,7.22,6.49,7.2,346800,0.0,0.0
15/05/2020,7.22,7.27,6.83,7.22,966000,0.0,0.0
18/05/2020,7.58,8.44,7.58,8.4,556200,0.0,0.0
19/05/2020,8.32,8.69,8.12,8.43,632500,0.0,0.0
20/05/2020,8.49,8.59,8.27,8.57,463200,0.0,0.0
21/05/2020,8.57,8.66,8.4,8.41,1037100,0.0,0.0
22/05/2020,8.45,8.45,8.16,8.43,221300,0.0,0.0
26/05/2020,8.57,8.79,8.57,8.69,329800,0.0,0.0
27/05/2020,8.83,8.87,8.39,8.51,726300,0.0,0.0
28/05/2020,8.64,8.72,8.44,8.53,343000,0.0,0.0
29/05/2020,8.4,8.41,8.1,8.13,300200,0.0,0.0
01/06/2020,8.1,8.63,8.1,8.51,384800,0.0,0.0
02/06/2020,8.7,8.7,8.43,8.51,318400,0.0,0.0
03/06/2020,8.58,8.74,8.53,8.62,261900,0.0,0.0
04/06/2020,8.57,8.95,8.44,8.94,229300,0.0,0.0
05/06/2020,9.13,9.38,9.07,9.16,382100,0.0,0.0
08/06/2020,9.35,9.79,9.3,9.76,328100,0.0,0.0
09/06/2020,9.64,9.64,9.38,9.54,515200,0.0,0.0
