Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,12.85,12.89,11.5,11.6,354400,0.0,0.0
01/05/2020,11.27,12.46,11.14,12.43,342900,0.0,0.0
04/05/2020,12.2,12.5,11.52,11.96,271200,0.0,0.0
05/05/2020,12.34,12.37,11.73,11.78,140000,0.0,0.0
06/05/2020,11.72,12.0,11.56,11.56,143600,0.0,0.0
07/05/2020,11.62,12.07,11.62,11.95,185900,0.0,0.0
08/05/2020,12.18,12.44,12.1,12.27,153700,0.0,0.0
11/05/2020,12.17,12.2,11.79,11.87,219800,0.0,0.0
12/05/2020,11.97,12.11,11.17,11.19,303700,0.0,0.0
13/05/2020,11.16,11.29,10.36,10.44,327100,0.0,0.0
14/05/2020,10.34,10.61,9.79,10.61,244000,0.0,0.0
15/05/2020,10.64,10.85,10.36,10.82,201800,0.0,0.0
18/05/2020,11.49,11.77,11.37,11.63,317600,0.125,0.0
19/05/2020,11.55,11.69,11.31,11.32,169900,0.0,0.0
20/05/2020,11.63,11.93,11.56,11.8,192700,0.0,0.0
21/05/2020,11.85,12.14,11.77,11.79,179900,0.0,0.0
22/05/2020,11.83,12.18,11.69,12.16,175400,0.0,0.0
26/05/2020,12.72,13.51,12.71,13.33,331100,0.0,0.0
27/05/2020,13.65,13.97,13.04,13.48,243800,0.0,0.0
28/05/2020,13.49,13.62,12.88,13.06,321000,0.0,0.0
29/05/2020,13.03,13.44,12.7,13.27,384000,0.0,0.0
01/06/2020,13.28,13.77,13.26,13.37,241600,0.0,0.0
02/06/2020,13.48,13.96,13.42,13.82,232200,0.0,0.0
03/06/2020,14.0,14.13,13.68,13.72,358000,0.0,0.0
04/06/2020,13.62,14.07,13.52,14.03,209000,0.0,0.0
05/06/2020,14.34,15.06,14.34,14.48,387400,0.0,0.0
08/06/2020,14.85,15.09,14.64,15.02,284200,0.0,0.0
09/06/2020,14.74,14.85,14.3,14.51,245100,0.0,0.0
10/06/2020,14.77,14.77,13.62,14.02,192600,0.0,0.0
11/06/2020,13.54,13.54,12.54,12.71,410300,0.0,0.0
12/06/2020,13.19,13.6,13.06,13.49,265900,0.0,0.0
15/06/2020,13.17,14.02,13.04,13.85,178000,0.0,0.0
16/06/2020,14.77,14.77,13.96,14.3,158000,0.0,0.0
17/06/2020,14.44,14.44,13.89,14.12,198000,0.0,0.0
18/06/2020,13.92,14.33,13.87,14.16,146400,0.125,0.0
19/06/2020,14.38,14.42,13.69,13.83,372800,0.0,0.0
22/06/2020,13.75,13.82,13.42,13.75,164200,0.0,0.0
23/06/2020,13.95,14.0,13.68,13.88,121200,0.0,0.0
24/06/2020,13.63,13.69,12.92,13.38,186400,0.0,0.0
25/06/2020,13.31,13.75,13.3,13.74,126000,0.0,0.0
26/06/2020,13.59,13.86,13.28,13.64,444700,0.0,0.0
29/06/2020,13.78,14.1,13.65,13.86,148100,0.0,0.0
30/06/2020,13.92,14.18,13.77,13.98,128300,0.0,0.0
01/07/2020,13.98,14.24,13.84,13.99,130700,0.0,0.0
02/07/2020,14.28,14.3,13.76,13.85,120100,0.0,0.0
06/07/2020,14.16,14.21,13.77,13.95,139400,0.0,0.0
07/07/2020,13.8,13.89,13.47,13.53,144000,0.0,0.0
08/07/2020,13.54,13.78,13.49,13.63,142000,0.0,0.0
09/07/2020,13.87,13.87,12.95,13.08,205000,0.0,0.0
10/07/2020,13.13,13.35,13.04,13.31,157000,0.0,0.0
13/07/2020,13.42,13.69,13.24,13.29,117600,0.0,0.0
14/07/2020,13.34,13.57,13.28,13.49,106900,0.0,0.0
15/07/2020,13.77,14.05,13.67,13.83,162100,0.0,0.0
16/07/2020,13.75,13.75,13.43,13.57,151300,0.0,0.0
17/07/2020,13.56,13.88,13.48,13.85,118800,0.0,0.0
20/07/2020,13.93,13.97,13.6,13.7,126900,0.0,0.0
21/07/2020,13.91,14.13,13.82,13.97,140500,0.0,0.0
22/07/2020,13.9,14.33,13.83,14.29,313100,0.0,0.0
23/07/2020,14.26,14.32,13.84,14.02,98400,0.125,0.0
24/07/2020,13.84,13.96,13.59,13.64,123700,0.0,0.0
27/07/2020,13.69,13.93,13.55,13.91,142900,0.0,0.0
28/07/2020,13.9,14.23,13.58,13.99,246700,0.0,0.0
29/07/2020,14.07,14.17,13.65,13.83,147400,0.0,0.0
30/07/2020,13.69,13.82,13.53,13.75,150900,0.0,0.0
31/07/2020,13.81,14.07,13.36,13.66,231600,0.0,0.0
03/08/2020,13.67,13.72,13.23,13.47,235000,0.0,0.0
04/08/2020,13.4,13.63,13.33,13.41,133100,0.0,0.0
05/08/2020,13.56,13.58,13.28,13.47,126700,0.0,0.0
06/08/2020,13.4,13.77,13.39,13.67,153300,0.0,0.0
07/08/2020,13.69,14.04,13.64,13.91,117400,0.0,0.0
10/08/2020,13.93,14.32,13.84,14.09,151200,0.0,0.0
11/08/2020,14.18,14.33,13.78,13.83,173100,0.0,0.0
12/08/2020,14.01,14.02,13.69,13.87,115100,0.0,0.0
13/08/2020,13.87,13.97,13.69,13.72,119000,0.0,0.0
14/08/2020,13.76,14.15,13.66,13.93,166300,0.0,0.0
17/08/2020,14.08,14.23,13.98,14.09,133400,0.0,0.0
18/08/2020,14.02,14.02,13.75,13.8,127800,0.0,0.0
19/08/2020,13.8,13.9,13.64,13.78,148100,0.0,0.0
20/08/2020,13.7,14.23,13.7,14.04,169900,0.0,0.0
21/08/2020,14.04,14.04,13.66,13.83,154300,0.125,0.0
24/08/2020,13.88,14.08,13.71,14.08,158000,0.0,0.0
25/08/2020,14.09,14.22,13.87,13.96,101300,0.0,0.0
26/08/2020,13.94,14.02,13.78,13.97,155000,0.0,0.0
27/08/2020,13.97,14.59,13.97,14.39,309100,0.0,0.0
28/08/2020,14.44,14.58,14.13,14.56,205000,0.0,0.0
31/08/2020,14.63,15.0,14.34,14.81,727700,0.0,0.0
01/09/2020,14.67,14.86,14.09,14.15,262300,0.0,0.0
02/09/2020,14.16,14.27,13.92,14.27,211300,0.0,0.0
03/09/2020,14.27,14.62,14.09,14.25,300100,0.0,0.0
04/09/2020,14.35,14.35,13.75,14.05,243100,0.0,0.0
08/09/2020,14.01,14.04,13.71,13.82,155400,0.0,0.0
09/09/2020,13.98,14.13,13.86,13.95,126000,0.0,0.0
10/09/2020,14.03,14.14,13.77,13.91,194500,0.0,0.0
11/09/2020,13.94,13.98,13.54,13.67,173300,0.0,0.0
14/09/2020,13.72,13.99,13.71,13.84,131000,0.0,0.0
15/09/2020,13.9,14.13,13.78,13.81,123800,0.0,0.0
16/09/2020,13.82,14.19,13.82,14.0,151200,0.0,0.0
17/09/2020,13.94,13.94,13.64,13.76,145300,0.0,0.0
18/09/2020,13.91,13.91,13.45,13.49,504800,0.0,0.0
21/09/2020,13.41,13.44,12.88,12.98,358400,0.0,0.0
22/09/2020,13.11,13.27,12.84,12.9,191500,0.125,0.0
23/09/2020,12.86,13.06,12.16,12.17,333100,0.0,0.0
24/09/2020,12.27,12.57,12.11,12.27,181200,0.0,0.0
25/09/2020,12.22,12.69,12.22,12.69,170400,0.0,0.0
28/09/2020,12.77,13.22,12.74,13.14,137200,0.0,0.0
29/09/2020,13.09,13.2,12.7,12.93,145900,0.0,0.0
30/09/2020,13.05,13.31,12.75,12.82,178500,0.0,0.0
01/10/2020,12.85,13.17,12.79,13.16,150500,0.0,0.0
02/10/2020,12.84,13.46,12.69,13.41,171600,0.0,0.0
05/10/2020,13.48,13.57,13.1,13.29,128600,0.0,0.0
06/10/2020,13.48,13.62,13.21,13.28,142700,0.0,0.0
07/10/2020,13.35,13.44,13.26,13.33,124800,0.0,0.0
08/10/2020,13.47,13.59,13.36,13.45,140400,0.0,0.0
09/10/2020,13.47,13.56,13.29,13.34,143100,0.0,0.0
12/10/2020,13.35,13.48,13.09,13.43,198300,0.0,0.0
13/10/2020,13.32,13.33,13.01,13.12,138000,0.0,0.0
14/10/2020,13.16,13.4,13.01,13.02,121100,0.0,0.0
15/10/2020,13.19,13.43,12.95,13.34,149000,0.0,0.0
16/10/2020,13.25,13.25,13.06,13.08,129200,0.0,0.0
19/10/2020,13.16,13.27,12.9,12.93,154400,0.0,0.0
20/10/2020,12.93,13.19,12.93,13.05,138800,0.0,0.0
21/10/2020,13.01,13.18,12.87,13.05,130600,0.0,0.0
22/10/2020,13.1,13.3,13.07,13.25,103300,0.125,0.0
23/10/2020,13.27,13.43,13.22,13.39,134200,0.0,0.0
26/10/2020,13.3,13.3,12.82,13.02,161800,0.0,0.0
27/10/2020,13.01,13.12,12.62,12.65,191300,0.0,0.0
28/10/2020,12.42,12.61,12.25,12.27,209800,0.0,0.0
29/10/2020,12.31,12.62,12.09,12.55,116100,0.0,0.0
30/10/2020,12.46,12.84,12.26,12.45,159300,0.0,0.0
02/11/2020,12.53,12.82,12.52,12.62,143500,0.0,0.0
03/11/2020,12.82,12.85,12.57,12.68,156500,0.0,0.0
04/11/2020,12.62,12.72,12.36,12.42,124900,0.0,0.0
05/11/2020,12.45,12.78,12.43,12.72,151300,0.0,0.0
06/11/2020,12.97,12.97,12.27,12.29,223700,0.0,0.0
09/11/2020,12.64,13.7,12.59,13.39,359300,0.0,0.0
10/11/2020,13.47,14.01,13.45,13.96,230700,0.0,0.0
11/11/2020,13.98,13.98,13.53,13.67,144400,0.0,0.0
12/11/2020,13.65,13.65,13.24,13.44,140000,0.0,0.0
13/11/2020,13.57,13.85,13.42,13.8,190100,0.0,0.0
16/11/2020,14.12,14.24,13.8,13.93,278400,0.0,0.0
17/11/2020,13.87,14.11,13.83,14.0,152200,0.0,0.0
18/11/2020,14.0,14.31,13.81,13.81,161700,0.0,0.0
19/11/2020,13.88,14.02,13.65,13.93,136700,0.125,0.0
20/11/2020,13.85,14.19,13.78,13.97,112900,0.0,0.0
23/11/2020,13.99,14.34,13.97,14.05,206900,0.0,0.0
24/11/2020,14.29,14.56,14.14,14.34,164800,0.0,0.0
25/11/2020,14.37,14.49,14.02,14.07,139500,0.0,0.0
27/11/2020,14.11,14.24,13.92,14.0,119600,0.0,0.0
30/11/2020,14.12,14.15,13.92,13.96,211100,0.0,0.0
01/12/2020,14.28,14.28,13.97,14.04,219700,0.0,0.0
02/12/2020,14.04,14.11,13.94,14.04,188000,0.0,0.0
03/12/2020,14.1,14.22,13.99,14.07,233900,0.0,0.0
04/12/2020,14.12,14.32,14.05,14.12,304500,0.0,0.0
07/12/2020,14.22,14.22,14.04,14.09,158400,0.0,0.0
08/12/2020,14.05,14.25,14.05,14.12,178600,0.0,0.0
09/12/2020,14.22,14.29,14.05,14.12,157000,0.0,0.0
10/12/2020,14.11,14.15,13.99,14.05,156200,0.0,0.0
11/12/2020,14.02,14.1,13.93,13.99,161600,0.0,0.0
14/12/2020,14.2,14.42,14.1,14.16,221100,0.0,0.0
15/12/2020,14.26,14.43,13.99,14.43,223300,0.0,0.0
16/12/2020,14.48,14.51,14.3,14.41,186800,0.0,0.0
17/12/2020,14.42,14.46,14.22,14.39,203600,0.0,0.0
18/12/2020,14.39,14.46,14.02,14.08,568700,0.0,0.0
21/12/2020,13.99,14.08,13.83,13.97,246600,0.0,0.0
22/12/2020,14.07,14.11,13.86,13.88,175900,0.125,0.0
23/12/2020,13.9,14.07,13.7,13.72,200300,0.0,0.0
24/12/2020,13.81,13.89,13.61,13.83,124500,0.0,0.0
28/12/2020,13.97,14.02,13.85,13.9,229100,0.0,0.0
29/12/2020,13.83,13.9,13.65,13.79,265100,0.0,0.0
30/12/2020,13.89,14.07,13.83,13.86,175700,0.0,0.0
31/12/2020,13.93,14.02,13.76,13.99,214800,0.0,0.0
04/01/2021,13.94,14.14,13.66,13.73,213700,0.0,0.0
05/01/2021,13.88,13.99,13.72,13.78,194300,0.0,0.0
06/01/2021,13.79,14.14,13.79,13.97,233700,0.0,0.0
07/01/2021,13.98,14.03,13.73,13.88,166100,0.0,0.0
08/01/2021,13.89,13.9,13.77,13.89,133600,0.0,0.0
11/01/2021,13.79,13.96,13.76,13.92,229300,0.0,0.0
12/01/2021,13.97,14.1,13.9,14.1,196800,0.0,0.0
13/01/2021,14.11,14.14,13.95,14.04,141800,0.0,0.0
14/01/2021,14.13,14.21,14.07,14.1,188900,0.0,0.0
15/01/2021,14.04,14.48,14.01,14.41,212600,0.0,0.0
19/01/2021,14.46,14.6,14.36,14.45,224300,0.0,0.0
20/01/2021,14.42,14.63,14.4,14.59,240500,0.0,0.0
21/01/2021,14.67,14.67,14.23,14.38,213500,0.125,0.0
22/01/2021,14.32,14.42,14.15,14.38,174900,0.0,0.0
25/01/2021,14.28,14.42,14.11,14.29,204400,0.0,0.0
26/01/2021,14.4,14.46,14.18,14.26,206200,0.0,0.0
27/01/2021,14.16,14.26,13.95,14.07,251300,0.0,0.0
28/01/2021,14.04,14.36,13.89,14.15,277000,0.0,0.0
29/01/2021,14.18,14.31,13.83,13.86,265200,0.0,0.0
01/02/2021,14.04,14.04,13.66,13.96,299900,0.0,0.0
02/02/2021,14.01,14.08,13.93,14.03,213100,0.0,0.0
03/02/2021,14.04,14.22,13.89,14.17,256700,0.0,0.0
04/02/2021,14.18,14.55,14.18,14.39,279600,0.0,0.0
05/02/2021,14.54,14.54,14.29,14.4,170100,0.0,0.0
08/02/2021,14.43,14.59,14.3,14.57,235200,0.0,0.0
09/02/2021,14.65,14.76,14.52,14.61,193800,0.0,0.0
10/02/2021,14.77,15.03,14.64,14.89,205700,0.0,0.0
11/02/2021,14.89,15.2,14.89,15.14,221500,0.0,0.0
12/02/2021,15.11,15.12,14.94,15.1,146800,0.0,0.0
16/02/2021,15.2,15.2,14.93,15.1,205700,0.125,0.0
17/02/2021,15.09,15.55,14.99,15.12,273000,0.0,0.0
18/02/2021,15.09,15.32,14.68,14.69,243300,0.0,0.0
19/02/2021,14.7,15.29,14.6,14.67,200300,0.0,0.0
22/02/2021,14.71,14.91,14.62,14.85,214400,0.0,0.0
23/02/2021,14.88,15.2,14.88,14.91,227500,0.0,0.0
24/02/2021,14.95,15.36,14.77,14.9,439800,0.0,0.0
25/02/2021,14.96,15.1,14.68,14.68,485800,0.0,0.0
26/02/2021,14.81,15.17,14.7,14.71,666000,0.0,0.0
01/03/2021,14.92,15.15,14.92,15.0,310300,0.0,0.0
02/03/2021,15.03,15.13,14.84,14.97,210900,0.0,0.0
03/03/2021,14.96,15.73,14.96,15.51,438900,0.0,0.0
04/03/2021,15.51,15.69,15.27,15.44,298500,0.0,0.0
05/03/2021,15.53,15.6,15.04,15.38,301000,0.0,0.0
08/03/2021,15.39,15.66,15.32,15.48,232200,0.0,0.0
09/03/2021,15.49,15.58,15.21,15.43,299500,0.0,0.0
10/03/2021,15.44,15.58,15.32,15.52,216200,0.0,0.0
11/03/2021,15.54,15.95,15.43,15.71,267700,0.0,0.0
12/03/2021,15.82,16.11,15.76,16.11,271400,0.0,0.0
15/03/2021,16.12,16.5,16.05,16.34,255600,0.0,0.0
16/03/2021,16.47,16.47,16.05,16.17,230100,0.0,0.0
17/03/2021,16.16,16.16,15.86,16.03,167200,0.125,0.0
18/03/2021,16.04,16.12,15.71,15.77,167600,0.0,0.0
19/03/2021,15.8,15.85,15.49,15.54,376300,0.0,0.0
22/03/2021,15.58,15.65,15.19,15.39,206700,0.0,0.0
23/03/2021,15.39,15.52,15.24,15.3,143500,0.0,0.0
24/03/2021,15.36,15.69,15.25,15.27,194800,0.0,0.0
25/03/2021,15.24,15.44,15.01,15.38,206500,0.0,0.0
26/03/2021,15.55,15.65,15.45,15.63,185500,0.0,0.0
29/03/2021,15.64,15.74,15.39,15.48,156900,0.0,0.0
30/03/2021,15.45,15.8,15.43,15.7,195800,0.0,0.0
31/03/2021,15.75,15.76,15.49,15.5,227200,0.0,0.0
01/04/2021,15.54,15.89,15.47,15.89,206100,0.0,0.0
05/04/2021,16.0,16.12,15.9,16.03,178800,0.0,0.0
06/04/2021,16.05,16.18,15.99,16.12,170100,0.0,0.0
07/04/2021,16.13,16.24,16.09,16.19,144400,0.0,0.0
08/04/2021,16.23,16.26,16.08,16.23,119200,0.0,0.0
09/04/2021,16.27,16.27,16.06,16.06,122400,0.0,0.0
12/04/2021,16.1,16.15,15.93,16.12,149800,0.0,0.0
13/04/2021,16.09,16.23,15.97,16.15,126500,0.0,0.0
14/04/2021,16.16,16.27,16.04,16.06,138400,0.0,0.0
15/04/2021,16.0,16.38,15.93,16.36,134400,0.0,0.0
16/04/2021,16.42,16.48,16.32,16.44,154500,0.0,0.0
19/04/2021,16.52,16.52,16.27,16.33,141200,0.0,0.0
20/04/2021,16.36,16.59,16.36,16.5,164000,0.0,0.0
21/04/2021,16.51,16.6,16.44,16.57,200900,0.0,0.0
22/04/2021,16.65,16.65,16.42,16.44,164700,0.125,0.0
23/04/2021,16.46,16.63,16.4,16.52,151200,0.0,0.0
26/04/2021,16.6,16.7,16.57,16.61,166500,0.0,0.0
27/04/2021,16.65,16.65,16.5,16.53,102700,0.0,0.0
28/04/2021,16.56,16.68,16.53,16.56,101900,0.0,0.0
29/04/2021,16.66,16.82,16.64,16.71,147300,0.0,0.0
30/04/2021,16.7,16.89,16.67,16.77,207500,0.0,0.0
03/05/2021,16.86,17.08,16.81,16.91,231700,0.0,0.0
04/05/2021,16.86,17.08,16.66,16.69,154400,0.0,0.0
05/05/2021,16.71,16.79,16.4,16.6,143800,0.0,0.0
06/05/2021,16.75,16.75,16.51,16.74,132800,0.0,0.0
07/05/2021,16.63,17.0,16.63,16.98,111200,0.0,0.0
10/05/2021,17.07,17.25,16.88,16.89,215600,0.0,0.0
11/05/2021,16.85,16.85,16.3,16.62,267700,0.0,0.0
12/05/2021,16.4,16.67,16.14,16.19,276600,0.0,0.0
13/05/2021,16.26,16.63,16.18,16.51,289800,0.0,0.0
14/05/2021,16.59,16.66,16.39,16.64,219000,0.0,0.0
17/05/2021,17.01,17.01,16.6,16.81,213000,0.0,0.0
18/05/2021,16.83,16.97,16.69,16.69,163000,0.125,0.0
19/05/2021,16.68,16.69,16.33,16.67,139600,0.0,0.0
20/05/2021,16.57,16.64,16.46,16.53,275800,0.0,0.0
21/05/2021,16.62,16.69,16.53,16.63,243000,0.0,0.0
24/05/2021,16.57,16.73,16.56,16.67,233800,0.0,0.0
25/05/2021,16.73,16.81,16.61,16.61,184500,0.0,0.0
26/05/2021,16.62,16.82,16.6,16.77,144800,0.0,0.0
27/05/2021,16.95,17.38,16.85,17.18,413700,0.0,0.0
28/05/2021,17.24,17.39,17.05,17.38,319300,0.0,0.0
01/06/2021,17.44,17.6,17.36,17.6,276100,0.0,0.0
02/06/2021,17.64,17.74,17.57,17.63,228900,0.0,0.0
03/06/2021,17.71,17.71,17.4,17.57,230100,0.0,0.0
04/06/2021,17.6,17.75,17.43,17.55,148900,0.0,0.0
07/06/2021,17.62,17.98,17.56,17.9,246400,0.0,0.0
08/06/2021,17.92,18.2,17.92,18.18,183900,0.0,0.0
09/06/2021,18.24,18.34,18.19,18.24,173800,0.0,0.0
10/06/2021,18.31,18.4,18.16,18.21,137900,0.0,0.0
11/06/2021,18.24,18.33,18.09,18.25,114500,0.0,0.0
14/06/2021,18.28,18.54,18.26,18.53,204800,0.0,0.0
15/06/2021,18.72,18.72,18.48,18.49,226500,0.0,0.0
16/06/2021,18.42,18.44,18.24,18.31,237100,0.0,0.0
17/06/2021,18.32,18.37,18.08,18.2,229300,0.125,0.0
18/06/2021,18.08,18.2,17.71,17.8,561500,0.0,0.0
21/06/2021,17.83,18.37,17.83,18.3,238300,0.0,0.0
22/06/2021,18.31,18.37,18.15,18.3,117100,0.0,0.0
23/06/2021,18.32,18.49,18.27,18.29,151200,0.0,0.0
24/06/2021,18.33,18.44,18.18,18.44,139600,0.0,0.0
25/06/2021,18.45,18.46,18.16,18.22,385600,0.0,0.0
28/06/2021,18.31,18.31,17.79,18.01,192400,0.0,0.0
29/06/2021,18.09,18.15,17.98,18.05,107500,0.0,0.0
30/06/2021,18.07,18.29,18.07,18.19,134600,0.0,0.0
01/07/2021,18.22,18.33,18.15,18.2,180100,0.0,0.0
02/07/2021,18.2,18.29,18.1,18.16,111100,0.0,0.0
06/07/2021,18.19,18.34,17.86,18.33,161300,0.0,0.0
07/07/2021,18.32,18.37,17.95,18.07,143400,0.0,0.0
08/07/2021,17.98,17.98,17.69,17.87,139200,0.0,0.0
09/07/2021,17.98,18.21,17.91,18.2,107400,0.0,0.0
12/07/2021,18.09,18.34,18.09,18.3,106900,0.0,0.0
13/07/2021,18.24,18.3,18.05,18.12,115200,0.0,0.0
14/07/2021,18.2,18.29,18.15,18.16,90700,0.0,0.0
15/07/2021,18.15,18.34,18.08,18.3,113700,0.0,0.0
16/07/2021,18.38,18.58,18.26,18.42,258200,0.0,0.0
19/07/2021,18.17,18.24,17.84,18.02,180100,0.0,0.0
20/07/2021,18.09,18.74,18.09,18.57,260500,0.0,0.0
21/07/2021,18.7,18.94,18.65,18.7,141300,0.0,0.0
22/07/2021,18.82,18.82,18.36,18.51,122500,0.125,0.0
23/07/2021,18.51,18.61,18.44,18.59,88200,0.0,0.0
26/07/2021,18.7,18.81,18.6,18.69,107400,0.0,0.0
27/07/2021,18.75,18.87,18.6,18.71,173500,0.0,0.0
28/07/2021,18.85,18.85,18.54,18.65,108800,0.0,0.0
29/07/2021,18.73,18.95,18.66,18.83,102900,0.0,0.0
30/07/2021,18.83,19.03,18.72,18.79,126300,0.0,0.0
02/08/2021,18.83,19.02,18.52,18.57,151900,0.0,0.0
03/08/2021,18.56,18.68,18.3,18.4,135000,0.0,0.0
04/08/2021,18.31,18.37,18.15,18.19,132600,0.0,0.0
05/08/2021,18.23,18.74,18.23,18.73,109300,0.0,0.0
06/08/2021,18.81,18.92,18.64,18.72,106700,0.0,0.0
09/08/2021,18.79,18.81,18.54,18.63,104500,0.0,0.0
10/08/2021,18.51,18.61,18.32,18.38,126400,0.0,0.0
11/08/2021,18.37,18.5,18.2,18.23,282000,0.0,0.0
12/08/2021,18.27,18.32,18.07,18.3,127000,0.0,0.0
13/08/2021,18.35,18.64,18.3,18.54,106100,0.0,0.0
16/08/2021,18.47,18.57,18.37,18.45,88900,0.0,0.0
17/08/2021,18.42,18.58,18.25,18.57,141600,0.0,0.0
18/08/2021,18.49,18.51,18.32,18.35,154800,0.0,0.0
19/08/2021,18.31,18.35,17.95,18.18,224400,0.0,0.0
20/08/2021,18.13,18.4,17.99,18.28,163400,0.125,0.0
23/08/2021,18.32,18.36,18.18,18.23,111500,0.0,0.0
24/08/2021,18.29,18.33,18.14,18.19,106300,0.0,0.0
25/08/2021,18.15,18.27,18.08,18.08,163000,0.0,0.0
26/08/2021,18.16,18.18,18.06,18.06,128200,0.0,0.0
27/08/2021,18.15,18.37,18.14,18.3,139800,0.0,0.0
30/08/2021,18.36,18.39,18.19,18.37,116500,0.0,0.0
31/08/2021,18.41,18.59,18.33,18.45,149200,0.0,0.0
01/09/2021,18.46,18.58,18.42,18.54,105900,0.0,0.0
02/09/2021,18.51,18.56,18.42,18.56,89800,0.0,0.0
03/09/2021,18.49,18.51,18.38,18.5,118100,0.0,0.0
