Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,66.57,67.5,66.07,67.33,55842000,0.0,0.0
01/05/2020,66.2,67.57,65.48,65.87,48872000,0.0,0.0
04/05/2020,65.41,66.22,64.8,66.14,30806000,0.0,0.0
05/05/2020,66.88,68.55,66.75,67.45,39666000,0.0,0.0
06/05/2020,67.9,68.43,67.26,67.27,31732000,0.0,0.0
07/05/2020,68.07,68.8,67.63,68.46,30652000,0.0,0.0
08/05/2020,69.09,69.83,68.6,69.22,33326000,0.0,0.0
11/05/2020,68.84,70.78,68.78,70.18,32718000,0.0,0.0
12/05/2020,70.41,70.72,68.73,68.76,33918000,0.0,0.0
13/05/2020,68.81,69.27,66.4,67.42,40368000,0.0,0.0
14/05/2020,66.68,67.87,66.17,67.84,36660000,0.0,0.0
15/05/2020,67.41,68.73,66.95,68.65,41544000,0.0,0.0
18/05/2020,68.08,69.64,67.71,69.26,47094000,0.0,0.0
19/05/2020,69.27,69.62,68.69,68.72,31586000,0.0,0.0
20/05/2020,69.46,70.6,69.37,70.46,38262000,0.0,0.0
21/05/2020,70.55,70.82,69.72,70.34,30894000,0.0,0.0
22/05/2020,70.19,70.85,69.8,70.66,28544000,0.0,0.0
26/05/2020,72.1,72.26,70.97,71.07,44590000,0.0,0.0
27/05/2020,71.0,71.27,69.73,71.01,31684000,0.0,0.0
28/05/2020,70.0,72.22,69.95,70.91,35170000,0.0,0.0
29/05/2020,71.02,71.84,70.8,71.68,37044000,0.0,0.0
01/06/2020,71.29,72.08,71.11,71.74,25162000,0.0,0.0
02/06/2020,71.75,72.15,71.08,72.12,23442000,0.0,0.0
03/06/2020,72.14,72.45,71.58,71.96,27732000,0.0,0.0
04/06/2020,71.84,72.07,70.3,70.71,26982000,0.0,0.0
05/06/2020,70.78,72.32,70.38,72.0,42642000,0.0,0.0
08/06/2020,71.31,72.45,71.22,72.4,33878000,0.0,0.0
09/06/2020,72.26,73.39,72.12,72.6,33624000,0.0,0.0
10/06/2020,73.08,73.64,72.72,73.24,31762000,0.0,0.0
11/06/2020,72.05,72.58,69.92,70.1,47144000,0.0,0.0
12/06/2020,71.29,71.73,69.29,70.65,36676000,0.0,0.0
15/06/2020,69.47,71.25,69.36,71.04,30468000,0.0,0.0
16/06/2020,72.45,72.86,71.45,72.32,30648000,0.0,0.0
17/06/2020,72.65,73.11,71.76,72.63,30610000,0.0,0.0
18/06/2020,72.49,72.65,71.31,71.71,34862000,0.0,0.0
19/06/2020,72.0,72.22,70.95,71.23,52784000,0.0,0.0
22/06/2020,71.25,72.55,70.96,72.53,29442000,0.0,0.0
23/06/2020,72.6,73.76,72.25,73.2,37752000,0.0,0.0
24/06/2020,73.16,73.79,71.5,71.64,31592000,0.0,0.0
25/06/2020,71.56,72.12,70.98,72.06,23958000,0.0,0.0
26/06/2020,71.63,71.85,67.75,68.13,97640000,0.0,0.0
29/06/2020,68.02,69.9,67.58,69.86,45074000,0.0,0.0
30/06/2020,69.84,71.2,69.35,70.9,40286000,0.0,0.0
01/07/2020,70.96,72.42,70.71,72.1,42182000,0.0,0.0
02/07/2020,72.59,74.43,72.55,73.5,57218000,0.0,0.0
06/07/2020,74.41,75.5,73.85,74.98,44712000,0.0,0.0
07/07/2020,74.81,76.07,74.49,74.5,42364000,0.0,0.0
08/07/2020,75.04,75.56,74.61,75.18,31766000,0.0,0.0
09/07/2020,75.5,76.46,74.78,75.93,41836000,0.0,0.0
10/07/2020,75.66,77.07,75.04,76.95,35918000,0.0,0.0
13/07/2020,77.5,78.82,75.33,75.61,42954000,0.0,0.0
14/07/2020,74.64,76.14,74.3,76.04,38108000,0.0,0.0
15/07/2020,76.16,76.82,74.89,75.84,31026000,0.0,0.0
16/07/2020,75.07,75.8,74.41,75.75,26484000,0.0,0.0
17/07/2020,75.85,76.17,74.9,75.84,34264000,0.0,0.0
20/07/2020,75.75,78.45,75.14,78.19,30166000,0.0,0.0
21/07/2020,79.25,79.35,77.63,77.8,27486000,0.0,0.0
22/07/2020,77.79,78.35,77.16,78.24,24482000,0.0,0.0
23/07/2020,78.3,78.52,75.43,75.84,33910000,0.0,0.0
24/07/2020,74.96,75.77,74.38,75.41,29902000,0.0,0.0
27/07/2020,75.66,76.88,75.62,76.47,27124000,0.0,0.0
28/07/2020,76.25,76.3,75.03,75.18,30910000,0.0,0.0
29/07/2020,75.25,76.67,75.15,76.18,22676000,0.0,0.0
30/07/2020,74.9,77.04,74.76,76.92,36042000,0.0,0.0
