Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,24.18,24.42,23.49,23.9,559000,0.0,0.0
01/05/2020,22.99,23.18,21.55,22.64,742700,0.0,0.0
04/05/2020,21.96,23.33,21.56,23.28,834200,0.0,0.0
05/05/2020,24.28,24.94,23.59,23.7,698300,0.0,0.0
06/05/2020,23.76,24.3,23.43,23.8,329200,0.0,0.0
07/05/2020,24.13,24.28,23.19,23.71,642000,0.0,0.0
08/05/2020,25.61,27.17,24.69,25.43,1336100,0.0,0.0
11/05/2020,24.82,25.08,23.64,24.69,977300,0.0,0.0
12/05/2020,24.75,25.15,23.92,24.05,574800,0.0,0.0
13/05/2020,23.94,23.95,22.15,22.68,945900,0.0,0.0
14/05/2020,22.14,22.67,21.14,22.58,760600,0.0,0.0
15/05/2020,22.59,23.55,22.19,23.4,539300,0.0,0.0
18/05/2020,24.45,26.0,24.45,25.92,777500,0.0,0.0
19/05/2020,25.61,25.91,25.23,25.35,688900,0.0,0.0
20/05/2020,25.64,25.67,24.74,24.96,790200,0.0,0.0
21/05/2020,24.67,25.59,24.63,25.24,429500,0.0,0.0
22/05/2020,25.29,25.3,24.69,25.15,426100,0.0,0.0
26/05/2020,25.97,26.0,25.07,25.39,592300,0.0,0.0
27/05/2020,25.77,25.87,24.54,25.7,834800,0.0,0.0
28/05/2020,26.01,26.15,25.29,25.61,795800,0.0,0.0
29/05/2020,25.3,25.64,24.24,24.77,4379900,0.0,0.0
01/06/2020,24.99,26.4,24.67,26.06,1016400,0.0,0.0
02/06/2020,26.34,26.4,24.7,24.76,514600,0.0,0.0
03/06/2020,25.3,26.56,25.28,25.98,611000,0.0,0.0
04/06/2020,25.97,25.97,24.8,25.09,658900,0.0,0.0
05/06/2020,26.26,26.42,25.67,25.76,742600,0.0,0.0
08/06/2020,26.5,26.66,25.82,26.11,796200,0.0,0.0
09/06/2020,25.54,25.92,25.36,25.5,585600,0.0,0.0
10/06/2020,25.5,25.66,24.78,25.27,574700,0.0,0.0
11/06/2020,23.9,24.76,23.59,23.89,1159700,0.0,0.0
12/06/2020,24.75,24.98,23.25,24.13,849700,0.0,0.0
15/06/2020,23.27,25.42,23.22,25.15,674400,0.0,0.0
16/06/2020,26.37,26.8,25.15,25.33,605500,0.0,0.0
17/06/2020,25.18,25.18,24.19,24.36,540300,0.0,0.0
18/06/2020,24.08,25.52,24.08,25.14,505900,0.0,0.0
19/06/2020,25.56,25.87,24.68,24.9,1594100,0.0,0.0
22/06/2020,24.71,24.83,24.05,24.54,655200,0.0,0.0
23/06/2020,24.93,25.18,24.33,24.39,674600,0.0,0.0
24/06/2020,23.9,24.3,23.14,23.55,618700,0.0,0.0
25/06/2020,23.47,24.32,23.35,24.3,626600,0.0,0.0
26/06/2020,24.07,24.28,23.05,23.22,1529000,0.0,0.0
29/06/2020,23.51,24.21,23.3,24.07,395600,0.0,0.0
30/06/2020,23.95,24.32,23.59,24.3,552000,0.0,0.0
01/07/2020,24.43,24.78,24.09,24.4,502000,0.34,0.0
02/07/2020,24.89,25.31,24.43,24.52,412400,0.0,0.0
06/07/2020,24.95,25.53,24.9,25.0,487100,0.0,0.0
07/07/2020,24.75,25.19,24.67,24.73,504300,0.0,0.0
08/07/2020,24.87,26.01,24.87,26.01,593000,0.0,0.0
09/07/2020,26.02,26.93,25.5,25.58,810900,0.0,0.0
10/07/2020,25.5,25.81,25.0,25.8,439600,0.0,0.0
13/07/2020,25.93,27.08,25.83,25.92,614300,0.0,0.0
14/07/2020,25.95,27.68,25.93,27.41,842600,0.0,0.0
15/07/2020,28.24,28.94,27.94,28.87,1201700,0.0,0.0
16/07/2020,28.63,28.85,27.91,27.97,804300,0.0,0.0
17/07/2020,28.0,29.0,27.99,28.83,704300,0.0,0.0
20/07/2020,28.75,28.9,28.34,28.54,425700,0.0,0.0
21/07/2020,28.94,29.56,28.77,29.45,809000,0.0,0.0
22/07/2020,29.19,30.04,29.09,29.94,711600,0.0,0.0
23/07/2020,29.8,30.82,29.5,29.62,953900,0.0,0.0
24/07/2020,29.45,29.5,28.65,29.0,688100,0.0,0.0
27/07/2020,29.0,29.91,28.82,29.7,489700,0.0,0.0
28/07/2020,29.81,30.24,29.64,29.78,856400,0.0,0.0
29/07/2020,29.92,30.36,29.54,30.21,500300,0.0,0.0
30/07/2020,29.69,30.2,29.59,30.09,429200,0.0,0.0
31/07/2020,30.2,30.59,29.6,30.27,595800,0.0,0.0
03/08/2020,30.43,30.88,30.16,30.59,523200,0.0,0.0
04/08/2020,30.56,31.53,30.48,31.39,453700,0.0,0.0
05/08/2020,31.8,32.21,31.16,31.87,583200,0.0,0.0
06/08/2020,32.04,32.81,31.61,31.79,1101600,0.0,0.0
07/08/2020,32.02,33.58,31.97,33.06,947600,0.0,0.0
10/08/2020,33.26,34.22,33.16,33.9,730400,0.0,0.0
11/08/2020,34.22,34.22,32.44,32.61,671800,0.0,0.0
12/08/2020,33.11,34.71,32.87,34.6,559700,0.0,0.0
13/08/2020,33.7,33.96,32.95,33.19,899000,0.0,0.0
14/08/2020,33.14,33.41,32.72,33.36,396000,0.0,0.0
17/08/2020,33.49,34.5,33.26,34.21,570600,0.0,0.0
18/08/2020,33.6,33.89,32.06,32.77,2118000,0.0,0.0
19/08/2020,32.6,34.08,32.4,33.65,1631900,0.0,0.0
20/08/2020,33.34,36.19,33.34,35.98,1717600,0.0,0.0
21/08/2020,35.88,36.54,35.4,35.62,954300,0.0,0.0
24/08/2020,35.78,36.25,35.51,36.16,611800,0.0,0.0
