Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,198.21,203.07,197.96,200.99,5152700,0.0,0.0
01/05/2020,198.19,200.87,197.27,199.83,3819300,0.0,0.0
04/05/2020,198.11,203.57,196.76,202.82,4090900,0.0,0.0
05/05/2020,205.66,209.23,204.44,206.27,4655200,0.0,0.0
06/05/2020,207.88,208.86,204.62,204.73,3321100,0.0,0.0
07/05/2020,207.09,211.77,207.01,209.78,4501300,0.0,0.0
08/05/2020,212.75,215.36,211.34,214.33,4365200,0.0,0.0
11/05/2020,211.9,218.3,211.43,216.28,4378300,0.0,0.0
12/05/2020,218.12,218.74,212.94,212.94,4399600,0.0,0.0
13/05/2020,213.06,216.04,208.95,210.38,6237200,0.0,0.0
14/05/2020,206.97,214.54,206.81,214.38,6434500,0.0,0.0
15/05/2020,212.83,222.38,212.75,218.81,16176300,0.0,0.0
18/05/2020,224.77,227.03,223.12,224.32,8314800,0.0,0.0
19/05/2020,219.84,221.68,217.42,217.69,9387000,0.0,0.0
20/05/2020,221.26,221.5,214.81,217.77,7534200,0.0,0.0
21/05/2020,217.25,220.51,215.58,220.23,4772700,0.0,0.0
22/05/2020,220.07,221.57,218.2,221.15,3041800,0.0,0.0
26/05/2020,226.88,226.94,221.32,221.69,4535200,0.0,0.0
27/05/2020,221.89,226.18,220.14,226.16,4664800,0.0,0.0
28/05/2020,228.13,230.61,223.48,224.13,5259300,0.0,0.0
29/05/2020,224.05,228.3,223.75,227.18,5341600,0.0,0.0
01/06/2020,228.03,228.37,224.79,226.09,3407800,0.0,0.0
02/06/2020,227.32,231.06,225.83,231.05,5301000,0.0,0.0
03/06/2020,231.59,232.54,230.29,230.85,4638100,1.5,0.0
04/06/2020,229.72,231.93,227.61,228.97,4759400,0.0,0.0
05/06/2020,232.09,235.31,230.28,234.44,5054300,0.0,0.0
08/06/2020,232.22,236.2,232.01,236.16,3811900,0.0,0.0
09/06/2020,234.84,237.56,233.48,236.15,3716100,0.0,0.0
10/06/2020,236.79,238.48,233.82,234.03,3589800,0.0,0.0
11/06/2020,228.89,230.5,219.58,220.25,6563700,0.0,0.0
12/06/2020,223.56,226.61,218.02,222.99,5238500,0.0,0.0
15/06/2020,218.55,222.78,215.5,221.99,6250900,0.0,0.0
16/06/2020,229.38,231.45,223.38,229.89,5291600,0.0,0.0
17/06/2020,232.48,234.18,230.01,230.72,4234000,0.0,0.0
18/06/2020,229.35,231.54,227.29,229.21,3347800,0.0,0.0
19/06/2020,232.79,233.89,226.6,226.85,11114600,0.0,0.0
22/06/2020,225.98,229.99,225.8,229.16,3815200,0.0,0.0
23/06/2020,232.69,233.1,230.05,230.22,3105300,0.0,0.0
24/06/2020,227.92,230.2,223.25,226.38,3873000,0.0,0.0
25/06/2020,225.15,226.58,222.76,225.69,2938400,0.0,0.0
26/06/2020,225.66,226.35,220.97,221.67,5002700,0.0,0.0
29/06/2020,223.18,226.72,221.05,226.37,3468300,0.0,0.0
30/06/2020,227.18,231.45,226.34,230.4,4524600,0.0,0.0
01/07/2020,229.61,230.24,227.11,228.23,3677300,0.0,0.0
02/07/2020,231.72,232.05,228.02,228.55,3369800,0.0,0.0
06/07/2020,230.18,231.31,227.21,229.52,3133800,0.0,0.0
07/07/2020,227.52,230.65,227.24,227.5,2927800,0.0,0.0
08/07/2020,227.98,229.74,226.46,229.17,2294000,0.0,0.0
09/07/2020,229.62,230.4,226.58,228.06,2994700,0.0,0.0
10/07/2020,228.36,230.24,226.84,230.04,2745300,0.0,0.0
13/07/2020,231.7,237.16,229.1,229.58,4437500,0.0,0.0
14/07/2020,229.01,237.46,228.52,237.1,4614200,0.0,0.0
15/07/2020,239.26,240.32,234.67,237.11,4343700,0.0,0.0
16/07/2020,236.15,239.59,235.45,237.37,2511200,0.0,0.0
17/07/2020,239.16,239.73,237.03,239.48,3091300,0.0,0.0
20/07/2020,238.25,240.24,237.31,239.29,2451100,0.0,0.0
21/07/2020,240.62,242.69,239.79,241.36,2439900,0.0,0.0
22/07/2020,241.51,244.27,240.97,243.89,2750000,0.0,0.0
23/07/2020,246.31,246.31,240.79,242.64,2680100,0.0,0.0
24/07/2020,243.77,245.47,241.88,244.02,2984500,0.0,0.0
27/07/2020,243.81,247.12,243.81,245.96,2412500,0.0,0.0
28/07/2020,247.0,247.47,243.43,243.99,2227000,0.0,0.0
29/07/2020,243.55,245.67,242.97,243.42,2874100,0.0,0.0
30/07/2020,242.2,245.89,240.56,244.94,2347800,0.0,0.0
31/07/2020,243.73,245.73,239.69,244.18,3640600,0.0,0.0
03/08/2020,245.32,247.02,244.35,244.82,2363500,0.0,0.0
04/08/2020,245.23,246.39,242.66,246.37,2224000,0.0,0.0
05/08/2020,246.85,246.85,244.55,246.01,1959900,0.0,0.0
06/08/2020,245.2,248.73,245.14,247.75,2203400,0.0,0.0
07/08/2020,248.89,252.85,248.15,249.84,2846300,0.0,0.0
10/08/2020,250.55,252.93,249.98,252.68,2393100,0.0,0.0
11/08/2020,255.4,256.95,252.39,252.85,3321300,0.0,0.0
12/08/2020,257.3,260.26,254.73,258.98,3867900,0.0,0.0
13/08/2020,258.59,259.96,257.29,259.05,2202400,0.0,0.0
14/08/2020,258.58,259.37,256.78,258.03,2490400,0.0,0.0
17/08/2020,261.57,266.01,260.81,265.11,5584400,0.0,0.0
18/08/2020,265.71,267.26,260.32,262.13,6934300,0.0,0.0
19/08/2020,264.39,264.86,259.3,260.16,4986800,0.0,0.0
20/08/2020,258.02,259.28,257.01,258.15,3530000,0.0,0.0
21/08/2020,257.5,260.79,256.07,260.5,5519100,0.0,0.0
24/08/2020,262.12,263.83,259.29,263.73,4430900,0.0,0.0
25/08/2020,264.21,264.41,261.1,263.16,2854500,0.0,0.0
26/08/2020,264.64,268.67,263.29,268.5,4001900,0.0,0.0
27/08/2020,268.77,269.44,263.56,265.46,3430900,0.0,0.0
28/08/2020,265.17,265.65,261.91,263.31,3100100,0.0,0.0
31/08/2020,262.13,263.68,260.17,262.16,4105400,0.0,0.0
01/09/2020,261.23,263.67,260.75,262.99,3235100,0.0,0.0
02/09/2020,263.37,266.32,262.21,265.54,3464600,1.5,0.0
03/09/2020,265.63,266.0,251.65,253.92,5380100,0.0,0.0
04/09/2020,254.77,255.9,244.71,249.32,5253500,0.0,0.0
08/09/2020,246.97,250.6,242.99,248.95,5241200,0.0,0.0
09/09/2020,251.91,258.64,251.26,256.15,4754700,0.0,0.0
10/09/2020,257.04,259.79,250.72,252.14,3156300,0.0,0.0
11/09/2020,253.32,257.02,252.84,255.49,3729200,0.0,0.0
14/09/2020,257.54,261.16,257.05,259.49,3055800,0.0,0.0
15/09/2020,261.7,265.08,261.09,264.04,4174900,0.0,0.0
16/09/2020,264.07,264.97,259.51,260.39,3379100,0.0,0.0
17/09/2020,256.95,261.4,256.07,258.85,3166600,0.0,0.0
18/09/2020,257.41,258.73,250.39,254.44,6072900,0.0,0.0
21/09/2020,251.37,252.32,246.43,251.81,3548000,0.0,0.0
22/09/2020,251.19,252.89,250.22,252.7,2972000,0.0,0.0
23/09/2020,254.65,255.76,244.73,246.45,4467600,0.0,0.0
24/09/2020,245.67,249.36,243.98,245.66,3095600,0.0,0.0
25/09/2020,244.27,249.78,244.02,248.3,2457700,0.0,0.0
28/09/2020,251.42,253.54,249.92,251.79,3061100,0.0,0.0
29/09/2020,252.78,253.19,250.66,251.59,2048900,0.0,0.0
30/09/2020,252.86,258.81,251.97,256.77,4778800,0.0,0.0
01/10/2020,258.37,258.88,255.05,256.68,2696900,0.0,0.0
02/10/2020,254.21,259.88,253.43,258.25,2943600,0.0,0.0
05/10/2020,259.74,261.12,258.61,260.83,2330700,0.0,0.0
06/10/2020,261.2,261.66,254.97,255.62,2992500,0.0,0.0
07/10/2020,259.67,262.58,258.88,261.46,3423700,0.0,0.0
08/10/2020,262.43,263.46,259.97,263.06,2256200,0.0,0.0
09/10/2020,263.94,265.62,262.67,264.36,2240100,0.0,0.0
12/10/2020,265.72,266.59,264.49,265.27,2411900,0.0,0.0
13/10/2020,264.15,268.84,264.15,268.46,2699900,0.0,0.0
14/10/2020,267.68,268.41,263.65,265.44,2221000,0.0,0.0
15/10/2020,262.69,268.36,261.77,265.86,2699400,0.0,0.0
16/10/2020,266.51,270.58,265.59,265.97,3108600,0.0,0.0
19/10/2020,267.91,268.23,262.01,262.33,2428100,0.0,0.0
20/10/2020,263.64,267.94,262.7,264.47,2281500,0.0,0.0
21/10/2020,263.87,266.3,261.92,263.05,2304500,0.0,0.0
22/10/2020,262.52,264.14,259.49,259.96,2787000,0.0,0.0
23/10/2020,261.09,261.83,258.47,261.66,1750600,0.0,0.0
26/10/2020,258.55,260.3,251.49,255.22,2911900,0.0,0.0
27/10/2020,256.1,258.63,255.3,255.96,3014100,0.0,0.0
28/10/2020,249.87,253.03,248.43,249.38,3255900,0.0,0.0
29/10/2020,249.35,253.06,247.15,249.3,2872500,0.0,0.0
30/10/2020,248.55,249.29,242.27,246.6,3872800,0.0,0.0
02/11/2020,249.78,254.06,248.27,250.32,2956400,0.0,0.0
03/11/2020,254.12,258.45,253.08,256.45,3037500,0.0,0.0
04/11/2020,255.89,265.39,255.2,261.4,3525300,0.0,0.0
05/11/2020,266.6,267.21,262.66,264.29,2516600,0.0,0.0
