Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,20.11,20.2,19.32,19.35,719800,0.0,0.0
01/05/2020,18.93,19.02,18.13,18.45,420800,0.0,0.0
04/05/2020,17.88,18.24,17.53,17.89,372000,0.0,0.0
05/05/2020,18.29,18.79,18.07,18.18,367500,0.0,0.0
06/05/2020,18.19,18.38,17.42,17.42,501200,0.0,0.0
07/05/2020,18.29,19.28,18.23,18.48,690100,0.0,0.0
08/05/2020,18.98,19.83,18.8,19.81,595700,0.0,0.0
11/05/2020,19.24,19.35,17.94,18.86,720400,0.0,0.0
12/05/2020,18.96,19.48,18.4,18.48,797500,0.0,0.0
13/05/2020,18.19,18.19,17.03,17.2,382600,0.0,0.0
14/05/2020,16.68,17.73,16.14,17.73,645700,0.0,0.0
15/05/2020,18.04,19.81,17.9,19.76,1179700,0.0,0.0
18/05/2020,21.01,21.61,20.77,21.29,844900,0.0,0.0
19/05/2020,21.02,21.92,20.41,21.03,458500,0.0,0.0
20/05/2020,20.8,22.52,20.8,22.4,535400,0.0,0.0
21/05/2020,22.32,23.32,22.21,22.9,560600,0.0,0.0
22/05/2020,23.1,23.13,22.33,22.79,229000,0.0,0.0
26/05/2020,23.92,24.95,23.92,24.69,572200,0.0,0.0
27/05/2020,25.43,26.06,24.71,25.17,503700,0.0,0.0
28/05/2020,25.53,25.53,24.11,24.2,347400,0.0,0.0
29/05/2020,23.75,24.17,23.42,23.77,509400,0.0,0.0
01/06/2020,23.93,24.72,23.76,24.24,412400,0.0,0.0
02/06/2020,24.6,24.93,24.31,24.38,282800,0.0,0.0
03/06/2020,24.85,25.63,24.72,25.25,395000,0.0,0.0
04/06/2020,24.94,25.93,24.83,25.74,517800,0.0,0.0
05/06/2020,27.0,27.68,25.75,26.4,1105500,0.0,0.0
08/06/2020,26.79,27.55,26.68,27.33,671200,0.0,0.0
09/06/2020,26.67,27.19,25.97,26.67,450100,0.0,0.0
10/06/2020,26.66,26.66,25.68,25.89,532600,0.0,0.0
11/06/2020,24.53,24.64,23.3,23.41,520000,0.0,0.0
12/06/2020,24.65,24.83,23.32,24.2,356700,0.0,0.0
15/06/2020,23.1,25.22,23.09,24.88,307100,0.213,0.0
16/06/2020,26.1,26.48,25.2,25.68,363800,0.0,0.0
17/06/2020,25.83,25.83,24.46,24.5,390500,0.0,0.0
18/06/2020,24.16,25.05,24.0,24.54,372200,0.0,0.0
19/06/2020,24.86,25.12,24.08,24.14,985100,0.0,0.0
