Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,132.87,133.33,130.15,131.39,4492600,0.0,0.0
01/05/2020,129.01,129.17,124.24,127.09,3681100,0.0,0.0
04/05/2020,123.99,126.26,122.98,125.19,4123000,0.0,0.0
05/05/2020,126.94,126.94,124.57,124.88,3122300,0.0,0.0
06/05/2020,126.03,126.03,123.13,123.19,2349500,0.0,0.0
07/05/2020,124.65,125.61,122.24,122.96,3096500,0.0,0.0
08/05/2020,124.7,127.15,124.45,126.77,2740400,0.0,0.0
11/05/2020,125.71,125.86,124.22,124.34,2356400,0.0,0.0
12/05/2020,125.3,125.96,118.06,118.14,4870400,0.0,0.0
13/05/2020,117.72,117.73,112.86,113.87,5786200,0.0,0.0
14/05/2020,112.19,118.71,109.24,118.51,5226200,0.9,0.0
15/05/2020,116.94,118.15,115.41,116.98,4660300,0.0,0.0
18/05/2020,121.73,128.34,120.96,126.9,6402800,0.0,0.0
19/05/2020,126.16,126.32,123.07,123.08,4427800,0.0,0.0
20/05/2020,125.51,127.49,125.24,126.89,2949700,0.0,0.0
21/05/2020,128.29,129.46,127.13,128.44,2374300,0.0,0.0
22/05/2020,128.23,129.98,127.28,129.83,2958000,0.0,0.0
26/05/2020,134.11,136.43,133.77,135.2,4370200,0.0,0.0
27/05/2020,138.39,140.8,137.0,138.6,4291700,0.0,0.0
28/05/2020,139.92,141.05,134.96,137.64,3481800,0.0,0.0
29/05/2020,135.93,139.83,134.63,136.05,4135000,0.0,0.0
01/06/2020,135.71,137.86,135.17,136.36,2071100,0.0,0.0
02/06/2020,137.86,138.73,136.61,138.38,3625800,0.0,0.0
03/06/2020,140.14,144.0,139.97,143.04,2992700,0.0,0.0
04/06/2020,141.79,145.68,140.97,145.43,3768200,0.0,0.0
05/06/2020,151.96,154.58,149.75,150.52,4524900,0.0,0.0
08/06/2020,150.71,153.26,150.24,151.97,3573400,0.0,0.0
09/06/2020,149.58,150.18,146.95,147.47,3679100,0.0,0.0
10/06/2020,147.12,147.24,143.12,143.76,3309800,0.0,0.0
11/06/2020,138.67,138.82,133.47,133.8,4184900,0.0,0.0
12/06/2020,138.25,138.99,131.66,134.8,3612400,0.0,0.0
15/06/2020,130.7,138.15,130.31,136.78,3314000,0.0,0.0
16/06/2020,141.89,142.17,136.35,139.09,3804500,0.0,0.0
17/06/2020,139.63,139.98,137.88,138.37,3507600,0.0,0.0
18/06/2020,136.98,138.99,136.49,138.27,2581600,0.0,0.0
19/06/2020,140.35,140.7,135.0,135.6,5265900,0.0,0.0
22/06/2020,134.89,136.65,133.71,135.2,2529900,0.0,0.0
23/06/2020,137.02,137.34,134.99,135.12,2309800,0.0,0.0
24/06/2020,133.22,133.7,128.8,129.05,3371200,0.0,0.0
25/06/2020,128.75,133.2,128.53,132.89,4019000,0.0,0.0
26/06/2020,132.75,132.75,128.29,128.92,10255300,0.0,0.0
29/06/2020,130.69,133.67,129.92,133.61,2971200,0.0,0.0
30/06/2020,132.7,135.74,132.47,134.87,3688000,0.0,0.0
01/07/2020,135.46,136.64,133.36,134.42,2609500,0.0,0.0
02/07/2020,135.8,137.26,134.83,135.27,2758500,0.0,0.0
06/07/2020,137.35,138.33,136.31,137.33,2336700,0.0,0.0
07/07/2020,136.19,136.28,134.56,135.23,2622000,0.0,0.0
08/07/2020,134.72,136.12,134.24,135.81,3587800,0.0,0.0
09/07/2020,135.01,135.74,131.83,131.87,3167200,0.0,0.0
10/07/2020,132.11,133.5,131.43,132.88,2325000,0.0,0.0
13/07/2020,133.93,136.08,132.69,133.85,2585700,0.0,0.0
14/07/2020,133.85,138.34,132.73,138.15,2649800,0.0,0.0
15/07/2020,141.04,142.43,140.73,141.72,2984600,0.0,0.0
16/07/2020,140.86,143.19,140.15,142.79,3697600,0.0,0.0
17/07/2020,143.18,144.94,142.21,144.58,4886500,0.0,0.0
20/07/2020,143.76,144.47,142.27,143.08,4876200,0.0,0.0
21/07/2020,143.54,146.47,143.54,144.36,2394000,0.0,0.0
22/07/2020,143.75,145.15,143.57,144.22,1798600,0.0,0.0
23/07/2020,143.99,145.04,142.6,143.4,2625600,0.0,0.0
24/07/2020,143.65,143.88,139.02,139.39,4368300,0.0,0.0
27/07/2020,138.8,140.81,137.98,140.63,3378300,0.0,0.0
28/07/2020,140.39,141.86,139.38,141.79,3904200,0.0,0.0
29/07/2020,141.38,144.98,141.01,144.19,3311500,0.0,0.0
30/07/2020,142.65,142.78,139.01,139.14,2749100,0.0,0.0
31/07/2020,138.91,139.43,137.12,139.33,4061200,0.0,0.0
03/08/2020,140.04,140.15,137.41,138.55,2105400,0.0,0.0
04/08/2020,137.36,138.2,136.38,137.43,3078300,0.0,0.0
05/08/2020,138.79,140.85,138.57,140.68,4097200,0.0,0.0
06/08/2020,140.78,142.62,140.24,142.33,2502700,0.0,0.0
07/08/2020,142.19,144.83,141.65,144.69,2520200,0.0,0.0
10/08/2020,144.73,149.13,144.73,148.71,2858800,0.0,0.0
11/08/2020,149.92,152.28,149.34,149.51,3773700,0.0,0.0
12/08/2020,151.6,151.88,148.3,149.31,2669400,0.0,0.0
13/08/2020,147.91,149.76,147.81,149.13,2574900,0.9,0.0
14/08/2020,148.21,150.91,148.18,150.35,2844700,0.0,0.0
17/08/2020,150.12,150.92,148.26,148.93,2817200,0.0,0.0
18/08/2020,149.14,149.87,147.48,147.63,1869300,0.0,0.0
19/08/2020,147.81,148.34,146.49,147.14,2098100,0.0,0.0
20/08/2020,145.87,147.3,145.6,146.5,1600300,0.0,0.0
21/08/2020,146.3,147.99,146.3,147.75,2507800,0.0,0.0
24/08/2020,148.31,149.57,146.82,149.5,2087000,0.0,0.0
25/08/2020,154.16,156.66,153.39,154.34,7400500,0.0,0.0
26/08/2020,154.59,156.12,153.22,155.07,3466600,0.0,0.0
27/08/2020,155.9,158.24,154.87,155.71,4281100,0.0,0.0
28/08/2020,156.02,158.25,155.21,157.95,13011800,0.0,0.0
31/08/2020,158.14,158.15,154.49,155.3,4561900,0.0,0.0
01/09/2020,153.65,157.75,153.37,157.57,3974600,0.0,0.0
02/09/2020,158.28,162.22,157.52,161.79,4111900,0.0,0.0
03/09/2020,162.63,163.05,154.84,156.0,3527700,0.0,0.0
04/09/2020,158.27,159.15,154.39,156.37,3326500,0.0,0.0
08/09/2020,154.96,156.13,153.19,154.1,2796800,0.0,0.0
09/09/2020,155.02,157.17,154.65,155.48,2807500,0.0,0.0
10/09/2020,156.94,156.94,153.67,154.1,2814900,0.0,0.0
11/09/2020,154.32,157.08,154.1,156.14,2116700,0.0,0.0
14/09/2020,157.6,159.04,157.0,158.04,2134000,0.0,0.0
15/09/2020,158.79,159.46,157.66,157.88,1851200,0.0,0.0
16/09/2020,158.81,160.75,158.05,159.47,3152000,0.0,0.0
17/09/2020,157.63,160.83,156.38,159.79,2661400,0.0,0.0
18/09/2020,158.98,159.91,157.31,158.25,4908000,0.0,0.0
21/09/2020,154.61,154.95,148.77,151.38,4459600,0.0,0.0
22/09/2020,150.89,152.9,150.2,152.6,2501000,0.0,0.0
23/09/2020,152.27,153.75,148.05,148.96,2507600,0.0,0.0
24/09/2020,148.51,150.95,147.14,148.93,2238300,0.0,0.0
25/09/2020,147.89,152.02,147.44,151.49,2593900,0.0,0.0
28/09/2020,154.26,155.86,153.12,154.44,2512600,0.0,0.0
29/09/2020,154.37,155.93,153.35,154.32,2169300,0.0,0.0
30/09/2020,155.5,157.52,152.92,154.41,2883400,0.0,0.0
01/10/2020,155.91,156.79,152.08,153.54,2409300,0.0,0.0
02/10/2020,151.61,156.66,151.36,155.35,2339900,0.0,0.0
05/10/2020,156.65,158.77,156.41,158.27,1750000,0.0,0.0
06/10/2020,158.64,160.8,156.3,156.55,2345800,0.0,0.0
07/10/2020,158.52,161.53,158.08,160.93,2030200,0.0,0.0
08/10/2020,161.7,163.1,160.86,163.02,1977900,0.0,0.0
09/10/2020,163.6,165.16,162.54,163.58,2636900,0.0,0.0
12/10/2020,164.22,166.02,163.34,164.5,3396300,0.0,0.0
13/10/2020,163.16,164.11,159.96,160.93,2315300,0.0,0.0
14/10/2020,162.37,164.12,162.1,162.73,2384600,0.0,0.0
15/10/2020,160.47,162.79,159.78,161.92,2436600,0.0,0.0
16/10/2020,162.57,165.47,162.1,164.03,3628800,0.0,0.0
19/10/2020,163.78,164.31,160.46,160.96,2103500,0.0,0.0
20/10/2020,161.79,164.84,161.79,162.53,1580300,0.0,0.0
21/10/2020,161.9,164.37,161.86,162.16,1827000,0.0,0.0
22/10/2020,162.86,166.27,162.32,165.9,1882100,0.0,0.0
23/10/2020,166.98,167.58,162.9,164.67,1987900,0.0,0.0
26/10/2020,162.47,162.47,157.22,159.63,2323700,0.0,0.0
27/10/2020,158.57,159.33,156.34,156.42,2009300,0.0,0.0
28/10/2020,152.45,155.26,151.0,151.18,3233500,0.0,0.0
29/10/2020,150.48,155.47,149.55,154.41,3113600,0.0,0.0
30/10/2020,151.54,155.49,151.08,154.73,4389500,0.0,0.0
02/11/2020,158.72,163.69,157.7,162.86,4198300,0.0,0.0
03/11/2020,164.66,169.22,163.46,168.11,3719800,0.0,0.0
04/11/2020,165.51,171.13,162.55,167.83,4318600,0.0,0.0
05/11/2020,169.22,172.96,169.06,171.93,4585100,0.0,0.0
06/11/2020,172.16,174.48,171.55,172.86,3080300,0.0,0.0
09/11/2020,192.21,196.99,181.44,184.79,7735200,0.0,0.0
10/11/2020,187.06,190.45,185.86,189.47,5882200,0.0,0.0
11/11/2020,189.77,190.38,186.06,186.95,3238500,0.0,0.0
12/11/2020,186.18,187.84,184.42,185.89,2659800,0.93,0.0
13/11/2020,187.4,190.28,187.4,189.94,2355200,0.0,0.0
16/11/2020,194.14,197.55,191.7,196.59,4898800,0.0,0.0
17/11/2020,195.01,195.01,191.66,193.52,3447800,0.0,0.0
18/11/2020,192.73,193.18,189.4,189.54,4422300,0.0,0.0
19/11/2020,189.7,191.4,188.39,191.06,3263000,0.0,0.0
20/11/2020,190.16,191.63,188.96,190.38,2359000,0.0,0.0
23/11/2020,191.93,193.49,191.72,192.81,2806400,0.0,0.0
24/11/2020,196.32,196.78,194.84,195.93,4053600,0.0,0.0
25/11/2020,196.03,196.64,194.67,195.73,2434300,0.0,0.0
27/11/2020,195.72,197.37,195.66,197.36,1434200,0.0,0.0
30/11/2020,195.25,196.27,192.19,192.19,6465700,0.0,0.0
01/12/2020,195.17,197.76,194.08,194.34,3795500,0.0,0.0
02/12/2020,194.14,197.01,194.12,196.03,2459900,0.0,0.0
03/12/2020,194.72,197.39,194.53,196.24,2779400,0.0,0.0
04/12/2020,197.34,200.64,197.34,200.44,3198800,0.0,0.0
07/12/2020,199.34,199.6,197.3,198.95,2595100,0.0,0.0
08/12/2020,198.22,200.8,197.82,199.87,2302300,0.0,0.0
09/12/2020,200.59,201.52,198.6,200.03,2946400,0.0,0.0
10/12/2020,198.15,200.56,198.12,199.77,2987200,0.0,0.0
11/12/2020,197.49,202.87,197.49,202.28,3120700,0.0,0.0
14/12/2020,203.57,204.23,199.52,199.66,3345300,0.0,0.0
15/12/2020,201.69,202.54,199.69,201.85,2502500,0.0,0.0
16/12/2020,201.11,202.0,197.19,198.21,2930100,0.0,0.0
17/12/2020,198.81,199.75,197.92,199.75,2148300,0.0,0.0
18/12/2020,200.08,200.28,196.62,197.96,6686200,0.0,0.0
21/12/2020,193.8,199.01,193.06,198.54,2467500,0.0,0.0
22/12/2020,198.45,199.06,195.89,195.98,2019600,0.0,0.0
23/12/2020,197.55,199.93,197.2,197.91,2046700,0.0,0.0
24/12/2020,198.42,198.58,196.6,197.47,754900,0.0,0.0
28/12/2020,198.86,199.08,197.33,197.86,1715700,0.0,0.0
29/12/2020,199.24,199.24,195.92,197.1,1527600,0.0,0.0
30/12/2020,197.92,199.42,197.5,198.81,1602100,0.0,0.0
31/12/2020,198.86,200.74,197.61,200.46,1406400,0.0,0.0
04/01/2021,200.59,200.75,194.49,195.99,2328900,0.0,0.0
05/01/2021,195.07,198.1,195.07,196.47,2172100,0.0,0.0
06/01/2021,197.4,201.67,197.19,200.05,2747900,0.0,0.0
07/01/2021,200.64,201.7,198.67,200.38,2057300,0.0,0.0
08/01/2021,200.56,201.13,195.72,197.95,3278900,0.0,0.0
11/01/2021,196.14,197.56,195.87,196.37,2938900,0.0,0.0
12/01/2021,195.9,197.43,193.45,196.86,2498800,0.0,0.0
13/01/2021,196.3,196.62,194.52,195.11,2145100,0.0,0.0
14/01/2021,196.07,197.71,195.26,196.61,3661500,0.0,0.0
15/01/2021,195.59,195.9,193.39,194.12,3887500,0.0,0.0
19/01/2021,196.26,196.75,194.57,194.86,2656300,0.0,0.0
20/01/2021,195.96,196.66,194.78,196.11,2452400,0.0,0.0
21/01/2021,194.96,195.85,193.3,193.42,2705100,0.0,0.0
22/01/2021,192.51,192.7,189.8,190.61,3502700,0.0,0.0
25/01/2021,189.76,190.91,188.59,190.26,4737700,0.0,0.0
26/01/2021,192.11,192.99,189.42,189.49,2201900,0.0,0.0
27/01/2021,186.71,189.21,185.22,187.91,4108600,0.0,0.0
28/01/2021,189.08,193.53,188.14,191.17,3731700,0.0,0.0
29/01/2021,185.2,189.38,183.36,184.13,4635100,0.0,0.0
01/02/2021,186.18,186.39,184.04,184.31,2889000,0.0,0.0
02/02/2021,186.45,189.31,186.15,188.61,2767800,0.0,0.0
03/02/2021,188.14,188.4,186.05,187.68,1910100,0.0,0.0
04/02/2021,188.33,189.87,187.39,189.05,2273300,0.0,0.0
05/02/2021,190.59,192.14,189.7,191.24,1868100,0.0,0.0
08/02/2021,192.09,193.11,190.91,192.13,2075700,0.0,0.0
09/02/2021,191.89,192.07,189.51,190.4,1794000,0.0,0.0
10/02/2021,191.32,191.65,189.6,190.53,1894600,0.0,0.0
11/02/2021,190.55,191.41,189.32,190.55,1709000,0.0,0.0
