Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,6.39,6.73,6.12,6.65,205500,0.0,0.0
01/05/2020,6.57,6.67,6.26,6.41,219800,0.0,0.0
04/05/2020,6.29,6.32,6.03,6.25,160700,0.0,0.0
05/05/2020,6.27,6.5,6.06,6.21,290600,0.0,0.0
06/05/2020,6.32,6.77,6.21,6.55,201700,0.0,0.0
07/05/2020,6.61,6.88,6.58,6.68,179100,0.0,0.0
08/05/2020,6.75,6.82,6.66,6.75,96200,0.0,0.0
11/05/2020,6.75,6.94,6.59,6.74,152300,0.0,0.0
12/05/2020,6.75,6.9,6.61,6.74,122700,0.0,0.0
13/05/2020,6.74,6.77,6.21,6.35,191100,0.0,0.0
14/05/2020,6.32,6.91,6.05,6.88,309600,0.0,0.0
15/05/2020,6.85,7.2,6.82,7.02,304200,0.0,0.0
18/05/2020,7.29,7.29,6.99,7.06,150200,0.1,0.0
19/05/2020,7.06,7.09,6.92,6.94,166700,0.0,0.0
20/05/2020,6.96,7.16,6.94,7.09,96900,0.0,0.0
21/05/2020,7.18,7.32,7.15,7.32,95000,0.0,0.0
22/05/2020,7.34,7.34,7.21,7.32,90600,0.0,0.0
26/05/2020,7.54,7.82,7.44,7.55,230600,0.0,0.0
27/05/2020,7.81,7.89,7.55,7.81,154500,0.0,0.0
28/05/2020,7.82,7.87,7.52,7.59,157500,0.0,0.0
29/05/2020,7.56,7.67,7.39,7.61,133900,0.0,0.0
01/06/2020,7.62,7.9,7.56,7.75,151800,0.0,0.0
02/06/2020,7.92,8.07,7.77,7.87,206800,0.0,0.0
03/06/2020,8.06,8.24,8.01,8.03,299500,0.0,0.0
04/06/2020,8.07,8.22,8.02,8.17,195200,0.0,0.0
05/06/2020,8.46,8.55,8.09,8.19,262900,0.0,0.0
08/06/2020,8.32,8.4,8.3,8.35,242000,0.0,0.0
09/06/2020,8.21,8.29,7.98,8.2,192100,0.0,0.0
10/06/2020,8.22,8.32,7.99,8.07,144700,0.0,0.0
11/06/2020,7.7,7.79,7.2,7.39,363900,0.0,0.0
12/06/2020,7.69,8.04,7.68,7.87,187800,0.0,0.0
15/06/2020,7.69,8.2,7.68,8.05,189600,0.0,0.0
16/06/2020,8.23,8.32,8.13,8.24,323200,0.0,0.0
17/06/2020,8.25,8.34,8.2,8.22,185100,0.1,0.0
18/06/2020,8.22,8.24,7.94,8.15,161900,0.0,0.0
19/06/2020,8.18,8.25,8.07,8.2,97700,0.0,0.0
22/06/2020,8.15,8.21,7.77,7.86,283600,0.0,0.0
23/06/2020,7.94,7.99,7.75,7.81,121100,0.0,0.0
24/06/2020,7.79,7.87,7.36,7.72,177200,0.0,0.0
25/06/2020,7.69,7.82,7.6,7.75,68900,0.0,0.0
26/06/2020,7.71,7.71,7.51,7.62,112200,0.0,0.0
29/06/2020,7.68,7.71,7.58,7.67,97800,0.0,0.0
30/06/2020,7.65,7.75,7.58,7.68,97000,0.0,0.0
01/07/2020,7.75,7.79,7.62,7.7,81900,0.0,0.0
02/07/2020,7.81,7.89,7.65,7.66,59900,0.0,0.0
06/07/2020,7.82,8.01,7.79,7.93,162300,0.0,0.0
07/07/2020,7.91,7.92,7.74,7.75,105100,0.0,0.0
08/07/2020,7.75,7.92,7.69,7.87,74900,0.0,0.0
09/07/2020,7.91,7.96,7.68,7.92,149400,0.0,0.0
10/07/2020,7.84,7.96,7.77,7.91,109700,0.0,0.0
13/07/2020,8.0,8.18,7.85,7.87,158600,0.0,0.0
14/07/2020,7.87,8.13,7.87,8.12,118100,0.0,0.0
15/07/2020,8.2,8.32,8.14,8.29,168100,0.0,0.0
16/07/2020,8.25,8.3,8.15,8.25,119500,0.1,0.0
17/07/2020,8.3,8.3,8.12,8.24,108400,0.0,0.0
20/07/2020,8.21,8.3,8.05,8.17,142700,0.0,0.0
21/07/2020,8.15,8.3,8.15,8.19,95200,0.0,0.0
22/07/2020,8.21,8.28,8.16,8.26,62400,0.0,0.0
