Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,85.69,87.41,84.72,85.12,3764200,0.0,0.0
01/05/2020,84.27,86.26,83.86,84.38,3026200,0.0,0.0
04/05/2020,83.89,86.12,83.28,85.33,3015400,0.0,0.0
05/05/2020,85.5,89.24,85.34,88.47,2676900,0.0,0.0
06/05/2020,88.83,88.92,87.22,87.3,2318900,0.0,0.0
07/05/2020,88.49,90.1,88.13,88.59,2064500,0.0,0.0
08/05/2020,90.08,90.12,88.28,89.0,2126700,0.0,0.0
11/05/2020,88.71,89.76,88.22,89.55,3081300,0.0,0.0
12/05/2020,90.08,90.12,88.04,88.07,2624500,0.0,0.0
13/05/2020,87.71,89.44,86.99,88.79,3332700,0.0,0.0
14/05/2020,87.33,88.76,86.61,88.74,2450400,0.0,0.0
15/05/2020,88.43,89.54,88.2,88.95,2595800,0.0,0.0
18/05/2020,90.65,92.06,89.83,91.36,2872200,0.0,0.0
19/05/2020,90.89,91.49,88.21,88.46,2656300,0.0,0.0
20/05/2020,89.51,89.8,88.59,88.93,3702000,0.0,0.0
21/05/2020,88.69,89.19,87.59,88.37,2397500,0.0,0.0
22/05/2020,88.65,89.3,87.95,89.23,1747500,0.0,0.0
26/05/2020,90.73,91.06,89.47,89.67,2689600,0.0,0.0
27/05/2020,90.28,90.4,87.45,88.34,3450100,0.0,0.0
28/05/2020,89.33,91.01,88.61,90.28,2682000,0.0,0.0
29/05/2020,90.33,92.66,89.97,92.55,3405600,0.0,0.0
01/06/2020,92.69,93.72,92.24,92.9,2137300,0.0,0.0
02/06/2020,93.3,93.37,91.29,91.69,3342800,0.0,0.0
03/06/2020,91.96,93.41,91.31,93.15,2781800,0.0,0.0
04/06/2020,92.51,92.76,90.41,91.16,3720900,0.0,0.0
05/06/2020,91.36,93.63,88.96,93.08,3964700,0.0,0.0
08/06/2020,92.55,93.0,91.76,92.77,5449400,0.0,0.0
09/06/2020,92.37,93.42,92.0,92.73,2202200,0.0,0.0
10/06/2020,92.77,93.17,91.9,92.6,2466900,0.0,0.0
11/06/2020,92.3,92.31,87.34,87.59,3560700,0.0,0.0
12/06/2020,89.06,89.89,87.13,88.75,2808800,0.0,0.0
15/06/2020,87.2,89.78,86.65,89.52,2437000,0.3,0.0
16/06/2020,91.41,91.41,89.17,90.37,2266200,0.0,0.0
17/06/2020,90.86,90.91,90.09,90.33,3188400,0.0,0.0
18/06/2020,90.15,90.35,89.42,90.11,1944200,0.0,0.0
19/06/2020,91.39,91.42,89.26,90.24,4015800,0.0,0.0
22/06/2020,89.9,90.65,89.49,90.04,1570600,0.0,0.0
23/06/2020,90.73,90.94,89.22,89.27,2055000,0.0,0.0
24/06/2020,88.71,89.04,86.35,86.6,3967700,0.0,0.0
25/06/2020,86.74,88.75,85.93,88.63,2718900,0.0,0.0
26/06/2020,87.97,88.59,86.24,86.31,3368700,0.0,0.0
29/06/2020,87.16,87.16,86.02,86.31,2186600,0.0,0.0
30/06/2020,86.22,87.7,86.22,87.45,5300800,0.0,0.0
01/07/2020,87.53,89.65,87.42,89.07,2304000,0.0,0.0
02/07/2020,90.27,90.32,88.01,88.08,2084900,0.0,0.0
06/07/2020,89.27,89.3,87.98,88.34,1921600,0.0,0.0
07/07/2020,87.83,88.89,87.82,88.38,2085700,0.0,0.0
08/07/2020,88.48,89.62,88.36,89.59,2530000,0.0,0.0
09/07/2020,89.87,89.87,87.36,87.97,1888600,0.0,0.0
10/07/2020,88.06,88.5,87.4,88.36,1784100,0.0,0.0
13/07/2020,88.53,90.05,87.57,87.67,2435800,0.0,0.0
14/07/2020,87.68,88.16,86.73,87.57,2387100,0.0,0.0
15/07/2020,88.56,89.57,87.37,89.02,3542200,0.0,0.0
16/07/2020,88.68,89.37,87.89,88.19,2401400,0.0,0.0
17/07/2020,88.63,89.78,88.36,89.58,2094900,0.0,0.0
20/07/2020,89.16,90.34,89.0,89.98,1900400,0.0,0.0
21/07/2020,90.02,91.14,89.99,90.8,2420300,0.0,0.0
22/07/2020,90.37,91.85,90.11,91.71,2908100,0.0,0.0
23/07/2020,91.93,92.64,91.19,91.51,3245200,0.0,0.0
24/07/2020,91.51,92.17,91.17,91.96,3222000,0.0,0.0
27/07/2020,91.58,92.16,90.26,90.26,3023700,0.0,0.0
28/07/2020,90.3,90.39,88.62,88.71,3218700,0.0,0.0
29/07/2020,88.64,90.48,88.61,90.03,2489500,0.0,0.0
30/07/2020,89.39,91.06,89.12,90.1,3402900,0.0,0.0
31/07/2020,90.43,92.44,89.66,92.4,3423700,0.0,0.0
03/08/2020,92.72,93.47,91.59,91.92,2873300,0.0,0.0
04/08/2020,91.38,91.67,90.74,91.44,1834600,0.0,0.0
05/08/2020,91.8,92.2,91.35,91.8,2217900,0.0,0.0
06/08/2020,91.56,93.31,91.44,93.05,3174300,0.0,0.0
07/08/2020,92.53,96.53,90.96,96.39,5646100,0.0,0.0
10/08/2020,96.39,96.53,94.04,94.67,3587500,0.0,0.0
