Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,266.34,268.63,261.91,263.46,1410900,0.0,0.0
01/05/2020,259.09,261.24,253.64,254.99,1193600,0.0,0.0
04/05/2020,252.91,261.71,252.22,261.48,1366500,0.0,0.0
05/05/2020,263.73,271.31,263.2,268.02,1052700,0.0,0.0
06/05/2020,269.52,271.7,267.45,269.38,754500,0.0,0.0
07/05/2020,272.43,277.36,271.71,274.2,954200,0.0,0.0
08/05/2020,275.37,276.3,270.64,273.77,1209500,0.0,0.0
11/05/2020,273.87,282.48,273.06,281.07,882200,0.0,0.0
12/05/2020,282.19,282.95,274.13,275.05,933500,0.0,0.0
13/05/2020,274.96,279.44,267.12,270.64,957100,0.0,0.0
14/05/2020,268.47,273.96,264.54,273.68,912900,0.0,0.0
15/05/2020,270.72,278.38,270.08,277.7,850000,0.0,0.0
18/05/2020,284.03,288.42,279.67,283.54,1187500,0.0,0.0
19/05/2020,284.05,286.09,279.8,280.01,1318200,0.0,0.0
20/05/2020,281.84,286.72,281.84,283.66,1418100,0.0,0.0
21/05/2020,284.3,286.57,279.66,283.18,1358300,0.0,0.0
22/05/2020,279.45,282.83,273.99,280.85,1770100,0.0,0.0
26/05/2020,284.6,285.07,274.36,275.56,1775700,0.0,0.0
27/05/2020,276.48,276.48,265.15,274.6,1479400,0.0,0.0
28/05/2020,275.37,283.41,274.76,277.19,1717800,0.0,0.0
29/05/2020,279.14,284.03,275.32,283.49,1689000,0.0,0.0
01/06/2020,282.31,284.86,281.3,283.13,1283800,0.0,0.0
02/06/2020,283.13,283.18,277.04,280.43,1132900,0.0,0.0
03/06/2020,281.77,283.88,278.93,283.28,1309700,0.0,0.0
04/06/2020,280.18,281.68,274.35,276.27,1316500,0.0,0.0
05/06/2020,274.17,282.2,269.15,281.33,1874000,0.0,0.0
08/06/2020,278.65,286.39,277.43,286.16,1067200,0.0,0.0
09/06/2020,285.75,288.31,283.77,284.4,1283000,0.0,0.0
10/06/2020,287.04,290.99,284.25,288.91,1072000,0.0,0.0
11/06/2020,286.99,288.04,271.19,271.33,1392600,0.0,0.0
12/06/2020,277.23,280.29,269.46,274.08,1173500,0.0,0.0
15/06/2020,268.53,278.43,267.74,276.48,943100,0.0,0.0
16/06/2020,283.16,286.5,278.71,281.79,1225500,0.0,0.0
17/06/2020,284.46,285.08,279.24,279.75,855500,0.0,0.0
18/06/2020,278.31,281.14,275.73,280.47,1127000,0.0,0.0
19/06/2020,282.72,285.12,278.56,279.59,2482200,0.0,0.0
22/06/2020,279.08,287.28,278.58,287.2,1179100,0.0,0.0
23/06/2020,288.04,289.52,285.56,286.92,1291400,0.0,0.0
24/06/2020,284.59,289.04,277.52,279.4,951000,0.0,0.0
25/06/2020,279.52,282.53,275.35,281.96,966600,0.0,0.0
26/06/2020,279.76,283.18,277.24,279.78,1376800,0.0,0.0
29/06/2020,279.09,282.96,275.12,281.15,965700,0.0,0.0
30/06/2020,282.35,290.91,281.23,289.22,1621800,0.0,0.0
01/07/2020,290.42,297.75,290.03,295.46,1653400,0.0,0.0
02/07/2020,297.68,300.54,295.98,298.12,1228500,0.0,0.0
06/07/2020,300.76,306.75,300.76,302.37,1161800,0.0,0.0
07/07/2020,301.91,307.33,299.96,300.69,1133100,0.0,0.0
08/07/2020,303.24,304.73,300.53,303.08,774500,0.0,0.0
09/07/2020,302.95,304.2,297.31,301.18,1027500,0.53,0.0
10/07/2020,301.06,301.9,296.38,300.83,762400,0.0,0.0
13/07/2020,302.25,304.43,290.49,291.14,1383100,0.0,0.0
14/07/2020,288.13,288.27,274.85,279.13,3106100,0.0,0.0
15/07/2020,281.74,284.52,278.55,283.63,1526100,0.0,0.0
16/07/2020,281.64,282.11,275.05,279.46,1128500,0.0,0.0
17/07/2020,281.64,284.07,278.37,282.95,896300,0.0,0.0
