No.,Account Number,Action,Transaction Date,Time,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result(GBP),Total (GBP),Withholding tax,Currency (Withholding tax),Charge amount (GBP),Deposit fee(GBP),Transaction fee(GBP),Finra fee(GBP),Currency conversion fee(GBP),Stamp duty reserve tax (GBP),
1,2131,Deposit,30/04/2020,17:20:49,Null,Null,0,0,,,0,1000,0,,1000,0,0,0,0,0,
2,2131,Market buy,30/04/2020,17:21:18,PBCT,People's United Financial,50,12.76,USD,1.25847,0,506.96,0,,0,0,0,0,0,0,
3,2131,Market buy,04/05/2020,10:43:01,NG,National Grid,1,929.8,GBX,100,0,9.34,0,,0,0,0,0,0,0.05,
4,2131,Deposit,04/05/2020,10:43:01,Null,Null,0,0,,,0,9.35,0,,9.35,0,0,0,0,0,
5,2131,Market buy,04/05/2020,15:39:01,T,AT&T,15,29.34,USD,1.24252,0,354.19,0,,0,0,0,0,0,0,
6,2131,Deposit,11/05/2020,17:17:25,Null,Null,0,0,,,0,500,0,,500,0,0,0,0,0,
7,2131,Market buy,11/05/2020,17:17:53,META,Meta Platforms,2.5,213.32,USD,1.23427,0,432.07,0,,0,0,0,0,0,0,
8,2131,Deposit,18/05/2020,17:55:13,Null,Null,0,0,,,0,500,0,,500,0,0,0,0,0,
9,2131,Market buy,18/05/2020,17:55:24,WELL,Welltower,15,44.68,USD,1.2196,0,549.51,0,,0,0,0,0,0,0,
10,2131,Deposit,28/05/2020,20:23:35,Null,Null,0,0,USD,,0,1000,0,,1000,0,0,0,0,0,
11,2131,Market buy,29/05/2020,13:30:16,META,Meta Platforms,2.5,225.42,USD,1.23391,0,456.71,0,,0,0,0,0,0,0,
12,2131,Market buy,29/05/2020,13:30:22,EXPE,Expedia,8,78.6,USD,1.23403,0,509.55,0,,0,0,0,0,0,0,
13,2131,Deposit,02/06/2020,20:19:54,Null,Null,0,0,,,0,320,0,,320,0,0,0,0,0,
14,2131,Market buy,03/06/2020,13:31:06,NET,Cloudflare,20,30.55,USD,1.25616,0,486.4,0,,0,0,0,0,0,0,
15,2131,Deposit,04/06/2020,23:42:38,Null,Null,0,0,,,0,520,0,,520,0,0,0,0,0,
16,2131,Market buy,05/06/2020,13:32:00,AVGO,Broadcom,2,320,USD,1.26977,0,504.03,0,,0,0,0,0,0,0,
17,2131,Deposit,30/06/2020,13:24:00,Null,Null,0,0,,,0,6000,0,,6000,0,0,0,0,0,
18,2131,Market buy,30/06/2020,13:31:08,GOOGL,Alphabet (Class A),1,1396.62,USD,1.23097,0,1134.57,0,,0,0,0,0,0,0,
19,2131,Market buy,30/06/2020,13:31:11,EXPE,Expedia,7,82.76,USD,1.23091,0,470.64,0,,0,0,0,0,0,0,
20,2131,Market buy,30/06/2020,13:31:36,QCOM,Qualcomm,15,89.23,USD,1.23096,0,1087.32,0,,0,0,0,0,0,0,
21,2131,Market buy,30/06/2020,13:32:22,META,Meta Platforms,3,219.94,USD,1.23101,0,536,0,,0,0,0,0,0,0,
22,2131,Market buy,30/06/2020,13:33:45,FSLY,Fastly,8,82.4,USD,1.23137,0,535.33,0,,0,0,0,0,0,0,
23,2131,Market buy,30/06/2020,13:35:03,NET,Cloudflare,18,35.43,USD,1.23113,0,518.01,0,,0,0,0,0,0,0,
24,2131,Market buy,30/06/2020,13:36:57,AVGO,Broadcom,4,310.46,USD,1.23226,0,1007.77,0,,0,0,0,0,0,0,
25,2131,Deposit,30/06/2020,13:52:17,Null,Null,0,0,,,0,1000,0,,1000,0,0,0,0,0,
26,2131,Dividend (Ordinary),01/07/2020,09:02:28,AVGO,Broadcom,2,2.76,USD,Not available,0,4.46,0.98,USD,0,0,0,0,0,0,
27,2131,Deposit,01/07/2020,12:20:24,Null,Null,0,0,,,0,1000,0,,1000,0,0,0,0,0,
28,2131,Market buy,01/07/2020,13:30:35,META,Meta Platforms,4,228.57,USD,1.24134,0,736.52,0,,0,0,0,0,0,0,
