Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,133.16,134.93,132.0,134.58,14829600,0.0,0.0
01/05/2020,134.2,134.25,131.66,133.01,7309000,0.0,0.0
04/05/2020,133.44,133.72,131.93,132.99,7198400,0.0,0.0
05/05/2020,133.65,135.24,133.32,134.09,6562300,0.0,0.0
06/05/2020,134.54,134.83,132.79,132.82,6191600,0.0,0.0
07/05/2020,133.98,134.12,131.97,132.38,5570500,0.0,0.0
08/05/2020,133.57,133.81,132.65,133.38,4712100,0.0,0.0
11/05/2020,133.15,134.63,132.86,133.75,5887500,0.0,0.0
12/05/2020,134.63,134.85,131.88,131.98,7039200,0.0,0.0
13/05/2020,131.03,133.6,130.96,131.97,6970500,0.0,0.0
14/05/2020,130.41,132.53,129.39,132.43,6871400,0.0,0.0
15/05/2020,132.63,134.97,130.65,134.94,10340400,0.0,0.0
18/05/2020,136.78,137.79,134.96,135.01,7388400,0.0,0.0
19/05/2020,134.63,135.53,133.11,133.66,6107300,0.0,0.0
20/05/2020,134.32,134.89,132.09,132.46,5713400,0.0,0.0
21/05/2020,133.2,133.2,130.79,131.59,6487300,0.0,0.0
22/05/2020,130.57,132.13,130.11,130.39,6140900,1.01,0.0
26/05/2020,132.03,132.26,130.33,130.56,7072300,0.0,0.0
27/05/2020,130.35,131.19,129.16,130.86,7950000,0.0,0.0
28/05/2020,131.88,133.77,131.69,132.74,6189600,0.0,0.0
29/05/2020,133.63,134.89,131.26,134.35,8504000,0.0,0.0
01/06/2020,133.03,133.98,131.87,132.94,6141800,0.0,0.0
02/06/2020,132.82,133.99,131.97,133.9,6078300,0.0,0.0
03/06/2020,134.14,134.7,132.27,134.26,6339500,0.0,0.0
04/06/2020,132.59,134.0,131.48,132.52,8170500,0.0,0.0
05/06/2020,133.39,135.15,132.41,133.04,9725400,0.0,0.0
08/06/2020,131.76,133.32,131.63,132.56,7555600,0.0,0.0
09/06/2020,133.9,134.87,131.55,131.83,8247200,0.0,0.0
10/06/2020,132.41,135.5,132.41,133.49,10137100,0.0,0.0
11/06/2020,134.19,134.73,127.12,127.23,11913300,0.0,0.0
12/06/2020,129.01,129.8,126.7,128.39,8687400,0.0,0.0
15/06/2020,127.35,128.61,125.89,127.57,8649600,0.0,0.0
16/06/2020,130.14,131.34,128.95,130.47,7579100,0.0,0.0
17/06/2020,130.87,131.34,129.58,130.08,5100100,0.0,0.0
18/06/2020,128.72,130.17,128.13,129.52,4797400,0.0,0.0
19/06/2020,131.67,131.76,129.38,129.9,12206900,0.0,0.0
22/06/2020,129.58,129.75,128.28,129.51,5285600,0.0,0.0
23/06/2020,129.82,130.13,128.86,129.03,5921600,0.0,0.0
24/06/2020,127.79,128.42,125.29,126.28,8211200,0.0,0.0
25/06/2020,126.96,126.96,124.22,126.15,7421200,0.0,0.0
26/06/2020,126.02,126.08,123.75,124.47,12849700,0.0,0.0
29/06/2020,125.31,126.17,124.62,125.58,5309800,0.0,0.0
30/06/2020,125.9,127.37,124.49,127.01,7738300,0.0,0.0
01/07/2020,127.07,127.7,126.5,126.79,6174800,0.0,0.0
02/07/2020,127.57,128.11,126.74,127.32,5152200,0.0,0.0
06/07/2020,128.4,129.85,128.14,129.14,6156400,0.0,0.0
07/07/2020,127.7,130.03,127.56,129.02,5622600,0.0,0.0
08/07/2020,129.04,129.51,127.98,129.4,6257400,0.0,0.0
09/07/2020,128.94,130.45,126.97,128.69,5738600,0.0,0.0
10/07/2020,128.93,129.04,127.74,128.58,4282400,0.0,0.0
13/07/2020,129.7,132.44,129.41,131.15,6951900,0.0,0.0
14/07/2020,131.25,134.02,131.2,133.6,7447100,0.0,0.0
15/07/2020,135.23,135.67,133.88,133.9,8512800,0.0,0.0
16/07/2020,134.28,134.88,132.48,134.8,9304700,0.0,0.0
17/07/2020,135.48,136.0,134.29,134.89,7441100,0.0,0.0
20/07/2020,135.68,135.77,134.06,135.11,6191500,0.0,0.0
21/07/2020,135.11,136.98,135.02,135.24,5575900,0.0,0.0
22/07/2020,135.41,135.85,133.53,135.49,5910200,0.0,0.0
23/07/2020,135.67,136.24,134.83,135.12,6566300,0.0,0.0
24/07/2020,135.93,136.02,132.79,133.78,5405900,0.0,0.0
27/07/2020,133.1,134.5,132.64,132.93,5675200,0.0,0.0
28/07/2020,133.13,133.66,132.54,132.61,4842200,0.0,0.0
29/07/2020,132.22,133.19,131.93,132.35,4489100,0.0,0.0
30/07/2020,133.16,133.22,131.99,132.62,5922500,0.0,0.0
31/07/2020,132.46,133.17,130.02,131.65,8259600,0.0,0.0
03/08/2020,132.22,133.48,132.0,133.08,4078700,0.0,0.0
04/08/2020,132.76,132.97,131.7,132.97,4162200,0.0,0.0
05/08/2020,134.66,134.85,133.49,134.03,5467500,0.0,0.0
06/08/2020,134.03,134.8,132.31,133.26,4837900,0.0,0.0
07/08/2020,133.23,134.26,132.9,134.21,3635100,0.0,0.0
10/08/2020,134.45,134.58,133.42,133.7,4096600,0.0,0.0
11/08/2020,134.7,134.78,132.2,132.74,6388400,0.0,0.0
12/08/2020,133.25,135.69,133.21,135.17,5257300,0.0,0.0
13/08/2020,134.16,134.74,133.25,133.67,5155500,0.0,0.0
14/08/2020,133.32,134.88,133.29,133.89,4240200,0.0,0.0
17/08/2020,133.96,135.68,133.88,134.56,4306900,0.0,0.0
18/08/2020,134.81,135.57,134.18,135.56,4322600,0.0,0.0
19/08/2020,135.1,136.9,134.86,135.83,7816300,0.0,0.0
20/08/2020,135.25,136.9,135.07,136.76,4874700,0.0,0.0
21/08/2020,137.08,138.77,136.01,137.97,6722800,0.0,0.0
24/08/2020,138.87,139.01,136.7,138.33,5387900,1.01,0.0
25/08/2020,138.91,139.17,137.78,138.25,3863500,0.0,0.0
26/08/2020,138.07,138.79,136.96,138.47,8008300,0.0,0.0
27/08/2020,138.58,139.34,138.1,139.09,5575400,0.0,0.0
28/08/2020,138.87,139.74,138.11,139.69,5395700,0.0,0.0
31/08/2020,139.11,140.38,138.43,139.48,6362700,0.0,0.0
01/09/2020,139.9,140.09,136.44,137.76,6307700,0.0,0.0
02/09/2020,137.1,140.31,135.7,139.86,6881900,0.0,0.0
03/09/2020,140.77,141.35,134.83,135.97,8672800,0.0,0.0
04/09/2020,136.53,137.24,133.77,135.1,7200100,0.0,0.0
08/09/2020,136.61,137.19,133.56,133.89,8756800,0.0,0.0
09/09/2020,134.7,137.38,134.67,136.11,6960700,0.0,0.0
10/09/2020,135.7,136.18,133.21,133.57,6191800,0.0,0.0
11/09/2020,133.7,135.04,133.31,134.36,3934700,0.0,0.0
14/09/2020,134.67,135.9,134.57,134.88,4375800,0.0,0.0
15/09/2020,135.88,136.91,135.03,135.37,3658800,0.0,0.0
16/09/2020,135.82,136.43,134.88,134.92,4323000,0.0,0.0
17/09/2020,134.6,135.13,132.79,133.8,5461400,0.0,0.0
18/09/2020,133.2,136.06,132.92,135.63,12174000,0.0,0.0
21/09/2020,134.18,134.5,129.98,131.92,7574500,0.0,0.0
22/09/2020,131.55,132.15,130.67,131.11,5295900,0.0,0.0
23/09/2020,134.09,134.15,131.27,131.32,8784400,0.0,0.0
24/09/2020,131.43,132.06,130.32,131.53,5614800,0.0,0.0
25/09/2020,130.92,132.97,130.82,132.43,5531200,0.0,0.0
28/09/2020,133.4,134.82,133.12,133.75,5843200,0.0,0.0
29/09/2020,134.2,134.49,132.8,133.7,6768600,0.0,0.0
30/09/2020,134.06,136.13,133.5,135.36,8487700,0.0,0.0
01/10/2020,135.75,136.06,133.16,133.94,6457800,0.0,0.0
02/10/2020,132.93,134.93,132.59,132.96,5485600,0.0,0.0
05/10/2020,133.65,134.9,133.12,134.77,4992800,0.0,0.0
06/10/2020,134.81,135.11,132.62,132.98,5118200,0.0,0.0
07/10/2020,133.19,134.77,132.57,134.45,5603100,0.0,0.0
08/10/2020,135.01,136.24,134.6,135.37,4413500,0.0,0.0
09/10/2020,136.06,137.72,135.88,137.26,5054100,0.0,0.0
12/10/2020,137.83,139.23,137.31,138.05,7273200,0.0,0.0
13/10/2020,135.47,136.49,134.35,134.89,11057600,0.0,0.0
14/10/2020,135.3,135.5,134.0,134.65,7706400,0.0,0.0
15/10/2020,134.09,134.47,133.04,133.82,5978600,0.0,0.0
16/10/2020,134.2,135.25,133.66,134.65,6097000,0.0,0.0
19/10/2020,135.04,135.38,131.04,131.21,7250800,0.0,0.0
20/10/2020,131.52,132.51,131.03,131.42,5325400,0.0,0.0
21/10/2020,131.03,132.14,130.84,130.86,5221300,0.0,0.0
22/10/2020,131.07,132.46,130.78,131.9,5279700,0.0,0.0
23/10/2020,132.63,134.08,131.24,132.05,4154400,0.0,0.0
26/10/2020,131.31,131.62,129.79,130.9,6929500,0.0,0.0
27/10/2020,130.69,131.19,129.94,130.15,4890100,0.0,0.0
28/10/2020,128.59,129.09,125.63,125.79,8426100,0.0,0.0
29/10/2020,125.47,126.1,123.69,124.73,7205400,0.0,0.0
30/10/2020,124.27,125.05,121.51,124.66,7364100,0.0,0.0
02/11/2020,126.36,126.39,125.0,126.09,7088000,0.0,0.0
03/11/2020,127.3,128.16,125.27,125.92,6363000,0.0,0.0
04/11/2020,126.82,129.6,126.1,126.74,10263500,0.0,0.0
05/11/2020,127.79,128.95,126.61,127.07,8016200,0.0,0.0
06/11/2020,127.65,130.19,126.97,129.33,5942500,0.0,0.0
09/11/2020,134.95,135.46,131.76,132.81,12351600,0.0,0.0
10/11/2020,133.88,135.24,132.98,134.81,7386500,0.0,0.0
11/11/2020,135.62,135.65,133.52,134.38,6382400,0.0,0.0
12/11/2020,134.2,135.15,133.42,134.83,4710300,0.0,0.0
13/11/2020,135.55,136.75,134.93,136.29,5893500,0.0,0.0
16/11/2020,137.21,137.56,136.2,137.15,6266400,0.0,0.0
17/11/2020,136.38,136.95,135.58,135.79,7297700,0.0,0.0
18/11/2020,135.35,136.16,133.99,133.99,6661000,0.0,0.0
19/11/2020,133.92,134.07,132.37,133.78,7987700,0.0,0.0
20/11/2020,133.7,134.5,132.86,133.07,6354900,0.0,0.0
23/11/2020,133.67,133.67,130.95,131.71,7318300,1.01,0.0
24/11/2020,131.83,132.53,131.48,131.71,11034800,0.0,0.0
25/11/2020,131.89,131.99,130.79,131.54,7594600,0.0,0.0
27/11/2020,132.29,132.44,131.12,131.83,3059000,0.0,0.0
30/11/2020,132.04,132.62,130.97,132.45,15663200,0.0,0.0
01/12/2020,133.93,136.53,133.54,134.99,9738200,0.0,0.0
02/12/2020,135.36,137.06,135.22,135.62,7745500,0.0,0.0
03/12/2020,135.53,136.94,135.21,136.41,7310500,0.0,0.0
04/12/2020,137.13,137.61,136.66,137.57,6747100,0.0,0.0
07/12/2020,136.73,137.24,135.96,136.38,6634700,0.0,0.0
08/12/2020,137.33,139.28,136.91,138.74,8339800,0.0,0.0
09/12/2020,139.92,140.53,138.94,140.16,8440100,0.0,0.0
10/12/2020,139.91,140.05,138.86,139.39,7392900,0.0,0.0
11/12/2020,138.73,140.45,138.45,140.03,5977400,0.0,0.0
14/12/2020,140.3,140.51,136.4,136.47,8547300,0.0,0.0
15/12/2020,137.33,138.01,136.9,137.85,7612600,0.0,0.0
16/12/2020,137.51,138.17,136.91,137.02,8486100,0.0,0.0
17/12/2020,137.41,140.89,137.29,140.64,9920300,0.0,0.0
18/12/2020,140.67,141.99,138.85,141.45,17137200,0.0,0.0
21/12/2020,139.17,140.45,137.37,140.09,7893400,0.0,0.0
22/12/2020,139.52,140.9,139.03,139.82,4699500,0.0,0.0
23/12/2020,139.89,140.62,139.06,139.1,4607300,0.0,0.0
24/12/2020,139.02,140.11,138.99,139.59,2114900,0.0,0.0
28/12/2020,140.36,140.87,139.43,140.25,3855500,0.0,0.0
29/12/2020,141.09,141.84,140.8,141.12,5212000,0.0,0.0
30/12/2020,141.66,143.17,141.54,142.86,5412800,0.0,0.0
31/12/2020,143.3,144.34,142.0,144.08,5099900,0.0,0.0
04/01/2021,143.95,144.08,141.11,143.28,11765900,0.0,0.0
05/01/2021,143.05,145.35,141.97,144.96,9602300,0.0,0.0
06/01/2021,143.95,146.69,143.48,146.32,8230100,0.0,0.0
07/01/2021,145.56,147.42,144.97,146.82,7747200,0.0,0.0
08/01/2021,146.95,147.49,146.37,146.52,8228900,0.0,0.0
11/01/2021,146.99,147.69,145.35,145.9,7066200,0.0,0.0
12/01/2021,145.7,146.17,144.04,144.77,6903200,0.0,0.0
13/01/2021,144.86,145.07,143.51,144.55,6643100,0.0,0.0
14/01/2021,146.89,148.27,146.12,147.08,10030800,0.0,0.0
15/01/2021,146.76,147.77,145.67,146.76,7630800,0.0,0.0
19/01/2021,148.31,149.26,147.49,149.03,9057600,0.0,0.0
20/01/2021,149.41,150.27,148.13,148.66,6839900,0.0,0.0
21/01/2021,147.69,148.75,146.54,148.06,6818000,0.0,0.0
22/01/2021,148.64,151.2,148.19,149.73,8137000,0.0,0.0
25/01/2021,151.07,152.06,149.83,151.96,9924400,0.0,0.0
26/01/2021,155.36,158.98,155.08,156.07,14205700,0.0,0.0
27/01/2021,154.83,156.48,153.3,153.69,14207300,0.0,0.0
28/01/2021,153.99,156.42,153.62,154.87,8944400,0.0,0.0
29/01/2021,150.38,151.97,146.98,149.35,22505900,0.0,0.0
01/02/2021,151.34,151.34,148.86,148.96,9971400,0.0,0.0
02/02/2021,149.57,149.83,147.56,147.62,11443300,0.0,0.0
03/02/2021,147.34,147.87,146.09,146.94,8601900,0.0,0.0
04/02/2021,147.4,148.39,146.26,148.3,7758100,0.0,0.0
05/02/2021,150.93,151.46,150.01,150.55,9495300,0.0,0.0
08/02/2021,151.09,151.9,150.03,150.98,6035300,0.0,0.0
09/02/2021,151.24,152.51,151.03,152.22,5544200,0.0,0.0
10/02/2021,153.7,153.75,151.7,152.72,5921300,0.0,0.0
11/02/2021,152.89,153.24,151.61,152.03,4871300,0.0,0.0
12/02/2021,150.51,152.75,150.14,152.5,4413100,0.0,0.0
16/02/2021,152.5,152.93,150.73,151.12,5656100,0.0,0.0
17/02/2021,151.03,152.06,150.47,151.66,6676700,0.0,0.0
18/02/2021,151.02,152.12,150.42,151.74,5189100,0.0,0.0
19/02/2021,151.61,151.94,149.14,149.21,8190900,0.0,0.0
22/02/2021,149.12,149.73,147.66,149.12,6447100,1.01,0.0
23/02/2021,148.76,150.33,147.76,147.8,7042800,0.0,0.0
24/02/2021,149.6,151.44,148.24,149.78,10286100,0.0,0.0
25/02/2021,150.28,150.8,149.23,149.94,9719700,0.0,0.0
26/02/2021,149.24,149.61,145.52,145.98,14417500,0.0,0.0
01/03/2021,148.73,148.8,146.56,146.77,10551400,0.0,0.0
02/03/2021,147.19,148.11,146.1,146.49,7610900,0.0,0.0
03/03/2021,145.78,146.38,143.76,143.91,8499600,0.0,0.0
04/03/2021,143.7,143.8,139.54,141.01,11033200,0.0,0.0
05/03/2021,141.85,144.34,141.07,143.8,8331600,0.0,0.0
08/03/2021,144.63,146.78,143.69,145.0,6546700,0.0,0.0
09/03/2021,144.53,148.08,144.53,145.28,7461300,0.0,0.0
10/03/2021,146.31,147.3,144.96,146.61,6635600,0.0,0.0
11/03/2021,146.97,147.97,146.4,146.6,6305600,0.0,0.0
12/03/2021,146.73,147.68,146.65,147.03,5474800,0.0,0.0
15/03/2021,147.16,148.0,146.01,147.78,5524100,0.0,0.0
16/03/2021,147.82,148.94,147.61,148.66,6369100,0.0,0.0
17/03/2021,148.16,148.99,146.96,148.1,6001400,0.0,0.0
18/03/2021,147.59,148.77,147.36,147.83,4801800,0.0,0.0
19/03/2021,148.03,148.78,146.91,147.43,14891500,0.0,0.0
22/03/2021,145.84,147.99,145.55,147.85,7544100,0.0,0.0
23/03/2021,147.59,148.5,146.36,147.72,7178300,0.0,0.0
24/03/2021,147.49,149.68,147.23,149.15,6370100,0.0,0.0
25/03/2021,149.64,149.65,147.98,149.21,6269800,0.0,0.0
26/03/2021,149.32,152.09,148.67,151.94,7619200,0.0,0.0
29/03/2021,150.92,153.87,150.74,152.96,8535100,0.0,0.0
30/03/2021,152.02,152.61,151.29,152.01,7236300,0.0,0.0
31/03/2021,151.96,152.36,150.8,151.4,8281500,0.0,0.0
01/04/2021,149.79,150.93,149.48,150.0,7229700,0.0,0.0
05/04/2021,150.75,151.77,149.84,150.55,7387100,0.0,0.0
06/04/2021,151.15,151.56,150.16,150.52,5074200,0.0,0.0
07/04/2021,150.66,151.34,150.45,150.72,4608000,0.0,0.0
08/04/2021,151.08,151.18,150.02,150.13,5039400,0.0,0.0
09/04/2021,149.35,150.09,147.19,148.55,8418300,0.0,0.0
12/04/2021,148.4,149.31,147.71,148.9,5022800,0.0,0.0
13/04/2021,144.5,147.33,144.2,146.91,18424100,0.0,0.0
14/04/2021,145.39,147.5,145.13,147.32,7718300,0.0,0.0
15/04/2021,148.06,149.6,147.61,147.75,7524600,0.0,0.0
16/04/2021,148.63,149.71,147.91,149.46,9049400,0.0,0.0
19/04/2021,149.7,150.26,148.17,149.87,8353500,0.0,0.0
20/04/2021,148.32,154.57,148.32,153.36,14050700,0.0,0.0
21/04/2021,153.26,153.76,152.27,153.46,6333200,0.0,0.0
22/04/2021,152.77,153.18,151.65,152.17,7233000,0.0,0.0
23/04/2021,151.57,152.98,151.08,152.48,6015300,0.0,0.0
26/04/2021,152.19,152.38,150.86,151.19,6027800,0.0,0.0
27/04/2021,150.86,151.0,149.67,150.32,6217700,0.0,0.0
28/04/2021,150.03,150.34,148.91,149.22,7448000,0.0,0.0
29/04/2021,149.14,151.32,149.06,151.26,6394300,0.0,0.0
30/04/2021,151.22,151.38,149.72,149.91,9079100,0.0,0.0
03/05/2021,150.71,152.29,150.27,152.19,6594100,0.0,0.0
04/05/2021,151.84,154.63,151.7,154.55,10179500,0.0,0.0
05/05/2021,154.3,155.13,153.65,153.91,7792300,0.0,0.0
06/05/2021,153.65,154.66,153.14,154.52,5529900,0.0,0.0
07/05/2021,155.04,155.85,154.61,155.22,5316200,0.0,0.0
10/05/2021,156.51,158.02,155.9,156.85,8357500,0.0,0.0
11/05/2021,157.2,157.41,155.02,155.57,8217900,0.0,0.0
12/05/2021,155.26,156.42,154.72,154.95,6758300,0.0,0.0
