Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,85.61,86.72,84.67,85.76,19127600,0.0,0
01/05/2020,83.73,83.95,82.25,83.51,18547700,0.0,0
04/05/2020,82.41,82.99,81.31,82.51,15725900,0.0,0
05/05/2020,83.87,84.37,82.3,82.39,18064100,0.0,0
06/05/2020,82.53,83.07,80.54,80.84,20978000,0.0,0
07/05/2020,81.8,83.2,81.12,81.68,16771900,0.0,0
08/05/2020,83.11,84.25,82.49,83.02,20487800,0.0,0
11/05/2020,81.59,81.59,80.0,80.57,31907600,0.0,0
12/05/2020,80.73,81.31,77.82,77.94,27962900,0.0,0
13/05/2020,77.36,77.79,74.69,75.25,35451600,0.0,0
14/05/2020,74.08,78.91,73.79,78.38,35152500,0.0,0
15/05/2020,77.78,78.16,76.39,76.93,26099000,0.0,0
18/05/2020,79.43,81.63,78.7,81.0,30504400,0.0,0
19/05/2020,80.64,81.67,79.34,79.41,19597300,0.0,0
20/05/2020,81.23,82.74,80.93,81.79,20552400,0.0,0
21/05/2020,80.84,82.17,80.3,80.75,14621400,0.0,0
22/05/2020,80.61,80.92,79.45,80.12,13557900,0.0,0
26/05/2020,83.19,87.31,82.94,85.81,41233900,0.0,0
27/05/2020,91.41,91.86,88.48,90.78,39402000,0.0,0
28/05/2020,92.19,92.2,89.02,89.43,24713900,0.0,0
29/05/2020,88.35,88.82,86.67,87.14,26526400,0.0,0
01/06/2020,87.54,89.11,87.21,88.3,15176800,0.0,0
02/06/2020,89.8,89.93,87.7,88.6,21195000,0.0,0
03/06/2020,90.97,93.96,90.5,93.38,25941100,0.0,0
04/06/2020,92.97,95.47,92.05,95.32,26784700,0.0,0
05/06/2020,102.92,103.68,98.09,99.61,42231000,0.0,0
08/06/2020,101.56,102.26,100.25,101.6,24881800,0.0,0
09/06/2020,99.09,99.97,97.62,98.99,17031100,0.0,0
10/06/2020,98.92,98.97,94.79,94.98,24913300,0.0,0
11/06/2020,89.58,90.97,86.46,87.06,36259200,0.0,0
12/06/2020,90.19,90.57,87.16,89.44,24856800,0.0,0
15/06/2020,86.35,90.83,85.86,90.67,22153600,0.0,0
16/06/2020,94.36,94.64,88.94,91.4,22193600,0.0,0
17/06/2020,91.82,91.83,88.85,89.09,15639800,0.0,0
18/06/2020,88.36,90.02,87.88,88.6,16591900,0.0,0
19/06/2020,90.03,90.09,86.63,87.59,40371200,0.0,0
22/06/2020,87.09,87.72,86.46,86.64,16216900,0.0,0
23/06/2020,88.63,89.53,87.63,87.7,15381400,0.0,0
24/06/2020,86.64,86.72,84.46,84.77,22919800,0.0,0
25/06/2020,84.49,87.95,84.41,87.73,25743600,0.0,0
26/06/2020,85.17,85.41,82.39,82.92,41896300,0.0,0
29/06/2020,83.64,84.62,82.55,83.28,18499700,0.0,0
30/06/2020,83.13,84.77,82.9,84.23,19137000,0.0,0
01/07/2020,84.98,85.71,83.31,83.52,18755700,0.0,0
02/07/2020,85.67,85.87,83.13,83.79,27845600,0.9,0
06/07/2020,85.39,86.09,84.53,85.91,18625300,0.0,0
07/07/2020,84.84,85.09,83.19,83.48,25757200,0.0,0
08/07/2020,83.45,84.4,83.01,84.37,18762200,0.0,0
09/07/2020,84.57,85.11,82.09,82.54,25600800,0.0,0
10/07/2020,83.19,87.57,83.07,87.05,28954200,0.0,0
13/07/2020,89.28,89.77,87.02,88.3,32079200,0.0,0
14/07/2020,88.95,90.38,87.39,88.81,42731700,0.0,0
15/07/2020,91.23,91.59,89.21,90.18,22508400,0.0,0
16/07/2020,89.32,91.53,89.12,90.44,16886900,0.0,0
17/07/2020,90.43,90.5,88.74,88.76,16137700,0.0,0
20/07/2020,88.1,88.97,87.95,87.98,14458100,0.0,0
21/07/2020,88.36,90.47,88.29,89.89,17798100,0.0,0
22/07/2020,90.11,90.54,88.19,89.24,14271200,0.0,0
23/07/2020,89.07,89.84,88.59,89.5,12870200,0.0,0
24/07/2020,90.06,90.25,88.56,88.87,12744200,0.0,0
27/07/2020,88.17,88.28,86.96,87.62,11959100,0.0,0
28/07/2020,87.26,88.52,87.26,88.0,11754300,0.0,0
29/07/2020,87.78,90.16,87.71,90.14,12743500,0.0,0
30/07/2020,88.2,88.38,86.85,87.73,14834800,0.0,0
31/07/2020,87.24,87.65,86.13,87.39,14535000,0.0,0
03/08/2020,87.73,88.23,86.67,86.9,12962800,0.0,0
04/08/2020,86.73,86.76,85.93,86.4,13366200,0.0,0
05/08/2020,86.69,89.04,86.56,87.9,15260900,0.0,0
06/08/2020,88.24,88.71,87.3,87.93,10482100,0.0,0
07/08/2020,87.65,89.97,87.32,89.87,14743700,0.0,0
10/08/2020,90.53,92.27,90.45,91.01,14989900,0.0,0
11/08/2020,93.92,96.0,93.6,93.88,31518600,0.0,0
12/08/2020,96.0,96.24,91.97,93.08,19240800,0.0,0
13/08/2020,92.23,93.46,91.91,92.57,13598600,0.0,0
14/08/2020,91.78,93.42,91.71,92.61,12134400,0.0,0
17/08/2020,91.78,92.23,90.0,90.16,14988000,0.0,0
18/08/2020,90.35,90.35,88.73,88.91,13246500,0.0,0
19/08/2020,89.45,90.96,88.93,89.12,13533000,0.0,0
20/08/2020,87.95,88.64,87.53,88.05,13672600,0.0,0
21/08/2020,87.96,89.13,87.66,88.0,12228300,0.0,0
24/08/2020,89.02,90.62,88.09,90.48,17898300,0.0,0
25/08/2020,91.57,92.22,90.25,90.88,13648900,0.0,0
26/08/2020,90.37,90.67,89.57,89.6,12052400,0.0,0
27/08/2020,89.52,92.82,89.52,92.55,22163900,0.0,0
28/08/2020,93.27,93.37,92.06,92.93,13756700,0.0,0
31/08/2020,92.34,92.4,90.44,90.6,14219400,0.0,0
01/09/2020,90.02,91.21,89.56,90.55,11595600,0.0,0
02/09/2020,90.38,92.18,90.03,91.92,14475700,0.0,0
03/09/2020,93.43,94.94,91.01,91.63,23281200,0.0,0
04/09/2020,94.09,95.14,91.67,93.61,26325500,0.0,0
08/09/2020,93.12,93.65,89.96,90.35,22108600,0.0,0
09/09/2020,91.15,91.95,90.03,91.21,13434000,0.0,0
10/09/2020,91.69,92.61,90.1,90.27,15922800,0.0,0
11/09/2020,90.4,91.66,90.06,91.39,13784300,0.0,0
14/09/2020,91.79,93.56,91.67,92.66,19017400,0.0,0
15/09/2020,92.9,93.0,89.65,89.78,23683000,0.0,0
16/09/2020,89.91,91.45,89.31,90.16,19270600,0.0,0
17/09/2020,89.25,89.83,88.36,89.12,18290100,0.0,0
18/09/2020,88.52,89.97,88.11,88.93,20121600,0.0,0
21/09/2020,86.09,86.85,84.84,86.19,28378800,0.0,0
22/09/2020,85.87,86.5,84.7,85.24,19257000,0.0,0
23/09/2020,85.71,86.22,83.79,83.86,19952700,0.0,0
24/09/2020,83.48,85.27,82.63,83.79,18366500,0.0,0
25/09/2020,83.24,84.75,83.07,84.52,13293100,0.0,0
28/09/2020,85.96,87.65,85.32,86.95,20894100,0.0,0
