Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,27.39,28.08,26.72,27.94,332800,0.0,0.0
01/05/2020,27.15,27.25,26.06,26.35,299000,0.0,0.0
04/05/2020,26.13,27.05,25.7,26.65,575100,0.0,0.0
05/05/2020,27.59,27.91,26.91,27.08,502500,0.0,0.0
06/05/2020,27.07,27.4,26.06,26.37,239700,0.0,0.0
07/05/2020,26.68,27.49,25.87,26.2,403800,0.0,0.0
08/05/2020,26.71,27.8,26.42,27.69,213500,0.0,0.0
11/05/2020,27.47,28.06,26.76,27.77,420700,0.0,0.0
12/05/2020,27.87,27.87,26.18,26.19,490000,0.0,0.0
13/05/2020,26.45,26.45,25.69,25.95,342800,0.0,0.0
14/05/2020,25.35,25.61,24.34,25.26,398200,0.0,0.0
15/05/2020,25.13,25.63,24.65,25.27,789000,0.0,0.0
18/05/2020,26.78,28.72,26.56,28.28,530800,0.0,0.0
19/05/2020,28.11,28.35,27.63,27.8,251300,0.0,0.0
20/05/2020,28.12,28.26,27.66,28.05,239500,0.19,0.0
21/05/2020,27.9,28.4,27.84,28.25,281100,0.0,0.0
22/05/2020,28.42,28.56,27.98,28.43,226100,0.0,0.0
26/05/2020,29.6,29.92,29.12,29.18,297500,0.0,0.0
27/05/2020,29.98,30.53,29.48,30.34,493900,0.0,0.0
28/05/2020,30.91,30.91,29.46,29.6,320300,0.0,0.0
29/05/2020,29.27,29.77,28.84,29.04,451800,0.0,0.0
01/06/2020,29.07,29.63,29.07,29.2,313000,0.0,0.0
02/06/2020,29.67,30.19,29.45,29.76,269500,0.0,0.0
03/06/2020,30.38,31.69,30.18,31.46,372000,0.0,0.0
04/06/2020,31.47,32.16,30.65,31.93,268900,0.0,0.0
05/06/2020,33.42,34.52,32.62,33.47,462000,0.0,0.0
08/06/2020,33.93,34.43,33.45,33.93,300300,0.0,0.0
09/06/2020,33.19,33.95,32.75,33.44,259100,0.0,0.0
10/06/2020,33.21,33.27,31.58,31.58,294800,0.0,0.0
11/06/2020,29.74,30.46,28.71,28.76,354900,0.0,0.0
12/06/2020,30.13,30.29,28.63,29.68,420600,0.0,0.0
15/06/2020,28.64,31.03,28.64,30.46,317200,0.0,0.0
16/06/2020,31.41,32.04,30.78,31.41,322100,0.0,0.0
17/06/2020,31.4,31.45,30.6,30.74,297100,0.0,0.0
18/06/2020,30.31,31.14,30.15,30.78,293200,0.0,0.0
19/06/2020,31.4,31.4,29.56,29.92,1471000,0.19,0.0
22/06/2020,30.03,30.47,29.38,30.05,481300,0.0,0.0
23/06/2020,30.34,30.72,29.62,29.74,323100,0.0,0.0
24/06/2020,29.26,29.45,27.71,28.1,412000,0.0,0.0
25/06/2020,27.78,29.12,27.78,29.08,257700,0.0,0.0
26/06/2020,28.85,29.14,28.35,28.71,443400,0.0,0.0
29/06/2020,29.27,29.72,28.57,29.65,226800,0.0,0.0
30/06/2020,29.61,30.3,29.37,29.87,310200,0.0,0.0
01/07/2020,30.13,31.16,30.0,30.72,348900,0.0,0.0
02/07/2020,31.37,31.5,29.89,30.15,308700,0.0,0.0
06/07/2020,31.03,31.1,30.27,30.28,233600,0.0,0.0
07/07/2020,29.82,30.14,29.52,29.65,233900,0.0,0.0
08/07/2020,29.57,29.92,29.04,29.54,208500,0.0,0.0
09/07/2020,29.35,29.5,28.5,29.09,294900,0.0,0.0
10/07/2020,29.1,29.67,29.1,29.51,225200,0.0,0.0
13/07/2020,29.73,30.14,29.32,29.38,182200,0.0,0.0
14/07/2020,29.35,29.97,29.33,29.61,185600,0.0,0.0
15/07/2020,30.32,30.46,29.35,29.61,290900,0.0,0.0
16/07/2020,29.38,29.66,29.08,29.19,236300,0.0,0.0
17/07/2020,29.34,30.29,29.15,30.12,304900,0.0,0.0
20/07/2020,30.05,30.3,29.08,29.23,218000,0.0,0.0
21/07/2020,29.56,29.8,29.38,29.45,216800,0.0,0.0
22/07/2020,29.26,30.49,29.26,30.47,316300,0.19,0.0
23/07/2020,30.21,30.76,30.09,30.45,242300,0.0,0.0
24/07/2020,30.51,30.63,29.62,29.66,160800,0.0,0.0
27/07/2020,29.55,30.01,29.22,29.97,204800,0.0,0.0
28/07/2020,29.77,30.68,29.77,30.49,223100,0.0,0.0
29/07/2020,30.67,31.21,30.64,31.06,228700,0.0,0.0
30/07/2020,30.41,31.13,30.35,30.9,267500,0.0,0.0
31/07/2020,30.59,30.68,28.71,29.61,817400,0.0,0.0
03/08/2020,29.48,29.49,28.8,29.11,323800,0.0,0.0
04/08/2020,28.98,29.42,28.98,29.38,285400,0.0,0.0
05/08/2020,29.48,29.64,28.87,29.32,285900,0.0,0.0
06/08/2020,29.17,30.17,29.17,30.01,306000,0.0,0.0
07/08/2020,29.89,30.76,29.89,30.69,343100,0.0,0.0
10/08/2020,30.71,31.2,30.48,30.85,344300,0.0,0.0
11/08/2020,31.29,31.48,30.25,30.48,358200,0.0,0.0
12/08/2020,30.68,30.79,30.13,30.56,177500,0.0,0.0
13/08/2020,30.29,30.72,29.75,29.81,194200,0.0,0.0
14/08/2020,29.81,30.1,29.61,29.68,189200,0.0,0.0
17/08/2020,29.71,29.92,29.38,29.79,173500,0.0,0.0
18/08/2020,29.69,29.85,29.03,29.21,202600,0.0,0.0
19/08/2020,29.21,29.35,28.35,28.58,375600,0.0,0.0
20/08/2020,28.27,29.32,28.18,29.01,278300,0.19,0.0
21/08/2020,28.87,29.21,28.41,28.94,220500,0.0,0.0
24/08/2020,28.94,29.36,28.5,29.35,242100,0.0,0.0
25/08/2020,29.25,29.39,28.84,29.28,142600,0.0,0.0
26/08/2020,29.21,29.24,28.42,28.52,256000,0.0,0.0
27/08/2020,28.52,29.41,28.37,29.37,304500,0.0,0.0
28/08/2020,29.52,29.76,28.96,29.76,351200,0.0,0.0
31/08/2020,29.55,29.55,28.92,29.24,328200,0.0,0.0
01/09/2020,29.12,29.35,28.76,29.25,182700,0.0,0.0
02/09/2020,29.19,29.98,28.9,29.89,277500,0.0,0.0
03/09/2020,30.01,30.63,29.84,30.39,376200,0.0,0.0
04/09/2020,30.42,30.7,29.68,29.88,179100,0.0,0.0
08/09/2020,29.78,29.95,29.32,29.73,272800,0.0,0.0
09/09/2020,29.78,30.29,29.44,29.86,195000,0.0,0.0
10/09/2020,29.81,30.03,29.54,29.82,214800,0.0,0.0
11/09/2020,29.81,29.89,28.94,29.34,171100,0.0,0.0
14/09/2020,29.43,29.93,29.38,29.82,316300,0.0,0.0
15/09/2020,29.97,30.33,29.67,29.71,187100,0.0,0.0
16/09/2020,29.87,30.13,29.57,29.57,208600,0.0,0.0
17/09/2020,29.39,29.66,28.96,29.02,268400,0.0,0.0
18/09/2020,28.97,29.08,28.45,28.5,1008200,0.0,0.0
21/09/2020,28.17,28.62,27.47,27.97,408700,0.19,0.0
22/09/2020,27.94,28.52,27.94,28.23,252300,0.0,0.0
23/09/2020,28.16,28.4,26.86,26.9,292600,0.0,0.0
24/09/2020,26.91,27.74,26.9,27.11,402700,0.0,0.0
25/09/2020,26.86,27.2,26.72,27.11,329800,0.0,0.0
28/09/2020,27.56,28.23,27.53,27.98,253200,0.0,0.0
29/09/2020,27.94,27.99,27.19,27.9,206100,0.0,0.0
30/09/2020,28.15,28.53,27.72,28.08,316500,0.0,0.0
01/10/2020,28.09,28.82,27.98,28.81,270700,0.0,0.0
02/10/2020,28.37,29.48,28.19,29.34,304100,0.0,0.0
05/10/2020,29.4,29.68,28.7,28.86,196900,0.0,0.0
