Date,Close,Open,High,Low,Volume,Change %
30/04/2020,40.01,40.51,40.65,38.75,1620000,-2.72%
01/05/2020,37.96,39.18,39.85,37.76,1650000,-5.12%
04/05/2020,38.9,37.83,39.21,37.51,1170000,2.48%
05/05/2020,43.91,39.8,44.14,39.41,2420000,12.88%
06/05/2020,46.96,44.49,48.6,44.25,5050000,6.95%
07/05/2020,52.43,52.56,56.63,51.18,6020000,11.65%
08/05/2020,53.96,51.84,55.48,50.08,3300000,2.92%
11/05/2020,53.59,53.08,54.53,51.35,3440000,-0.69%
12/05/2020,57.85,55,59.99,53.59,3750000,7.95%
13/05/2020,57.35,60.16,62.86,55.8,4340000,-0.86%
14/05/2020,61.16,57.5,63.5,56.95,3490000,6.64%
15/05/2020,59.32,61.16,61.67,57.77,3530000,-3.01%
18/05/2020,59.03,59.21,60.52,56.42,2380000,-0.49%
19/05/2020,60.91,59.23,61.24,58.76,1760000,3.18%
20/05/2020,60.96,61.46,62.01,60.41,1950000,0.08%
21/05/2020,57.95,60.93,60.93,57.42,2040000,-4.94%
22/05/2020,58.46,58.03,60.5,57.17,1920000,0.88%
26/05/2020,55,59.75,61.1,52.81,2920000,-5.92%
27/05/2020,53.4,52.77,53.97,48.21,4340000,-2.91%
28/05/2020,57.85,53.9,60.69,53.51,4090000,8.33%
29/05/2020,59.93,59.62,60.12,57.61,2960000,3.60%
01/06/2020,59.27,58.9,60.19,57.17,4000000,-1.10%
02/06/2020,58.33,58.94,58.99,57.27,3640000,-1.59%
03/06/2020,61.8,58.31,64.31,56.5,5890000,5.95%
04/06/2020,57.34,61.51,63.57,56.04,4080000,-7.22%
05/06/2020,57.21,56.2,59.47,54.31,3240000,-0.23%
08/06/2020,59.03,57.01,60.88,55.62,2780000,3.18%
09/06/2020,59.75,59.7,61.4,59.26,2730000,1.22%
10/06/2020,63.87,60.99,65.81,60.01,4510000,6.90%
11/06/2020,58.94,61.18,63.26,57.59,4560000,-7.72%
12/06/2020,60,61,61.12,58.62,2860000,1.80%
15/06/2020,61.55,59.52,61.78,58.7,3450000,2.58%
16/06/2020,66.52,62.62,67.67,61.96,4550000,8.07%
17/06/2020,67.04,67.72,71.1,66.44,4590000,0.78%
18/06/2020,70.12,67.4,71,66.49,3730000,4.59%
19/06/2020,70.43,71.65,72.25,68.82,4240000,0.44%
22/06/2020,74.92,74.24,76.45,72.7,3850000,6.38%
23/06/2020,76.69,76.34,79,74.4,4450000,2.36%
24/06/2020,73.9,74.4,76.74,71.44,3890000,-3.64%
