Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,272.67,275.81,267.76,269.29,5898900,0.0,0.0
01/05/2020,263.14,268.33,261.69,263.18,5067800,0.0,0.0
04/05/2020,260.01,264.49,257.57,263.69,3747100,0.0,0.0
05/05/2020,271.12,272.11,267.65,268.32,3926200,0.0,0.0
06/05/2020,271.23,271.23,265.94,266.81,3261900,0.0,0.0
07/05/2020,272.07,276.61,271.51,272.71,4371400,0.0,0.0
08/05/2020,277.54,277.56,273.72,276.6,3215400,0.0,0.0
11/05/2020,273.72,276.96,271.89,275.42,4056900,0.0,0.0
12/05/2020,274.65,276.49,266.48,266.48,4031400,0.0,0.0
13/05/2020,266.67,270.36,258.73,263.6,4802100,0.0,0.0
14/05/2020,264.61,271.82,258.5,271.58,6294200,0.0,0.0
15/05/2020,270.33,273.37,267.64,273.17,3813300,0.0,0.0
18/05/2020,279.56,286.05,279.11,283.91,6037800,0.0,0.0
19/05/2020,283.19,291.66,281.55,284.72,5211800,0.0,0.0
20/05/2020,289.64,294.92,289.28,292.62,4592200,0.0,0.0
21/05/2020,293.18,293.73,286.7,288.18,3944100,0.0,0.0
22/05/2020,288.96,290.66,286.95,288.81,2897000,0.0,0.0
26/05/2020,298.32,298.69,295.7,297.06,5246900,0.0,0.0
27/05/2020,297.71,298.43,286.08,293.57,5147900,0.0,0.0
28/05/2020,294.76,303.59,292.66,296.05,4520800,0.0,0.0
29/05/2020,295.76,298.14,292.69,294.67,4930100,0.0,0.0
01/06/2020,294.58,296.79,291.74,295.17,2841800,0.0,0.0
02/06/2020,298.68,299.78,295.45,297.31,4131300,0.0,0.0
03/06/2020,299.16,301.74,295.96,300.72,3429700,0.0,0.0
04/06/2020,299.13,300.28,293.15,295.14,4147700,0.0,0.0
05/06/2020,300.47,305.73,299.33,305.43,5058200,0.0,0.0
08/06/2020,304.63,307.1,300.7,303.99,3724300,0.0,0.0
09/06/2020,303.38,306.99,301.83,305.05,3314800,0.0,0.0
10/06/2020,305.93,309.53,303.87,306.68,4089000,0.0,0.0
11/06/2020,298.7,300.15,285.04,285.23,6505300,0.0,0.0
12/06/2020,292.61,293.79,284.88,291.63,4512200,0.0,0.0
15/06/2020,284.0,292.74,282.78,291.03,5932900,0.0,0.0
16/06/2020,299.59,302.7,293.91,298.18,4013100,0.0,0.0
17/06/2020,298.69,301.12,296.81,297.48,2566400,0.0,0.0
18/06/2020,295.59,298.79,294.29,298.55,2776600,0.0,0.0
19/06/2020,303.1,303.1,290.37,290.37,4533500,0.0,0.0
22/06/2020,293.41,298.65,291.57,298.15,3489200,0.0,0.0
23/06/2020,300.68,304.01,298.13,300.54,3801500,0.0,0.0
24/06/2020,298.69,299.2,287.0,287.93,5086000,0.0,0.0
25/06/2020,288.08,292.22,284.66,291.85,3294800,0.0,0.0
26/06/2020,290.74,291.95,283.19,283.36,4922500,0.0,0.0
29/06/2020,285.32,287.09,279.25,286.87,3642200,0.0,0.0
30/06/2020,287.03,290.47,284.99,289.59,4283500,0.0,0.0
