Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,232.78,242.95,227.12,235.59,1578300,0.0,0.0
01/05/2020,233.17,234.39,230.01,233.6,780700,0.0,0.0
04/05/2020,230.85,237.51,228.26,237.02,830000,0.0,0.0
05/05/2020,240.58,244.17,237.94,241.93,1106200,0.0,0.0
06/05/2020,243.02,243.56,232.1,233.26,843900,0.0,0.0
07/05/2020,237.16,240.76,235.89,239.25,764100,0.0,0.0
08/05/2020,243.16,245.07,241.24,243.17,576600,0.0,0.0
11/05/2020,240.46,246.54,238.87,244.43,690300,0.0,0.0
12/05/2020,246.29,248.51,241.95,241.95,655700,0.0,0.0
13/05/2020,240.4,244.76,235.96,239.28,751800,0.0,0.0
14/05/2020,236.24,245.65,234.84,245.22,1117900,0.0,0.0
15/05/2020,249.34,252.47,240.72,242.74,2691200,0.0,0.0
18/05/2020,248.24,253.64,247.72,250.95,1125100,0.0,0.0
19/05/2020,250.98,252.93,245.43,245.79,958300,0.56,0.0
20/05/2020,249.73,251.5,247.29,248.07,740600,0.0,0.0
21/05/2020,247.46,248.23,243.95,245.65,1228500,0.0,0.0
22/05/2020,247.59,250.21,244.04,248.6,384500,0.0,0.0
26/05/2020,254.59,255.34,250.81,251.39,805800,0.0,0.0
27/05/2020,254.97,255.26,247.22,250.51,806100,0.0,0.0
28/05/2020,252.65,260.04,250.89,256.32,1249400,0.0,0.0
29/05/2020,257.44,259.55,253.72,258.85,1245800,0.0,0.0
01/06/2020,261.01,269.08,261.01,268.17,988600,0.0,0.0
02/06/2020,268.28,268.85,264.61,267.59,1034000,0.0,0.0
03/06/2020,270.64,274.42,268.07,273.54,764900,0.0,0.0
04/06/2020,271.04,273.07,264.9,267.2,780300,0.0,0.0
05/06/2020,272.46,274.56,268.87,270.74,990900,0.0,0.0
08/06/2020,267.34,272.85,264.59,272.79,1089800,0.0,0.0
09/06/2020,268.13,270.17,265.9,266.18,946400,0.0,0.0
10/06/2020,267.87,271.63,265.16,267.94,683700,0.0,0.0
11/06/2020,262.56,262.56,249.5,250.01,901100,0.0,0.0
12/06/2020,257.81,259.58,251.68,258.44,805800,0.0,0.0
15/06/2020,253.61,262.92,252.17,261.56,609600,0.0,0.0
16/06/2020,270.44,270.83,260.15,265.76,596100,0.0,0.0
17/06/2020,266.38,269.28,265.12,266.22,362100,0.0,0.0
18/06/2020,265.42,267.72,264.0,266.09,369500,0.0,0.0
