Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,88.6,89.79,87.45,88.15,5497000,0.0,0.0
01/05/2020,87.58,87.75,85.42,85.9,4172000,0.0,0.0
04/05/2020,85.35,86.41,84.52,86.01,4717600,0.0,0.0
05/05/2020,87.39,89.32,87.29,88.4,4200200,0.0,0.0
06/05/2020,88.77,89.15,87.19,87.37,3605900,0.0,0.0
07/05/2020,88.83,90.07,88.34,89.33,4403500,0.0,0.0
08/05/2020,90.67,90.88,88.6,89.42,4277800,0.0,0.0
11/05/2020,88.34,89.67,87.55,89.15,3490400,0.0,0.0
12/05/2020,89.48,89.62,85.93,85.96,4411800,0.0,0.0
13/05/2020,85.78,86.17,83.95,84.22,7111000,0.0,0.0
14/05/2020,83.25,84.77,80.95,84.71,6355800,0.0,0.0
15/05/2020,83.95,85.08,83.07,84.78,8591500,0.0,0.0
18/05/2020,87.42,90.43,87.18,89.3,7047500,0.0,0.0
19/05/2020,89.39,90.18,87.54,87.61,4801700,0.0,0.0
20/05/2020,88.39,89.56,87.54,88.56,4270900,0.0,0.0
21/05/2020,85.87,87.85,84.94,86.15,7021400,0.0,0.0
22/05/2020,86.25,86.57,83.78,85.52,6518300,0.0,0.0
26/05/2020,88.11,88.57,85.61,87.72,7086300,0.0,0.0
27/05/2020,87.97,88.61,85.7,86.68,6163700,0.0,0.0
28/05/2020,88.05,90.05,87.76,88.61,5444200,0.0,0.0
29/05/2020,89.48,89.48,86.88,89.01,8956300,0.0,0.0
01/06/2020,88.24,88.94,87.5,87.68,4860000,0.0,0.0
02/06/2020,87.76,88.19,87.1,87.81,8363300,0.0,0.0
03/06/2020,88.04,88.52,87.56,87.67,7508900,0.0,0.0
04/06/2020,87.36,88.19,87.06,87.57,8785200,0.0,0.0
05/06/2020,89.16,93.07,88.55,92.13,10060400,0.0,0.0
08/06/2020,91.84,93.21,91.07,91.49,6929600,0.0,0.0
09/06/2020,92.11,93.05,89.39,89.49,5622500,0.0,0.0
10/06/2020,89.58,89.99,87.72,88.08,6098300,0.0,0.0
11/06/2020,86.54,86.61,81.98,82.05,8829600,0.0,0.0
12/06/2020,84.74,86.05,82.84,84.16,7333400,0.0,0.0
15/06/2020,82.5,84.87,81.88,84.53,6026000,0.0,0.0
16/06/2020,87.13,87.49,85.44,86.27,6500100,0.0,0.0
17/06/2020,86.36,87.12,85.78,86.21,5360900,0.0,0.0
18/06/2020,85.54,86.29,84.83,85.26,3692600,0.0,0.0
19/06/2020,86.72,87.02,84.28,84.79,7084200,0.0,0.0
22/06/2020,84.0,84.62,82.79,84.27,5370200,0.0,0.0
23/06/2020,85.22,85.89,84.23,84.32,5160200,0.0,0.0
24/06/2020,83.53,83.62,80.24,80.3,10928600,0.0,0.0
25/06/2020,80.16,80.96,79.69,80.76,5671100,0.58,0.0
26/06/2020,80.89,81.43,80.15,80.68,9108200,0.0,0.0
29/06/2020,81.32,82.07,80.4,82.03,5241600,0.0,0.0
30/06/2020,81.98,83.77,80.9,83.34,5463800,0.0,0.0
01/07/2020,83.41,84.28,83.12,83.9,4328700,0.0,0.0
02/07/2020,84.8,85.81,84.5,84.67,3937800,0.0,0.0
06/07/2020,85.54,86.18,84.07,84.71,4366400,0.0,0.0
07/07/2020,83.68,84.6,83.11,83.31,4045600,0.0,0.0
08/07/2020,83.27,83.62,82.38,83.26,3956300,0.0,0.0
09/07/2020,83.1,83.42,81.09,81.91,4061100,0.0,0.0
10/07/2020,81.51,82.68,81.22,82.53,4933900,0.0,0.0
13/07/2020,82.99,86.04,82.74,84.31,7442300,0.0,0.0
14/07/2020,84.29,86.04,83.6,86.02,5421900,0.0,0.0
15/07/2020,86.89,89.27,86.89,88.3,5644600,0.0,0.0
16/07/2020,87.79,88.0,86.57,87.02,4123800,0.0,0.0
17/07/2020,87.47,89.94,87.35,89.59,5557700,0.0,0.0
20/07/2020,89.27,89.35,86.96,87.0,4081800,0.0,0.0
21/07/2020,87.72,89.07,87.44,87.99,3664500,0.0,0.0
22/07/2020,87.95,88.67,87.6,88.6,3618000,0.0,0.0
23/07/2020,88.71,88.71,87.41,87.77,3652600,0.0,0.0
24/07/2020,87.64,88.05,87.07,87.57,4071900,0.0,0.0
27/07/2020,87.53,88.39,86.95,87.64,3701900,0.0,0.0
28/07/2020,87.4,88.35,87.05,87.57,4325500,0.0,0.0
29/07/2020,88.0,90.34,87.66,89.72,7020200,0.0,0.0
30/07/2020,88.35,88.62,86.69,87.68,3830000,0.0,0.0
31/07/2020,87.63,87.75,86.01,87.69,5155300,0.0,0.0
03/08/2020,88.1,88.75,87.21,88.46,3708100,0.0,0.0
04/08/2020,88.07,88.69,87.22,87.51,4241600,0.0,0.0
05/08/2020,87.99,88.86,87.88,88.18,3201500,0.0,0.0
06/08/2020,87.99,88.8,87.53,87.91,5009000,0.0,0.0
07/08/2020,87.91,90.97,87.79,90.93,4476900,0.0,0.0
10/08/2020,91.05,91.38,90.49,91.23,5096400,0.0,0.0
11/08/2020,92.43,93.15,91.36,91.54,4464800,0.0,0.0
12/08/2020,92.79,93.38,91.77,92.78,3471800,0.0,0.0
13/08/2020,92.04,92.59,91.15,92.06,3715000,0.0,0.0
14/08/2020,91.83,92.74,91.18,91.53,2925700,0.0,0.0
17/08/2020,92.78,93.78,92.26,92.58,3689600,0.0,0.0
18/08/2020,93.08,93.46,92.21,92.3,4043900,0.0,0.0
19/08/2020,92.61,92.87,91.43,91.63,3353400,0.0,0.0
20/08/2020,91.06,91.53,90.78,91.14,3350500,0.0,0.0
21/08/2020,90.86,90.97,89.47,89.73,6734100,0.0,0.0
24/08/2020,90.72,92.06,90.32,91.0,5265400,0.0,0.0
25/08/2020,95.34,96.23,92.93,93.24,9155300,0.0,0.0
26/08/2020,94.07,95.06,92.79,94.59,6126300,0.0,0.0
27/08/2020,94.93,97.43,94.75,97.12,6872500,0.0,0.0
28/08/2020,97.1,98.34,96.35,98.03,5699400,0.0,0.0
31/08/2020,97.88,98.81,97.38,97.67,4706200,0.0,0.0
01/09/2020,96.66,97.73,96.46,97.72,3705100,0.0,0.0
02/09/2020,97.76,99.2,97.37,98.86,4452200,0.0,0.0
03/09/2020,98.91,99.21,95.75,96.47,5028100,0.0,0.0
04/09/2020,96.8,97.93,94.73,96.1,5813100,0.0,0.0
08/09/2020,95.43,95.93,94.36,95.05,5090900,0.0,0.0
09/09/2020,95.47,97.56,95.44,96.94,5549200,0.0,0.0
10/09/2020,97.06,97.37,94.91,95.23,3636900,0.0,0.0
11/09/2020,95.51,95.87,94.49,95.22,2836700,0.0,0.0
14/09/2020,96.04,97.83,95.89,97.22,4393500,0.0,0.0
15/09/2020,97.96,98.78,97.46,97.76,3293600,0.0,0.0
16/09/2020,98.11,98.66,97.53,97.69,3723800,0.0,0.0
17/09/2020,97.46,98.06,96.27,97.98,3541900,0.0,0.0
18/09/2020,97.99,99.28,97.33,97.79,6265900,0.0,0.0
21/09/2020,95.67,96.07,93.69,95.25,4821300,0.0,0.0
