Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,206.7,209.47,201.36,204.49,46230100,0.0,0.0
01/05/2020,201.39,207.06,198.84,202.06,30415600,0.0,0.0
04/05/2020,199.99,205.69,198.55,205.04,19250700,0.0,0.0
05/05/2020,206.8,210.16,206.28,206.85,21071200,0.0,0.0
06/05/2020,207.9,211.38,206.44,208.25,21857000,0.0,0.0
07/05/2020,210.94,211.38,208.82,211.04,15152000,0.0,0.0
08/05/2020,212.02,212.98,210.63,212.12,12506000,0.0,0.0
11/05/2020,210.67,214.77,210.15,212.95,12911900,0.0,0.0
12/05/2020,213.06,215.05,209.78,209.88,14704600,0.0,0.0
13/05/2020,209.21,210.56,201.9,204.88,20684600,0.0,0.0
14/05/2020,202.35,206.71,200.48,206.59,17178900,0.0,0.0
15/05/2020,205.05,211.12,203.9,210.66,19383200,0.0,0.0
18/05/2020,211.93,214.41,210.72,212.96,20151900,0.0,0.0
19/05/2020,213.04,220.26,212.6,216.65,31843200,0.0,0.0
20/05/2020,223.26,231.09,222.95,229.73,50162900,0.0,0.0
21/05/2020,234.47,236.95,230.95,231.14,47782600,0.0,0.0
22/05/2020,231.26,235.74,228.5,234.66,33925600,0.0,0.0
26/05/2020,239.52,240.64,231.42,231.95,33178300,0.0,0.0
27/05/2020,228.83,230.32,220.9,228.9,34697600,0.0,0.0
28/05/2020,224.06,231.38,223.76,225.22,29377200,0.0,0.0
29/05/2020,224.96,227.25,222.64,224.85,23241500,0.0,0.0
01/06/2020,224.35,232.19,223.26,231.66,18223800,0.0,0.0
02/06/2020,230.7,232.75,226.32,232.47,20919000,0.0,0.0
03/06/2020,231.86,232.4,228.29,229.92,15380300,0.0,0.0
04/06/2020,229.32,231.38,224.37,226.05,17041500,0.0,0.0
05/06/2020,226.47,231.1,225.07,230.53,16750400,0.0,0.0
08/06/2020,228.79,231.3,227.17,231.15,15466500,0.0,0.0
09/06/2020,231.27,239.52,230.17,238.42,27462900,0.0,0.0
10/06/2020,240.7,240.95,235.03,236.48,20720700,0.0,0.0
11/06/2020,229.7,232.64,223.31,224.19,26708200,0.0,0.0
12/06/2020,229.66,231.41,224.26,228.34,22091400,0.0,0.0
15/06/2020,224.85,233.52,224.56,232.25,15340300,0.0,0.0
16/06/2020,236.89,238.21,232.75,235.4,15236700,0.0,0.0
17/06/2020,234.75,237.34,231.48,235.28,19578100,0.0,0.0
18/06/2020,234.74,235.89,231.9,235.69,15782500,0.0,0.0
19/06/2020,237.54,240.57,235.3,238.54,30081300,0.0,0.0
22/06/2020,238.31,240.44,236.66,238.97,18917800,0.0,0.0
23/06/2020,241.02,244.93,239.61,241.98,24017900,0.0,0.0
24/06/2020,240.94,242.96,232.43,233.77,20834900,0.0,0.0
25/06/2020,234.37,237.05,232.49,235.43,18704300,0.0,0.0
26/06/2020,232.39,232.84,215.17,215.85,76343900,0.0,0.0
29/06/2020,209.53,220.52,206.89,220.41,58514300,0.0,0.0
30/06/2020,220.36,227.26,218.24,226.83,33927100,0.0,0.0
01/07/2020,228.26,238.75,227.32,237.3,43399700,0.0,0.0
02/07/2020,238.75,239.75,232.36,233.17,30633600,0.0,0.0
06/07/2020,233.51,240.15,232.02,240.03,26206200,0.0,0.0
07/07/2020,239.16,247.39,238.57,240.6,27887800,0.0,0.0
08/07/2020,237.86,246.73,236.34,243.32,29791300,0.0,0.0
09/07/2020,244.74,246.27,238.99,244.24,22174900,0.0,0.0
10/07/2020,243.43,245.23,239.07,244.81,22982700,0.0,0.0
13/07/2020,246.75,249.88,238.17,238.75,24674900,0.0,0.0
14/07/2020,236.51,240.08,231.78,239.48,23378100,0.0,0.0
15/07/2020,241.29,244.56,237.8,240.03,19133600,0.0,0.0
16/07/2020,237.75,241.5,236.08,240.67,18880700,0.0,0.0
17/07/2020,240.74,243.9,237.61,241.77,18152400,0.0,0.0
20/07/2020,239.81,245.79,235.39,245.16,20872200,0.0,0.0
21/07/2020,245.96,246.65,239.83,241.49,19364200,0.0,0.0
22/07/2020,240.01,241.64,237.87,239.62,15427900,0.0,0.0
23/07/2020,239.38,242.16,231.5,232.35,21771800,0.0,0.0
24/07/2020,229.95,233.24,226.66,230.47,18325800,0.0,0.0
27/07/2020,231.21,234.7,230.59,233.25,13163100,0.0,0.0
28/07/2020,234.38,234.71,229.59,229.88,14170100,0.0,0.0
29/07/2020,230.9,233.45,230.07,233.04,13588300,0.0,0.0
30/07/2020,229.98,234.64,228.76,234.25,20615300,0.0,0.0
31/07/2020,255.55,255.58,248.74,253.4,53005100,0.0,0.0
03/08/2020,252.38,255.13,250.06,251.69,23124900,0.0,0.0
04/08/2020,251.29,252.53,247.17,249.57,17183500,0.0,0.0
05/08/2020,249.92,252.0,247.51,248.86,13050100,0.0,0.0
06/08/2020,248.78,266.32,248.41,265.0,45241600,0.0,0.0
07/08/2020,263.8,278.59,263.15,268.16,72766400,0.0,0.0
10/08/2020,267.76,273.57,259.41,262.72,30248800,0.0,0.0
11/08/2020,259.91,265.64,254.86,255.86,28238300,0.0,0.0
12/08/2020,258.7,263.62,257.84,259.61,21415700,0.0,0.0
13/08/2020,261.27,264.88,259.29,261.02,17374000,0.0,0.0
14/08/2020,262.03,262.37,258.41,260.96,14792700,0.0,0.0
17/08/2020,262.22,263.82,259.13,260.88,13351100,0.0,0.0
18/08/2020,260.67,264.87,258.99,262.06,18690400,0.0,0.0
19/08/2020,261.11,267.63,261.07,262.31,23291500,0.0,0.0
20/08/2020,261.22,269.34,261.18,268.72,20299700,0.0,0.0
21/08/2020,268.41,270.2,266.14,266.73,15538600,0.0,0.0
24/08/2020,270.78,276.96,268.49,271.1,23685600,0.0,0.0
25/08/2020,272.12,282.79,269.97,280.52,42127200,0.0,0.0
26/08/2020,283.7,304.35,283.7,303.59,69015200,0.0,0.0
27/08/2020,299.84,300.91,291.71,292.91,30301300,0.0,0.0
28/08/2020,294.69,296.91,290.67,293.35,17157400,0.0,0.0
31/08/2020,293.64,296.57,291.24,292.89,17345100,0.0,0.0
01/09/2020,294.4,301.17,292.4,295.13,17295900,0.0,0.0
02/09/2020,298.56,303.28,292.74,302.18,24341400,0.0,0.0
03/09/2020,295.68,297.28,283.33,290.81,32294100,0.0,0.0
04/09/2020,286.95,288.69,270.85,282.43,30333700,0.0,0.0
08/09/2020,270.99,279.0,269.13,270.87,24864000,0.0,0.0
09/09/2020,275.48,278.18,271.06,273.43,22918800,0.0,0.0
10/09/2020,275.22,278.86,266.75,267.81,24814700,0.0,0.0
11/09/2020,269.77,271.1,262.36,266.33,18913900,0.0,0.0
14/09/2020,270.66,276.35,265.42,265.87,24093800,0.0,0.0
15/09/2020,270.38,274.23,269.01,272.13,18478500,0.0,0.0
16/09/2020,267.01,272.15,261.51,263.24,29183400,0.0,0.0
17/09/2020,258.01,261.22,249.92,254.55,31281400,0.0,0.0
18/09/2020,258.13,258.93,249.78,252.26,28130800,0.0,0.0
21/09/2020,247.28,249.69,243.87,247.89,24709400,0.0,0.0
22/09/2020,253.04,255.05,247.96,254.48,30293100,0.0,0.0
23/09/2020,254.99,257.72,247.89,248.76,19641300,0.0,0.0
24/09/2020,246.24,251.97,245.36,249.27,20006800,0.0,0.0
25/09/2020,249.14,255.48,246.35,254.55,18351300,0.0,0.0
28/09/2020,259.13,259.32,254.55,256.55,18826300,0.0,0.0
29/09/2020,257.54,263.05,256.63,261.51,20200200,0.0,0.0
30/09/2020,261.7,265.8,259.82,261.62,20142500,0.0,0.0
01/10/2020,265.07,268.05,264.52,266.35,20009800,0.0,0.0
02/10/2020,260.93,264.87,258.91,259.66,16367600,0.0,0.0
05/10/2020,261.92,264.59,260.56,264.37,12822300,0.0,0.0
06/10/2020,261.5,265.41,257.97,258.39,18696900,0.0,0.0
07/10/2020,258.94,259.9,254.55,257.85,23133400,0.0,0.0
08/10/2020,259.47,264.34,258.88,263.48,16312800,0.0,0.0
09/10/2020,264.24,264.47,261.89,264.17,14107800,0.0,0.0
12/10/2020,269.91,279.88,267.59,275.46,31019300,0.0,0.0
13/10/2020,277.29,278.8,273.1,275.85,18063300,0.0,0.0
14/10/2020,277.33,278.45,271.21,271.53,15577800,0.0,0.0
15/10/2020,267.32,268.75,263.39,266.44,15416100,0.0,0.0
16/10/2020,267.1,271.08,265.02,265.65,16622700,0.0,0.0
19/10/2020,265.25,268.27,259.6,261.12,13587000,0.0,0.0
20/10/2020,262.78,269.41,262.6,267.28,18763200,0.0,0.0
21/10/2020,279.26,282.75,276.08,278.43,28998600,0.0,0.0
22/10/2020,279.57,282.15,274.75,277.83,16720000,0.0,0.0
23/10/2020,278.5,284.94,276.53,284.49,17535200,0.0,0.0
26/10/2020,282.86,284.93,273.97,276.82,21322900,0.0,0.0
27/10/2020,278.46,284.21,276.02,282.99,16287200,0.0,0.0
28/10/2020,278.49,278.49,266.98,267.39,23121800,0.0,0.0
29/10/2020,276.26,283.3,273.49,280.53,32368100,0.0,0.0
30/10/2020,274.21,276.41,258.83,262.83,47247800,0.0,0.0
02/11/2020,264.32,270.18,257.07,261.08,27165700,0.0,0.0
03/11/2020,262.88,269.76,260.6,265.02,17961900,0.0,0.0
04/11/2020,280.7,288.63,278.32,287.08,35364400,0.0,0.0
05/11/2020,291.59,297.06,288.64,294.37,23823600,0.0,0.0
06/11/2020,293.64,294.29,287.75,293.1,13891000,0.0,0.0
09/11/2020,289.56,292.27,278.23,278.47,25117700,0.0,0.0
10/11/2020,272.81,273.71,263.72,272.14,29067700,0.0,0.0
11/11/2020,273.18,278.1,272.19,276.19,14957000,0.0,0.0
12/11/2020,276.89,279.45,274.14,274.79,12899500,0.0,0.0
13/11/2020,277.43,277.47,272.81,276.66,10391200,0.0,0.0
16/11/2020,274.76,279.11,274.34,278.66,12970400,0.0,0.0
17/11/2020,277.39,277.39,273.0,274.71,15040300,0.0,0.0
18/11/2020,274.23,277.1,271.55,271.68,12152900,0.0,0.0
19/11/2020,270.73,273.18,268.9,272.65,12963700,0.0,0.0
20/11/2020,272.27,272.71,269.12,269.41,18114700,0.0,0.0
23/11/2020,270.6,270.66,264.25,268.15,20990800,0.0,0.0
24/11/2020,268.21,277.53,267.59,276.63,16930400,0.0,0.0
25/11/2020,277.85,279.88,272.36,275.3,12467000,0.0,0.0
27/11/2020,277.1,278.83,274.53,277.52,7808400,0.0,0.0
30/11/2020,275.74,277.41,270.72,276.68,16693300,0.0,0.0
01/12/2020,278.86,288.99,278.66,286.25,20738900,0.0,0.0
02/12/2020,285.06,291.47,280.53,287.22,17361600,0.0,0.0
03/12/2020,285.95,286.35,280.77,281.55,12921700,0.0,0.0
04/12/2020,280.0,283.16,279.0,279.4,10880300,0.0,0.0
07/12/2020,278.89,288.18,277.91,285.28,13007700,0.0,0.0
08/12/2020,285.71,286.13,281.25,283.1,10747700,0.0,0.0
09/12/2020,283.36,287.33,271.46,277.63,25189700,0.0,0.0
10/12/2020,275.25,278.43,271.57,276.83,20065100,0.0,0.0
11/12/2020,274.24,276.19,269.96,273.26,14391400,0.0,0.0
14/12/2020,273.08,276.93,271.27,273.9,16376900,0.0,0.0
15/12/2020,274.54,275.79,267.19,275.26,23979500,0.0,0.0
16/12/2020,274.47,277.57,272.22,275.38,15885000,0.0,0.0
17/12/2020,276.78,280.14,273.32,274.19,16377800,0.0,0.0
18/12/2020,275.48,277.71,270.85,276.11,26693200,0.0,0.0
21/12/2020,272.69,274.38,267.51,272.5,16553700,0.0,0.0
22/12/2020,271.21,271.21,264.35,266.81,17312900,0.0,0.0
23/12/2020,266.61,271.88,265.95,267.83,14329000,0.0,0.0
24/12/2020,268.6,270.11,265.92,267.12,6702000,0.0,0.0
28/12/2020,268.46,277.01,265.38,276.71,23299700,0.0,0.0
29/12/2020,276.66,280.21,275.99,276.49,16383000,0.0,0.0
30/12/2020,277.66,277.79,271.42,271.58,11803800,0.0,0.0
31/12/2020,271.71,276.8,269.52,272.87,12900400,0.0,0.0
04/01/2021,274.49,274.71,264.92,268.65,15106100,0.0,0.0
05/01/2021,268.01,272.11,267.93,270.68,9871600,0.0,0.0
06/01/2021,261.72,267.47,259.73,263.03,24354100,0.0,0.0
07/01/2021,265.62,271.32,264.5,268.46,15789800,0.0,0.0
08/01/2021,268.03,268.66,262.9,267.29,18528300,0.0,0.0
11/01/2021,260.2,263.19,255.63,256.57,30412300,0.0,0.0
12/01/2021,256.36,259.44,250.03,250.82,26383500,0.0,0.0
13/01/2021,251.28,253.68,248.94,251.37,19528900,0.0,0.0
14/01/2021,253.13,254.76,244.35,245.38,29739400,0.0,0.0
15/01/2021,247.64,253.59,246.9,251.09,24942900,0.0,0.0
19/01/2021,256.63,261.92,252.45,260.82,28028500,0.0,0.0
20/01/2021,268.64,270.03,263.32,267.2,25199900,0.0,0.0
21/01/2021,268.97,273.31,267.21,272.58,20838700,0.0,0.0
22/01/2021,271.72,278.17,271.71,274.21,21954000,0.0,0.0
25/01/2021,277.85,279.8,271.22,277.72,19087000,0.0,0.0
26/01/2021,277.85,285.09,277.52,281.75,19373600,0.0,0.0
27/01/2021,282.23,283.15,267.84,271.85,35346200,0.0,0.0
28/01/2021,276.89,286.49,264.42,264.72,37758800,0.0,0.0
29/01/2021,265.02,266.28,254.58,258.06,30389500,0.0,0.0
01/02/2021,259.24,263.89,254.64,261.73,22914300,0.0,0.0
02/02/2021,263.72,268.57,262.99,266.8,17320800,0.0,0.0
03/02/2021,265.34,268.91,263.56,266.37,14223400,0.0,0.0
04/02/2021,266.73,267.88,263.72,266.21,16060000,0.0,0.0
05/02/2021,266.52,268.88,265.39,267.82,12454400,0.0,0.0
08/02/2021,268.47,269.57,264.72,266.3,13755200,0.0,0.0
09/02/2021,266.16,273.1,265.47,269.16,14613400,0.0,0.0
10/02/2021,272.16,273.51,267.44,271.58,14687200,0.0,0.0
11/02/2021,271.6,273.29,268.21,270.1,12828600,0.0,0.0
12/02/2021,270.23,270.89,268.06,270.21,9097600,0.0,0.0
16/02/2021,270.51,276.31,269.76,273.68,15417200,0.0,0.0
17/02/2021,270.95,273.68,269.29,273.28,12763200,0.0,0.0
18/02/2021,269.28,271.66,265.75,269.1,15249100,0.0,0.0
19/02/2021,269.57,269.98,259.87,261.28,25622600,0.0,0.0
22/02/2021,257.68,262.79,257.26,260.05,17434900,0.0,0.0
23/02/2021,259.22,267.18,254.69,265.58,21924600,0.0,0.0
24/02/2021,262.05,266.1,258.12,264.03,15736100,0.0,0.0
25/02/2021,262.02,266.66,253.77,254.42,19053100,0.0,0.0
26/02/2021,256.2,265.27,256.2,257.35,26619500,0.0,0.0
01/03/2021,260.54,266.37,257.63,264.63,22157300,0.0,0.0
02/03/2021,265.5,266.43,258.38,258.73,15191700,0.0,0.0
03/03/2021,260.01,260.71,254.83,255.14,15513500,0.0,0.0
04/03/2021,256.2,266.21,253.23,257.37,31626500,0.0,0.0
05/03/2021,260.39,265.17,255.34,264.0,26820100,0.0,0.0
08/03/2021,265.27,265.3,254.78,255.04,18391800,0.0,0.0
09/03/2021,260.9,268.25,259.53,265.46,22039700,0.0,0.0
10/03/2021,268.36,268.68,262.59,264.62,14210300,0.0,0.0
11/03/2021,267.83,277.61,267.54,273.59,21834000,0.0,0.0
12/03/2021,268.85,269.45,263.74,268.12,20600200,0.0,0.0
15/03/2021,268.79,275.67,268.22,273.46,16844800,0.0,0.0
16/03/2021,275.79,281.84,274.51,278.98,22437700,0.0,0.0
17/03/2021,275.42,285.93,275.12,283.71,21315000,0.0,0.0
18/03/2021,279.57,284.89,277.99,278.32,18728300,0.0,0.0
19/03/2021,280.92,292.49,280.9,289.8,38930500,0.0,0.0
22/03/2021,290.14,299.39,286.45,293.23,28273100,0.0,0.0
