Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,129.47,130.0,127.33,127.47,3667800,0.0,0.0
01/05/2020,125.27,125.89,123.95,124.68,2926400,0.0,0.0
04/05/2020,124.63,124.65,122.55,124.51,2229800,0.0,0.0
05/05/2020,125.76,125.86,123.42,123.7,2269200,0.0,0.0
06/05/2020,124.0,124.32,122.49,122.67,2168600,0.0,0.0
07/05/2020,123.93,124.05,121.58,122.28,2800800,0.0,0.0
08/05/2020,123.41,125.17,122.82,124.61,2169700,0.0,0.0
11/05/2020,124.03,124.15,122.16,122.27,3034600,0.0,0.0
12/05/2020,122.96,123.52,118.68,118.74,3030000,0.0,0.0
13/05/2020,118.06,118.08,113.27,114.21,4806000,0.0,0.0
14/05/2020,113.27,114.24,110.02,114.1,5897700,0.0,0.0
15/05/2020,112.88,116.52,112.6,116.37,10113700,0.0,0.0
18/05/2020,120.12,125.62,119.57,125.24,6017100,0.0,0.0
19/05/2020,124.6,127.24,123.65,124.5,4059900,0.0,0.0
20/05/2020,125.75,127.06,124.88,125.59,3428800,0.0,0.0
21/05/2020,125.19,125.95,123.16,123.55,2789100,1.47,0.0
22/05/2020,123.5,124.26,122.53,124.09,2661400,0.0,0.0
26/05/2020,127.47,129.63,126.43,128.87,4616300,0.0,0.0
27/05/2020,130.49,134.02,129.94,134.01,6056300,0.0,0.0
28/05/2020,134.49,135.47,130.6,132.88,6730700,0.0,0.0
29/05/2020,131.77,132.93,129.69,132.56,8632200,0.0,0.0
01/06/2020,132.15,133.5,131.25,131.83,2083400,0.0,0.0
02/06/2020,132.82,134.39,132.72,133.58,2333800,0.0,0.0
03/06/2020,135.03,136.99,134.32,136.6,3674300,0.0,0.0
04/06/2020,135.38,137.76,134.88,137.74,2880700,0.0,0.0
05/06/2020,139.82,142.65,139.82,141.86,4527200,0.0,0.0
08/06/2020,141.6,143.66,140.04,141.4,2987600,0.0,0.0
09/06/2020,140.22,142.32,139.04,141.26,3161600,0.0,0.0
10/06/2020,141.43,141.8,138.81,138.88,2551300,0.0,0.0
11/06/2020,135.63,135.79,129.06,129.12,5016600,0.0,0.0
12/06/2020,132.43,133.39,128.57,131.23,2998800,0.0,0.0
15/06/2020,127.85,135.26,127.52,133.66,4093800,0.0,0.0
16/06/2020,137.99,138.44,132.94,135.3,3386700,0.0,0.0
17/06/2020,135.75,136.32,134.71,134.92,1714600,0.0,0.0
18/06/2020,133.94,135.43,133.54,134.91,1806100,0.0,0.0
19/06/2020,136.72,137.35,132.59,134.01,6405200,0.0,0.0
22/06/2020,133.04,133.39,131.75,132.77,2020900,0.0,0.0
23/06/2020,133.85,134.45,132.39,133.75,2301800,0.0,0.0
24/06/2020,132.44,132.81,128.55,128.99,3042800,0.0,0.0
25/06/2020,128.84,131.38,127.19,131.06,2060700,0.0,0.0
26/06/2020,131.0,131.16,128.4,129.24,2826400,0.0,0.0
29/06/2020,130.41,132.62,130.05,131.82,2145100,0.0,0.0
30/06/2020,131.27,132.79,130.54,132.18,2941600,0.0,0.0
01/07/2020,132.48,133.71,131.6,131.71,1625600,0.0,0.0
02/07/2020,133.56,134.63,132.58,133.07,1982800,0.0,0.0
06/07/2020,134.62,135.54,133.08,133.97,2099500,0.0,0.0
07/07/2020,132.26,133.12,131.08,131.19,1571700,0.0,0.0
08/07/2020,131.4,131.85,130.38,130.99,1662000,0.0,0.0
09/07/2020,130.43,131.1,127.99,128.33,2190000,0.0,0.0
10/07/2020,128.54,129.86,127.94,129.52,1954500,0.0,0.0
13/07/2020,130.79,132.98,130.63,131.17,2217800,0.0,0.0
14/07/2020,131.17,134.93,130.43,134.34,3198900,0.0,0.0
15/07/2020,135.56,136.75,134.94,135.01,3472300,0.0,0.0
16/07/2020,134.94,136.35,133.92,136.0,1801500,0.0,0.0
17/07/2020,136.31,136.9,135.16,135.43,2551700,0.0,0.0
20/07/2020,134.6,134.62,132.5,132.5,1790100,0.0,0.0
21/07/2020,133.04,135.27,133.03,133.71,2757200,0.0,0.0
22/07/2020,133.4,135.52,133.05,134.49,1899600,0.0,0.0
23/07/2020,134.73,135.28,134.19,134.98,2695100,0.0,0.0
24/07/2020,135.62,136.93,134.49,135.44,2524700,0.0,0.0
27/07/2020,135.18,138.44,135.01,138.32,3198500,0.0,0.0
28/07/2020,131.74,133.44,130.33,131.62,7738800,0.0,0.0
29/07/2020,132.61,133.49,131.27,132.4,3322700,0.0,0.0
30/07/2020,130.76,131.1,128.26,128.9,3113000,0.0,0.0
31/07/2020,128.53,128.59,126.09,127.5,3266400,0.0,0.0
03/08/2020,128.03,128.31,126.52,127.45,2264900,0.0,0.0
04/08/2020,127.02,128.16,126.82,128.13,1935500,0.0,0.0
05/08/2020,128.94,131.68,128.88,131.64,2644400,0.0,0.0
06/08/2020,132.13,132.6,131.07,132.19,2885800,0.0,0.0
07/08/2020,132.18,134.24,131.4,134.16,2184300,0.0,0.0
10/08/2020,134.35,136.93,134.35,136.8,2272800,0.0,0.0
11/08/2020,139.08,141.21,138.15,138.44,3764500,0.0,0.0
12/08/2020,139.82,140.62,138.42,139.19,2079200,0.0,0.0
13/08/2020,140.26,141.93,139.6,140.54,2884000,0.0,0.0
14/08/2020,139.49,140.92,139.41,140.75,1607300,0.0,0.0
17/08/2020,139.96,140.98,138.67,139.57,2068100,0.0,0.0
18/08/2020,139.33,140.19,138.76,139.29,1519100,0.0,0.0
19/08/2020,139.76,140.4,138.78,138.94,2012800,0.0,0.0
20/08/2020,138.14,138.68,137.6,138.1,1990300,0.0,0.0
21/08/2020,137.61,139.11,137.45,138.28,2005600,1.47,0.0
24/08/2020,138.14,140.19,137.8,139.83,2604400,0.0,0.0
25/08/2020,140.97,141.3,138.88,139.46,1938500,0.0,0.0
26/08/2020,139.27,140.89,138.26,140.15,2503400,0.0,0.0
27/08/2020,140.66,141.4,139.53,140.3,2325900,0.0,0.0
28/08/2020,140.78,142.09,140.16,141.65,3046300,0.0,0.0
31/08/2020,141.23,141.73,138.6,139.4,2881100,0.0,0.0
01/09/2020,138.67,141.56,138.22,140.92,2901100,0.0,0.0
02/09/2020,141.23,145.36,141.21,144.94,3943700,0.0,0.0
03/09/2020,145.36,145.72,141.08,142.21,3481300,0.0,0.0
04/09/2020,143.81,144.6,140.15,141.75,3267000,0.0,0.0
08/09/2020,141.58,141.63,138.42,139.52,2863900,0.0,0.0
09/09/2020,140.23,143.09,140.23,141.69,2721700,0.0,0.0
10/09/2020,142.15,142.52,139.16,139.51,2054200,0.0,0.0
11/09/2020,139.75,142.54,139.43,142.09,1698500,0.0,0.0
14/09/2020,143.36,144.88,142.31,144.05,2264200,0.0,0.0
15/09/2020,145.25,145.3,142.09,142.43,2056300,0.0,0.0
16/09/2020,143.54,146.3,143.23,144.94,2931700,0.0,0.0
17/09/2020,143.65,148.1,142.96,147.4,2756100,0.0,0.0
18/09/2020,147.13,147.74,144.91,144.98,4084500,0.0,0.0
21/09/2020,141.93,142.52,136.51,137.98,3911700,0.0,0.0
22/09/2020,137.72,139.95,137.17,138.81,2103800,0.0,0.0
23/09/2020,138.97,140.44,136.06,136.39,2248200,0.0,0.0
24/09/2020,136.3,138.49,135.16,137.17,1569700,0.0,0.0
25/09/2020,136.22,137.65,135.84,137.04,1948900,0.0,0.0
28/09/2020,138.52,140.35,137.95,138.23,2098500,0.0,0.0
29/09/2020,138.24,138.48,135.77,136.65,2006700,0.0,0.0
