Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,67.69,68.18,67.11,67.28,11638878,0.0,0.0
01/05/2020,66.88,66.88,65.24,65.87,9518565,0.0,0.0
04/05/2020,66.16,66.17,64.64,65.18,8850255,0.0,0.0
05/05/2020,65.51,66.83,65.1,66.16,7401395,0.0,0.0
06/05/2020,66.44,66.69,65.37,65.4,12414922,0.0,0.0
07/05/2020,65.3,65.4,63.97,64.11,12602410,0.0,0.0
08/05/2020,64.88,65.27,64.43,64.79,8791672,0.0,0.0
11/05/2020,64.48,66.21,64.38,66.07,10622528,0.0,0.0
12/05/2020,66.27,66.74,65.4,65.46,9544660,0.0,0.0
13/05/2020,65.01,66.83,64.94,66.05,10935146,0.0,0.0
14/05/2020,65.54,67.95,65.52,67.89,11407585,0.0,0.0
15/05/2020,67.94,68.31,66.85,67.66,9367234,0.0,0.0
18/05/2020,68.69,68.69,67.19,67.61,12552630,0.0,0.0
19/05/2020,67.39,67.61,65.6,65.77,10591822,0.0,0.0
20/05/2020,66.17,66.35,65.03,65.21,11027685,0.0,0.0
21/05/2020,65.1,65.32,64.68,64.92,9000329,0.0,0.0
22/05/2020,64.6,65.01,64.51,64.77,6357482,0.0,0.0
26/05/2020,66.37,66.66,65.22,65.52,19146017,0.0,0.0
27/05/2020,65.3,65.84,64.45,65.77,12828987,0.0,0.0
28/05/2020,66.66,68.09,66.58,67.03,13180906,0.0,0.0
29/05/2020,67.39,68.64,66.41,68.45,13517104,0.0,0.0
01/06/2020,68.0,68.23,67.11,67.47,6269241,0.0,0.0
02/06/2020,67.45,68.57,66.85,68.56,11352984,0.0,0.0
03/06/2020,68.69,69.84,68.57,69.59,13675457,0.0,0.0
04/06/2020,68.92,69.68,68.56,69.16,9292930,0.0,0.0
05/06/2020,69.63,70.5,69.11,69.76,10413347,0.0,0.0
08/06/2020,68.82,70.56,68.82,70.3,9956838,0.0,0.0
09/06/2020,70.55,70.82,69.64,69.76,8846168,0.0,0.0
10/06/2020,69.91,70.2,68.68,69.34,9080920,0.0,0.0
11/06/2020,68.53,69.25,65.6,65.6,14303838,0.0,0.0
12/06/2020,66.58,66.61,64.51,65.22,17000656,0.582061,0.0
15/06/2020,64.03,64.43,62.89,63.27,17684162,0.0,0.0
16/06/2020,64.43,66.17,63.96,65.79,21437050,0.0,0.0
17/06/2020,66.13,66.2,64.65,65.21,13983045,0.0,0.0
18/06/2020,64.65,65.2,64.42,65.15,7750903,0.0,0.0
19/06/2020,65.93,66.66,64.8,66.59,17691393,0.0,0.0
22/06/2020,66.13,66.36,65.33,65.6,7474231,0.0,0.0
23/06/2020,66.25,67.2,65.72,65.92,11428650,0.0,0.0
24/06/2020,65.59,65.72,64.49,64.85,8084901,0.0,0.0
25/06/2020,64.66,65.78,64.37,65.45,7583328,0.0,0.0
26/06/2020,65.26,65.59,64.11,64.27,12328882,0.0,0.0
29/06/2020,64.88,65.4,64.55,65.07,7230990,0.0,0.0
30/06/2020,65.6,66.38,65.13,66.1,9940804,0.0,0.0
01/07/2020,66.19,67.48,65.92,66.78,9948769,0.0,0.0
02/07/2020,67.16,67.79,66.86,67.34,6827825,0.0,0.0
06/07/2020,67.73,68.4,67.44,68.02,8058282,0.0,0.0
07/07/2020,67.53,68.11,67.18,67.29,6956414,0.0,0.0
08/07/2020,67.21,67.49,66.23,66.6,8211394,0.0,0.0
09/07/2020,66.62,66.97,65.0,65.55,7966058,0.0,0.0
10/07/2020,65.6,66.12,65.31,65.59,5161400,0.0,0.0
13/07/2020,65.82,67.17,65.59,66.12,8114245,0.0,0.0
14/07/2020,66.28,67.19,66.13,66.89,8397100,0.0,0.0
15/07/2020,67.73,68.36,67.39,67.9,7709717,0.0,0.0
16/07/2020,68.19,68.22,67.31,67.87,5850774,0.0,0.0
17/07/2020,68.14,68.6,67.79,68.27,8191378,0.0,0.0
20/07/2020,68.27,68.55,67.59,67.88,5434194,0.0,0.0
21/07/2020,68.14,68.49,67.35,67.43,8967526,0.0,0.0
22/07/2020,67.8,68.18,66.69,67.34,12362103,0.0,0.0
23/07/2020,67.66,67.7,66.25,66.72,11558916,0.0,0.0
24/07/2020,66.55,66.66,65.27,65.9,9068763,0.0,0.0
27/07/2020,65.31,67.65,65.23,67.47,10958307,0.0,0.0
28/07/2020,67.69,68.56,67.5,68.12,8494564,0.0,0.0
29/07/2020,67.74,68.16,67.31,67.83,6398040,0.0,0.0
30/07/2020,67.3,67.77,66.36,67.52,7152600,0.0,0.0
31/07/2020,69.14,69.82,67.66,68.59,12291154,0.0,0.0
03/08/2020,70.22,71.63,69.97,70.55,10601463,0.0,0.0
04/08/2020,70.56,70.56,69.3,69.81,7218729,0.0,0.0
05/08/2020,70.15,70.49,69.37,69.78,6492465,0.0,0.0
06/08/2020,69.63,70.43,68.88,69.28,7256562,0.0,0.0
07/08/2020,69.06,69.25,68.41,69.25,6977584,0.0,0.0
10/08/2020,69.25,69.42,68.64,69.16,5782445,0.0,0.0
11/08/2020,69.88,69.98,68.92,69.16,7636671,0.0,0.0
12/08/2020,69.55,70.87,69.53,70.67,7295652,0.0,0.0
13/08/2020,70.2,71.49,70.1,71.41,7455262,0.0,0.0
14/08/2020,71.27,72.17,71.09,71.36,7390496,0.0,0.0
17/08/2020,72.04,72.81,71.81,72.45,8764319,0.0,0.0
18/08/2020,72.56,72.67,71.61,72.28,6551572,0.0,0.0
19/08/2020,72.28,73.26,72.28,72.68,6896050,0.0,0.0
20/08/2020,72.49,72.92,72.14,72.68,6380434,0.0,0.0
21/08/2020,72.74,72.81,71.9,72.64,6890495,0.0,0.0
24/08/2020,72.83,73.06,72.21,73.02,7582280,0.0,0.0
25/08/2020,73.43,73.76,72.83,73.24,10245982,0.0,0.0
26/08/2020,72.92,73.24,72.37,73.12,7844175,0.0,0.0
27/08/2020,73.04,73.65,72.73,73.36,6464902,0.0,0.0
28/08/2020,73.41,73.41,72.58,73.21,6134049,0.0,0.0
31/08/2020,73.17,73.45,72.78,72.89,7929273,0.0,0.0
01/09/2020,72.96,73.34,71.73,72.17,6797433,0.0,0.0
02/09/2020,72.21,74.55,72.03,74.31,11571597,0.0,0.0
03/09/2020,74.96,75.05,72.61,73.08,12983672,0.0,0.0
04/09/2020,73.13,74.27,72.02,72.86,9359688,0.0,0.0
08/09/2020,73.46,73.46,70.95,71.23,9095592,0.0,0.0
09/09/2020,71.61,73.36,71.51,72.55,8862307,0.0,0.0
10/09/2020,72.43,72.55,71.19,71.43,6907578,0.0,0.0
11/09/2020,71.67,72.55,71.61,72.21,7171254,0.0,0.0
14/09/2020,72.5,73.27,72.09,72.46,8575994,0.582061,0.0
15/09/2020,72.95,73.33,72.02,72.51,10826678,0.0,0.0
16/09/2020,72.75,74.13,72.75,73.68,10380230,0.0,0.0
17/09/2020,73.51,73.85,72.71,73.74,8090455,0.0,0.0
18/09/2020,73.68,74.3,73.13,73.88,12308446,0.0,0.0
21/09/2020,73.12,73.48,70.68,71.58,10445311,0.0,0.0
22/09/2020,71.55,71.95,70.77,71.41,8143170,0.0,0.0
23/09/2020,71.54,72.17,71.1,71.14,7085842,0.0,0.0
24/09/2020,70.69,71.88,70.47,71.59,7844280,0.0,0.0
25/09/2020,70.73,71.67,70.43,71.4,6932101,0.0,0.0
28/09/2020,71.64,72.07,71.08,71.26,6123674,0.0,0.0
29/09/2020,71.19,71.59,70.34,70.52,6742413,0.0,0.0
30/09/2020,70.83,71.74,70.62,71.42,11593605,0.0,0.0
01/10/2020,71.62,71.76,69.96,70.29,8410305,0.0,0.0
02/10/2020,69.57,70.38,69.27,69.57,5255406,0.0,0.0
05/10/2020,69.94,70.21,69.41,69.95,8807182,0.0,0.0
06/10/2020,69.85,69.86,68.47,68.56,10273230,0.0,0.0
