Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,100.39,100.76,97.72,97.87,684800,0.0,0.0
01/05/2020,95.37,96.07,92.29,93.61,511400,0.0,0.0
04/05/2020,91.87,92.2,88.7,91.17,1096300,0.0,0.0
05/05/2020,93.33,94.35,89.4,89.63,583800,0.0,0.0
06/05/2020,91.09,91.21,86.81,87.43,583000,0.0,0.0
07/05/2020,88.75,91.97,88.42,88.74,598600,0.0,0.0
08/05/2020,91.42,92.73,89.98,91.58,519400,0.0,0.0
11/05/2020,89.94,89.94,86.37,86.75,897800,0.0,0.0
12/05/2020,87.39,87.94,83.19,83.23,1054800,0.0,0.0
13/05/2020,82.52,82.86,77.63,78.14,970400,0.0,0.0
14/05/2020,76.21,81.66,74.3,80.67,1155500,0.0,0.0
15/05/2020,79.66,81.02,77.34,77.82,861600,0.0,0.0
18/05/2020,81.49,84.85,81.25,84.31,1014600,0.0,0.0
19/05/2020,83.45,83.45,79.76,79.94,1053300,0.0,0.0
20/05/2020,81.29,84.09,81.21,83.94,1106100,0.0,0.0
21/05/2020,83.41,86.11,83.34,84.5,1085100,0.0,0.0
22/05/2020,85.12,85.79,82.88,85.6,977900,0.0,0.0
26/05/2020,89.94,95.46,89.27,94.19,1268000,0.0,0.0
27/05/2020,100.59,101.45,95.91,98.59,1409300,0.0,0.0
28/05/2020,100.22,100.22,94.49,95.25,927500,0.0,0.0
29/05/2020,93.3,94.79,92.24,93.21,983300,1.1,0.0
01/06/2020,93.73,96.1,92.94,95.74,795200,0.0,0.0
02/06/2020,97.28,97.28,92.62,93.51,1184100,0.0,0.0
03/06/2020,96.97,101.16,96.15,100.37,1116300,0.0,0.0
04/06/2020,99.75,104.45,99.06,104.01,1092700,0.0,0.0
05/06/2020,113.79,114.8,107.43,108.77,1479000,0.0,0.0
08/06/2020,111.4,112.83,109.58,112.39,1014700,0.0,0.0
09/06/2020,107.35,110.27,106.2,109.29,786400,0.0,0.0
10/06/2020,107.4,107.62,102.95,102.99,996000,0.0,0.0
11/06/2020,96.04,99.47,93.39,93.75,1245400,0.0,0.0
12/06/2020,99.78,99.78,93.37,96.12,1078200,0.0,0.0
15/06/2020,90.38,98.19,90.1,97.67,1275600,0.0,0.0
16/06/2020,102.46,102.46,97.46,99.91,1046000,0.0,0.0
17/06/2020,99.91,100.38,96.74,97.1,803200,0.0,0.0
18/06/2020,95.69,99.42,95.38,97.43,772100,0.0,0.0
19/06/2020,99.09,99.37,94.88,97.96,3473000,0.0,0.0
22/06/2020,96.48,97.71,95.47,95.72,967600,0.0,0.0
23/06/2020,97.64,99.03,95.52,95.69,616600,0.0,0.0
24/06/2020,93.8,94.39,90.36,90.79,714900,0.0,0.0
25/06/2020,89.98,93.07,89.56,92.75,789500,0.0,0.0
26/06/2020,90.59,91.08,87.05,88.62,1433100,0.0,0.0
29/06/2020,90.16,91.74,89.07,90.26,655500,0.0,0.0
30/06/2020,89.05,92.66,88.96,91.72,1024900,0.0,0.0
01/07/2020,92.18,92.25,89.26,89.37,528800,0.0,0.0
02/07/2020,92.22,92.92,88.29,88.74,582100,0.0,0.0
06/07/2020,91.07,92.54,89.14,89.92,762600,0.0,0.0
07/07/2020,88.78,89.19,86.57,86.93,771300,0.0,0.0
08/07/2020,86.77,88.74,85.87,87.31,799500,0.0,0.0
09/07/2020,86.91,87.42,83.3,83.99,679500,0.0,0.0
10/07/2020,83.91,88.59,83.91,88.54,859200,0.0,0.0
13/07/2020,89.71,91.13,87.25,89.66,763900,0.0,0.0
14/07/2020,89.19,90.38,86.25,86.74,1020600,0.0,0.0
15/07/2020,89.03,91.11,88.66,90.66,748200,0.0,0.0
16/07/2020,89.47,92.33,89.05,90.44,424900,0.0,0.0
17/07/2020,90.4,90.43,87.31,87.61,498900,0.0,0.0
20/07/2020,87.01,87.93,86.48,87.15,878800,0.0,0.0
21/07/2020,87.97,92.42,87.97,91.69,993800,0.0,0.0
22/07/2020,90.88,92.01,90.31,91.25,639600,0.0,0.0
23/07/2020,91.28,94.58,89.13,92.63,1227300,0.0,0.0
24/07/2020,93.3,94.25,92.27,92.74,741500,0.0,0.0
27/07/2020,92.0,92.03,89.58,90.77,763700,0.0,0.0
28/07/2020,90.27,91.34,90.08,90.72,574700,0.0,0.0
29/07/2020,90.22,94.79,89.59,94.23,988400,0.0,0.0
30/07/2020,91.7,93.75,89.29,93.31,956500,0.0,0.0
31/07/2020,92.43,93.64,91.0,93.46,1469700,0.0,0.0
03/08/2020,93.45,93.72,90.94,92.65,752200,0.0,0.0
04/08/2020,92.1,92.95,91.23,91.8,499600,0.0,0.0
05/08/2020,92.63,93.38,91.56,92.27,888500,0.0,0.0
06/08/2020,91.74,93.3,90.69,91.36,736000,0.0,0.0
07/08/2020,90.78,94.97,90.67,94.93,813100,0.0,0.0
10/08/2020,95.24,97.04,94.86,96.22,615400,0.0,0.0
11/08/2020,98.6,100.68,97.68,98.23,523200,0.0,0.0
12/08/2020,100.29,100.29,95.77,97.34,484200,0.0,0.0
13/08/2020,96.15,96.58,94.61,95.12,456900,0.0,0.0
14/08/2020,94.39,97.27,94.07,96.34,405100,0.0,0.0
17/08/2020,95.52,95.7,93.82,94.0,627000,0.0,0.0
18/08/2020,94.06,94.08,91.96,92.18,554300,0.0,0.0
19/08/2020,92.66,93.56,91.78,92.12,631200,0.0,0.0
20/08/2020,90.78,90.91,88.92,89.69,788200,0.0,0.0
21/08/2020,89.86,90.87,89.34,90.38,871300,0.0,0.0
24/08/2020,90.51,93.41,90.33,93.36,680700,0.0,0.0
