Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,53.29,53.3,52.16,52.66,17934800,0.0,0.0
01/05/2020,52.39,52.41,51.27,51.73,9168000,0.0,0.0
04/05/2020,51.72,52.67,51.25,52.43,9077200,0.0,0.0
05/05/2020,52.72,53.44,52.27,52.43,8042000,0.0,0.0
06/05/2020,52.62,52.67,50.72,50.73,7377600,0.0,0.0
07/05/2020,51.31,52.09,50.76,51.15,8692000,0.0,0.0
08/05/2020,51.81,52.55,51.44,52.34,11308800,0.0,0.0
11/05/2020,51.68,52.01,51.06,51.81,7854400,0.0,0.0
12/05/2020,52.0,52.28,51.33,51.93,9565200,0.0,0.0
13/05/2020,51.69,52.53,51.5,52.43,14076800,0.0,0.0
14/05/2020,51.9,53.17,51.79,52.91,11595600,0.0,0.0
15/05/2020,52.41,52.61,50.86,51.92,20232400,0.0,0.0
18/05/2020,53.3,53.98,52.97,53.65,9123200,0.0,0.0
19/05/2020,53.3,53.48,52.51,52.52,6532800,0.0,0.0
20/05/2020,52.93,53.83,52.59,53.04,5847200,0.0,0.0
21/05/2020,53.02,53.2,51.97,52.16,8308400,0.0,0.0
22/05/2020,52.14,53.32,51.76,53.28,5990000,0.0,0.0
26/05/2020,53.85,54.32,53.27,53.39,7658800,0.0,0.0
27/05/2020,54.17,54.97,53.53,54.94,12343600,0.0,0.0
28/05/2020,55.69,57.43,55.51,57.27,12416000,0.0,0.0
29/05/2020,56.99,58.45,56.85,58.23,15309600,0.0,0.0
01/06/2020,58.21,59.19,57.56,58.57,6655600,0.35,0.0
02/06/2020,58.55,59.64,58.13,58.79,10640000,0.0,0.0
03/06/2020,59.15,60.09,58.81,59.47,7303200,0.0,0.0
04/06/2020,59.03,59.69,56.84,57.71,12012400,0.0,0.0
05/06/2020,57.78,59.24,57.28,58.28,12370800,0.0,0.0
08/06/2020,57.98,59.74,57.41,59.68,8149200,0.0,0.0
09/06/2020,59.36,59.37,58.21,59.26,7990400,0.0,0.0
10/06/2020,59.3,59.77,58.55,58.83,6674400,0.0,0.0
11/06/2020,58.39,58.41,56.33,56.89,9718400,0.0,0.0
12/06/2020,57.68,57.76,55.96,56.57,8356800,0.0,0.0
15/06/2020,56.07,57.49,55.29,56.95,8404400,0.0,0.0
16/06/2020,58.08,58.12,56.51,56.86,8056800,0.0,0.0
17/06/2020,57.28,57.51,56.29,57.05,6767600,0.0,0.0
18/06/2020,56.86,57.26,56.44,57.03,6386800,0.0,0.0
19/06/2020,57.62,57.65,55.49,55.49,14452800,0.0,0.0
22/06/2020,55.72,56.86,55.11,56.6,7190800,0.0,0.0
23/06/2020,57.09,57.33,55.52,55.72,9306000,0.0,0.0
24/06/2020,55.29,56.01,54.65,55.37,6901200,0.0,0.0
25/06/2020,55.29,55.29,53.97,54.79,7824800,0.0,0.0
26/06/2020,54.64,55.46,53.8,54.12,10107200,0.0,0.0
29/06/2020,54.42,54.64,53.56,54.58,5793200,0.0,0.0
30/06/2020,54.74,55.4,54.41,55.03,9532400,0.0,0.0
01/07/2020,54.91,56.7,54.6,56.42,6024400,0.0,0.0
02/07/2020,56.86,57.21,56.3,56.45,5981200,0.0,0.0
06/07/2020,56.86,57.08,56.04,56.58,6256800,0.0,0.0
07/07/2020,56.01,56.9,55.82,56.53,6017200,0.0,0.0
08/07/2020,56.55,58.23,56.39,58.03,9633600,0.0,0.0
09/07/2020,57.56,58.05,56.95,57.73,6818800,0.0,0.0
10/07/2020,57.78,59.86,57.68,59.48,10079200,0.0,0.0
13/07/2020,59.34,60.12,58.51,58.71,9600800,0.0,0.0
14/07/2020,58.71,60.64,58.62,60.15,12154400,0.0,0.0
15/07/2020,60.62,61.04,59.3,59.34,8444800,0.0,0.0
16/07/2020,59.53,61.81,59.28,61.49,10142000,0.0,0.0
17/07/2020,61.87,63.57,61.61,63.09,12461600,0.0,0.0
20/07/2020,63.12,63.66,62.6,62.85,6368800,0.0,0.0
21/07/2020,62.76,64.05,62.72,63.31,5958400,0.0,0.0
22/07/2020,63.34,64.7,62.89,64.25,6368000,0.0,0.0
23/07/2020,64.15,65.14,63.95,64.37,8150000,0.0,0.0
24/07/2020,64.81,65.44,63.69,64.21,7716000,0.0,0.0
27/07/2020,64.38,64.52,63.26,63.61,8909200,0.0,0.0
28/07/2020,63.51,64.9,63.38,64.16,6547600,0.0,0.0
29/07/2020,64.21,65.26,64.11,64.48,5381600,0.0,0.0
30/07/2020,64.18,64.71,63.95,64.69,4235200,0.0,0.0
31/07/2020,64.36,64.8,63.21,64.31,8030400,0.0,0.0
03/08/2020,64.41,64.58,63.33,63.6,8624400,0.0,0.0
04/08/2020,63.86,65.35,63.55,65.31,9142400,0.0,0.0
05/08/2020,65.35,65.53,64.6,65.02,6381600,0.0,0.0
06/08/2020,64.84,65.24,64.4,64.79,4588000,0.0,0.0
07/08/2020,64.8,66.31,64.72,65.93,4368800,0.0,0.0
10/08/2020,66.05,66.24,64.82,64.98,7240000,0.0,0.0
