Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,23.82,24.56,23.35,23.56,2474600,0.0,0.0
01/05/2020,23.17,23.73,22.35,22.84,1911000,0.0,0.0
04/05/2020,22.88,23.81,22.53,23.67,2041600,0.0,0.0
05/05/2020,24.41,24.71,23.82,24.51,2034800,0.0,0.0
06/05/2020,24.7,25.25,24.26,24.95,2177400,0.0,0.0
07/05/2020,26.81,29.98,26.17,29.52,10519600,0.0,0.0
08/05/2020,26.76,27.1,25.03,26.26,12436000,0.0,0.0
11/05/2020,26.38,28.42,26.38,28.12,5762000,0.0,0.0
12/05/2020,28.12,30.24,27.64,28.79,10381900,0.0,0.0
13/05/2020,28.29,28.9,26.82,27.87,7820400,0.0,0.0
14/05/2020,27.4,28.05,27.2,28.02,3254700,0.0,0.0
15/05/2020,28.02,30.78,27.82,29.49,9398000,0.0,0.0
18/05/2020,28.28,29.8,27.7,28.07,4101000,0.0,0.0
19/05/2020,28.08,29.23,27.9,28.04,2294500,0.0,0.0
20/05/2020,28.0,28.13,26.52,27.55,5971700,0.0,0.0
21/05/2020,27.82,28.35,27.17,28.04,4725700,0.0,0.0
22/05/2020,28.05,28.81,27.51,28.26,3014600,0.0,0.0
26/05/2020,28.84,28.84,27.51,28.09,6291800,0.0,0.0
27/05/2020,27.85,28.2,25.85,28.19,6759200,0.0,0.0
28/05/2020,28.25,28.8,27.92,28.1,2458200,0.0,0.0
29/05/2020,28.0,29.22,27.94,29.07,4136300,0.0,0.0
01/06/2020,29.14,30.19,29.01,30.05,2772700,0.0,0.0
02/06/2020,30.12,30.59,28.93,30.2,3475400,0.0,0.0
03/06/2020,30.48,30.5,29.28,29.38,3597100,0.0,0.0
04/06/2020,29.05,29.15,28.13,28.47,3556900,0.0,0.0
05/06/2020,28.15,29.42,27.29,29.14,2619000,0.0,0.0
08/06/2020,29.49,29.49,28.34,29.17,2697800,0.0,0.0
09/06/2020,29.0,29.06,28.14,28.72,3777100,0.0,0.0
10/06/2020,28.79,29.66,28.52,29.4,4676800,0.0,0.0
11/06/2020,28.5,29.65,27.92,28.5,3928600,0.0,0.0
12/06/2020,29.1,29.51,28.1,28.82,2362000,0.0,0.0
15/06/2020,29.0,31.92,28.81,30.98,12592200,0.0,0.0
16/06/2020,31.5,31.98,30.31,31.65,6937900,0.0,0.0
17/06/2020,32.1,36.0,31.8,35.8,16244300,0.0,0.0
18/06/2020,36.14,37.29,35.41,36.73,9941900,0.0,0.0
19/06/2020,37.75,38.48,35.72,36.0,14810600,0.0,0.0
22/06/2020,36.32,37.4,35.82,37.0,5596500,0.0,0.0
23/06/2020,37.66,37.66,34.82,35.4,10991700,0.0,0.0
24/06/2020,35.39,36.77,34.05,35.0,5203200,0.0,0.0
25/06/2020,35.42,36.89,34.61,36.0,6054800,0.0,0.0
26/06/2020,36.0,37.06,34.82,35.53,12429400,0.0,0.0
29/06/2020,35.34,35.63,33.23,35.11,4920900,0.0,0.0
30/06/2020,35.28,36.04,34.83,35.95,6741500,0.0,0.0
01/07/2020,35.95,37.04,34.99,36.93,4724500,0.0,0.0
02/07/2020,37.31,37.35,36.28,36.47,4533300,0.0,0.0
06/07/2020,37.34,39.24,37.07,38.34,6518200,0.0,0.0
07/07/2020,38.28,38.39,37.18,37.91,5276100,0.0,0.0
08/07/2020,38.34,38.52,37.86,38.4,4748300,0.0,0.0
09/07/2020,39.03,40.15,37.66,39.73,6852200,0.0,0.0
10/07/2020,42.11,42.6,39.41,40.08,9081600,0.0,0.0
13/07/2020,40.75,41.09,36.12,36.75,10564100,0.0,0.0
14/07/2020,36.68,37.53,34.46,36.75,8081200,0.0,0.0
15/07/2020,36.21,36.58,35.12,36.12,4727300,0.0,0.0
16/07/2020,35.61,35.84,34.55,35.1,3540100,0.0,0.0
17/07/2020,36.05,37.45,35.35,37.02,5960200,0.0,0.0
20/07/2020,37.0,38.6,36.82,38.37,5154400,0.0,0.0
21/07/2020,38.98,39.12,37.81,38.18,3881800,0.0,0.0
22/07/2020,38.93,39.05,37.81,38.04,2516100,0.0,0.0
23/07/2020,38.32,38.58,35.92,36.43,3144900,0.0,0.0
24/07/2020,35.23,36.46,35.0,35.72,3002900,0.0,0.0
27/07/2020,36.49,37.69,36.16,37.36,2721700,0.0,0.0
28/07/2020,38.69,38.69,37.58,37.65,4678900,0.0,0.0
29/07/2020,38.49,39.08,37.82,38.7,2923100,0.0,0.0
30/07/2020,38.36,41.5,38.36,41.13,5678500,0.0,0.0
31/07/2020,42.0,42.06,40.21,41.62,5364300,0.0,0.0
03/08/2020,42.29,42.84,41.86,42.51,6993300,0.0,0.0
04/08/2020,43.1,43.15,41.28,42.31,4517300,0.0,0.0
05/08/2020,42.08,42.75,41.56,42.49,3851900,0.0,0.0
06/08/2020,41.84,42.41,40.0,41.35,8043100,0.0,0.0
07/08/2020,41.0,45.28,39.62,40.06,12303400,0.0,0.0
10/08/2020,39.54,39.54,36.04,36.99,14591200,0.0,0.0
11/08/2020,36.85,38.15,36.04,37.81,7826800,0.0,0.0
12/08/2020,38.1,40.07,38.03,38.86,9585100,0.0,0.0
13/08/2020,39.71,39.71,38.21,38.85,4062700,0.0,0.0
14/08/2020,38.95,39.79,38.17,38.5,3042400,0.0,0.0
17/08/2020,37.73,39.94,37.69,39.92,7369900,0.0,0.0
18/08/2020,40.4,40.47,39.46,40.06,4394800,0.0,0.0
19/08/2020,39.93,40.25,38.26,39.29,3764700,0.0,0.0
20/08/2020,39.28,40.44,39.12,40.31,3953500,0.0,0.0
21/08/2020,40.45,40.49,38.9,38.92,3271700,0.0,0.0
24/08/2020,38.41,38.84,37.23,38.09,5468100,0.0,0.0
25/08/2020,37.7,39.04,37.31,39.03,3491000,0.0,0.0
26/08/2020,39.3,40.37,38.96,39.9,4522500,0.0,0.0
27/08/2020,39.75,40.02,38.6,39.73,3035000,0.0,0.0
28/08/2020,40.2,40.84,39.63,39.65,3068100,0.0,0.0
31/08/2020,39.7,39.9,38.17,38.26,4318700,0.0,0.0
01/09/2020,38.94,40.4,38.94,39.74,4983700,0.0,0.0
02/09/2020,40.2,40.39,37.85,39.0,6208700,0.0,0.0
03/09/2020,37.85,37.98,35.54,36.23,8940100,0.0,0.0
04/09/2020,35.14,36.27,32.81,34.77,7996700,0.0,0.0
08/09/2020,33.06,34.76,32.69,32.94,6522900,0.0,0.0
09/09/2020,34.03,34.42,33.21,34.01,4669800,0.0,0.0
10/09/2020,34.49,35.12,33.36,33.58,3854900,0.0,0.0
11/09/2020,34.01,34.56,33.72,34.17,6866600,0.0,0.0
14/09/2020,34.48,35.14,34.15,34.83,4530600,0.0,0.0
15/09/2020,35.25,36.25,35.07,36.17,6231500,0.0,0.0
16/09/2020,36.15,36.33,35.47,35.9,5678100,0.0,0.0
17/09/2020,34.65,36.14,34.53,36.1,4782500,0.0,0.0
18/09/2020,36.5,37.18,35.64,37.1,11086400,0.0,0.0
21/09/2020,36.5,38.97,36.5,38.96,5441100,0.0,0.0
22/09/2020,39.14,39.97,37.56,39.87,4687500,0.0,0.0
23/09/2020,39.92,40.6,39.4,39.98,5934300,0.0,0.0
24/09/2020,39.08,39.58,38.11,38.52,4202400,0.0,0.0
25/09/2020,38.86,40.14,38.26,40.04,2152300,0.0,0.0
28/09/2020,40.17,41.05,39.52,40.88,3239900,0.0,0.0
29/09/2020,41.11,41.5,40.47,40.67,2710000,0.0,0.0
30/09/2020,40.47,41.77,40.16,41.06,2784300,0.0,0.0
01/10/2020,41.52,42.54,41.44,42.03,4843500,0.0,0.0
02/10/2020,41.1,42.58,40.5,41.75,3201400,0.0,0.0
05/10/2020,42.02,43.18,41.81,42.86,3869000,0.0,0.0
06/10/2020,42.7,43.1,41.66,42.23,5647600,0.0,0.0
07/10/2020,42.9,43.42,42.6,43.38,3614500,0.0,0.0
08/10/2020,44.52,44.6,42.97,43.41,3333800,0.0,0.0
09/10/2020,43.66,46.37,43.51,46.35,5629000,0.0,0.0
12/10/2020,47.12,57.3,47.0,57.01,27061500,0.0,0.0
13/10/2020,55.2,60.13,54.82,59.73,15590300,0.0,0.0
14/10/2020,59.5,61.67,58.18,61.5,10308000,0.0,0.0
