Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,410.31,424.44,408.0,419.85,7954000,0.0,0.0
01/05/2020,415.1,427.97,411.73,415.27,8299900,0.0,0.0
04/05/2020,417.78,428.54,414.87,428.15,7799100,0.0,0.0
05/05/2020,427.56,431.0,421.56,424.68,6286300,0.0,0.0
06/05/2020,429.3,439.77,426.39,434.26,6660700,0.0,0.0
07/05/2020,436.89,438.88,430.66,436.53,5641900,0.0,0.0
08/05/2020,434.14,442.0,433.64,435.55,5049300,0.0,0.0
11/05/2020,436.33,444.89,435.56,440.52,5486000,0.0,0.0
12/05/2020,442.0,444.17,431.36,431.82,4598200,0.0,0.0
13/05/2020,435.69,447.0,427.27,438.27,7014600,0.0,0.0
14/05/2020,444.9,452.38,432.82,441.95,9007500,0.0,0.0
15/05/2020,440.7,455.0,437.51,454.19,7244000,0.0,0.0
18/05/2020,451.16,456.36,443.35,452.58,7773500,0.0,0.0
19/05/2020,453.4,458.97,450.47,451.04,4810500,0.0,0.0
20/05/2020,454.25,455.81,444.0,447.67,5607300,0.0,0.0
21/05/2020,448.56,448.96,430.25,436.25,9117300,0.0,0.0
22/05/2020,437.0,439.09,427.18,429.32,5422300,0.0,0.0
26/05/2020,427.77,428.5,413.14,414.77,7881100,0.0,0.0
27/05/2020,410.38,420.02,397.86,419.89,10446300,0.0,0.0
28/05/2020,417.24,422.37,411.5,413.44,5655100,0.0,0.0
29/05/2020,417.46,420.3,411.85,419.73,5254900,0.0,0.0
01/06/2020,418.83,426.72,415.98,425.92,3743700,0.0,0.0
02/06/2020,425.87,427.59,419.46,427.31,3494800,0.0,0.0
03/06/2020,426.95,427.1,418.05,421.97,4316000,0.0,0.0
04/06/2020,422.39,428.71,410.03,414.33,5410500,0.0,0.0
05/06/2020,407.29,420.24,404.25,419.6,5099600,0.0,0.0
08/06/2020,416.0,420.8,406.5,419.49,5851500,0.0,0.0
09/06/2020,421.65,434.73,420.31,434.05,6797000,0.0,0.0
10/06/2020,436.0,439.69,430.55,434.48,4896900,0.0,0.0
11/06/2020,428.2,445.57,424.16,425.56,7462900,0.0,0.0
12/06/2020,429.0,434.06,412.45,418.07,6461100,0.0,0.0
15/06/2020,421.4,426.49,415.42,425.5,4467900,0.0,0.0
16/06/2020,425.76,437.96,425.18,436.13,5507900,0.0,0.0
17/06/2020,441.82,450.46,439.22,447.77,6529600,0.0,0.0
18/06/2020,448.73,452.76,442.8,449.87,4277600,0.0,0.0
19/06/2020,449.12,453.97,445.6,453.72,5934500,0.0,0.0
22/06/2020,455.01,468.59,454.21,468.04,6272100,0.0,0.0
23/06/2020,466.5,474.01,464.5,466.26,5948400,0.0,0.0
24/06/2020,468.54,472.36,454.0,457.85,4826200,0.0,0.0
25/06/2020,458.86,467.01,454.0,465.91,4134500,0.0,0.0
26/06/2020,466.39,468.03,442.24,443.4,6804700,0.0,0.0
29/06/2020,445.23,447.67,432.14,447.24,4844000,0.0,0.0
30/06/2020,450.02,457.59,447.0,455.04,4198500,0.0,0.0
01/07/2020,454.0,488.23,454.0,485.64,9705900,0.0,0.0
02/07/2020,485.64,492.28,475.53,476.89,6351500,0.0,0.0
06/07/2020,480.77,499.5,479.8,493.81,7839000,0.0,0.0
07/07/2020,497.31,504.82,490.83,493.16,5669900,0.0,0.0
08/07/2020,498.58,505.1,493.81,502.78,5691700,0.0,0.0
09/07/2020,508.4,510.0,495.78,507.76,5840500,0.0,0.0
10/07/2020,519.73,555.88,511.28,548.73,21605600,0.0,0.0
