Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,12.11,12.11,11.19,11.19,3283100,0.0,0.0
01/05/2020,10.91,11.49,10.86,11.4,4044500,0.0,0.0
04/05/2020,11.71,11.89,11.39,11.51,2374000,0.0,0.0
05/05/2020,11.57,11.87,11.17,11.73,2676700,0.0,0.0
06/05/2020,11.6,11.6,11.18,11.19,2160400,0.0,0.0
07/05/2020,11.4,11.96,11.09,11.8,3014900,0.0,0.0
08/05/2020,11.8,12.0,11.27,11.47,2989400,0.0,0.0
11/05/2020,11.46,11.54,10.82,10.85,2882800,0.0,0.0
12/05/2020,10.85,11.27,10.79,10.85,3283400,0.0,0.0
13/05/2020,11.2,11.23,10.7,11.09,2383400,0.0,0.0
14/05/2020,11.01,11.63,10.92,11.45,2784400,0.0,0.0
15/05/2020,11.67,11.94,11.41,11.7,3189900,0.0,0.0
18/05/2020,11.8,11.87,11.16,11.4,2714000,0.0,0.0
19/05/2020,11.63,12.06,11.53,11.95,3547800,0.0,0.0
20/05/2020,12.06,12.15,11.54,11.65,3473400,0.0,0.0
21/05/2020,11.58,11.59,10.98,11.31,2765700,0.0,0.0
22/05/2020,11.53,11.83,11.39,11.57,2087700,0.0,0.0
26/05/2020,11.55,11.66,10.35,10.41,5506600,0.0,0.0
27/05/2020,10.1,10.65,9.67,10.65,4047300,0.0,0.0
28/05/2020,10.1,10.66,9.42,9.71,10613700,0.0,0.0
29/05/2020,9.9,10.07,9.34,9.56,5733800,0.0,0.0
01/06/2020,9.56,9.8,8.92,9.03,7544500,0.0,0.0
02/06/2020,9.0,9.01,8.65,8.81,5542200,0.0,0.0
03/06/2020,8.54,8.82,8.36,8.65,4125200,0.0,0.0
04/06/2020,8.65,9.29,8.65,9.23,5916800,0.0,0.0
05/06/2020,8.72,9.08,8.5,9.05,3670700,0.0,0.0
08/06/2020,9.18,9.22,7.89,8.06,7125400,0.0,0.0
09/06/2020,8.33,8.59,8.0,8.43,3340600,0.0,0.0
10/06/2020,8.64,9.12,8.32,9.07,5010800,0.0,0.0
11/06/2020,9.07,9.22,8.15,8.27,4451300,0.0,0.0
12/06/2020,8.55,8.75,8.17,8.43,2587200,0.0,0.0
15/06/2020,8.2,8.54,7.93,8.53,2728700,0.0,0.0
16/06/2020,8.54,8.55,7.93,8.01,3266100,0.0,0.0
17/06/2020,8.09,8.17,7.93,8.15,1808900,0.0,0.0
18/06/2020,8.04,8.34,7.95,7.99,2019700,0.0,0.0
19/06/2020,8.0,8.59,8.0,8.37,5461100,0.0,0.0
22/06/2020,8.65,8.99,8.6,8.77,2892300,0.0,0.0
23/06/2020,8.98,8.99,8.7,8.77,2214200,0.0,0.0
24/06/2020,8.72,9.03,8.5,8.71,4106200,0.0,0.0
