Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,83.78,84.74,83.31,83.95,9371400,0.0,0.0
01/05/2020,82.5,82.92,81.67,82.37,6151200,0.0,0.0
04/05/2020,81.54,82.62,81.19,82.57,6348900,0.0,0.0
05/05/2020,83.34,85.25,82.84,83.97,6321500,0.0,0.0
06/05/2020,84.79,85.41,84.19,85.16,7342300,0.0,0.0
07/05/2020,86.09,86.9,85.11,85.28,4565900,0.0,0.0
08/05/2020,86.77,87.28,86.27,87.11,5488000,0.0,0.0
11/05/2020,86.14,88.03,85.84,87.56,4937600,0.0,0.0
12/05/2020,88.14,88.28,84.89,84.99,5622600,0.0,0.0
13/05/2020,84.14,84.49,82.04,82.83,6739800,0.0,0.0
14/05/2020,81.85,83.37,81.0,83.34,7431800,0.0,0.0
15/05/2020,82.09,84.0,81.74,83.77,9165000,0.0,0.0
18/05/2020,87.14,88.21,86.55,87.67,8517200,0.0,0.0
19/05/2020,87.49,90.35,87.46,88.12,6514100,0.0,0.0
20/05/2020,89.75,90.38,89.27,89.51,6347000,0.0,0.0
21/05/2020,89.44,90.88,88.95,90.77,7504300,0.0,0.0
22/05/2020,90.92,91.14,89.89,90.28,4049500,0.0,0.0
26/05/2020,92.43,93.82,91.75,93.04,7185200,0.0,0.0
27/05/2020,94.49,96.29,94.0,96.17,7915900,0.0,0.0
28/05/2020,96.38,96.96,94.61,94.81,7260700,0.0,0.0
29/05/2020,94.79,95.81,93.57,95.17,10332500,0.245,0.0
01/06/2020,94.99,96.32,94.5,96.09,4295400,0.0,0.0
02/06/2020,95.98,97.39,95.4,97.25,10798700,0.0,0.0
03/06/2020,97.75,100.93,97.62,100.5,5867700,0.0,0.0
04/06/2020,100.07,100.3,96.99,97.77,8775000,0.0,0.0
05/06/2020,100.4,101.06,98.59,99.15,8363600,0.0,0.0
08/06/2020,99.48,100.69,99.15,100.68,6165400,0.0,0.0
09/06/2020,99.26,100.18,98.88,99.08,5385900,0.0,0.0
10/06/2020,99.43,99.58,98.19,98.58,5194200,0.0,0.0
11/06/2020,94.97,95.56,91.59,91.87,10976900,0.0,0.0
12/06/2020,94.41,94.41,91.46,93.09,7416400,0.0,0.0
15/06/2020,90.65,94.68,90.2,94.45,8645300,0.0,0.0
16/06/2020,97.74,97.83,94.34,95.61,6054400,0.0,0.0
17/06/2020,95.57,96.77,95.47,95.77,3405500,0.0,0.0
18/06/2020,95.27,95.98,94.46,95.04,4392400,0.0,0.0
19/06/2020,96.51,96.52,92.46,92.46,10304000,0.0,0.0
22/06/2020,93.5,96.09,92.69,96.06,6918200,0.0,0.0
23/06/2020,97.65,98.68,97.22,98.39,6499000,0.0,0.0
24/06/2020,97.44,98.32,94.69,96.61,8611600,0.0,0.0
25/06/2020,95.79,98.16,95.38,97.89,11531400,0.0,0.0
26/06/2020,95.09,95.36,90.33,90.43,24918500,0.0,0.0
29/06/2020,90.46,92.68,90.46,92.55,9624200,0.0,0.0
30/06/2020,92.68,94.9,92.33,94.65,9065500,0.0,0.0
01/07/2020,95.09,95.3,93.75,94.03,5733800,0.0,0.0
02/07/2020,95.36,96.21,94.63,95.02,5354900,0.0,0.0
06/07/2020,96.17,96.57,95.61,96.49,4995000,0.0,0.0
07/07/2020,95.78,96.1,93.56,93.71,6352900,0.0,0.0
08/07/2020,94.12,95.55,93.6,95.42,5634600,0.0,0.0
09/07/2020,95.14,95.48,93.03,93.63,6282300,0.0,0.0
10/07/2020,93.64,94.65,92.41,94.6,3967000,0.0,0.0
13/07/2020,94.85,95.51,92.93,93.12,4845600,0.0,0.0
14/07/2020,92.99,93.88,92.2,93.41,4850600,0.0,0.0
15/07/2020,95.0,95.61,93.94,95.13,5343700,0.0,0.0
16/07/2020,94.12,94.83,93.68,93.89,3594700,0.0,0.0
17/07/2020,93.59,93.86,92.71,92.95,7405700,0.0,0.0
20/07/2020,92.19,93.01,91.82,92.34,5822300,0.0,0.0
21/07/2020,93.56,95.57,92.77,94.95,5855600,0.0,0.0
22/07/2020,94.76,95.56,94.52,95.48,4097000,0.0,0.0
23/07/2020,94.94,96.71,94.34,94.9,4530500,0.0,0.0
24/07/2020,94.74,95.92,94.32,95.02,5638400,0.0,0.0
27/07/2020,93.6,94.99,93.53,93.84,4273400,0.0,0.0
28/07/2020,93.59,94.09,92.83,92.94,3822600,0.0,0.0
29/07/2020,93.09,94.17,92.97,93.61,6872400,0.0,0.0
30/07/2020,93.13,93.86,92.48,93.47,4018400,0.0,0.0
31/07/2020,93.53,94.27,92.97,94.23,5509900,0.0,0.0
03/08/2020,94.64,95.85,94.43,94.92,5472700,0.0,0.0
04/08/2020,94.4,94.56,93.21,93.96,7539300,0.0,0.0
05/08/2020,93.76,97.74,93.72,97.44,7217500,0.0,0.0
06/08/2020,97.15,97.68,96.57,96.97,4060900,0.0,0.0
07/08/2020,97.5,98.38,96.43,98.33,5545600,0.0,0.0
10/08/2020,98.92,103.13,98.85,101.76,12678000,0.0,0.0
11/08/2020,103.15,103.61,101.23,101.48,5400700,0.0,0.0
12/08/2020,102.06,102.22,99.8,101.58,4714800,0.0,0.0
13/08/2020,101.65,103.28,101.56,102.83,4281700,0.0,0.0
14/08/2020,102.45,103.08,101.81,102.74,2985700,0.0,0.0
