Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,16.67,16.72,15.31,15.48,5768825,0.0,0.0
01/05/2020,15.01,15.83,14.94,15.19,4012125,0.0,0.0
04/05/2020,14.91,15.38,14.74,15.16,3963975,0.0,0.0
05/05/2020,15.58,15.98,15.43,15.56,3551925,0.0,0.0
06/05/2020,15.61,15.83,14.94,14.96,3136050,0.0,0.0
07/05/2020,15.24,15.56,15.01,15.09,3895875,0.0,0.0
08/05/2020,15.31,15.46,15.16,15.38,2879125,0.0,0.0
11/05/2020,15.14,15.33,14.94,14.94,3702300,0.0,0.0
12/05/2020,15.04,15.09,14.37,14.37,4472725,0.0,0.0
13/05/2020,14.32,14.37,13.58,14.0,5651925,0.0,0.0
14/05/2020,13.65,14.71,13.6,14.69,4673475,0.0,0.0
15/05/2020,14.44,14.79,14.34,14.39,4796625,0.0,0.0
18/05/2020,15.04,15.56,14.84,15.36,6780850,0.0,0.0
19/05/2020,15.36,15.9,15.24,15.43,4154575,0.0,0.0
20/05/2020,15.48,16.08,15.41,15.93,5444750,0.0,0.0
21/05/2020,15.85,16.0,15.36,15.71,3999325,0.0,0.0
22/05/2020,15.76,15.78,15.28,15.71,3714075,0.0,0.0
26/05/2020,15.88,16.23,15.85,15.93,5947750,0.0,0.0
27/05/2020,16.35,16.35,15.53,16.23,5983175,0.0,0.0
28/05/2020,16.28,16.3,15.61,15.71,6388975,0.0,0.0
29/05/2020,15.48,15.83,15.24,15.26,31342300,0.0,0.0
01/06/2020,15.28,15.76,15.16,15.56,6598700,0.0,0.0
02/06/2020,15.71,15.9,15.43,15.46,5101900,0.0,0.0
03/06/2020,15.68,16.33,15.68,16.15,6922650,0.0,0.0
04/06/2020,16.13,16.82,15.98,16.55,7048925,0.0,0.0
05/06/2020,17.49,18.08,16.8,16.89,6942575,0.0,0.0
08/06/2020,17.46,18.13,17.37,18.11,5844975,0.0,0.0
09/06/2020,17.71,17.96,17.39,17.54,5133800,0.0,0.0
10/06/2020,17.59,17.59,16.35,16.72,7502975,0.0,0.0
11/06/2020,16.62,16.72,15.93,16.25,7382200,0.0,0.0
12/06/2020,16.99,17.32,16.45,17.27,5555275,0.0,0.0
15/06/2020,16.57,17.46,16.4,17.24,6505400,0.0,0.0
