Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,5.91,6.09,5.57,5.65,2570750,0.0,0.0
01/05/2020,5.47,5.57,5.18,5.39,2003550,0.0,0.0
04/05/2020,5.26,5.44,5.03,5.26,2056925,0.0,0.0
05/05/2020,5.41,5.65,5.26,5.26,2151800,0.0,0.0
06/05/2020,5.34,5.52,5.05,5.05,2084150,0.0,0.0
07/05/2020,5.15,5.28,5.05,5.15,1410975,0.0,0.0
08/05/2020,5.18,5.26,5.05,5.18,1893725,0.0,0.0
11/05/2020,5.15,5.18,4.92,4.92,2427800,0.0,0.0
12/05/2020,4.97,5.03,4.69,4.69,2253550,0.0,0.0
13/05/2020,4.71,4.71,4.01,4.33,3098025,0.0,0.0
14/05/2020,4.17,4.56,3.91,4.56,2121825,0.0,0.0
15/05/2020,4.4,4.53,4.27,4.3,2841375,0.0,0.0
18/05/2020,4.51,4.79,4.43,4.79,2335950,0.0,0.0
19/05/2020,4.71,5.0,4.56,4.79,1839225,0.0,0.0
20/05/2020,4.87,5.08,4.87,5.03,1664825,0.0,0.0
21/05/2020,5.0,5.28,4.97,5.28,2559425,0.0,0.0
22/05/2020,4.95,5.26,4.92,5.21,2252425,0.0,0.0
26/05/2020,5.31,5.7,5.31,5.57,3186850,0.0,0.0
27/05/2020,5.78,6.06,5.54,6.04,3973075,0.0,0.0
28/05/2020,6.09,6.14,5.7,5.72,2063100,0.0,0.0
29/05/2020,5.57,5.65,5.34,5.39,2822875,0.0,0.0
01/06/2020,5.39,5.8,5.34,5.75,2136175,0.0,0.0
02/06/2020,5.83,5.93,5.49,5.52,2075950,0.0,0.0
03/06/2020,5.67,6.22,5.59,6.11,3293400,0.0,0.0
04/06/2020,6.16,7.25,6.04,6.99,3999950,0.0,0.0
05/06/2020,8.29,8.91,7.28,7.41,6766025,0.0,0.0
08/06/2020,8.03,9.22,7.9,8.78,5873900,0.0,0.0
09/06/2020,8.86,9.01,7.87,7.93,3683650,0.0,0.0
10/06/2020,8.0,8.06,6.89,7.41,3646000,0.0,0.0
11/06/2020,6.22,6.99,5.96,6.32,3296475,0.0,0.0
12/06/2020,7.28,7.36,6.73,6.97,2580675,0.0,0.0
15/06/2020,6.5,7.38,6.35,7.23,2774000,0.0,0.0
16/06/2020,8.08,8.11,7.15,7.36,2776775,0.0,0.0
17/06/2020,7.3,7.43,7.12,7.17,1441975,0.0,0.0
18/06/2020,7.05,7.36,6.99,7.2,1125675,0.0,0.0
19/06/2020,7.25,7.33,6.81,6.92,3205375,0.0,0.0
22/06/2020,6.79,6.94,6.66,6.68,1879975,0.0,0.0
23/06/2020,6.73,6.79,6.63,6.76,1883625,0.0,0.0
24/06/2020,6.63,6.86,6.27,6.84,2456925,0.0,0.0
25/06/2020,6.5,7.12,6.45,7.12,1456950,0.0,0.0
26/06/2020,6.94,7.05,6.5,6.79,2300975,0.0,0.0
29/06/2020,6.79,6.99,6.58,6.94,1147675,0.0,0.0
30/06/2020,6.84,7.02,6.76,6.89,868500,0.2,0.0
01/07/2020,6.86,7.21,6.76,6.81,1102225,0.0,0.0
02/07/2020,6.86,6.94,6.57,6.57,1071850,0.0,0.0
06/07/2020,6.86,6.86,6.49,6.68,1058225,0.0,0.0
07/07/2020,6.57,6.65,6.23,6.28,1618125,0.0,0.0
08/07/2020,6.28,6.55,6.18,6.52,954975,0.0,0.0
09/07/2020,6.41,6.41,6.04,6.18,1383425,0.0,0.0
10/07/2020,6.07,6.44,5.97,6.41,1034100,0.0,0.0
13/07/2020,6.44,6.52,6.15,6.18,1168200,0.0,0.0
14/07/2020,6.15,6.41,6.07,6.41,694475,0.0,0.0
15/07/2020,6.55,6.84,6.49,6.78,1245550,0.0,0.0
16/07/2020,6.68,6.89,6.55,6.7,744100,0.0,0.0
17/07/2020,6.68,6.84,6.6,6.63,608825,0.0,0.0
20/07/2020,6.55,6.63,6.41,6.52,640275,0.0,0.0
21/07/2020,6.52,6.7,6.49,6.65,1163950,0.0,0.0
22/07/2020,6.57,6.97,6.55,6.86,1040225,0.0,0.0
23/07/2020,6.76,6.97,6.7,6.81,698850,0.0,0.0
24/07/2020,6.76,6.89,6.6,6.63,629625,0.0,0.0
27/07/2020,6.65,6.81,6.49,6.63,647850,0.0,0.0
28/07/2020,6.68,6.97,6.65,6.89,1152700,0.0,0.0
29/07/2020,6.89,7.18,6.81,7.18,1113175,0.0,0.0
30/07/2020,6.97,7.15,6.94,6.94,961250,0.0,0.0
31/07/2020,7.02,7.05,6.68,6.92,968200,0.0,0.0
03/08/2020,6.78,6.84,6.57,6.73,998600,0.0,0.0
04/08/2020,6.73,6.81,6.65,6.81,588350,0.0,0.0
05/08/2020,6.78,7.05,6.78,7.05,1037400,0.0,0.0
06/08/2020,7.44,7.68,7.15,7.15,1543900,0.0,0.0
07/08/2020,7.13,7.34,6.97,7.31,994350,0.0,0.0
10/08/2020,7.31,7.65,7.28,7.55,1170925,0.0,0.0
11/08/2020,7.76,7.92,7.52,7.52,1284175,0.0,0.0
12/08/2020,7.65,7.71,7.26,7.36,653725,0.0,0.0
13/08/2020,7.28,7.52,7.18,7.21,651525,0.0,0.0
14/08/2020,7.23,7.47,7.13,7.36,497150,0.0,0.0
17/08/2020,7.36,7.42,7.18,7.26,555700,0.0,0.0
18/08/2020,7.26,7.28,7.07,7.07,591850,0.0,0.0
19/08/2020,7.15,7.21,7.02,7.05,525650,0.0,0.0
20/08/2020,7.02,7.1,6.94,7.02,423250,0.0,0.0
21/08/2020,6.99,7.02,6.78,6.81,880275,0.0,0.0
24/08/2020,6.81,7.28,6.68,7.18,963175,0.0,0.0
25/08/2020,7.21,7.26,6.97,7.15,634150,0.0,0.0
26/08/2020,7.18,7.18,7.05,7.07,733425,0.0,0.0
27/08/2020,7.07,7.31,7.07,7.21,553075,0.0,0.0
28/08/2020,7.26,7.28,7.15,7.28,397575,0.0,0.0
