Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,20.82,21.27,20.5,21.1,2385900,0.0,0.0
01/05/2020,20.35,20.59,19.41,19.6,1754000,0.0,0.0
04/05/2020,19.2,19.86,18.75,19.7,2519100,0.0,0.0
05/05/2020,21.14,21.52,19.31,19.61,3040000,0.0,0.0
06/05/2020,19.69,19.97,19.04,19.08,1775800,0.0,0.0
07/05/2020,19.46,19.94,18.96,19.12,2563500,0.0,0.0
08/05/2020,19.78,20.19,19.36,19.96,4595300,0.0,0.0
11/05/2020,19.65,19.96,19.01,19.03,3356700,0.0,0.0
12/05/2020,19.19,19.34,17.89,17.98,2665700,0.0,0.0
13/05/2020,17.92,18.65,17.68,18.1,3011300,0.0,0.0
14/05/2020,17.62,18.98,17.29,18.9,2671500,0.0,0.0
15/05/2020,19.72,19.8,18.81,19.04,4501800,0.0,0.0
18/05/2020,20.01,21.59,19.98,21.33,3094700,0.0,0.0
19/05/2020,21.27,22.25,20.92,22.01,3861200,0.0,0.0
20/05/2020,22.33,22.61,20.98,21.1,3222000,0.0,0.0
21/05/2020,20.92,21.87,20.85,21.52,1565500,0.0,0.0
22/05/2020,21.67,21.72,20.97,21.4,1179500,0.0,0.0
26/05/2020,23.0,23.16,21.82,22.16,2231500,0.0,0.0
27/05/2020,22.35,23.0,21.54,22.23,2622100,0.0,0.0
28/05/2020,22.44,22.69,21.98,22.45,2095100,0.0,0.0
29/05/2020,22.12,22.77,21.8,22.54,3685200,0.0,0.0
01/06/2020,22.54,23.27,22.53,22.83,1741700,0.0,0.0
02/06/2020,23.21,23.21,22.71,22.87,1194200,0.0,0.0
03/06/2020,23.11,24.17,23.11,23.89,1450100,0.0,0.0
04/06/2020,23.89,24.14,23.35,24.07,1520900,0.0,0.0
05/06/2020,25.26,25.62,24.65,24.81,2459500,0.0,0.0
08/06/2020,25.18,25.55,24.74,24.99,1743800,0.0,0.0
09/06/2020,24.29,24.84,23.93,24.57,1744100,0.0,0.0
10/06/2020,24.45,24.47,23.18,23.62,1393400,0.0,0.0
11/06/2020,21.97,22.74,21.15,21.4,2661300,0.0,0.0
12/06/2020,22.53,22.7,21.32,21.93,2241200,0.0,0.0
15/06/2020,21.27,23.3,21.05,23.04,3723300,0.0,0.0
16/06/2020,24.27,24.31,23.24,23.71,2791800,0.0,0.0
17/06/2020,23.81,23.81,23.24,23.4,1837400,0.0,0.0
18/06/2020,22.95,23.94,22.87,23.38,2127500,0.0,0.0
19/06/2020,23.55,23.6,21.26,21.4,12034100,0.0,0.0
22/06/2020,21.63,22.01,21.31,21.84,2258600,0.0,0.0
23/06/2020,22.14,22.22,21.01,21.17,4418800,0.0,0.0
