Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
23/11/2021,16.72,17.12,16.59,16.89,2932400,0.0,0.0
24/11/2021,17.08,17.17,16.37,16.5,1567300,0.0,0.0
26/11/2021,16.36,16.68,15.15,16.03,1351500,0.0,0.0
29/11/2021,15.82,16.82,15.38,16.72,1216000,0.0,0.0
30/11/2021,16.22,16.43,15.96,15.98,1403500,0.0,0.0
01/12/2021,16.09,16.62,15.74,15.88,936800,0.0,0.0
02/12/2021,15.78,16.27,15.47,16.13,1403800,0.0,0.0
03/12/2021,16.18,16.39,15.75,16.0,731900,0.0,0.0
06/12/2021,16.0,16.73,15.92,16.67,896700,0.0,0.0
07/12/2021,16.56,17.04,16.25,16.56,1011600,0.0,0.0
08/12/2021,16.62,17.16,16.36,17.1,817200,0.0,0.0
09/12/2021,17.17,17.26,16.66,16.99,722900,0.0,0.0
10/12/2021,16.67,17.14,16.67,17.05,536000,0.0,0.0
13/12/2021,16.8,16.8,16.01,16.57,513500,0.0,0.0
14/12/2021,16.6,17.33,16.29,17.14,725200,0.0,0.0
15/12/2021,17.14,17.14,16.44,16.89,545500,0.0,0.0
16/12/2021,16.69,16.86,16.36,16.56,528800,0.0,0.0
17/12/2021,16.54,17.14,16.41,17.07,2071100,0.0,0.0
20/12/2021,16.62,17.04,16.46,16.65,654700,0.0,0.0
21/12/2021,16.7,17.22,16.68,17.05,443400,0.0,0.0
22/12/2021,16.81,16.98,16.57,16.74,542000,0.0,0.0
23/12/2021,16.63,17.06,16.63,16.78,428900,0.0,0.0
27/12/2021,16.84,16.94,16.52,16.94,477200,0.0,0.0
28/12/2021,16.7,17.25,16.63,17.1,370600,0.0,0.0
29/12/2021,16.8,17.03,16.74,16.85,572000,0.0,0.0
30/12/2021,16.73,16.97,16.66,16.77,587400,0.0,0.0
31/12/2021,16.63,17.03,16.63,16.79,474400,0.0,0.0
03/01/2022,16.64,16.86,16.53,16.78,554100,0.0,0.0
04/01/2022,16.63,16.9,16.63,16.85,385700,0.0,0.0
05/01/2022,16.71,16.81,16.18,16.18,660200,0.0,0.0
06/01/2022,16.11,16.27,15.73,16.13,708800,0.0,0.0
07/01/2022,16.02,16.37,15.98,16.18,383300,0.0,0.0
10/01/2022,16.08,16.1,15.7,15.86,721600,0.0,0.0
11/01/2022,15.76,15.91,15.67,15.81,437600,0.0,0.0
12/01/2022,15.8,15.92,15.7,15.74,393000,0.0,0.0
13/01/2022,15.74,15.91,15.71,15.82,433900,0.0,0.0
14/01/2022,15.74,15.94,15.64,15.9,337800,0.0,0.0
18/01/2022,15.86,15.87,15.2,15.3,637200,0.0,0.0
19/01/2022,15.36,15.47,15.02,15.11,556600,0.0,0.0
20/01/2022,15.06,15.26,14.74,14.74,483100,0.0,0.0
21/01/2022,14.59,15.08,14.51,14.76,566300,0.0,0.0
24/01/2022,14.58,15.07,14.23,15.05,907700,0.0,0.0
25/01/2022,14.8,15.41,14.71,15.13,838700,0.0,0.0
26/01/2022,15.32,15.46,14.69,14.75,467100,0.0,0.0
27/01/2022,14.75,15.0,14.39,14.42,565500,0.0,0.0
28/01/2022,14.39,14.98,14.3,14.98,349700,0.0,0.0
31/01/2022,14.9,15.3,14.76,14.96,1204900,0.0,0.0
01/02/2022,14.99,15.33,14.99,15.23,340200,0.0,0.0
02/02/2022,15.33,15.42,15.02,15.41,1074000,0.0,0.0
03/02/2022,15.27,15.43,15.07,15.08,629800,0.0,0.0
04/02/2022,15.02,15.07,14.68,14.93,288000,0.0,0.0
07/02/2022,14.81,15.21,14.76,15.1,278000,0.0,0.0
08/02/2022,15.09,15.39,14.89,15.2,395600,0.0,0.0
09/02/2022,15.24,16.09,15.24,16.03,430400,0.0,0.0
10/02/2022,15.83,16.18,15.49,15.56,428800,0.0,0.0
11/02/2022,15.74,15.74,15.08,15.23,658700,0.0,0.0
14/02/2022,15.11,15.4,14.91,14.97,433000,0.0,0.0
15/02/2022,15.08,15.34,14.96,15.03,596300,0.0,0.0
16/02/2022,15.09,15.61,15.04,15.47,560700,0.0,0.0
17/02/2022,15.42,15.53,15.11,15.38,528400,0.0,0.0
18/02/2022,15.38,15.45,15.03,15.04,373500,0.0,0.0
22/02/2022,14.93,15.23,14.67,14.84,576900,0.0,0.0
23/02/2022,14.8,14.93,14.57,14.8,645500,0.0,0.0
24/02/2022,14.36,14.88,14.18,14.84,775700,0.0,0.0
25/02/2022,14.97,15.16,14.75,15.06,505400,0.0,0.0
28/02/2022,14.85,15.48,14.85,15.31,507300,0.0,0.0
01/03/2022,15.44,15.57,14.95,15.02,313600,0.0,0.0
02/03/2022,14.97,15.18,14.84,14.99,312600,0.0,0.0
03/03/2022,15.1,15.11,14.8,15.03,326900,0.0,0.0
04/03/2022,14.91,14.95,14.64,14.75,275500,0.0,0.0
07/03/2022,14.75,14.75,14.25,14.29,429600,0.0,0.0
08/03/2022,14.33,14.73,14.25,14.46,396900,0.0,0.0
09/03/2022,14.69,15.05,14.66,14.92,337800,0.0,0.0
10/03/2022,14.75,15.22,14.75,15.19,226700,0.0,0.0
11/03/2022,15.25,15.43,14.96,15.1,196900,0.0,0.0
14/03/2022,15.72,15.82,15.3,15.34,589500,0.0,0.0
15/03/2022,15.49,15.69,15.43,15.5,357100,0.0,0.0
16/03/2022,15.56,15.83,15.46,15.64,450500,0.0,0.0
17/03/2022,15.54,16.16,15.54,15.94,738100,0.0,0.0
18/03/2022,15.93,16.09,15.35,15.47,1825100,0.0,0.0
21/03/2022,15.58,15.89,15.47,15.77,662800,0.0,0.0
22/03/2022,15.88,16.05,15.74,15.98,561500,0.0,0.0
23/03/2022,16.0,16.05,15.74,15.83,606600,0.0,0.0
24/03/2022,15.89,16.37,15.86,16.17,1223000,0.0,0.0
25/03/2022,13.6,13.79,13.23,13.6,4692000,0.0,0.0
28/03/2022,13.38,13.38,12.59,13.06,3191300,0.0,0.0
29/03/2022,13.06,13.33,12.68,13.23,1143600,0.0,0.0
30/03/2022,13.22,13.41,13.0,13.03,903200,0.1,0.0
31/03/2022,12.83,12.86,12.66,12.67,943800,0.0,0.0
01/04/2022,12.66,13.14,12.51,12.95,746700,0.0,0.0
04/04/2022,12.9,13.01,12.6,12.71,832700,0.0,0.0
05/04/2022,12.63,13.0,12.61,12.66,953400,0.0,0.0
06/04/2022,12.57,12.61,12.38,12.51,713500,0.0,0.0
07/04/2022,12.41,12.48,12.14,12.2,1216400,0.0,0.0
08/04/2022,12.15,12.4,12.07,12.35,624000,0.0,0.0
11/04/2022,12.34,12.39,12.11,12.18,440500,0.0,0.0
12/04/2022,12.21,12.36,12.03,12.13,647600,0.0,0.0
13/04/2022,12.18,12.43,12.17,12.34,478200,0.0,0.0
14/04/2022,12.28,12.45,12.26,12.32,461100,0.0,0.0
18/04/2022,12.31,12.58,12.26,12.42,657900,0.0,0.0
19/04/2022,12.37,12.79,12.37,12.69,631500,0.0,0.0
20/04/2022,12.67,12.81,12.65,12.67,600700,0.0,0.0
21/04/2022,12.7,12.78,12.13,12.22,640000,0.0,0.0
22/04/2022,12.17,12.23,11.99,12.09,397700,0.0,0.0
25/04/2022,11.98,12.37,11.9,12.34,692800,0.0,0.0
26/04/2022,12.31,12.4,12.14,12.2,630500,0.0,0.0
27/04/2022,12.19,12.29,12.04,12.18,771000,0.0,0.0
28/04/2022,12.24,12.57,12.18,12.34,552200,0.0,0.0
29/04/2022,12.27,12.39,12.14,12.15,580000,0.0,0.0
02/05/2022,12.2,12.28,11.92,12.06,828900,0.0,0.0
03/05/2022,12.01,12.36,12.01,12.27,501100,0.0,0.0
04/05/2022,12.36,12.39,11.89,12.29,1144700,0.0,0.0
05/05/2022,12.09,12.29,11.9,11.97,678600,0.0,0.0
06/05/2022,11.9,12.0,11.75,11.88,718700,0.0,0.0
09/05/2022,11.72,11.83,11.48,11.59,574200,0.0,0.0
10/05/2022,11.68,11.76,10.9,10.99,759700,0.0,0.0
11/05/2022,11.04,11.21,10.94,11.14,1150100,0.0,0.0
12/05/2022,11.05,11.67,10.95,11.63,730900,0.0,0.0
13/05/2022,11.61,11.69,11.46,11.61,394700,0.0,0.0
16/05/2022,11.58,11.85,11.53,11.75,572900,0.0,0.0
17/05/2022,11.77,12.19,11.77,12.19,581600,0.0,0.0
18/05/2022,12.18,12.23,11.85,11.87,416300,0.0,0.0
19/05/2022,11.74,12.0,11.74,11.86,494700,0.0,0.0
20/05/2022,11.95,11.99,11.79,11.92,420000,0.0,0.0
23/05/2022,11.94,12.04,11.83,11.88,515500,0.0,0.0
24/05/2022,11.81,12.05,11.69,12.03,472600,0.0,0.0
25/05/2022,11.9,12.14,11.86,12.11,323700,0.0,0.0
26/05/2022,12.13,12.38,12.13,12.24,283700,0.0,0.0
27/05/2022,12.33,12.44,12.23,12.23,370600,0.0,0.0
31/05/2022,12.09,12.19,12.01,12.07,484600,0.0,0.0
01/06/2022,12.05,12.09,11.84,11.92,414700,0.0,0.0
02/06/2022,11.87,11.96,11.78,11.89,445000,0.0,0.0
03/06/2022,11.77,11.87,11.61,11.66,539100,0.0,0.0
06/06/2022,11.81,11.89,11.52,11.57,415800,0.0,0.0
07/06/2022,11.5,11.64,11.32,11.62,401700,0.0,0.0
08/06/2022,11.56,11.6,11.3,11.33,291100,0.0,0.0
09/06/2022,11.19,11.34,11.12,11.23,721000,0.0,0.0
10/06/2022,11.06,11.14,10.87,10.93,450900,0.0,0.0
13/06/2022,10.73,10.82,10.38,10.44,796900,0.0,0.0
14/06/2022,10.4,10.52,10.29,10.49,931400,0.0,0.0
15/06/2022,10.59,10.91,10.53,10.73,433400,0.0,0.0
16/06/2022,10.48,10.58,10.21,10.29,712500,0.0,0.0
17/06/2022,10.36,10.73,10.3,10.6,1475500,0.0,0.0
21/06/2022,10.59,10.91,10.56,10.64,560100,0.0,0.0
22/06/2022,10.5,10.75,10.45,10.55,618200,0.0,0.0
23/06/2022,10.5,10.71,10.49,10.66,667000,0.0,0.0
24/06/2022,10.66,10.84,10.26,10.26,7260000,0.0,0.0
27/06/2022,10.31,10.56,10.11,10.14,911100,0.0,0.0
28/06/2022,10.27,10.59,10.21,10.22,661700,0.0,0.0
29/06/2022,10.26,10.26,9.99,10.17,760300,0.1,0.0
30/06/2022,10.05,10.23,9.97,10.01,740900,0.0,0.0
01/07/2022,9.93,10.12,9.88,10.06,993800,0.0,0.0
05/07/2022,9.92,10.04,9.73,10.03,865700,0.0,0.0
06/07/2022,10.01,10.12,9.77,9.78,704200,0.0,0.0
07/07/2022,9.78,9.91,9.72,9.73,566700,0.0,0.0
08/07/2022,9.68,9.75,9.58,9.6,541800,0.0,0.0
11/07/2022,9.52,9.65,9.39,9.4,706500,0.0,0.0
12/07/2022,9.39,9.58,9.38,9.46,1378400,0.0,0.0
13/07/2022,9.42,9.5,9.33,9.37,449100,0.0,0.0
