Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,43.91,45.01,43.25,44.65,4705610,0.225775,0.0
01/05/2020,42.97,43.12,41.79,42.11,2920870,0.0,0.0
04/05/2020,41.48,41.89,40.72,41.15,3383515,0.0,0.0
05/05/2020,42.37,43.83,42.27,42.32,3513650,0.0,0.0
06/05/2020,42.46,43.41,42.24,42.67,3101573,0.0,0.0
07/05/2020,43.33,44.29,42.9,44.24,2977836,0.0,0.0
08/05/2020,44.97,45.6,43.98,44.6,2546150,0.0,0.0
11/05/2020,43.89,44.68,43.05,43.92,2471124,0.0,0.0
12/05/2020,44.29,44.5,41.7,42.01,3480110,0.0,0.0
13/05/2020,41.75,42.01,40.54,40.83,3134081,0.0,0.0
14/05/2020,40.12,41.03,38.76,40.96,3323556,0.0,0.0
15/05/2020,40.69,40.78,39.47,40.64,4991681,0.0,0.0
18/05/2020,42.62,43.68,42.51,43.15,3526344,0.0,0.0
19/05/2020,43.07,43.67,42.26,42.76,2423652,0.0,0.0
20/05/2020,43.09,43.12,41.32,41.82,3298582,0.0,0.0
21/05/2020,41.67,42.54,41.43,42.07,2457295,0.0,0.0
22/05/2020,42.13,42.55,41.84,42.4,1893720,0.0,0.0
26/05/2020,44.59,45.31,44.03,45.11,2943470,0.0,0.0
27/05/2020,46.36,46.74,44.09,45.03,4293946,0.0,0.0
28/05/2020,45.58,45.63,44.3,45.29,4764228,0.0,0.0
29/05/2020,44.99,46.32,44.62,45.16,10750550,0.225775,0.0
01/06/2020,45.31,46.54,45.04,46.19,2574943,0.0,0.0
02/06/2020,46.77,47.24,46.37,46.7,3174948,0.0,0.0
03/06/2020,47.43,49.47,47.36,49.12,2730362,0.0,0.0
04/06/2020,49.03,49.49,48.05,49.08,2405076,0.0,0.0
05/06/2020,51.21,52.42,49.85,50.79,5100866,0.0,0.0
08/06/2020,52.46,52.64,51.75,52.39,3351730,0.0,0.0
09/06/2020,50.77,51.48,50.29,51.31,2566790,0.0,0.0
10/06/2020,51.48,51.53,49.73,50.73,3231914,0.0,0.0
11/06/2020,47.19,49.39,46.98,47.26,4207051,0.0,0.0
12/06/2020,49.58,49.95,47.78,49.34,2445014,0.0,0.0
15/06/2020,47.76,51.39,47.76,51.08,3452556,0.0,0.0
16/06/2020,53.05,53.53,51.17,51.57,3894562,0.0,0.0
17/06/2020,52.06,52.19,51.43,51.48,3241099,0.0,0.0
18/06/2020,51.0,52.51,50.65,51.75,3428614,0.0,0.0
19/06/2020,52.1,52.42,49.71,50.24,15117149,0.0,0.0
22/06/2020,50.2,50.75,49.36,50.16,3145639,0.0,0.0
23/06/2020,50.64,50.8,49.41,50.02,2591249,0.0,0.0
24/06/2020,49.33,49.56,46.95,48.55,3272575,0.0,0.0
25/06/2020,48.25,49.39,47.93,48.64,2806627,0.0,0.0
26/06/2020,48.9,49.1,47.62,47.69,2719423,0.0,0.0
29/06/2020,48.15,48.81,47.1,48.81,2576801,0.0,0.0
30/06/2020,49.38,49.38,48.31,48.77,2722210,0.226744,0.0
01/07/2020,48.97,50.32,48.83,50.07,1526431,0.0,0.0
02/07/2020,51.01,51.28,49.59,50.08,1872770,0.0,0.0
06/07/2020,51.06,51.18,49.32,49.39,1705896,0.0,0.0
07/07/2020,48.63,48.92,47.97,48.01,1823750,0.0,0.0
08/07/2020,48.13,48.24,47.42,47.97,2062349,0.0,0.0
09/07/2020,47.92,47.95,46.17,46.82,2356778,0.0,0.0
10/07/2020,46.83,47.63,46.38,46.71,1840366,0.0,0.0
13/07/2020,47.01,47.23,46.17,46.58,2081028,0.0,0.0
14/07/2020,46.72,47.37,46.35,47.17,1605998,0.0,0.0
15/07/2020,48.29,48.4,47.24,48.06,2006208,0.0,0.0
16/07/2020,47.64,47.92,47.1,47.26,1689178,0.0,0.0
17/07/2020,47.54,48.35,47.17,48.02,1355738,0.0,0.0
20/07/2020,47.86,48.07,46.89,47.03,1470187,0.0,0.0
21/07/2020,47.24,47.62,46.73,46.88,2273186,0.0,0.0
22/07/2020,46.64,48.21,46.5,47.95,1969882,0.0,0.0
23/07/2020,47.68,48.12,46.42,47.01,1771738,0.0,0.0
24/07/2020,46.98,47.46,46.72,47.06,1470084,0.0,0.0
27/07/2020,47.06,48.15,46.49,48.06,2009614,0.0,0.0
28/07/2020,47.81,49.32,47.53,49.06,2064722,0.0,0.0
29/07/2020,49.37,49.69,48.6,49.69,1749240,0.0,0.0
30/07/2020,48.86,49.78,48.44,49.63,1579166,0.0,0.0
31/07/2020,49.05,49.5,48.52,49.41,3536664,0.226744,0.0
03/08/2020,48.95,49.16,48.45,48.88,1882265,0.0,0.0
04/08/2020,50.11,51.52,50.02,50.9,3522938,0.0,0.0
05/08/2020,51.24,51.43,50.44,51.3,2553994,0.0,0.0
06/08/2020,51.02,51.66,50.62,51.13,2003112,0.0,0.0
07/08/2020,50.89,51.71,50.81,51.61,1661726,0.0,0.0
10/08/2020,51.67,52.04,51.38,51.39,1720757,0.0,0.0
11/08/2020,52.08,52.56,51.52,51.57,2718701,0.0,0.0
12/08/2020,51.93,52.22,51.38,51.84,1406203,0.0,0.0
13/08/2020,51.49,52.0,50.44,50.55,1535719,0.0,0.0
14/08/2020,50.44,50.91,50.02,50.2,1510951,0.0,0.0
17/08/2020,50.27,51.11,49.99,51.0,1568227,0.0,0.0
18/08/2020,50.82,51.09,50.22,50.67,1414356,0.0,0.0
19/08/2020,50.66,50.7,49.3,49.41,2063484,0.0,0.0
20/08/2020,49.37,50.68,49.2,50.2,1512912,0.0,0.0
21/08/2020,50.35,50.56,49.67,50.29,1896197,0.0,0.0
24/08/2020,50.19,51.39,49.73,51.38,1858838,0.0,0.0
25/08/2020,51.49,51.78,50.89,51.48,2085053,0.0,0.0
26/08/2020,51.26,51.31,50.41,50.75,1636339,0.0,0.0
27/08/2020,50.64,51.57,50.64,51.43,1731180,0.0,0.0
28/08/2020,51.55,52.28,50.95,52.2,2119109,0.0,0.0
31/08/2020,52.05,52.08,51.02,51.23,2962459,0.226744,0.0
01/09/2020,50.63,51.86,50.43,51.58,2353889,0.0,0.0
02/09/2020,51.48,52.57,51.1,52.48,3085783,0.0,0.0
03/09/2020,52.83,53.6,52.32,53.05,2996515,0.0,0.0
04/09/2020,53.2,53.92,52.23,53.16,2392589,0.0,0.0
08/09/2020,53.02,53.55,52.31,52.86,2060904,0.0,0.0
09/09/2020,53.25,54.23,53.04,53.38,2026745,0.0,0.0
10/09/2020,53.17,53.67,52.63,52.66,1523335,0.0,0.0
11/09/2020,52.78,52.79,51.63,52.33,2063071,0.0,0.0
14/09/2020,52.8,54.17,52.62,54.09,1992895,0.0,0.0
15/09/2020,54.32,55.17,54.1,54.35,2499298,0.0,0.0
16/09/2020,54.56,54.97,53.98,54.02,2143774,0.0,0.0
17/09/2020,53.58,54.0,52.57,52.91,2923450,0.0,0.0
18/09/2020,52.1,52.77,51.43,51.49,4064326,0.0,0.0
21/09/2020,50.83,50.91,49.18,49.63,3324898,0.0,0.0
22/09/2020,49.93,50.91,49.8,50.07,2072566,0.0,0.0
23/09/2020,50.09,50.24,48.67,48.75,2425200,0.0,0.0
24/09/2020,48.71,49.09,48.2,48.49,2916019,0.0,0.0
25/09/2020,48.5,49.59,48.32,49.49,2373394,0.0,0.0
28/09/2020,50.77,51.22,50.26,50.93,2328605,0.0,0.0
29/09/2020,50.93,50.99,49.85,50.46,1836547,0.0,0.0
30/09/2020,50.86,51.36,49.76,50.36,3098683,0.226744,0.0
01/10/2020,50.44,51.67,50.16,51.63,2187530,0.0,0.0
02/10/2020,50.69,53.14,50.46,52.94,2651414,0.0,0.0
05/10/2020,52.92,53.33,51.58,52.44,1878137,0.0,0.0
06/10/2020,52.74,52.98,51.93,52.16,2024474,0.0,0.0
07/10/2020,52.44,52.55,51.78,51.99,1728290,0.0,0.0
08/10/2020,52.29,52.88,52.19,52.85,1926228,0.0,0.0
09/10/2020,53.56,53.56,52.2,52.39,1890934,0.0,0.0
12/10/2020,52.25,52.69,51.88,52.5,1424470,0.0,0.0
13/10/2020,52.18,52.19,50.64,51.13,2306107,0.0,0.0
14/10/2020,51.09,51.25,50.32,50.57,1779581,0.0,0.0
15/10/2020,50.29,51.07,50.02,50.08,2566068,0.0,0.0
16/10/2020,50.26,50.45,49.67,50.18,2706833,0.0,0.0
19/10/2020,50.74,50.81,48.67,48.71,2814574,0.0,0.0
20/10/2020,49.04,49.49,48.88,49.0,1773492,0.0,0.0
21/10/2020,48.92,49.63,48.47,49.48,1945939,0.0,0.0
22/10/2020,49.37,49.95,49.34,49.82,1124674,0.0,0.0
23/10/2020,50.3,50.72,49.85,50.36,1533965,0.0,0.0
26/10/2020,50.09,50.11,49.15,49.6,2182680,0.0,0.0
27/10/2020,49.73,49.99,48.69,48.69,1541808,0.0,0.0
28/10/2020,48.08,48.49,47.74,47.93,2604046,0.0,0.0
29/10/2020,48.13,48.93,47.33,48.52,2552858,0.0,0.0
30/10/2020,48.35,48.95,47.74,48.16,2493209,0.226744,0.0
02/11/2020,48.6,49.93,48.55,49.64,2606006,0.0,0.0
03/11/2020,49.28,49.82,48.74,49.32,2104454,0.0,0.0
04/11/2020,49.11,49.46,48.67,48.69,2547492,0.0,0.0
05/11/2020,49.01,49.16,48.25,48.28,2543467,0.0,0.0
06/11/2020,48.59,49.68,48.02,48.27,4052458,0.0,0.0
09/11/2020,51.19,53.52,50.95,51.27,6756917,0.0,0.0
10/11/2020,51.43,53.9,51.09,53.83,3794561,0.0,0.0
11/11/2020,53.54,53.55,51.97,52.81,2443054,0.0,0.0
12/11/2020,52.36,52.36,50.89,51.42,2118799,0.0,0.0
13/11/2020,51.55,52.61,51.55,52.48,1675349,0.0,0.0
16/11/2020,54.02,54.18,52.84,53.66,2622518,0.0,0.0
17/11/2020,53.07,53.11,51.91,52.29,2570815,0.0,0.0
18/11/2020,52.36,52.94,50.89,50.93,2885885,0.0,0.0
19/11/2020,50.82,51.17,50.01,50.87,3361121,0.0,0.0
20/11/2020,50.71,50.97,50.13,50.27,3342545,0.0,0.0
23/11/2020,50.58,51.65,50.44,50.68,2901365,0.0,0.0
24/11/2020,51.46,52.42,51.39,51.47,3582794,0.0,0.0
25/11/2020,51.61,52.53,51.17,52.36,3274742,0.0,0.0
27/11/2020,52.44,52.44,51.19,51.31,1373695,0.0,0.0
30/11/2020,51.64,51.66,50.07,50.11,5697156,0.226744,0.0
01/12/2020,50.57,50.99,50.28,50.44,2759155,0.0,0.0
02/12/2020,50.53,51.0,50.16,50.78,2067715,0.0,0.0
03/12/2020,50.83,51.54,50.7,51.04,1847074,0.0,0.0
04/12/2020,51.44,51.71,50.88,51.19,1946455,0.0,0.0
07/12/2020,51.17,51.26,50.64,50.76,2411784,0.0,0.0
08/12/2020,50.69,51.07,50.46,50.47,2753892,0.0,0.0
09/12/2020,50.51,51.21,50.29,50.71,4726766,0.0,0.0
10/12/2020,50.48,50.65,50.0,50.07,3565354,0.0,0.0
11/12/2020,50.13,50.63,50.03,50.52,3157198,0.0,0.0
14/12/2020,50.88,51.72,50.48,50.65,3447912,0.0,0.0
15/12/2020,50.86,51.59,50.43,51.59,2485469,0.0,0.0
16/12/2020,51.62,51.89,51.2,51.26,2362042,0.0,0.0
17/12/2020,51.53,51.61,50.9,50.99,2913439,0.0,0.0
18/12/2020,50.86,51.42,49.52,49.73,5752678,0.0,0.0
21/12/2020,49.53,49.95,49.05,49.94,2970612,0.0,0.0
22/12/2020,50.04,50.91,49.73,50.91,2357088,0.0,0.0
23/12/2020,50.94,51.33,50.47,50.52,2138407,0.0,0.0
24/12/2020,50.68,51.07,50.38,51.04,797426,0.0,0.0
28/12/2020,51.01,51.7,50.93,51.61,1960800,0.0,0.0
29/12/2020,51.61,52.01,50.83,50.94,1624678,0.0,0.0
30/12/2020,50.98,51.8,50.89,51.2,1450889,0.0,0.0
31/12/2020,51.11,52.17,50.7,52.15,2362970,0.227713,0.0
04/01/2021,52.15,52.22,50.17,50.21,3965254,0.0,0.0
05/01/2021,50.33,50.95,50.28,50.46,2801777,0.0,0.0
06/01/2021,50.83,50.89,49.78,50.03,4274647,0.0,0.0
07/01/2021,50.13,50.14,49.12,49.4,4302924,0.0,0.0
08/01/2021,49.49,50.21,49.37,50.11,3300542,0.0,0.0
11/01/2021,49.97,50.18,49.71,49.84,2622106,0.0,0.0
12/01/2021,47.84,48.61,47.81,48.49,12195247,0.0,0.0
13/01/2021,48.85,49.37,48.25,48.46,4415309,0.0,0.0
14/01/2021,48.77,48.83,48.37,48.51,3009828,0.0,0.0
15/01/2021,48.69,49.42,48.14,49.19,3361121,0.0,0.0
19/01/2021,49.49,49.49,48.46,48.77,3406219,0.0,0.0
20/01/2021,48.82,49.64,48.66,49.47,2624686,0.0,0.0
21/01/2021,49.06,49.88,48.8,49.56,2632426,0.0,0.0
22/01/2021,49.41,50.28,49.28,50.19,2904151,0.0,0.0
25/01/2021,50.33,51.41,50.02,50.64,3731918,0.0,0.0
26/01/2021,50.7,51.32,50.56,50.89,2520763,0.0,0.0
27/01/2021,50.54,51.31,50.42,50.63,3546571,0.0,0.0
28/01/2021,50.54,51.79,50.46,51.12,3127373,0.0,0.0
29/01/2021,50.64,51.28,49.59,49.73,4867118,0.227713,0.0
01/02/2021,50.06,50.71,49.54,50.66,2511578,0.0,0.0
02/02/2021,50.66,51.19,50.35,50.79,2356366,0.0,0.0
03/02/2021,50.57,51.03,50.23,50.91,2373703,0.0,0.0
04/02/2021,51.01,51.73,50.91,51.32,1957910,0.0,0.0
05/02/2021,51.48,51.72,51.35,51.51,1627774,0.0,0.0
08/02/2021,51.54,51.62,51.18,51.28,1972771,0.0,0.0
09/02/2021,51.35,52.03,51.28,51.99,2203939,0.0,0.0
10/02/2021,52.31,53.46,52.16,52.63,3566489,0.0,0.0
11/02/2021,52.75,53.07,52.53,52.99,2190833,0.0,0.0
12/02/2021,52.73,53.15,52.29,52.59,1866578,0.0,0.0
16/02/2021,52.75,52.89,51.6,51.95,2784130,0.0,0.0
17/02/2021,51.88,52.16,51.44,52.0,1930975,0.0,0.0
18/02/2021,51.88,51.99,51.23,51.3,3308386,0.0,0.0
19/02/2021,51.55,52.29,51.39,51.44,2858434,0.0,0.0
22/02/2021,51.58,52.53,51.45,52.29,3666490,0.0,0.0
23/02/2021,52.66,52.89,51.79,52.52,4029650,0.0,0.0
24/02/2021,52.48,52.74,52.15,52.52,3710040,0.0,0.0
25/02/2021,52.65,53.71,51.42,51.86,3338004,0.0,0.0
26/02/2021,51.86,52.35,50.88,50.93,3404465,0.227713,0.0
01/03/2021,51.7,52.19,51.09,51.15,3024276,0.0,0.0
02/03/2021,51.14,51.32,50.47,51.03,3517882,0.0,0.0
03/03/2021,51.03,51.98,50.97,51.37,3220356,0.0,0.0
04/03/2021,51.22,51.5,49.62,50.25,4465361,0.0,0.0
05/03/2021,50.44,50.76,49.25,50.68,3907358,0.0,0.0
08/03/2021,50.79,51.69,50.45,51.09,3772063,0.0,0.0
09/03/2021,51.12,52.07,50.72,51.31,3305496,0.0,0.0
10/03/2021,51.31,52.25,51.29,51.91,3441101,0.0,0.0
11/03/2021,52.13,52.83,51.26,52.25,3234907,0.0,0.0
12/03/2021,52.27,53.23,51.93,53.19,2806730,0.0,0.0
15/03/2021,53.44,54.33,53.01,54.03,3268241,0.0,0.0
16/03/2021,54.09,54.48,53.49,54.06,2896514,0.0,0.0
17/03/2021,53.93,54.26,53.63,53.99,2877216,0.0,0.0
18/03/2021,53.7,53.99,53.18,53.43,2706833,0.0,0.0
19/03/2021,53.36,53.57,52.01,52.19,11386056,0.0,0.0
22/03/2021,52.23,53.04,51.92,52.79,3583414,0.0,0.0
23/03/2021,52.78,53.54,52.66,53.21,3369067,0.0,0.0
24/03/2021,53.21,54.29,53.15,53.44,3019735,0.0,0.0
25/03/2021,53.29,54.13,52.75,54.02,2139026,0.0,0.0
26/03/2021,54.17,54.59,53.6,54.28,2014877,0.0,0.0
29/03/2021,54.26,54.6,53.63,54.27,2276695,0.0,0.0
30/03/2021,54.05,54.42,53.87,54.2,2346046,0.0,0.0
31/03/2021,54.13,54.52,53.8,53.87,2567410,0.227713,0.0
01/04/2021,54.23,55.27,53.99,55.24,2642333,0.0,0.0
05/04/2021,55.34,55.52,54.74,55.35,2546460,0.0,0.0
06/04/2021,55.26,55.52,54.83,55.25,3194350,0.0,0.0
07/04/2021,55.23,55.72,55.1,55.61,2230565,0.0,0.0
08/04/2021,55.6,55.82,55.41,55.49,1812192,0.0,0.0
09/04/2021,55.57,55.7,55.12,55.3,2281236,0.0,0.0
12/04/2021,55.46,55.77,54.9,55.71,2085053,0.0,0.0
13/04/2021,55.41,56.02,55.33,55.99,2127778,0.0,0.0
14/04/2021,55.97,56.03,55.37,55.45,1819003,0.0,0.0
15/04/2021,55.91,56.8,55.74,56.77,2697442,0.0,0.0
16/04/2021,56.98,57.16,56.69,56.86,2515913,0.0,0.0
19/04/2021,57.0,57.21,56.49,57.13,2178346,0.0,0.0
