Date,Close,Open,High,Low,Volume,Change %
30/04/2020,12.69,12.77,12.93,12.51,10220000.0,-4.23%
01/05/2020,11.97,12.43,12.43,11.81,2860000.0,-5.71%
04/05/2020,11.84,11.72,11.98,11.61,2300000.0,-1.04%
05/05/2020,11.61,12.08,12.21,11.58,2640000.0,-1.94%
06/05/2020,11.36,11.71,11.8,11.27,2160000.0,-2.15%
07/05/2020,11.54,11.53,12.04,11.45,2700000.0,1.58%
08/05/2020,12.06,11.76,12.09,11.73,1730000.0,4.51%
11/05/2020,11.58,11.84,11.93,11.52,1930000.0,-3.98%
12/05/2020,11.07,11.64,11.81,11.07,2620000.0,-4.40%
13/05/2020,10.5,11.08,11.11,10.29,4480000.0,-5.15%
14/05/2020,10.91,10.47,11.03,10.0,3960000.0,3.90%
15/05/2020,10.68,10.74,10.96,10.59,3220000.0,-2.11%
18/05/2020,11.54,11.14,11.59,11.12,3650000.0,8.05%
19/05/2020,11.02,11.37,11.56,11.01,5150000.0,-4.51%
20/05/2020,11.4,11.23,11.49,11.23,3090000.0,3.45%
21/05/2020,11.17,11.3,11.46,11.13,3350000.0,-2.02%
22/05/2020,10.86,11.21,11.27,10.83,3100000.0,-2.78%
26/05/2020,11.73,11.32,11.9,11.24,3660000.0,8.01%
27/05/2020,12.28,12.18,12.39,11.89,3340000.0,4.69%
28/05/2020,11.63,12.32,12.41,11.56,3470000.0,-5.29%
29/05/2020,11.45,11.45,11.69,11.33,7270000.0,-1.55%
01/06/2020,11.74,11.53,11.81,11.4,3100000.0,2.58%
02/06/2020,11.65,11.91,12.02,11.53,3040000.0,-0.81%
03/06/2020,12.19,11.98,12.38,11.98,3750000.0,4.64%
04/06/2020,12.65,12.19,12.65,11.97,4310000.0,3.77%
05/06/2020,13.45,13.48,13.68,13.18,5760000.0,6.32%
08/06/2020,13.79,13.84,13.98,13.57,4890000.0,2.53%
09/06/2020,13.52,13.5,13.75,13.07,4330000.0,-1.99%
10/06/2020,12.79,13.28,13.36,12.76,4790000.0,-5.36%
11/06/2020,11.66,12.05,12.41,11.6,4900000.0,-8.84%
12/06/2020,12.2,12.27,12.27,11.74,5760000.0,4.63%
15/06/2020,12.19,11.67,12.25,11.57,5870000.0,-0.08%
16/06/2020,12.58,12.77,12.86,12.28,4120000.0,3.20%
17/06/2020,12.07,12.56,12.56,12.03,4310000.0,-4.05%
18/06/2020,11.97,11.91,12.26,11.8,4670000.0,-0.83%
19/06/2020,11.97,12.18,12.18,11.58,11060000.0,0.00%
22/06/2020,11.84,11.85,12.07,11.73,3730000.0,-1.09%
23/06/2020,11.81,12.0,12.32,11.79,4070000.000000001,-0.25%
24/06/2020,11.14,11.65,11.66,11.13,3940000.0,-5.67%
25/06/2020,11.45,11.03,11.48,11.03,3290000.0,2.78%
26/06/2020,10.83,11.19,11.21,10.67,5270000.0,-5.41%
29/06/2020,11.31,11.04,11.43,10.97,4010000.0,4.43%
30/06/2020,11.57,11.19,11.65,11.15,4370000.0,2.30%
01/07/2020,11.21,11.62,11.62,11.18,3250000.0,-3.11%
02/07/2020,11.18,11.59,11.74,11.13,4490000.0,-0.27%
06/07/2020,11.36,11.43,11.72,11.26,3270000.0,1.61%
07/07/2020,11.0,11.19,11.23,10.93,4160000.0,-3.17%
08/07/2020,10.97,10.96,11.19,10.79,3240000.0,-0.27%
09/07/2020,10.4,10.9,10.96,10.34,4870000.0,-5.20%
10/07/2020,11.13,10.55,11.16,10.47,5150000.0,7.02%
13/07/2020,11.31,11.2,11.49,11.0,4220000.0,1.62%
14/07/2020,11.15,11.25,11.39,10.99,3110000.0,-1.41%
15/07/2020,11.71,11.5,11.78,11.38,3120000.0,5.02%
16/07/2020,11.66,11.59,11.86,11.48,2530000.0,-0.43%
17/07/2020,11.35,11.66,11.7,11.32,3270000.0,-2.66%
20/07/2020,11.09,11.25,11.35,11.07,2920000.0,-2.29%
21/07/2020,11.71,11.18,11.73,11.18,2850000.0,5.59%
22/07/2020,11.57,11.66,11.69,11.42,2900000.0,-1.20%
23/07/2020,11.78,11.52,11.92,11.52,3410000.0,1.82%
24/07/2020,12.0,11.99,12.36,11.87,5350000.0,1.87%
27/07/2020,11.36,12.11,12.11,11.29,4990000.0,-5.33%
28/07/2020,11.19,11.3,11.44,11.17,5790000.0,-1.50%
29/07/2020,11.47,11.26,11.48,11.04,6190000.0,2.50%
30/07/2020,11.24,11.17,11.28,10.86,5320000.0,-2.01%
31/07/2020,10.79,11.0,11.06,10.75,13710000.0,-4.00%
03/08/2020,10.68,10.86,10.97,10.6,9890000.0,-1.07%
04/08/2020,10.52,10.57,10.69,10.35,6570000.0,-1.45%
05/08/2020,10.72,10.56,10.76,10.5,6770000.0,1.90%
06/08/2020,10.85,10.68,11.01,10.68,3360000.0,1.21%
07/08/2020,11.32,10.85,11.34,10.76,3150000.0,4.33%
10/08/2020,11.55,11.42,11.72,11.35,2990000.0,2.03%
11/08/2020,11.65,11.85,12.12,11.57,3130000.0,0.87%
12/08/2020,11.55,11.92,11.92,11.37,2730000.0,-0.86%
13/08/2020,11.24,11.35,11.54,11.22,3100000.0,-2.68%
14/08/2020,11.36,11.17,11.48,11.08,2590000.0,1.07%
17/08/2020,11.17,11.28,11.35,11.14,3510000.0,-1.67%
18/08/2020,10.85,11.22,11.22,10.81,3510000.0,-2.86%
19/08/2020,10.8,10.87,11.02,10.76,2320000.0,-0.46%
20/08/2020,10.51,10.65,10.74,10.48,2940000.0,-2.69%
21/08/2020,10.45,10.5,10.53,10.37,2820000.0,-0.57%
24/08/2020,10.79,10.54,10.8,10.36,2980000.0,3.25%
25/08/2020,10.81,10.95,11.05,10.66,2450000.0,0.19%
26/08/2020,10.46,10.77,10.77,10.46,2390000.0,-3.24%
27/08/2020,10.72,10.51,10.8,10.48,2320000.0,2.49%
28/08/2020,10.69,10.8,10.86,10.65,2220000.0,-0.28%
31/08/2020,10.58,10.67,10.74,10.5,3980000.0,-1.03%
01/09/2020,10.56,10.54,10.75,10.4,3800000.0,-0.19%
02/09/2020,10.65,10.53,10.72,10.46,2710000.0,0.85%
03/09/2020,10.64,10.75,11.13,10.59,3580000.0,-0.14%
04/09/2020,11.02,10.89,11.12,10.77,4210000.0,3.67%
08/09/2020,10.55,10.96,10.96,10.45,5300000.0,-4.31%
09/09/2020,10.43,10.55,10.61,10.41,3930000.0,-1.14%
10/09/2020,10.14,10.43,10.5,10.13,3990000.0,-2.78%
11/09/2020,10.18,10.13,10.28,10.05,3850000.0,0.39%
14/09/2020,10.59,10.29,10.68,10.25,3940000.0,4.03%
15/09/2020,10.32,10.6,10.63,10.29,3270000.0,-2.55%
16/09/2020,10.5,10.35,10.66,10.27,3970000.0,1.74%
17/09/2020,10.62,10.27,10.66,10.27,4150000.000000001,1.14%
18/09/2020,10.63,10.56,10.69,10.47,10990000.0,0.09%
21/09/2020,10.2,10.44,10.61,10.13,5160000.0,-4.05%
22/09/2020,10.03,10.21,10.38,10.02,4280000.0,-1.67%
23/09/2020,9.89,10.13,10.35,9.88,4140000.0,-1.40%
24/09/2020,9.88,9.97,10.21,9.78,5270000.0,-0.10%
25/09/2020,9.93,9.85,9.97,9.73,3320000.0,0.51%
28/09/2020,10.23,10.09,10.31,10.04,3180000.0,3.02%
29/09/2020,10.17,10.24,10.24,9.98,3310000.0,-0.59%
30/09/2020,10.31,10.2,10.43,10.18,3960000.0,1.38%
01/10/2020,10.17,10.29,10.4,10.08,3020000.0,-1.36%
02/10/2020,10.53,10.03,10.59,9.98,3710000.0,3.54%
05/10/2020,10.77,10.61,10.94,10.61,3600000.0,2.28%
06/10/2020,10.78,10.92,11.2,10.72,5400000.0,0.09%
07/10/2020,10.97,10.91,11.18,10.88,3420000.0,1.76%
08/10/2020,11.03,11.03,11.1,10.91,3040000.0,0.55%
09/10/2020,10.83,11.09,11.13,10.8,3210000.0,-1.81%
12/10/2020,10.9,10.82,10.95,10.76,3820000.0,0.65%
13/10/2020,10.42,10.8,10.86,10.42,3620000.0,-4.40%
14/10/2020,10.31,10.51,10.58,10.29,3310000.0,-1.06%
15/10/2020,10.62,10.3,10.66,10.23,3340000.0,3.01%
16/10/2020,10.58,10.62,10.64,10.37,2860000.0,-0.38%
19/10/2020,10.37,10.63,10.68,10.36,2930000.0,-1.98%
20/10/2020,10.52,10.51,10.71,10.48,3290000.0,1.45%
21/10/2020,10.56,10.52,10.63,10.47,2660000.0,0.38%
22/10/2020,11.33,10.56,11.35,10.55,7790000.0,7.29%
23/10/2020,11.44,11.48,11.86,11.09,7570000.0,0.97%
26/10/2020,11.08,11.34,11.4,10.95,5300000.0,-3.15%
27/10/2020,10.64,11.01,11.05,10.63,4730000.0,-3.97%
28/10/2020,10.53,10.48,10.74,10.42,4490000.0,-1.03%
29/10/2020,10.75,10.57,10.84,10.38,5490000.0,2.09%
30/10/2020,10.67,10.58,10.76,10.52,15150000.0,-0.74%
02/11/2020,11.31,10.85,11.31,10.62,7620000.0,6.00%
03/11/2020,11.58,11.52,11.64,11.36,4310000.0,2.39%
04/11/2020,10.57,11.21,11.25,10.56,6540000.0,-8.72%
05/11/2020,11.01,10.61,11.07,10.61,3910000.0,4.16%
06/11/2020,10.49,11.07,11.1,10.44,6540000.0,-4.72%
09/11/2020,12.77,11.45,13.04,11.23,12240000.0,21.73%
10/11/2020,12.96,12.82,13.21,12.55,6090000.0,1.49%
11/11/2020,12.59,13.01,13.02,12.44,6040000.0,-2.85%
12/11/2020,12.15,12.36,12.62,11.93,5460000.0,-3.49%
13/11/2020,12.68,12.35,12.74,12.32,4400000.0,4.36%
16/11/2020,13.3,13.23,13.38,13.0,5150000.0,4.89%
17/11/2020,13.15,13.04,13.2,12.81,3210000.0,-1.13%
18/11/2020,12.98,13.27,13.39,12.97,2900000.0,-1.29%
19/11/2020,12.86,12.9,12.93,12.59,7980000.0,-0.92%
20/11/2020,12.73,12.78,12.87,12.62,5780000.0,-1.01%
23/11/2020,12.99,12.93,13.03,12.78,4530000.0,2.04%
24/11/2020,13.52,13.3,13.58,13.28,4470000.0,4.08%
25/11/2020,13.21,13.28,13.29,12.94,3590000.0,-2.29%
27/11/2020,12.86,13.11,13.16,12.69,4910000.0,-2.65%
30/11/2020,12.4,12.81,12.9,12.36,30240000.0,-3.58%
01/12/2020,12.8,12.68,12.98,12.57,5320000.0,3.23%
02/12/2020,12.93,12.7,13.01,12.65,3490000.0,1.02%
03/12/2020,12.89,12.99,13.01,12.74,2980000.0,-0.31%
04/12/2020,13.23,13.17,13.26,12.91,4040000.0,2.64%
07/12/2020,13.34,13.11,13.44,12.89,5440000.0,0.83%
08/12/2020,13.15,13.2,13.33,13.04,3600000.0,-1.42%
09/12/2020,13.2,13.3,13.34,13.03,3360000.0,0.38%
10/12/2020,13.2,13.07,13.25,13.01,2410000.0,0.00%
11/12/2020,13.02,13.06,13.17,12.95,2620000.0,-1.36%
14/12/2020,13.01,13.3,13.31,12.96,3460000.0,-0.08%
15/12/2020,13.15,13.17,13.22,12.96,3210000.0,1.08%
16/12/2020,13.03,13.18,13.22,12.94,3160000.0,-0.91%
17/12/2020,12.89,13.16,13.16,12.78,3960000.0,-1.07%
18/12/2020,12.76,12.92,13.01,12.65,8230000.0,-1.01%
21/12/2020,12.8,12.77,12.9,12.61,3690000.0,0.31%
22/12/2020,12.56,12.88,12.92,12.56,2740000.0,-1.87%
23/12/2020,12.93,12.66,12.96,12.64,2900000.0,2.95%
24/12/2020,12.89,12.94,12.97,12.68,1380000.0,-0.31%
28/12/2020,13.0,13.01,13.16,12.86,2670000.0,0.85%
29/12/2020,12.68,13.02,13.03,12.63,3190000.0,-2.46%
30/12/2020,12.95,12.74,12.96,12.68,2580000.0,2.13%
31/12/2020,12.93,12.94,12.98,12.75,2890000.0,-0.15%
04/01/2021,12.87,12.96,13.02,12.67,3850000.0,-0.46%
05/01/2021,12.88,12.91,13.03,12.75,3600000.0,0.08%
06/01/2021,14.0,13.3,14.18,13.26,6630000.0,8.70%
07/01/2021,14.16,14.21,14.49,14.15,5450000.0,1.14%
08/01/2021,14.04,14.11,14.15,13.79,5630000.0,-0.85%
11/01/2021,14.13,13.83,14.2,13.74,3500000.0,0.64%
12/01/2021,14.45,14.26,14.69,14.22,3780000.0,2.26%
13/01/2021,14.3,14.45,14.45,14.09,3530000.0,-1.04%
14/01/2021,14.7,14.35,14.72,14.35,3530000.0,2.80%
15/01/2021,14.42,14.46,14.53,14.2,5700000.0,-1.90%
19/01/2021,14.63,14.49,14.66,14.31,5660000.0,1.46%
20/01/2021,14.45,14.61,14.62,14.33,4030000.000000001,-1.23%
21/01/2021,14.15,14.55,14.55,14.11,4990000.0,-2.08%
22/01/2021,14.04,14.22,14.39,13.8,6160000.0,-0.78%
