Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,34.19,34.19,32.26,33.09,648300,0.0,0.0
01/05/2020,32.22,33.02,31.6,32.25,465300,0.0,0.0
04/05/2020,32.3,32.3,30.29,31.35,679800,0.0,0.0
05/05/2020,32.03,34.48,31.7,33.4,944000,0.0,0.0
06/05/2020,33.76,34.09,31.63,31.66,688600,0.0,0.0
07/05/2020,32.03,32.42,31.07,31.4,460300,0.0,0.0
08/05/2020,31.69,32.03,30.8,30.95,695400,0.0,0.0
11/05/2020,30.73,31.36,30.14,30.56,902300,0.0,0.0
12/05/2020,30.64,31.07,28.56,28.72,735700,0.0,0.0
13/05/2020,28.76,29.06,26.72,27.36,920900,0.0,0.0
14/05/2020,27.3,27.37,25.37,26.87,787300,0.28,0.0
15/05/2020,26.7,28.56,26.56,28.37,859800,0.0,0.0
18/05/2020,29.32,30.32,28.67,30.13,933400,0.0,0.0
19/05/2020,30.26,30.72,27.34,27.38,774300,0.0,0.0
20/05/2020,27.81,28.64,27.11,28.41,412900,0.0,0.0
21/05/2020,28.42,29.43,28.08,29.31,442000,0.0,0.0
22/05/2020,29.59,30.13,29.24,29.86,402500,0.0,0.0
26/05/2020,30.33,31.37,29.99,30.15,613900,0.0,0.0
27/05/2020,30.05,31.82,29.7,31.8,707800,0.0,0.0
28/05/2020,31.86,32.01,29.82,30.02,462300,0.0,0.0
29/05/2020,29.95,30.59,29.27,30.45,499300,0.0,0.0
01/06/2020,30.53,32.27,30.28,31.37,510100,0.0,0.0
02/06/2020,31.34,31.42,30.52,31.01,474700,0.0,0.0
03/06/2020,31.42,31.48,30.03,30.07,471600,0.0,0.0
04/06/2020,29.99,30.29,28.51,29.47,745800,0.0,0.0
05/06/2020,29.77,30.06,28.89,29.62,437200,0.0,0.0
08/06/2020,29.65,29.91,28.11,29.5,1268900,0.0,0.0
09/06/2020,29.64,32.14,29.37,31.54,859200,0.0,0.0
10/06/2020,31.93,32.12,30.81,31.26,494700,0.0,0.0
11/06/2020,30.67,30.88,27.5,27.91,943500,0.0,0.0
12/06/2020,29.11,29.91,28.15,28.56,582000,0.0,0.0
15/06/2020,28.2,29.96,27.8,29.81,454300,0.0,0.0
16/06/2020,30.94,31.21,29.75,30.24,316600,0.0,0.0
17/06/2020,30.28,31.13,30.23,30.62,387800,0.0,0.0
18/06/2020,30.74,31.11,29.77,29.98,349900,0.0,0.0
19/06/2020,30.26,30.29,28.51,29.51,1154000,0.0,0.0
22/06/2020,29.48,31.51,29.17,31.24,750700,0.0,0.0
23/06/2020,31.97,32.61,30.52,30.93,730200,0.0,0.0
24/06/2020,30.58,30.99,30.01,30.68,367800,0.0,0.0
25/06/2020,30.83,31.34,29.61,30.86,545800,0.0,0.0
26/06/2020,30.61,31.05,29.84,30.68,1002300,0.0,0.0
29/06/2020,30.86,30.86,27.82,28.05,740400,0.0,0.0
30/06/2020,28.17,30.13,27.87,30.06,924000,0.0,0.0
01/07/2020,30.11,30.32,28.66,29.37,496200,0.0,0.0
02/07/2020,29.76,30.49,29.21,30.06,269100,0.0,0.0
06/07/2020,30.39,31.96,30.29,30.94,648800,0.0,0.0
07/07/2020,30.76,31.46,30.14,31.31,467400,0.0,0.0
08/07/2020,31.61,33.52,31.31,33.17,930100,0.0,0.0
09/07/2020,33.5,33.72,31.78,32.81,467300,0.0,0.0
10/07/2020,33.11,33.11,31.73,32.04,425100,0.0,0.0
13/07/2020,31.96,32.89,29.72,30.21,945900,0.0,0.0
14/07/2020,30.19,31.5,29.54,31.35,426400,0.0,0.0
15/07/2020,31.64,33.45,31.2,33.15,674000,0.0,0.0
16/07/2020,32.78,35.5,32.58,35.28,994000,0.0,0.0
17/07/2020,35.7,36.17,33.35,34.18,1315800,0.0,0.0
20/07/2020,33.32,33.61,27.87,28.14,4305300,0.0,0.0
21/07/2020,28.74,28.96,27.29,28.7,2640900,0.0,0.0
22/07/2020,28.46,28.62,27.22,27.54,1378700,0.0,0.0
23/07/2020,27.53,27.53,25.94,26.56,1487800,0.0,0.0
24/07/2020,26.25,26.61,25.75,26.05,1193300,0.0,0.0
27/07/2020,26.21,26.33,25.39,26.27,1055000,0.0,0.0
28/07/2020,26.24,26.99,26.02,26.08,1022000,0.0,0.0
29/07/2020,26.36,26.66,25.83,26.3,880100,0.0,0.0
30/07/2020,26.37,26.51,25.95,26.38,704700,0.28,0.0
31/07/2020,26.45,26.71,25.98,26.55,652600,0.0,0.0
03/08/2020,26.54,27.31,26.24,27.12,815800,0.0,0.0
04/08/2020,27.11,27.11,25.72,26.15,792200,0.0,0.0
05/08/2020,26.48,27.11,26.25,26.93,897100,0.0,0.0
06/08/2020,26.93,27.06,26.37,26.91,664200,0.0,0.0
07/08/2020,27.02,27.57,26.68,27.13,684200,0.0,0.0
10/08/2020,27.19,27.79,26.86,27.57,537800,0.0,0.0
11/08/2020,27.33,27.72,26.77,27.47,757700,0.0,0.0
12/08/2020,27.49,27.51,26.88,27.34,508400,0.0,0.0
13/08/2020,27.23,27.96,27.02,27.63,436000,0.0,0.0
14/08/2020,27.74,27.95,27.3,27.69,397100,0.0,0.0
17/08/2020,27.79,28.3,27.54,28.06,475100,0.0,0.0
18/08/2020,28.18,28.29,27.68,27.73,385900,0.0,0.0
19/08/2020,28.34,29.77,28.16,28.49,1111800,0.0,0.0
20/08/2020,28.56,28.58,27.9,28.21,587200,0.0,0.0
21/08/2020,28.19,29.02,28.0,28.73,625300,0.0,0.0
24/08/2020,28.99,29.68,28.38,29.61,612700,0.0,0.0
25/08/2020,29.56,30.46,29.11,30.25,544000,0.0,0.0
26/08/2020,30.33,31.48,30.25,31.45,445000,0.0,0.0
27/08/2020,31.4,31.5,30.73,31.05,378700,0.0,0.0
28/08/2020,31.0,31.38,29.21,29.49,623400,0.0,0.0
31/08/2020,30.03,30.13,29.05,29.58,641300,0.0,0.0
01/09/2020,29.65,29.77,28.7,29.1,565600,0.0,0.0
02/09/2020,29.15,29.54,28.44,29.02,553500,0.0,0.0
03/09/2020,28.63,28.64,26.41,26.49,775900,0.0,0.0
04/09/2020,26.38,26.53,24.48,25.91,831600,0.0,0.0
08/09/2020,25.53,26.08,24.63,24.68,581100,0.0,0.0
09/09/2020,24.85,25.85,24.81,25.68,533900,0.0,0.0
10/09/2020,25.89,26.29,24.81,24.98,523500,0.0,0.0
11/09/2020,25.24,25.4,24.64,24.69,532000,0.0,0.0
14/09/2020,25.12,25.12,24.56,24.79,522700,0.0,0.0
15/09/2020,25.05,25.37,24.7,24.82,404000,0.0,0.0
16/09/2020,24.86,25.67,24.68,25.29,311100,0.0,0.0
17/09/2020,24.8,26.02,24.8,25.84,375700,0.0,0.0
18/09/2020,25.97,26.34,25.62,26.06,579800,0.0,0.0
21/09/2020,25.87,26.48,25.56,26.07,751300,0.0,0.0
22/09/2020,26.41,27.73,26.13,27.64,605400,0.0,0.0
23/09/2020,27.49,27.79,26.47,26.61,570000,0.0,0.0
24/09/2020,26.28,26.55,25.41,25.67,470900,0.0,0.0
25/09/2020,25.7,26.48,25.24,26.33,349900,0.0,0.0
28/09/2020,26.73,27.13,26.17,26.95,339200,0.0,0.0
29/09/2020,26.88,27.43,26.5,26.71,303400,0.0,0.0
30/09/2020,26.84,27.41,26.66,26.91,313800,0.0,0.0
01/10/2020,26.97,27.11,25.85,25.97,488700,0.0,0.0
02/10/2020,25.51,26.02,25.12,25.86,665500,0.0,0.0
05/10/2020,26.13,26.92,25.8,26.86,465200,0.0,0.0
06/10/2020,26.52,27.45,26.42,26.54,390900,0.0,0.0
07/10/2020,26.8,27.39,26.48,27.05,337300,0.0,0.0
08/10/2020,27.25,27.85,27.1,27.84,519500,0.0,0.0
09/10/2020,28.08,28.73,27.16,27.28,635700,0.0,0.0
12/10/2020,27.54,28.29,27.16,27.92,401100,0.0,0.0
13/10/2020,27.85,27.85,27.09,27.28,424700,0.0,0.0
14/10/2020,27.54,27.63,26.83,26.9,349400,0.0,0.0
15/10/2020,26.65,27.78,26.54,27.49,295300,0.0,0.0
16/10/2020,27.46,27.82,26.88,27.02,232200,0.0,0.0
19/10/2020,27.38,27.59,25.53,25.76,496300,0.0,0.0
20/10/2020,25.82,26.93,25.79,26.49,532800,0.0,0.0
21/10/2020,26.6,26.66,25.49,25.51,480600,0.0,0.0
22/10/2020,25.53,25.96,25.2,25.52,432000,0.0,0.0
23/10/2020,25.74,26.26,25.29,26.09,574400,0.0,0.0
26/10/2020,25.53,25.62,23.55,24.88,1233000,0.0,0.0
27/10/2020,24.91,25.66,24.89,25.52,824100,0.0,0.0
28/10/2020,25.11,26.19,24.89,25.77,592600,0.0,0.0
29/10/2020,25.81,26.09,25.23,26.06,433300,0.0,0.0
30/10/2020,25.68,26.14,24.92,25.17,812100,0.0,0.0
02/11/2020,25.53,25.64,24.71,25.25,603500,0.0,0.0
03/11/2020,25.39,26.27,25.02,26.05,510200,0.0,0.0
04/11/2020,26.07,26.65,25.78,25.95,259200,0.0,0.0
05/11/2020,26.25,26.43,25.64,26.15,345500,0.0,0.0
06/11/2020,26.3,26.3,25.61,25.67,348100,0.28,0.0
09/11/2020,25.81,26.13,24.99,25.89,618900,0.0,0.0
10/11/2020,25.91,25.96,24.74,25.53,486900,0.0,0.0
11/11/2020,25.68,27.47,25.65,27.35,923200,0.0,0.0
12/11/2020,26.96,27.53,25.2,25.58,621600,0.0,0.0
13/11/2020,25.76,25.89,25.33,25.72,304300,0.0,0.0
16/11/2020,26.14,26.51,25.59,25.77,381500,0.0,0.0
