Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,157.49,158.22,153.36,157.59,1572900,0.0,0.0
01/05/2020,153.22,158.66,149.56,156.66,1570100,0.0,0.0
04/05/2020,156.58,156.58,151.81,153.88,979800,0.0,0.0
05/05/2020,154.6,155.89,152.06,152.48,1227200,0.0,0.0
06/05/2020,152.79,153.82,149.39,149.63,720600,0.0,0.0
07/05/2020,151.26,156.54,150.58,155.94,1256500,0.0,0.0
08/05/2020,157.85,162.86,157.15,161.74,1126700,0.0,0.0
11/05/2020,160.45,161.7,158.32,158.84,700500,0.0,0.0
12/05/2020,158.85,159.62,148.55,151.66,1333900,0.0,0.0
13/05/2020,151.15,152.94,149.68,150.07,1081500,0.0,0.0
14/05/2020,148.71,152.11,146.25,152.11,1023400,0.0,0.0
15/05/2020,150.19,150.3,147.14,149.53,1404400,0.0,0.0
18/05/2020,152.95,157.59,152.68,155.81,1083400,0.0,0.0
19/05/2020,154.81,156.75,154.25,156.0,725100,0.0,0.0
20/05/2020,157.01,157.55,154.09,156.29,949500,0.0,0.0
21/05/2020,155.62,156.63,154.45,155.31,561000,0.0,0.0
22/05/2020,156.37,158.53,155.51,158.45,622000,0.0,0.0
26/05/2020,161.73,164.18,160.48,163.56,1100600,0.0,0.0
27/05/2020,164.22,168.02,164.22,167.38,885600,0.0,0.0
28/05/2020,168.71,171.06,167.4,170.96,756900,0.0,0.0
29/05/2020,170.01,173.46,168.38,172.28,1202900,0.0,0.0
01/06/2020,171.86,175.25,170.53,174.0,1236800,0.0,0.0
02/06/2020,176.16,177.66,173.01,176.53,1193400,0.0,0.0
03/06/2020,177.31,181.52,176.32,176.72,1189600,0.0,0.0
04/06/2020,175.8,176.32,169.04,170.49,901200,0.0,0.0
05/06/2020,175.04,176.46,172.87,175.36,1135400,0.0,0.0
08/06/2020,175.54,179.25,174.28,175.63,1161500,0.0,0.0
09/06/2020,173.92,179.88,171.75,179.61,901700,0.0,0.0
10/06/2020,178.75,179.93,174.53,174.6,879000,0.0,0.0
11/06/2020,170.84,172.15,165.35,166.49,1306500,0.0,0.0
12/06/2020,170.26,170.85,164.48,168.67,916900,2.0,0.0
15/06/2020,165.33,172.07,164.48,171.01,1108300,0.0,0.0
16/06/2020,175.58,176.21,169.46,170.72,875600,0.0,0.0
17/06/2020,171.11,171.94,169.07,169.78,698600,0.0,0.0
18/06/2020,168.61,169.2,165.48,168.5,766900,0.0,0.0
19/06/2020,170.68,170.68,163.51,163.63,3654200,0.0,0.0
22/06/2020,163.98,164.94,160.63,163.35,976700,0.0,0.0
23/06/2020,164.64,165.25,161.45,161.61,630900,0.0,0.0
24/06/2020,160.54,163.91,159.99,162.65,1174000,0.0,0.0
25/06/2020,162.45,164.1,160.48,164.0,827700,0.0,0.0
26/06/2020,163.68,165.94,161.94,162.5,1370100,0.0,0.0
29/06/2020,163.77,164.6,162.37,164.06,772300,0.0,0.0
30/06/2020,164.23,166.21,162.34,164.74,1064900,0.0,0.0
01/07/2020,164.55,171.81,164.17,170.98,678500,0.0,0.0
02/07/2020,172.57,173.45,169.58,171.15,895900,0.0,0.0
06/07/2020,173.63,174.79,168.0,168.72,871800,0.0,0.0
07/07/2020,167.13,168.38,166.62,166.95,635000,0.0,0.0
08/07/2020,166.73,167.47,165.72,166.0,869400,0.0,0.0
09/07/2020,165.48,168.54,164.88,167.73,555800,0.0,0.0
10/07/2020,167.75,169.03,166.53,166.92,630400,0.0,0.0
13/07/2020,167.14,167.7,165.35,165.6,525800,0.0,0.0
14/07/2020,165.75,169.06,165.65,166.42,588700,0.0,0.0
15/07/2020,167.95,167.95,164.11,165.52,982400,0.0,0.0
16/07/2020,165.17,167.19,161.64,161.73,621300,0.0,0.0
17/07/2020,162.0,165.68,160.84,165.09,837900,0.0,0.0
20/07/2020,165.09,165.28,161.2,161.22,479500,0.0,0.0
21/07/2020,162.41,162.67,160.29,160.41,581400,0.0,0.0
22/07/2020,159.21,162.43,158.14,161.67,698900,0.0,0.0
23/07/2020,162.17,163.12,159.19,160.56,534200,0.0,0.0
24/07/2020,161.14,161.61,158.88,159.13,518700,0.0,0.0
27/07/2020,159.05,160.29,157.3,159.32,472500,0.0,0.0
28/07/2020,159.65,166.48,159.65,166.44,800500,0.0,0.0
29/07/2020,166.7,169.88,165.41,168.99,806500,0.0,0.0
30/07/2020,167.17,170.26,166.34,169.74,1001800,0.0,0.0
31/07/2020,169.15,171.7,166.17,171.6,1761600,0.0,0.0
03/08/2020,170.71,170.85,167.83,168.13,658400,0.0,0.0
04/08/2020,168.75,173.42,168.31,172.89,1018900,0.0,0.0
05/08/2020,173.23,173.4,168.18,169.1,905500,0.0,0.0
06/08/2020,165.68,168.66,159.88,168.34,1593700,0.0,0.0
07/08/2020,167.08,173.3,167.08,171.06,966500,0.0,0.0
10/08/2020,171.79,174.97,171.41,173.84,645100,0.0,0.0
11/08/2020,175.29,175.53,169.66,170.84,653500,0.0,0.0
12/08/2020,171.3,171.78,167.63,170.31,509700,0.0,0.0
13/08/2020,169.51,171.51,168.62,169.39,554500,0.0,0.0
14/08/2020,169.61,174.18,169.61,171.91,642000,0.0,0.0
17/08/2020,170.91,171.84,169.51,171.72,816600,0.0,0.0
