Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,73.47,74.02,70.74,72.01,17113500,0.0,0.0
01/05/2020,70.34,71.02,68.36,69.24,9742100,0.0,0.0
04/05/2020,68.8,69.51,67.82,69.27,7202400,0.0,0.0
05/05/2020,70.25,72.14,70.08,71.06,7540800,0.0,0.0
06/05/2020,72.14,73.36,71.87,72.19,8179700,0.0,0.0
07/05/2020,72.95,73.38,71.63,72.16,7291800,0.0,0.0
08/05/2020,72.95,74.22,72.64,73.74,7887200,0.0,0.0
11/05/2020,73.49,74.39,72.81,73.67,6604600,0.0,0.0
12/05/2020,74.41,74.87,71.76,71.78,7318100,0.0,0.0
13/05/2020,72.18,72.78,70.25,71.4,9584800,0.0,0.0
14/05/2020,70.94,73.23,70.0,73.11,9956800,0.0,0.0
15/05/2020,68.35,71.12,68.07,69.36,29597800,0.0,0.0
18/05/2020,70.73,73.39,70.67,73.17,13191000,0.0,0.0
19/05/2020,73.0,73.36,71.4,71.48,8118400,0.0,0.0
20/05/2020,73.19,75.02,72.94,73.8,11379200,0.0,0.0
21/05/2020,72.74,73.31,71.28,71.4,8141500,0.0,0.0
22/05/2020,71.63,72.09,70.75,72.04,5530400,0.0,0.0
26/05/2020,73.4,73.75,71.2,71.41,10067300,0.0,0.0
27/05/2020,71.64,72.6,69.71,72.58,9125900,0.0,0.0
28/05/2020,73.45,74.58,71.15,71.5,11161700,0.0,0.0
29/05/2020,72.04,74.33,71.31,74.03,10558700,0.0,0.0
01/06/2020,73.13,73.67,72.53,72.98,6474800,0.0,0.0
02/06/2020,73.16,77.69,73.14,77.47,13255300,0.0,0.0
03/06/2020,78.36,79.28,77.13,77.59,13029300,0.65,0.0
04/06/2020,77.44,79.97,77.44,79.37,12109000,0.0,0.0
05/06/2020,81.17,82.54,81.01,81.68,11882100,0.0,0.0
08/06/2020,82.1,84.4,81.49,84.28,9748300,0.0,0.0
09/06/2020,83.23,83.38,82.15,82.79,7327700,0.0,0.0
10/06/2020,83.25,84.99,83.05,83.95,9079700,0.0,0.0
11/06/2020,81.75,82.15,77.4,77.5,15241700,0.0,0.0
12/06/2020,79.56,80.38,77.05,78.63,10113200,0.0,0.0
15/06/2020,77.18,79.85,76.65,79.69,9852600,0.0,0.0
16/06/2020,82.93,83.42,80.95,82.58,12639800,0.0,0.0
17/06/2020,83.65,84.02,82.37,82.96,7620300,0.0,0.0
18/06/2020,82.88,83.47,82.12,82.94,5709500,0.0,0.0
19/06/2020,82.9,83.25,80.75,81.92,23213800,0.0,0.0
22/06/2020,81.84,82.5,80.81,82.22,8028000,0.0,0.0
23/06/2020,83.15,83.58,82.2,82.42,7778700,0.0,0.0
24/06/2020,82.25,82.86,80.64,82.22,8208800,0.0,0.0
25/06/2020,81.82,82.52,80.55,82.06,7062600,0.0,0.0
26/06/2020,82.16,82.77,80.75,81.19,9126500,0.0,0.0
29/06/2020,81.37,82.23,79.96,82.11,5870400,0.0,0.0
30/06/2020,82.28,84.8,82.1,84.13,9378500,0.0,0.0
01/07/2020,83.95,84.22,82.63,82.82,6990600,0.0,0.0
02/07/2020,84.02,85.32,83.76,84.74,8317300,0.0,0.0
06/07/2020,85.98,86.48,84.96,85.71,6933100,0.0,0.0
07/07/2020,85.76,86.29,84.78,84.99,6722400,0.0,0.0
08/07/2020,86.03,86.34,85.18,86.27,6692700,0.0,0.0
09/07/2020,86.66,86.66,84.35,86.02,6287700,0.0,0.0
10/07/2020,85.79,86.27,84.46,85.33,5687600,0.0,0.0
13/07/2020,86.06,86.83,84.13,84.25,7606400,0.0,0.0
14/07/2020,83.81,85.44,82.28,85.21,6571000,0.0,0.0
15/07/2020,85.72,85.72,83.95,85.37,6154100,0.0,0.0
16/07/2020,84.18,84.63,83.65,84.13,6178700,0.0,0.0
17/07/2020,84.57,85.29,83.94,85.08,5985700,0.0,0.0
20/07/2020,85.04,86.03,84.22,85.94,5407500,0.0,0.0
21/07/2020,86.29,86.57,84.69,85.15,7098600,0.0,0.0
22/07/2020,85.55,86.05,84.56,85.42,4366400,0.0,0.0
23/07/2020,85.7,85.76,82.31,82.71,9438500,0.0,0.0
24/07/2020,82.29,83.29,80.72,81.99,9520000,0.0,0.0
