Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,1.23,1.24,1.15,1.21,1669700,0.0,0.0
01/05/2020,1.18,1.2,1.07,1.07,2123000,0.0,0.0
04/05/2020,1.1,1.13,1.03,1.12,1039300,0.0,0.0
05/05/2020,1.15,1.18,1.1,1.15,2111400,0.0,0.0
06/05/2020,1.21,1.28,1.17,1.27,4860800,0.0,0.0
07/05/2020,1.35,1.59,1.27,1.54,10412300,0.0,0.0
08/05/2020,1.75,2.13,1.56,1.85,20009100,0.0,0.0
11/05/2020,1.8,1.87,1.5,1.59,9081900,0.0,0.0
12/05/2020,1.61,1.74,1.52,1.6,4215700,0.0,0.0
13/05/2020,1.64,1.91,1.6,1.89,8303700,0.0,0.0
14/05/2020,2.1,2.58,1.92,2.28,21548400,0.0,0.0
15/05/2020,2.27,2.34,2.01,2.08,6998700,0.0,0.0
18/05/2020,2.18,2.31,2.06,2.19,5523100,0.0,0.0
19/05/2020,2.2,2.41,2.15,2.23,5389200,0.0,0.0
20/05/2020,2.45,2.75,2.37,2.53,12852500,0.0,0.0
21/05/2020,2.43,2.52,2.15,2.33,6331400,0.0,0.0
22/05/2020,2.37,2.38,2.2,2.24,3030100,0.0,0.0
26/05/2020,2.17,2.17,1.93,1.95,5653900,0.0,0.0
27/05/2020,2.13,2.21,1.99,2.12,4581900,0.0,0.0
28/05/2020,2.22,2.35,2.18,2.21,4949300,0.0,0.0
29/05/2020,2.2,2.21,2.06,2.14,2455600,0.0,0.0
01/06/2020,2.14,2.32,2.14,2.27,4076800,0.0,0.0
02/06/2020,2.62,2.98,2.34,2.51,16278000,0.0,0.0
03/06/2020,2.6,2.65,2.32,2.41,5059300,0.0,0.0
04/06/2020,2.54,2.74,2.41,2.63,6913300,0.0,0.0
05/06/2020,2.57,2.68,2.42,2.6,4229500,0.0,0.0
08/06/2020,2.58,2.66,2.48,2.57,3545800,0.0,0.0
09/06/2020,2.55,2.65,2.43,2.62,3665000,0.0,0.0
10/06/2020,2.68,3.31,2.57,3.1,18090900,0.0,0.0
11/06/2020,2.68,2.82,2.16,2.18,11006000,0.0,0.0
12/06/2020,2.45,2.46,2.14,2.29,4853900,0.0,0.0
15/06/2020,2.1,2.38,2.05,2.31,4674200,0.0,0.0
16/06/2020,2.46,2.48,2.28,2.35,2646800,0.0,0.0
17/06/2020,2.35,2.35,2.21,2.27,1699400,0.0,0.0
18/06/2020,2.27,2.28,2.19,2.19,1934300,0.0,0.0
19/06/2020,2.25,2.32,2.11,2.11,3511000,0.0,0.0
22/06/2020,2.23,2.7,2.14,2.51,10076100,0.0,0.0
23/06/2020,2.57,2.84,2.41,2.6,7705100,0.0,0.0
24/06/2020,2.5,2.52,2.24,2.37,5062600,0.0,0.0
25/06/2020,2.22,2.38,2.22,2.33,1906300,0.0,0.0
26/06/2020,2.28,2.3,2.15,2.2,2817900,0.0,0.0
29/06/2020,2.16,2.18,2.04,2.14,2961000,0.0,0.0
30/06/2020,2.1,2.36,2.08,2.22,3369000,0.0,0.0
01/07/2020,2.21,2.41,2.21,2.34,3538300,0.0,0.0
02/07/2020,2.38,2.38,2.19,2.29,3108700,0.0,0.0
06/07/2020,2.35,2.49,2.31,2.38,4540800,0.0,0.0
07/07/2020,2.38,2.38,2.23,2.29,2244000,0.0,0.0
08/07/2020,2.33,2.58,2.31,2.54,9039500,0.0,0.0
09/07/2020,2.59,2.6,2.26,2.36,5068600,0.0,0.0
10/07/2020,2.3,2.39,2.25,2.33,1765900,0.0,0.0
13/07/2020,2.34,2.38,2.16,2.18,3641200,0.0,0.0
14/07/2020,2.15,2.25,2.09,2.25,1919500,0.0,0.0
15/07/2020,2.27,2.28,2.18,2.26,1526600,0.0,0.0
16/07/2020,2.2,2.23,2.16,2.22,1761600,0.0,0.0
17/07/2020,2.25,2.26,2.18,2.23,1595100,0.0,0.0
20/07/2020,2.22,2.27,2.15,2.26,2079900,0.0,0.0
21/07/2020,2.35,2.37,2.25,2.3,3792900,0.0,0.0
22/07/2020,2.3,2.37,2.24,2.34,5382500,0.0,0.0
23/07/2020,2.4,2.45,2.23,2.29,7573500,0.0,0.0
24/07/2020,2.25,2.29,2.06,2.22,8569200,0.0,0.0
27/07/2020,2.62,3.08,2.47,2.64,52558900,0.0,0.0
28/07/2020,2.87,3.2,2.66,2.77,43346200,0.0,0.0
29/07/2020,2.88,2.91,2.7,2.75,15147400,0.0,0.0
30/07/2020,2.56,2.66,2.36,2.55,10283700,0.0,0.0
31/07/2020,2.6,2.8,2.43,2.64,14306300,0.0,0.0
03/08/2020,2.9,4.0,2.75,3.5,58695600,0.0,0.0
04/08/2020,3.2,3.67,3.03,3.4,14269800,0.0,0.0
05/08/2020,4.07,4.45,3.83,4.01,39590900,0.0,0.0
06/08/2020,4.37,4.58,4.02,4.25,27231000,0.0,0.0
07/08/2020,4.12,4.15,3.51,3.77,14748700,0.0,0.0
10/08/2020,4.26,4.28,4.0,4.13,12386000,0.0,0.0
11/08/2020,3.78,4.04,3.54,3.62,10213600,0.0,0.0
12/08/2020,3.75,3.83,3.5,3.54,5661500,0.0,0.0
13/08/2020,3.42,3.75,3.05,3.61,11009400,0.0,0.0
14/08/2020,3.67,3.84,3.39,3.78,10691500,0.0,0.0
17/08/2020,3.95,4.41,3.77,4.15,21029500,0.0,0.0
18/08/2020,4.0,4.2,3.91,4.04,9456000,0.0,0.0
19/08/2020,3.87,4.06,3.63,3.69,8062900,0.0,0.0
20/08/2020,3.73,4.05,3.71,3.99,7506700,0.0,0.0
21/08/2020,3.82,3.94,3.67,3.72,5926100,0.0,0.0
24/08/2020,3.78,3.79,3.52,3.63,4019400,0.0,0.0
25/08/2020,3.41,3.6,3.18,3.58,7397600,0.0,0.0
26/08/2020,3.4,3.56,3.35,3.41,3852000,0.0,0.0
27/08/2020,3.46,3.5,3.15,3.27,4789700,0.0,0.0
28/08/2020,3.23,3.65,3.21,3.59,8606100,0.0,0.0
31/08/2020,3.66,3.7,3.35,3.5,4588200,0.0,0.0
01/09/2020,3.52,3.88,3.42,3.75,8451200,0.0,0.0
02/09/2020,3.51,3.52,3.3,3.43,5030500,0.0,0.0
03/09/2020,3.1,3.29,3.06,3.16,5900100,0.0,0.0
04/09/2020,3.08,3.2,2.54,3.11,8056200,0.0,0.0
08/09/2020,2.84,3.02,2.63,2.82,4434900,0.0,0.0
09/09/2020,2.88,3.09,2.88,2.95,3976600,0.0,0.0
10/09/2020,3.01,3.2,2.78,2.81,4480900,0.0,0.0
11/09/2020,2.87,2.97,2.75,2.91,2951000,0.0,0.0
14/09/2020,3.07,3.12,2.87,3.02,4284400,0.0,0.0
15/09/2020,3.11,3.13,2.95,3.0,2856100,0.0,0.0
16/09/2020,3.02,3.28,2.96,3.05,6377500,0.0,0.0
17/09/2020,2.92,3.06,2.9,3.0,2852400,0.0,0.0
18/09/2020,3.03,3.06,2.88,3.05,3944300,0.0,0.0
21/09/2020,2.85,3.03,2.75,2.93,3625500,0.0,0.0
22/09/2020,2.95,2.96,2.84,2.93,2511300,0.0,0.0
23/09/2020,2.9,2.92,2.6,2.6,4315400,0.0,0.0
24/09/2020,2.55,2.77,2.35,2.69,4218800,0.0,0.0
25/09/2020,2.66,2.78,2.6,2.68,3685800,0.0,0.0
28/09/2020,2.79,2.81,2.66,2.74,3243400,0.0,0.0
29/09/2020,2.7,2.78,2.66,2.76,1996600,0.0,0.0
30/09/2020,2.73,2.76,2.63,2.7,1901500,0.0,0.0
01/10/2020,2.71,2.74,2.62,2.65,1740100,0.0,0.0
02/10/2020,2.53,2.61,2.5,2.6,2138300,0.0,0.0
05/10/2020,2.63,2.68,2.57,2.66,2047500,0.0,0.0
06/10/2020,2.66,2.67,2.53,2.57,2444300,0.0,0.0
07/10/2020,2.57,2.66,2.55,2.66,2148100,0.0,0.0
08/10/2020,2.77,3.09,2.72,2.93,9775100,0.0,0.0
09/10/2020,3.15,3.15,2.96,3.1,6531000,0.0,0.0
12/10/2020,3.22,3.65,3.16,3.5,12692100,0.0,0.0
13/10/2020,3.47,3.47,3.22,3.37,5209300,0.0,0.0
14/10/2020,3.33,3.49,3.21,3.28,4012900,0.0,0.0
15/10/2020,3.18,3.47,3.08,3.4,3605700,0.0,0.0
16/10/2020,3.37,3.37,3.11,3.11,4208700,0.0,0.0
19/10/2020,3.32,3.55,3.25,3.3,8909400,0.0,0.0
20/10/2020,3.45,3.77,3.41,3.54,13717600,0.0,0.0
21/10/2020,3.93,4.14,3.76,3.98,18072900,0.0,0.0
22/10/2020,4.18,4.26,3.83,4.05,15856100,0.0,0.0
23/10/2020,3.97,4.01,3.68,3.91,7305400,0.0,0.0
