Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,4.51,4.54,4.17,4.26,11582900,0.0,0.0
01/05/2020,4.12,4.24,3.93,4.09,9148200,0.0,0.0
04/05/2020,3.89,4.24,3.81,4.24,12586300,0.0,0.0
05/05/2020,4.79,4.97,4.51,4.56,23667600,0.0,0.0
06/05/2020,4.54,4.75,4.24,4.27,11647000,0.0,0.0
07/05/2020,4.35,4.58,4.28,4.38,9552500,0.0,0.0
08/05/2020,4.46,4.64,4.41,4.61,8112500,0.0,0.0
11/05/2020,4.5,4.52,4.38,4.41,8181000,0.0,0.0
12/05/2020,4.46,4.51,4.21,4.27,9112400,0.0,0.0
13/05/2020,4.19,4.22,3.81,3.96,14271100,0.0,0.0
14/05/2020,3.84,4.27,3.71,4.26,10204400,0.0,0.0
15/05/2020,4.16,4.33,4.1,4.13,9701900,0.0,0.0
18/05/2020,4.35,4.42,4.14,4.27,12855200,0.0,0.0
19/05/2020,4.26,4.4,4.04,4.29,11023000,0.0,0.0
20/05/2020,4.45,4.77,4.41,4.67,12596300,0.0,0.0
21/05/2020,4.68,5.0,4.63,4.87,16200800,0.0,0.0
22/05/2020,4.89,4.92,4.68,4.89,6926900,0.0,0.0
26/05/2020,5.08,5.26,5.0,5.15,8502300,0.0,0.0
27/05/2020,5.36,5.47,5.04,5.33,9973600,0.0,0.0
28/05/2020,5.38,5.62,5.21,5.27,9372000,0.0,0.0
29/05/2020,5.14,5.25,4.98,5.01,10263600,0.0,0.0
01/06/2020,4.95,5.32,4.9,5.24,7373000,0.0,0.0
02/06/2020,5.31,5.4,5.11,5.19,6860800,0.0,0.0
03/06/2020,5.31,5.67,5.3,5.51,9595500,0.0,0.0
04/06/2020,5.51,5.88,5.42,5.77,10127300,0.0,0.0
05/06/2020,6.33,6.59,5.85,5.9,12128200,0.0,0.0
08/06/2020,6.26,6.33,6.02,6.22,17659700,0.0,0.0
09/06/2020,6.0,6.36,5.84,5.98,9251000,0.0,0.0
10/06/2020,6.05,6.05,5.54,5.54,11593500,0.0,0.0
11/06/2020,5.07,5.36,4.82,5.08,11157300,0.0,0.0
12/06/2020,5.44,5.47,5.09,5.39,6831000,0.0,0.0
15/06/2020,5.1,5.61,4.97,5.52,9711100,0.0,0.0
16/06/2020,5.94,5.94,5.4,5.57,7245200,0.0,0.0
17/06/2020,5.57,5.59,5.34,5.39,5451400,0.0,0.0
18/06/2020,5.31,5.53,5.25,5.33,4333000,0.0,0.0
19/06/2020,5.37,5.58,5.2,5.21,12761400,0.0,0.0
22/06/2020,5.18,5.24,5.1,5.18,5445200,0.0,0.0
23/06/2020,5.45,5.62,5.35,5.61,8322200,0.0,0.0
24/06/2020,5.49,5.52,4.98,5.16,8238500,0.0,0.0
25/06/2020,5.03,5.28,4.99,5.25,5465600,0.0,0.0
26/06/2020,5.2,5.24,4.95,4.99,6461900,0.0,0.0
29/06/2020,4.96,5.2,4.78,5.18,4777100,0.0,0.0
30/06/2020,5.16,5.24,5.08,5.19,4350800,0.0,0.0
01/07/2020,5.17,5.34,5.07,5.13,4868000,0.1,0.0
02/07/2020,5.22,5.22,4.89,4.89,6839400,0.0,0.0
06/07/2020,4.96,5.15,4.9,5.1,10921900,0.0,0.0
07/07/2020,5.07,5.07,4.81,4.82,5629200,0.0,0.0
08/07/2020,4.83,4.96,4.75,4.84,6085100,0.0,0.0
09/07/2020,4.83,4.85,4.52,4.6,6730200,0.0,0.0
10/07/2020,4.59,4.85,4.53,4.83,5697900,0.0,0.0
13/07/2020,4.85,4.95,4.74,4.75,5252800,0.0,0.0
14/07/2020,4.71,4.83,4.62,4.78,2991200,0.0,0.0
15/07/2020,4.92,5.21,4.91,5.17,7269300,0.0,0.0
16/07/2020,5.16,5.44,5.13,5.35,7222700,0.0,0.0
17/07/2020,5.36,5.55,5.33,5.46,6065800,0.0,0.0
20/07/2020,5.43,5.5,5.32,5.36,5245400,0.0,0.0
21/07/2020,5.36,5.65,5.33,5.59,6956900,0.0,0.0
22/07/2020,5.59,5.68,5.5,5.66,11336600,0.0,0.0
23/07/2020,5.63,5.8,5.48,5.53,6750300,0.0,0.0
24/07/2020,5.5,5.58,5.36,5.39,3711400,0.0,0.0
27/07/2020,5.44,5.55,5.39,5.51,3093400,0.0,0.0
28/07/2020,5.57,5.72,5.54,5.63,5554500,0.0,0.0
29/07/2020,5.68,5.79,5.65,5.78,4116300,0.0,0.0
30/07/2020,5.68,5.75,5.64,5.72,3872500,0.0,0.0
31/07/2020,5.74,5.78,5.49,5.62,4462800,0.0,0.0
03/08/2020,5.61,5.63,5.51,5.56,6414700,0.0,0.0
04/08/2020,5.56,5.57,5.48,5.52,3208100,0.0,0.0
05/08/2020,5.58,5.65,5.51,5.64,2906800,0.0,0.0
06/08/2020,5.61,5.78,5.56,5.66,4937600,0.0,0.0
07/08/2020,5.64,5.72,5.56,5.71,3614900,0.0,0.0
10/08/2020,5.73,6.02,5.72,5.95,5922700,0.0,0.0
11/08/2020,6.07,6.19,5.89,5.92,5924300,0.0,0.0
12/08/2020,6.02,6.03,5.71,5.79,4001000,0.0,0.0
13/08/2020,5.74,5.87,5.63,5.64,4497400,0.0,0.0
14/08/2020,5.63,5.84,5.61,5.79,2732100,0.0,0.0
17/08/2020,5.78,5.81,5.65,5.7,2325900,0.0,0.0
18/08/2020,5.7,5.77,5.55,5.6,3975500,0.0,0.0
19/08/2020,5.6,5.65,5.44,5.47,8021900,0.0,0.0
20/08/2020,5.46,5.67,5.39,5.57,5631200,0.0,0.0
21/08/2020,5.55,5.59,5.46,5.49,4550300,0.0,0.0
24/08/2020,5.51,5.7,5.43,5.68,5071600,0.0,0.0
25/08/2020,5.69,5.72,5.55,5.61,3639000,0.0,0.0
26/08/2020,5.62,5.67,5.48,5.48,3680600,0.0,0.0
27/08/2020,5.47,5.58,5.46,5.54,2899700,0.0,0.0
28/08/2020,5.56,5.61,5.51,5.6,2954000,0.0,0.0
31/08/2020,5.57,5.59,5.43,5.48,4102600,0.0,0.0
01/09/2020,5.41,5.53,5.37,5.42,2958900,0.0,0.0
02/09/2020,5.41,5.48,5.34,5.46,4379400,0.0,0.0
03/09/2020,5.48,5.56,5.29,5.35,6595500,0.0,0.0
04/09/2020,5.34,5.46,5.22,5.31,4459300,0.0,0.0
08/09/2020,5.28,5.39,5.24,5.29,3866700,0.0,0.0
09/09/2020,5.26,5.34,5.22,5.29,2682100,0.0,0.0
10/09/2020,5.28,5.39,5.19,5.19,3488700,0.0,0.0
11/09/2020,5.24,5.24,5.04,5.15,4287300,0.0,0.0
14/09/2020,5.17,5.65,5.17,5.64,6849100,0.0,0.0
15/09/2020,5.64,5.74,5.56,5.61,5201400,0.0,0.0
16/09/2020,5.63,5.8,5.56,5.75,4777900,0.0,0.0
17/09/2020,5.75,5.82,5.65,5.8,3935500,0.0,0.0
18/09/2020,5.78,5.79,5.67,5.75,6760300,0.0,0.0
21/09/2020,5.63,5.65,5.39,5.46,6038600,0.0,0.0
22/09/2020,5.48,5.55,5.41,5.45,2878900,0.0,0.0
23/09/2020,5.46,5.56,5.27,5.29,4289100,0.0,0.0
24/09/2020,5.47,5.48,5.26,5.38,5232300,0.0,0.0
25/09/2020,5.39,5.64,5.37,5.61,3775800,0.0,0.0
28/09/2020,5.69,5.86,5.68,5.8,4564700,0.0,0.0
29/09/2020,5.8,5.8,5.54,5.59,4211700,0.0,0.0
30/09/2020,5.61,5.75,5.57,5.63,3619800,0.0,0.0
01/10/2020,5.67,5.76,5.6,5.75,3825200,0.0,0.0
02/10/2020,5.62,5.91,5.6,5.91,5877800,0.15,0.0
05/10/2020,5.87,6.03,5.87,6.02,4145600,0.0,0.0
06/10/2020,6.03,6.16,5.89,5.91,8206300,0.0,0.0
07/10/2020,5.99,6.03,5.85,5.91,6302700,0.0,0.0
08/10/2020,5.96,6.11,5.96,6.08,3611100,0.0,0.0
09/10/2020,6.08,6.14,5.93,5.98,3198700,0.0,0.0
12/10/2020,5.98,6.06,5.97,6.05,2673800,0.0,0.0
13/10/2020,6.01,6.04,5.95,5.96,3570500,0.0,0.0
14/10/2020,5.96,6.04,5.93,5.93,2095700,0.0,0.0
15/10/2020,5.88,5.95,5.88,5.92,1780900,0.0,0.0
16/10/2020,5.9,5.96,5.85,5.88,3066000,0.0,0.0
19/10/2020,5.93,5.98,5.81,5.81,3312100,0.0,0.0
20/10/2020,5.93,6.09,5.89,6.09,6679900,0.0,0.0
21/10/2020,6.06,6.09,5.88,5.93,4439900,0.0,0.0
22/10/2020,5.91,6.11,5.91,6.11,5526700,0.0,0.0
23/10/2020,6.12,6.32,6.08,6.3,5001000,0.0,0.0
26/10/2020,6.01,6.16,5.67,5.72,12176200,0.0,0.0
27/10/2020,5.75,5.84,5.58,5.58,4324200,0.0,0.0
28/10/2020,5.5,5.54,5.32,5.34,5638400,0.0,0.0
