Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,102.41,104.06,100.65,102.56,649413,0.0,0.0
01/05/2020,100.04,100.04,96.08,97.65,561221,0.56,0.0
04/05/2020,96.5,98.55,94.63,98.19,502107,0.0,0.0
05/05/2020,100.16,102.12,96.45,96.92,259045,0.0,0.0
06/05/2020,105.7,105.7,96.36,98.1,648650,0.0,0.0
07/05/2020,98.62,102.12,96.05,96.38,912466,0.0,0.0
08/05/2020,98.74,101.68,98.58,99.13,472761,0.0,0.0
11/05/2020,97.35,99.2,94.62,98.18,554022,0.0,0.0
12/05/2020,98.16,98.94,92.12,92.35,412466,0.0,0.0
13/05/2020,91.84,91.84,83.0,84.81,724282,0.0,0.0
14/05/2020,82.68,88.77,80.59,87.54,447210,0.0,0.0
15/05/2020,86.65,87.43,85.11,86.7,264160,0.0,0.0
18/05/2020,91.02,96.23,91.02,95.92,497845,0.0,0.0
19/05/2020,95.36,96.01,91.02,91.02,472137,0.0,0.0
20/05/2020,92.47,96.47,92.22,95.75,435454,0.0,0.0
21/05/2020,95.75,97.02,94.09,94.22,359296,0.0,0.0
22/05/2020,94.58,96.13,91.56,92.4,291632,0.0,0.0
26/05/2020,96.88,99.34,94.5,98.0,508015,0.0,0.0
27/05/2020,101.88,105.97,99.75,105.8,712218,0.0,0.0
28/05/2020,107.91,107.98,101.69,102.49,658472,0.0,0.0
29/05/2020,100.52,102.02,98.69,98.99,993609,0.0,0.0
01/06/2020,99.8,101.79,99.14,100.85,349711,0.0,0.0
02/06/2020,102.66,102.76,98.21,99.72,502867,0.0,0.0
03/06/2020,103.15,106.49,102.68,104.37,896597,0.0,0.0
04/06/2020,104.45,106.5,102.98,106.33,569932,0.0,0.0
05/06/2020,113.49,114.4,110.39,111.17,514249,0.0,0.0
08/06/2020,115.23,116.09,111.82,113.94,492477,0.0,0.0
09/06/2020,110.14,114.82,109.33,112.64,564002,0.0,0.0
10/06/2020,112.98,115.41,107.16,107.35,688313,0.0,0.0
11/06/2020,100.15,103.57,96.74,98.58,605664,0.0,0.0
12/06/2020,103.32,104.87,99.37,103.77,631833,0.0,0.0
15/06/2020,98.72,103.61,97.83,103.19,462138,0.0,0.0
16/06/2020,108.42,108.71,104.27,106.14,283348,0.0,0.0
17/06/2020,106.31,106.31,101.72,101.85,315319,0.0,0.0
18/06/2020,100.7,105.26,100.62,103.11,335150,0.0,0.0
19/06/2020,104.68,104.68,100.13,102.35,631888,0.0,0.0
22/06/2020,102.55,103.82,100.41,102.48,213098,0.0,0.0
23/06/2020,104.62,105.19,100.87,101.88,320233,0.0,0.0
24/06/2020,100.55,102.53,96.99,97.43,345980,0.0,0.0
25/06/2020,96.35,101.47,96.35,101.47,270534,0.0,0.0
26/06/2020,99.43,100.54,97.1,98.72,1144081,0.0,0.0
29/06/2020,100.51,102.89,99.01,100.72,365584,0.0,0.0
30/06/2020,99.62,103.47,99.62,102.85,294697,0.0,0.0
01/07/2020,103.83,103.83,100.56,101.29,483116,0.0,0.0
02/07/2020,104.13,105.2,99.77,100.53,208593,0.0,0.0
06/07/2020,103.31,104.59,100.03,100.94,249034,0.0,0.0
07/07/2020,100.88,100.88,98.58,98.9,285254,0.0,0.0
08/07/2020,99.42,101.46,98.24,100.7,525604,0.0,0.0
09/07/2020,100.0,100.71,96.46,96.69,453846,0.0,0.0
10/07/2020,96.83,100.33,96.83,100.14,222585,0.0,0.0
13/07/2020,101.57,103.74,99.2,101.71,278189,0.0,0.0
14/07/2020,101.44,101.44,97.19,99.04,393390,0.0,0.0
15/07/2020,101.23,105.43,100.63,104.92,322258,0.0,0.0
16/07/2020,103.32,105.67,102.32,103.41,279937,0.0,0.0
17/07/2020,103.83,104.01,100.14,100.34,259703,0.0,0.0
20/07/2020,100.05,100.25,97.17,98.05,657679,0.0,0.0
21/07/2020,97.53,106.0,97.53,105.39,759155,0.0,0.0
22/07/2020,105.96,105.96,102.75,105.02,530593,0.0,0.0
23/07/2020,105.41,108.66,105.19,107.33,397252,0.0,0.0
24/07/2020,107.33,108.17,104.72,105.42,340600,0.0,0.0
27/07/2020,104.6,104.6,102.18,102.58,285481,0.0,0.0
28/07/2020,102.72,103.46,100.4,100.43,370750,0.0,0.0
29/07/2020,100.86,101.59,98.37,101.05,518810,0.0,0.0
30/07/2020,98.62,100.68,96.53,99.19,337872,0.56,0.0
31/07/2020,99.28,99.46,97.14,99.15,425564,0.0,0.0
03/08/2020,99.23,99.23,97.3,97.82,420069,0.0,0.0
04/08/2020,98.13,99.86,96.38,97.31,277535,0.0,0.0
05/08/2020,98.59,101.34,98.18,101.09,339508,0.0,0.0
06/08/2020,100.79,101.48,99.27,99.85,210392,0.0,0.0
07/08/2020,99.38,104.68,98.37,104.6,364429,0.0,0.0
10/08/2020,105.05,108.49,104.15,104.62,343868,0.0,0.0
11/08/2020,106.5,109.28,105.32,106.3,406592,0.0,0.0
12/08/2020,108.81,109.63,105.23,107.32,270442,0.0,0.0
13/08/2020,106.42,106.89,103.79,103.87,352003,0.0,0.0
14/08/2020,103.32,104.95,102.71,103.89,447371,0.0,0.0
17/08/2020,103.74,103.74,101.54,102.67,356861,0.0,0.0
18/08/2020,102.96,102.96,99.05,99.26,274842,0.0,0.0
19/08/2020,99.34,100.25,98.15,98.67,285750,0.0,0.0
20/08/2020,96.96,97.49,93.82,93.99,505700,0.0,0.0
21/08/2020,93.07,94.51,92.78,93.49,295527,0.0,0.0
24/08/2020,94.01,95.87,93.17,95.21,397059,0.0,0.0
25/08/2020,96.0,96.95,93.76,96.3,354691,0.0,0.0
26/08/2020,96.21,96.21,92.42,92.61,394964,0.0,0.0
27/08/2020,92.32,96.27,92.32,96.2,400779,0.0,0.0
28/08/2020,97.25,97.38,95.54,97.02,296789,0.0,0.0
31/08/2020,96.42,96.77,93.84,93.84,411501,0.0,0.0
01/09/2020,93.24,94.25,92.3,93.02,393068,0.0,0.0
02/09/2020,92.82,93.66,91.59,92.74,471214,0.0,0.0
03/09/2020,93.23,96.73,93.23,95.03,651588,0.0,0.0
04/09/2020,99.11,101.13,96.79,97.9,518442,0.0,0.0
08/09/2020,97.19,97.28,93.3,93.38,422682,0.0,0.0
09/09/2020,93.84,93.84,90.58,92.27,443086,0.0,0.0
10/09/2020,92.65,93.24,89.03,89.12,534066,0.0,0.0
11/09/2020,89.16,90.47,88.25,90.17,523090,0.0,0.0
14/09/2020,90.92,92.79,90.05,90.43,316615,0.0,0.0
15/09/2020,90.79,90.89,87.33,87.51,497108,0.0,0.0
16/09/2020,87.65,89.39,86.22,88.01,584363,0.0,0.0
17/09/2020,86.37,88.41,85.34,87.72,435966,0.0,0.0
18/09/2020,88.07,88.64,86.38,87.28,685757,0.0,0.0
21/09/2020,83.96,85.93,81.9,82.21,557105,0.0,0.0
22/09/2020,82.63,83.61,80.75,81.65,383651,0.0,0.0
23/09/2020,81.9,84.58,80.08,80.48,492885,0.0,0.0
24/09/2020,79.58,82.57,79.3,81.32,425341,0.0,0.0
25/09/2020,81.24,81.83,79.76,81.23,363456,0.0,0.0
28/09/2020,83.35,84.15,82.56,82.72,336697,0.0,0.0
29/09/2020,81.61,81.77,78.48,79.77,739170,0.0,0.0
30/09/2020,80.14,81.82,79.54,80.26,408400,0.0,0.0
01/10/2020,80.24,81.07,78.58,79.21,406347,0.0,0.0
02/10/2020,77.82,81.23,77.47,80.29,458486,0.0,0.0
05/10/2020,81.33,83.36,80.99,82.98,637945,0.0,0.0
06/10/2020,84.33,85.34,81.84,82.3,538345,0.0,0.0
07/10/2020,82.77,84.39,82.43,83.22,458946,0.0,0.0
08/10/2020,85.58,85.6,83.1,84.04,571797,0.0,0.0
09/10/2020,85.66,85.8,81.74,81.87,436361,0.0,0.0
12/10/2020,81.47,83.14,81.41,83.12,299789,0.0,0.0
13/10/2020,82.37,83.35,81.38,81.82,491881,0.0,0.0
14/10/2020,81.82,82.98,81.14,81.92,360392,0.0,0.0
15/10/2020,81.33,84.35,81.31,84.09,492602,0.0,0.0
16/10/2020,84.21,84.99,82.75,83.93,418083,0.0,0.0
19/10/2020,84.32,85.17,82.86,83.09,693948,0.0,0.0
20/10/2020,82.36,86.46,78.16,80.38,1788957,0.0,0.0
21/10/2020,80.4,82.33,78.88,79.52,907069,0.0,0.0
22/10/2020,79.55,83.22,79.55,83.16,766797,0.0,0.0
23/10/2020,83.95,84.41,80.83,81.79,675565,0.0,0.0
26/10/2020,81.05,82.43,79.92,80.76,474863,0.0,0.0
27/10/2020,80.39,80.67,76.93,77.0,856159,0.0,0.0
28/10/2020,75.1,76.64,74.15,75.05,613469,0.0,0.0
29/10/2020,74.26,76.62,73.52,75.79,664971,0.0,0.0
30/10/2020,75.59,80.09,75.59,78.64,971034,0.56,0.0
02/11/2020,79.81,80.15,77.7,78.67,506573,0.0,0.0
03/11/2020,80.2,80.59,78.0,78.37,650893,0.0,0.0
04/11/2020,77.39,77.39,69.59,74.23,1357239,0.0,0.0
05/11/2020,74.28,76.86,74.28,76.4,681461,0.0,0.0
06/11/2020,76.96,77.35,74.0,74.04,594347,0.0,0.0
09/11/2020,81.81,96.95,81.81,95.42,2799406,0.0,0.0
10/11/2020,96.41,102.09,95.43,98.87,1475412,0.0,0.0
11/11/2020,99.67,99.68,93.98,96.84,1022803,0.0,0.0
12/11/2020,96.12,100.95,95.21,97.69,1161249,0.0,0.0
13/11/2020,98.87,101.54,98.87,99.99,718258,0.0,0.0
16/11/2020,105.55,108.33,104.06,108.25,711889,0.0,0.0
17/11/2020,105.56,107.72,103.28,107.05,658427,0.0,0.0
18/11/2020,107.83,108.32,102.76,102.86,620664,0.0,0.0
19/11/2020,101.75,103.74,101.1,103.27,436532,0.0,0.0
20/11/2020,102.84,103.53,101.56,103.3,278205,0.0,0.0
23/11/2020,104.22,107.1,103.56,106.35,602846,0.0,0.0
24/11/2020,108.49,113.61,108.27,113.44,787814,0.0,0.0
25/11/2020,112.13,112.71,108.47,112.29,718334,0.0,0.0
27/11/2020,111.88,114.02,109.69,112.21,510334,0.0,0.0
30/11/2020,110.71,114.0,109.12,109.28,3522714,0.0,0.0
01/12/2020,111.81,113.81,110.35,112.97,696851,0.0,0.0
02/12/2020,112.22,119.78,112.01,118.46,878596,0.0,0.0
03/12/2020,119.35,121.92,117.37,120.1,775855,0.0,0.0
04/12/2020,121.41,123.76,118.44,121.22,632403,0.0,0.0
07/12/2020,121.23,121.23,118.54,120.14,603834,0.0,0.0
08/12/2020,120.05,120.99,117.38,117.74,384955,0.0,0.0
09/12/2020,119.11,123.93,117.42,123.7,986373,0.0,0.0
10/12/2020,121.76,127.09,121.76,126.63,962248,0.0,0.0
11/12/2020,123.86,127.23,123.85,124.9,661480,0.0,0.0
14/12/2020,127.79,128.55,124.49,124.82,638313,0.0,0.0
15/12/2020,126.81,127.85,124.27,127.68,562585,0.0,0.0
16/12/2020,128.57,129.48,125.89,128.7,667901,0.0,0.0
17/12/2020,129.2,129.2,127.1,127.63,392417,0.0,0.0
18/12/2020,127.6,128.11,125.93,127.7,1211054,0.0,0.0
21/12/2020,129.64,130.69,127.21,129.13,782330,0.0,0.0
22/12/2020,129.44,129.8,127.75,128.73,558877,0.0,0.0
23/12/2020,129.62,132.63,129.53,131.52,313043,0.0,0.0
24/12/2020,131.59,131.59,129.26,130.72,119915,0.0,0.0
28/12/2020,130.45,133.33,130.45,133.2,333543,0.0,0.0
29/12/2020,133.42,133.42,129.32,130.29,325686,0.0,0.0
30/12/2020,130.79,132.47,129.88,130.75,230380,0.0,0.0
31/12/2020,130.87,132.79,129.67,131.78,258907,0.0,0.0
04/01/2021,133.04,133.13,128.62,132.41,387490,0.0,0.0
05/01/2021,133.09,134.42,130.65,131.91,439579,0.0,0.0
06/01/2021,136.19,141.1,135.26,139.15,705877,0.0,0.0
07/01/2021,141.24,142.97,139.93,142.18,463208,0.0,0.0
08/01/2021,143.46,143.46,138.64,141.2,394497,0.0,0.0
11/01/2021,139.65,142.59,138.63,141.51,388923,0.0,0.0
12/01/2021,143.56,147.08,141.86,146.56,488127,0.0,0.0
13/01/2021,146.11,150.58,145.55,149.73,677420,0.0,0.0
14/01/2021,150.98,156.36,149.87,155.67,758868,0.0,0.0
15/01/2021,153.32,154.39,148.87,150.32,605750,0.0,0.0
19/01/2021,150.65,152.63,148.61,151.29,628538,0.0,0.0
20/01/2021,150.74,151.56,149.02,149.73,636080,0.0,0.0
21/01/2021,149.03,149.59,142.31,147.82,747168,0.0,0.0
22/01/2021,149.55,156.46,148.19,156.11,719285,0.0,0.0
25/01/2021,157.82,159.99,152.59,159.86,634984,0.0,0.0
26/01/2021,161.5,162.39,158.72,159.94,526352,0.0,0.0
27/01/2021,159.09,159.66,153.66,155.21,669288,0.0,0.0
28/01/2021,155.88,161.45,154.26,160.51,679106,0.0,0.0
29/01/2021,160.39,163.74,159.07,161.45,1231563,0.56,0.0
01/02/2021,161.47,163.11,157.88,162.79,476127,0.0,0.0
02/02/2021,166.29,174.27,163.71,173.15,861766,0.0,0.0
03/02/2021,172.82,175.26,170.68,173.65,606800,0.0,0.0
04/02/2021,175.44,180.37,174.34,179.16,651138,0.0,0.0
05/02/2021,174.67,184.39,172.5,178.76,2545834,0.0,0.0
08/02/2021,181.79,191.74,180.96,191.01,2261869,0.0,0.0
09/02/2021,202.54,206.93,195.87,205.83,2415806,0.0,0.0
10/02/2021,208.99,212.52,202.23,207.1,1870408,0.0,0.0
11/02/2021,207.2,212.17,203.69,207.94,1161654,0.0,0.0
12/02/2021,208.85,210.93,206.91,209.19,995936,0.0,0.0
16/02/2021,218.07,218.07,209.43,210.15,1136813,0.0,0.0
17/02/2021,208.56,212.19,203.34,210.05,875987,0.0,0.0
18/02/2021,210.13,210.13,202.22,205.55,677600,0.0,0.0
19/02/2021,207.56,216.79,206.79,215.84,793981,0.0,0.0
22/02/2021,212.13,215.68,209.64,212.23,974240,0.0,0.0
23/02/2021,210.13,211.42,200.36,208.64,1043616,0.0,0.0
