Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,36.36,36.36,34.36,34.52,2860800,0.0,0.0
01/05/2020,33.86,34.29,33.03,33.56,2199200,0.0,0.0
04/05/2020,33.01,34.27,32.65,34.18,1231000,0.0,0.0
05/05/2020,34.68,35.46,34.57,35.01,1033500,0.0,0.0
06/05/2020,35.25,35.47,34.69,34.95,1639300,0.0,0.0
07/05/2020,35.35,35.69,35.13,35.48,1294900,0.0,0.0
08/05/2020,36.18,36.64,36.01,36.19,651900,0.0,0.0
11/05/2020,35.84,37.46,35.78,37.08,1546600,0.0,0.0
12/05/2020,37.22,37.31,35.44,35.66,1680200,0.0,0.0
13/05/2020,35.42,35.58,32.93,33.16,1339400,0.0,0.0
14/05/2020,32.59,33.22,31.88,33.19,1940000,0.0,0.0
15/05/2020,32.82,33.58,32.6,33.41,1019800,0.0,0.0
18/05/2020,34.56,35.48,34.49,35.27,1333500,0.0,0.0
19/05/2020,35.23,35.78,34.78,34.82,957700,0.0,0.0
20/05/2020,35.49,36.57,35.49,36.5,1110900,0.0,0.0
21/05/2020,36.4,36.76,36.03,36.19,1260500,0.0,0.0
22/05/2020,36.25,36.43,35.68,36.01,567600,0.0,0.0
26/05/2020,37.2,37.23,36.39,36.68,945900,0.0,0.0
27/05/2020,37.59,37.77,36.87,37.45,1188900,0.0,0.0
28/05/2020,37.5,38.05,37.02,37.37,998200,0.0,0.0
29/05/2020,37.01,37.17,36.28,37.05,1060100,0.0,0.0
01/06/2020,37.0,37.35,36.64,36.96,744300,0.0,0.0
02/06/2020,37.47,37.58,36.38,36.88,1248600,0.0,0.0
03/06/2020,36.93,37.61,36.88,37.32,1132300,0.0,0.0
04/06/2020,37.18,37.54,36.49,36.76,836500,0.0,0.0
05/06/2020,37.78,39.34,37.77,38.54,1131800,0.0,0.0
08/06/2020,38.77,39.72,38.6,39.65,1039100,0.0,0.0
09/06/2020,39.19,39.29,38.24,38.92,1144500,0.0,0.0
10/06/2020,38.83,38.85,37.7,37.92,1062500,0.0,0.0
11/06/2020,36.69,37.25,35.95,36.07,1176300,0.0,0.0
12/06/2020,37.12,37.12,35.12,36.01,1468600,0.19,0.0
15/06/2020,35.0,36.54,34.88,36.21,1284700,0.0,0.0
16/06/2020,37.42,37.85,36.85,37.4,1352700,0.0,0.0
17/06/2020,37.52,37.58,36.73,36.91,1073500,0.0,0.0
18/06/2020,36.55,37.59,36.42,37.39,1205200,0.0,0.0
19/06/2020,37.65,38.22,37.03,37.62,2221500,0.0,0.0
22/06/2020,37.42,37.79,36.79,37.53,851300,0.0,0.0
23/06/2020,38.11,38.24,37.17,38.06,1515800,0.0,0.0
24/06/2020,37.59,37.85,36.95,36.96,1009500,0.0,0.0
25/06/2020,36.78,37.09,36.29,37.02,811000,0.0,0.0
26/06/2020,36.84,36.89,35.43,35.83,2944700,0.0,0.0
29/06/2020,36.1,36.77,35.87,36.35,1035900,0.0,0.0
30/06/2020,36.25,37.15,36.21,36.72,1348500,0.0,0.0
01/07/2020,36.68,37.54,36.6,37.07,1072700,0.0,0.0
02/07/2020,37.66,37.87,37.0,37.05,850900,0.0,0.0
06/07/2020,37.63,37.71,37.07,37.49,524500,0.0,0.0
07/07/2020,37.1,37.44,36.6,36.72,884000,0.0,0.0
08/07/2020,36.62,36.68,35.45,35.68,1388800,0.0,0.0
09/07/2020,35.69,35.78,34.35,34.48,1026600,0.0,0.0
10/07/2020,34.47,35.52,34.47,35.32,1072400,0.0,0.0
13/07/2020,35.73,36.18,35.17,35.23,1458100,0.0,0.0
14/07/2020,35.09,35.48,34.92,35.44,1109500,0.0,0.0
15/07/2020,36.17,37.0,35.98,36.95,1395400,0.0,0.0
16/07/2020,36.76,37.24,36.57,36.92,905900,0.0,0.0
17/07/2020,37.14,37.25,36.45,36.54,899200,0.0,0.0
20/07/2020,36.55,36.79,35.85,35.95,786300,0.0,0.0
21/07/2020,36.18,36.79,36.13,36.39,1106700,0.0,0.0
22/07/2020,36.21,36.65,36.06,36.64,1316400,0.0,0.0
